"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M820.327T1006.792",0.074535,-0.16425,0.16148,-0.086535,-0.064883,0.081787,-0.05026,-0.044073
"M682.262T843.183",-0.050463,-0.13538,0.14605,-0.064948,0.0034687,-0.0017846,0.10685,0.00058781
"M576.484T1473.551",0.088949,-0.015004,-0.017968,-0.055812,-0.070534,0.032476,0.0037558,-0.011408
"M764.518T1295.888",-0.025315,-0.098047,-0.14513,0.12739,-0.11607,0.10289,-0.10119,0.067432
"M471.313T1295.888",-0.07403,0.035389,-0.08942,0.022353,-0.00011141,-0.10754,0.14528,-0.07661
"M617.506T1594.034",0.086373,-0.054138,-0.0741,-0.017653,-0.035847,0.12984,-0.12663,0.032326
"M534.402T1422.678",0.079138,-0.02012,-0.030841,0.1028,-0.15614,0.058256,0.031454,0.047683
"M765.518T1313.696",-0.05191,-0.0055169,-0.096722,0.041011,0.017405,0.096023,-0.060121,0.03282
"M415.326T1295.888",-0.062958,-0.15956,0.075665,-0.053864,0.0081765,0.039452,0.022738,-0.03678
"M1102.351T817.469",-0.024633,0.019289,0.20404,-0.070627,-0.06789,0.057511,-0.023846,0.036078
"M549.424T1473.203",0.088686,-0.12357,0.030721,0.037625,-0.057693,0.08092,0.065073,-0.0070666
"M787.545T1575.098",0.091046,0.078018,0.046216,-0.045379,0.18416,-0.13208,0.063973,0.23923
"M567.43T1421.35",0.060894,0.0089494,-0.077529,0.070953,-0.087863,-0.034895,-0.048433,0.038138
"M764.517T1325.086",-0.028,-0.10678,-0.10312,0.14818,-0.025204,0.05982,-0.089262,0.080173
"M487.775T1256.694",0.03171,0.062352,0.077232,-0.10741,0.10227,-0.040604,-0.1481,0.054889
"M677.438T1339.916",0.07722,-0.0116,0.14305,-0.075891,-0.11916,-0.10602,0.072196,0.073498
"M832.307T992.353",0.063388,-0.21984,0.20262,-0.10706,-0.10986,0.10817,0.016356,0.035384
"M455.315T1295.888",-0.063148,-0.016336,-0.047616,0.047205,-0.026955,-0.052205,0.081763,0.013337
"M297.239T1626.197",0.057933,0.025921,-0.042687,0.029945,-0.0046063,-0.037198,0.12338,0.036375
"M425.216T1401.37",-0.024778,-0.11645,-0.015548,-0.017323,0.018788,0.045702,-0.020443,0.070276
"M430.319T1557.453",0.03802,-0.023182,0.030828,-0.087281,0.090981,0.10854,0.0096082,0.031781
"M392.284T1436.378",-0.10377,-0.01172,-0.040683,0.035609,-0.014424,-0.032929,0.06974,-0.038585
"M386.164T943.456",0.027289,-0.27985,0.23591,-0.097436,0.04755,0.054799,0.068147,0.026914
"M635.491T1472.841",0.066903,-0.073299,-0.14686,0.035698,-0.00028216,-0.0078043,-0.066109,0.04278
"M399.308T1262.042",-0.16033,0.0077783,-0.16054,0.075656,-0.0040053,-0.10988,0.14195,-0.037796
"M578.503T1590.788",0.067978,-0.033943,-0.12541,0.012728,0.036813,0.049417,-0.052548,0.066686
"M549.428T1523.962",0.08394,-0.0049387,-0.01471,0.072487,-0.13017,-0.027937,0.053789,-0.022928
"M807.348T918.929",0.019398,-0.24719,0.37965,-0.16263,0.055543,-0.19124,-0.32734,0.17627
"M542.478T1573.977",0.11953,-0.016247,-0.020501,-0.063323,0.21179,0.006325,0.015637,-0.098694
"M522.261T1109.944",-0.080724,0.068526,-0.099514,0.018899,-0.040965,0.06952,-0.045111,0.10448
"M425.215T1355.365",-0.013025,-0.1129,-0.017708,-0.019103,0.056245,0.039255,-0.0075148,0.030658
"M605.427T1490.314",0.073878,0.00096471,0.009336,0.054668,-0.081929,0.046973,0.038676,-0.064443
"M475.412T1607.605",0.10317,0.034564,-0.061848,-0.0602,0.20274,-0.058815,0.021553,0.024017
"M330.263T1492.022",-0.049843,0.024243,-0.015467,0.071146,-0.028421,0.061712,0.026171,0.027899
"M629.463T1474.173",0.064706,0.0074737,-0.1147,0.03246,-0.039942,0.010717,-0.00029059,0.070515
"M722.259T892.9",-0.16925,-0.00061349,-0.070648,0.17252,-0.29136,0.25877,-0.06323,0.073048
"M737.493T1439.78",0.06573,0.006066,-0.028564,-0.013445,0.020679,0.077637,-0.16347,-0.023913
"M523.599T1382.768",-0.0693,-0.03816,-0.07235,0.025575,0.0015603,0.019613,-0.046373,0.09397
