"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"M374.303T1319.161",26542.311175,67083.7649,103723.931,112107.063,48331.565,55600,55980.849,76000,37300,46823.164,27078.3991,17076.367,40727.625,56551.2584,48500,71007.28,28558.011,57545.575,27200
"M605.427T1212.039",18821.780875,8234.9309,45657.526,46518.812,46714.426,34200,52654.931,34500,34500,24515.395,18878.28,18093.401,20460.6301,23800.2255,41000,42999.381,40858.609,42205.052,38000
"M504.265T1099.137",31013.67275,8042.4331,280340.786,278250.498,118054.691,86800,145850.339,91200,115000,101751.407,12353.5359,99608.191,3387.6853,114212.4009,125000,111202.276,95723.916,159371.254,95400
"M479.188T913.185",232176.744725,760.3332,29252.107,50165.806,431684.869,134000,287562.593,375000,197000,303139.477,3816.3356,198149.805,1322.6863,303354.9733,296000,318825.538,252249.473,413214.6,189000
"M291.195T1053.001",179068.0675,3826.4803,285157.375,352887.774,442613.04,247000,368403.096,366000,114000,183139.386,9053.3052,194649.973,14287.068,425410.4427,210000,415387.682,185197.346,252647.289,231000
"M821.505T1179.269",36976.313,664.13572,262457.535,244059.415,145096.405,143000,202588.397,159000,163000,159894.235,664.13572,191155.507,3320.6786,162897.8392,159000,176001.657,123427.283,154987.791,182000
"M820.327T1006.792",24016.0585,1367.9568,22036.529,48770.183,125801.709,74100,70964.707,108000,79800,92224.196,1709.2317,64943.838,273.59136,55443.153,72200,72674.783,65417.338,63100.907,52600
"M682.262T843.183",44568.7375,9235.7419,108790.656,99704.252,153094.819,108000,86807.94,147000,62700,98105.736,8176.8399,62999.006,11633.8653,111452.6811,76400,124959.929,72563.692,81110.433,67100
"M576.484T1473.551",122971.56475,63516.1981,137622.44,171506.665,261158.597,302000,266888.999,246000,302000,291421.342,35241.8081,312817.528,29328.6476,232131.1299,397000,191015.088,362250.207,234141.583,251000
"M764.518T1295.888",34905.11255,66300.1355,170012.442,262870.922,115943.171,146000,106402.624,140000,142000,157640.652,16302.922,256218.372,26886.1738,145936.5132,111000,128460.303,111316.063,114860.009,112000
"M471.313T1295.888",42359.18225,21542.8486,299762.258,166034.244,147749.417,136000,134672.789,106000,140000,115348.914,35012.7303,95587.757,42536.7744,103692.3171,95300,113762.252,148654.726,121606.998,99800
"M617.506T1594.034",111508.00025,122148.3408,138801.856,233229.375,243920.381,290000,354650.749,295000,361000,349799.133,90553.1238,487214.046,183293.2397,269609.5203,447000,260962.324,338600.645,242277.918,297000
"M534.402T1422.678",59487.026175,65285.8828,92021.557,143253.735,154960.032,140000,93524.218,132000,195000,188992.166,50417.317,248373.138,68297.3919,116439.2733,152000,126749.958,222648.424,141997.851,160000
"M765.518T1313.696",20161.5145,53331.2503,177554.745,185700.313,132439.83,126000,151163.635,125000,132000,131971.857,33497.9305,137101.674,60358.0469,147989.4663,139000,111790.571,116151.872,129826.493,129000
"M415.326T1295.888",66109.299325,71958.1766,148196.442,159772.345,180245.778,122000,144091.106,181000,101000,124953.624,66840.9955,88474.092,90118.4999,160861.6963,98400,194067.8,92720.78,94998.275,79400
"M1102.351T817.469",21517.656,12334.977,50863.077,69708.58,78703.363,66300,59550.559,82800,38800,53149.746,13546.5985,42336.295,14036.0322,55500.4531,61400,54356.964,65042.586,76466.076,56800
"M549.424T1473.203",89136.549025,92484.1327,106916.649,147552.381,277157.343,186000,156161.062,224000,267000,320723.932,96277.1994,291152.486,87631.5591,227203.6331,211000,216884.295,242720.256,170376.335,187000
"M787.545T1575.098",33001.70925,35366.2348,55158.77,23378.149,97073.496,79900,78335.827,90500,83900,63978.407,23373.3521,108466.074,10677.7506,121841.6792,80400,87517.104,85098.074,89961.554,234000
"M567.43T1421.35",24072.80275,168212.9707,71620.73,81850.383,88830.092,98100,68037.971,74500,120000,91435.257,35101.1883,124535.242,35505.7125,101591.0896,101000,93035.788,94654.253,98641.594,97200
"M764.517T1325.086",52203.5575,66349.916,225187.785,260891.895,153436.609,141000,132726.69,189000,173000,180994.3,38676.9239,283217.163,69756.3985,215420.063,148000,160848.221,128335.262,145316.216,141000
"M487.775T1256.694",12430.78475,2221.0305,25689.912,23906.173,32626.202,33200,49798.313,43000,30500,25202.515,444.2061,31114.395,444.2061,28447.8586,46800,28034.324,37320.596,40608.379,37900
"M677.438T1339.916",127579.8545,10473.4191,99987.334,129116.181,295698.899,260000,160332.039,298000,242000,177280.703,4938.6162,180539.475,15242.5163,164956.9918,162000,278476.342,316712.483,191646.995,266000
"M832.307T992.353",76174.5745,4371.5082,25767.383,75470.659,246891.814,140000,82943.155,215000,84300,151845.349,2710.1738,93960.953,7681.9787,167830.2626,90600,154878.663,81588.381,71789.03,79800
"M455.315T1295.888",35063.34075,76561.8221,363482.892,285738.052,234281.334,241000,200179.372,242000,205000,212516.818,51062.5881,210972.281,100429.2939,202242.3598,187000,222588.733,220287.449,210050.417,195000
"M297.239T1626.197",19401.452375,146574,118088.086,93969.488,138049.368,133000,104980.909,108000,139000,139724.491,128714.0523,145069.031,123567.6635,143638.237,119000,137679.752,149707.595,127632.631,138000
"M425.216T1401.37",44550.573,214731.3,304152.213,318432.151,368653.239,294000,301125.969,298000,281000,285123.32,236365.0144,287140.928,255133.9375,423501.023,261000,374544.982,226133.132,258126.772,263000
"M430.319T1557.453",18999.65915,101661.7918,96495.826,95829.798,129571.107,122000,147095.992,132000,111000,134004.583,130762.0212,113287.427,120401.1279,117602.9399,138000,105494.06,117139.526,113905.332,130000
"M392.284T1436.378",31106.9233,121283.2694,342323.099,257792.304,154919.199,142000,142158.075,152000,127000,124648.618,96782.6622,98501.067,119570.133,153390.5138,139000,154954.959,123894.04,127606.084,107000
