"","Comp 1","Comp 2","Comp 3","Comp 4"
"M549.258T834.983",0.053859,-0.058795,0.037281,-0.040961
"M415.744T872.34",0.03604,-0.02709,0.0092393,-0.015084
"M451.125T735.96",0.036487,-0.020173,0.030932,-0.005492
"M361.481T320.767",0.030527,-0.0020518,0.026184,0.019438
"M409.075T744.412",0.019677,0.0095474,0.020612,0.060945
"M457.136T788.61",0.046012,-0.043593,0.018931,0.016545
"M311.138T170.155",0.037536,0.0083792,-0.01288,0.021419
"M593.763T756.056",-0.029674,-0.029894,0.022682,0.11421
"M392.068T765.784",0.010139,0.020225,-4.8024e-05,0.023147
"M433.661T789.942",0.042003,0.0020881,-0.0060384,0.013669
"M919.493T1102.884",0.019655,0.039348,-0.069074,0.024952
"M437.044T765.875",0.045509,0.0029874,0.019257,-0.0029193
"M715.427T310.719",-0.0002028,0.054495,0.0052928,-0.054734
"M1095.84T892.791",0.01714,0.098619,0.07455,0.020403
"M485.168T916.74",0.042594,-0.0035337,0.0021359,-0.010648
"M313.119T883.187",0.039576,-0.078499,0.033078,-0.070412
"M433.039T456.919",0.040564,-0.026465,0.12477,0.094626
"M447.259T942.596",0.024928,0.022615,0.0010952,0.0023985
"M355.067T660.488",-0.0084332,-0.030048,-0.046536,0.019379
"M1134.038T907.684",-0.05144,-0.045819,-0.037053,0.038129
"M819.254T316.358",0.039009,-0.0097903,-0.015478,-0.0053455
"M383.609T322.831",0.022645,0.020327,0.01017,0.040806
"M341.31T626.276",0.045306,0.027247,-0.012556,-0.004292
"M579.151T798.32",-0.023012,-0.035741,0.035233,0.043856
"M784.154T761.471",0.036694,0.007586,0.00060533,0.019002
"M323.187T1016.246",0.043809,0.045725,-0.022829,0.016309
"M1099.581T1224.487",0.029261,-0.017299,-0.033979,-0.017708
"M206.988T126.118",0.021346,-0.00092678,0.027731,0.038698
"M685.228T857.881",0.039057,-0.026961,-0.024857,-0.030967
"M441.162T763.637",0.036996,-0.038267,0.0098976,-0.0057494
"M963.275T732.778",0.028413,-0.025285,0.0091584,0.038511
"M991.316T318.206",0.035125,-0.019897,0.020954,0.0010746
"M867.206T809.129",-0.017622,-0.036161,0.053437,-0.037465
"M403.064T798.991",-0.033242,0.016192,0.0069737,0.062979
"M836.522T1479.692",0.032704,0.034693,-0.026913,0.0083552
"M399.275T1363.391",0.016596,0.022116,-0.036697,-0.0052601
"M548.179T817.387",0.035536,-0.026931,-0.006321,-0.063548
"M524.183T892.811",0.040875,-0.014617,-0.0080527,0.0056515
"M518.153T824.178",0.031146,-0.022902,0.0065948,-0.0077476
"M1096.548T894.929",-0.023745,-0.023564,-0.036473,0.046496
"M999.268T316.316",0.04196,0.013259,-0.024043,0.0015117
"M266.366T1577.236",0.027875,0.012967,-0.013234,0.027766
"M836.743T1479.398",0.031982,0.01116,0.018656,0.026564
"M252.965T98.618",0.027691,-0.02039,0.076078,0.039421
"M529.154T821.794",0.043752,0.0072646,0.012863,-0.030041
"M487.212T857.117",0.045112,0.026365,0.0040477,0.012626
"M1323.386T316.247",0.03551,-0.015307,-0.021667,-0.054756
"M501.206T823.684",0.053406,-0.070794,0.010341,-0.017394
"M438.049T766.588",0.040451,0.033499,0.018498,-0.0016316
"M1013.583T1347.533",0.037711,0.0061129,-0.011336,-0.011964
"M407.045T415.442",0.032968,0.019022,-0.010908,0.0088093
"M331.068T223.104",0.02872,-0.023382,-0.027578,0.034651
"M384.092T841.195",-0.0017615,0.020067,0.03567,0.069846
"M1611.697T937.933",0.053927,-0.028551,0.032886,-0.026679
"M653.913T316.046",0.037287,0.0097494,-0.045285,0.014283
"M969.317T316.321",0.041473,-0.016728,-0.010563,-0.012959
"M311.104T1075.82",0.059435,0.0042254,0.037369,-0.026965
"M380.071T778.258",0.040003,-0.039863,0.034535,0.075485
"M638.078T817.768",0.038987,-0.049258,-0.0064162,-0.0087773
"M651.317T893.83",0.027289,0.0093031,-0.026131,-0.009714
"M1167.557T907.179",-0.034048,-0.030865,-0.057925,0.036111
"M221.066T891.624",0.043127,-0.0062326,0.013455,0.046301
"M204.085T413.719",0.076113,0.066098,0.010327,-0.010053
"M621.125T857.148",0.02219,-0.015886,-0.094313,0.038216
"M1009.554T1308.282",0.025773,0.027497,-0.0099874,-0.0087121
"M483.178T941.182",0.042996,0.027941,-0.065213,0.031465
"M1057.411T880.24",0.044206,-0.049172,0.039933,-0.0067737
"M469.208T948.545",0.049302,-0.0041792,0.063657,0.021028
"M673.289T892.945",0.041651,-0.0086622,-0.019576,0.0089187
"M833.365T968.818",0.052905,-0.041985,-0.015046,0.014989
"M893.38T934.735",0.048658,-0.059829,0.029892,-0.040098
"M393.176T847.594",0.0414,-0.0074198,-0.0053639,0.026827
"M981.364T901.259",0.036506,-0.044212,-0.0079706,-0.0085459
"M653.935T315.929",0.037257,-0.0056288,-0.012781,-0.0066132
"M865.491T1326.551",0.028096,-0.0021457,-0.01304,0.011919
"M449.202T630.506",0.036088,0.001609,0.019368,0.023556
"M437.065T776.272",0.011274,-0.014927,0.0015244,0.028266
"M268.959T125.12",0.038347,-0.010963,-0.00077722,0.022878
"M551.272T837.928",0.03995,-0.020985,0.020125,-0.049001
"M456.197T892.811",0.039149,-0.010432,-0.023669,0.00675
"M356.995T88.504",0.020128,0.01401,0.047942,-0.029074
"M391.157T830.263",0.062207,-0.082774,0.028993,-0.053808
"M567.778T908.116",-0.031514,-0.037327,-0.028229,0.046002
"M559.667T1200.71",0.002394,-0.022645,0.076674,0.035441
"M455.193T892.238",0.054231,-0.021771,-0.052407,0.01843
"M651.363T1268.695",-0.028454,0.037065,-0.040024,0.0013895
"M1255.613T888.434",0.010713,-0.0012227,0.0038791,0.065625
"M701.195T940.853",0.014283,0.013172,-0.015156,0.034986
"M587.201T848.147",0.038879,0.017296,-0.041628,0.0076712
"M1014.419T974.744",0.063786,-0.036179,-0.014217,0.010164
"M383.555T317.319",0.025469,0.011299,0.010491,0.034843
"M593.857T757.673",-0.02587,-0.021273,0.003254,0.11457
"M569.35T895.921",-0.02963,-0.024292,0.0064904,0.088781
"M423.224T921.021",0.031468,-0.026295,-0.007903,-0.048977
"M325.2T1323.486",0.021363,0.028706,0.028995,-0.023746
"M269.103T792.774",0.037781,0.0031104,0.0095872,0.00535
"M637.025T106.841",0.034637,-0.00089687,-0.044013,-0.01984
"M334.932T113.331",0.017661,0.0058386,0.0072924,0.046618
"M433.784T801.352",0.047301,-0.023667,0.02144,-0.007987
"M1048.557T894.929",-0.0066139,0.031394,0.033257,0.049388
"M295.104T156.471",0.033632,0.027228,0.022828,0.012533
"M398.263T1317.762",0.038131,0.043221,0.019789,0.017566
"M653.828T318.352",0.028883,0.0023037,-0.022942,0.0051687
"M1103.415T879.391",0.039663,-0.057476,0.03657,-0.0097421
"M997.975T1403.846",0.017615,0.035791,-0.041222,-0.031905
"M1039.403T917.165",0.047458,-0.062747,0.03477,0.0062733
"M1037.324T316.098",0.037647,-0.014739,6.3863e-05,0.0054859
"M509.218T928.864",0.036593,-0.021424,0.0048531,0.020361
"M1308.415T315.705",0.045503,-0.010352,0.0093101,-0.020389
"M311.186T1077.614",0.026652,0.00038143,0.038222,0.052983
"M969.321T316.442",0.042983,-0.008705,-0.011218,-0.026191
"M333.083T110.42",0.024257,-0.023024,0.00035795,0.051654
"M1063.398T908.83",0.051732,0.0052328,0.070854,0.0020513
"M361.512T316.902",0.037001,-0.037565,0.012011,-0.0099841
"M485.178T783.442",0.040458,-0.013284,0.015122,-0.035454
"M449.205T834.832",0.056506,-0.056687,0.031522,-0.036495
"M439.083T756.683",0.029827,0.032593,0.0090814,0.010428
"M479.19T902.518",0.036979,-0.023061,-0.0036126,-0.028853
"M413.081T316.361",0.036497,0.012909,-0.0033724,0.0040959
"M417.177T763.775",0.031036,0.0040675,-0.0042952,0.041591
"M225.002T107.866",0.039191,0.020797,-0.026866,-0.0026323
"M947.485T901.595",0.018238,-0.02498,-0.035411,0.019374
"M399.165T851.906",0.039198,-0.018354,0.010056,-0.0030751
"M895.304T938.238",0.0429,-0.033465,0.0049261,0.0012023
"M455.081T744.378",0.024715,0.018278,0.0008487,0.058953
"M430.136T769.014",0.04953,-0.064447,-0.036911,0.07784
"M590.274T907.848",-0.039843,-0.021157,-0.0097088,0.055227
"M353.181T807.324",0.044727,-0.029962,-0.021365,-0.0041262
"M419.115T799.29",0.015567,0.015133,0.010091,0.052276
"M139.002T112.479",0.016556,-0.00090799,-0.007754,0.044378
"M1095.872T896.96",0.014451,0.061538,0.043755,0.03326
"M429.646T308.971",0.031823,-0.01367,-0.0041699,0.037951
"M968.4T974.568",0.046709,-0.052433,0.006122,-0.031005
"M1015.586T1347.819",0.038182,-0.0029148,-0.014971,-0.017438
"M1033.603T1229.397",0.030845,-0.013139,-0.0029045,-0.0088377
"M533.169T900.984",0.035433,0.037209,0.022137,-0.0056454
"M1095.01T894.541",-0.029165,-0.054219,-0.023178,0.0080402
"M1209.581T888.373",0.0075836,-0.011475,-0.0041116,0.061839
"M492.868T66.13",0.023787,0.010448,-0.017873,0.050173
"M567.276T907.878",-0.028749,-0.025431,-0.024313,0.067297
"M664.226T813.714",0.046702,-0.016485,0.020019,-0.021943
"M1035.397T978.889",0.049593,-0.039142,0.0026264,0.00032832
"M1162.051T893.06",-0.018454,-0.0068067,-0.016597,0.055989
"M812.842T69.273",0.035422,-0.022834,-0.017792,0.06825
"M691.153T854.793",0.026458,0.011722,-0.01616,0.056164
"M433.351T780.04",0.039069,0.048037,-0.024281,-0.038687
"M1363.57T899.951",-0.012323,0.0005152,-0.048063,0.080368
"M410.078T615.621",0.054576,0.081919,0.10399,-0.020272
"M1125.418T877.844",0.049983,-0.056943,0.022055,-0.025939
"M483.183T857.732",0.045966,0.017261,-0.066854,0.031347
"M1323.575T889.628",0.0066391,-0.0073891,-0.0012851,0.039425
"M695.298T853.355",0.044265,-0.019335,-0.038532,0.022799
"M331.103T255.151",0.031256,-0.0026963,-0.048959,0.039294
"M539.134T89.251",0.026896,-0.029214,0.044819,0.0068935
"M502.995T105.736",0.040667,0.014742,0.0060166,0.053814
"M967.36T964.868",0.049898,-0.039526,-0.071121,-0.036355
"M329.088T474.939",0.021755,-0.009937,-0.0063484,0.04332
"M669.182T316.584",0.03613,0.0069288,-0.004672,-0.0070553
"M1097.514T1402.931",0.035306,0.023403,-0.023672,0.00020577
"M990.329T838.789",0.055929,-0.040848,-0.0030396,-0.023138
"M240.933T64.89",-0.05156,-0.052936,0.017228,0.074668
"M548.979T106.308",0.036918,0.0147,-0.033976,0.01488
"M1031.288T315.245",0.03887,-0.01798,-0.032069,-0.01078
"M333.109T769.719",-0.030751,-0.004866,-0.12241,-0.062719
"M324.072T215.478",-0.050604,0.049178,0.00072793,-0.064795
"M830.24T316.247",0.046224,-0.01461,-0.048264,-0.006269
"M1087.412T876.684",0.04278,-0.0031815,-0.034752,0.01833
"M297.244T1278.646",0.015787,0.033331,-0.033481,0.029654
"M1094.946T896.052",-0.026836,-0.038125,-0.0049218,-0.010903
"M385.077T649.201",-0.010297,0.010729,-0.0037637,-0.0020114
"M549.205T845.853",0.044552,1.701e-05,-0.057688,0.0033631
"M389.108T489.956",0.058609,-0.034224,-0.041062,0.0074084
"M632.847T316.374",0.043815,-0.028965,0.028283,-0.021935
"M341.535T617.585",0.043266,0.039976,0.014481,0.0010107
"M387.034T831.689",0.065558,-0.022547,0.042963,-0.020414
"M455.021T825.04",0.062927,-0.034121,0.027922,0.0054192
"M941.462T1306.809",0.027502,0.01953,-0.050626,-0.030949
"M1036.399T977.849",0.044342,-0.060834,0.036489,-0.03521
"M305.082T1122.457",0.045482,-0.043738,0.047799,0.0073318
"M435.217T805.716",0.051117,-0.029672,0.0096887,0.020734
"M1136.545T907.7",-0.032055,-0.026766,-0.0082593,0.051989
"M1130.454T886.215",0.023734,-0.011248,-0.021877,0.016948
"M415.086T168.579",0.026812,0.0041404,-0.013668,0.037882
"M567.333T903.822",-0.039666,-0.04913,-0.019313,0.020731
"M1163.56T905.015",-0.060319,-0.058044,-0.0054927,0.011418
"M401.18T764.21",0.046006,-0.034268,0.029481,0.010515
"M823.337T914.416",0.042161,-0.042681,0.011027,-0.027535
"M397.259T1311.545",0.03164,0.02146,0.042742,-0.014658
"M443.191T791.98",0.039292,-0.026531,0.016815,0.030229
"M413.167T733.785",0.037225,-0.0033571,0.0023532,0.050416
"M341.259T618.637",0.045005,0.023979,-0.0065063,-0.0041541
"M859.153T942.886",0.012551,0.035936,-0.023887,0.054921
"M633.753T316.098",0.036691,-0.032438,0.013524,0.0074852
"M919.334T939.971",0.03926,0.00089338,-0.034666,-0.0024345
"M863.373T951.624",0.045235,-0.049607,0.016814,-0.042583
"M316.427T318.614",0.025843,0.0051507,0.053388,0.057763
"M419.228T901.259",0.05056,-0.048049,-0.013816,-0.020356
