"","FC","log2(FC)","raw.pval","-log10(p)"
"M1611.697T937.933",0.26711,-1.9045,0.088735,1.0519
"M1059.606T1053.565",0.37795,-1.4037,0.089304,1.0491
"M1130.437T924.326",0.31234,-1.6788,0.089604,1.0477
"M432.997T107.064",0.41724,-1.2611,0.090522,1.0432
"M895.304T938.238",0.43778,-1.1917,0.090742,1.0422
"M323.019T128.103",0.47566,-1.072,0.09081,1.0419
"M547.234T852.079",0.29422,-1.765,0.091141,1.0403
"M851.276T990.376",0.29852,-1.7441,0.091243,1.0398
"M448.965T106.062",0.49086,-1.0266,0.091488,1.0386
"M1103.384T928.554",0.36381,-1.4587,0.091579,1.0382
"M1035.397T978.889",0.34405,-1.5393,0.092334,1.0346
"M830.24T316.247",0.37611,-1.4108,0.092595,1.0334
"M589.271T908.408",3.1105,1.6372,0.09283,1.0323
"M684.191T618.708",0.067774,-3.8831,0.095885,1.0183
"M559.276T958.275",0.37371,-1.42,0.097134,1.0126
"M272.073T418.674",0.075039,-3.7362,0.097289,1.0119
"M521.224T935.29",0.38012,-1.3955,0.097394,1.0115
"M1031.288T315.245",0.49653,-1.01,0.097689,1.0102
"M353.181T807.324",0.42032,-1.2504,0.097755,1.0099
"M851.819T1425.446",0.38714,-1.3691,0.097941,1.009
"M696.3T853.355",0.3714,-1.429,0.098875,1.0049
"M645.252T899.393",0.33774,-1.566,0.099353,1.0028
