"","PC1","PC2","PC3","PC4","PC5"
"M575.708T1045.732",-0.0080815,-0.0050311,0.084858,-0.038714,-0.0072003
"M657.063T941.851",-0.001182,-0.06312,0.031585,-0.057166,-0.0060658
"M632.663T319.55",0.034746,0.013676,-0.0056108,0.0058064,0.0019492
"M809.433T1339.33",0.021803,-0.0080795,0.011997,-0.047884,-0.00050422
"M654.008T318.692",0.041329,0.020483,0.022511,-0.023201,0.0054015
"M923.402T931.508",0.056317,0.01858,-0.0054533,0.017485,-0.0075199
"M428.2T856.891",0.05108,-0.00045857,0.022568,-0.001372,0.0062293
"M281.069T746.743",0.025233,-0.016977,-0.0080617,-0.0083477,0.0058791
"M703.247T844.715",0.038901,-0.0017644,-0.033419,0.0036549,0.00044836
"M590.015T907.684",-0.033582,0.012282,0.062346,0.01614,0.0072804
"M455.081T704.884",0.018463,0.0062166,0.068081,0.0028279,0.0057384
"M970.813T317.253",0.039056,-0.0018656,-0.018958,0.0068248,0.0035052
"M997.575T1403.78",0.032582,-0.045943,-0.017393,0.011283,0.0041921
"M1053.286T316.584",0.036722,0.010006,-0.0065443,-0.0042871,0.0018121
"M1163.085T907.707",-0.075301,0.064499,0.068308,0.023811,-0.0030339
"M421.636T753.774",-0.0036781,0.0044393,0.059467,-0.075119,0.0048035
"M709.31T874.193",0.037606,-0.0059731,0.0047031,0.020335,0.0026735
"M361.589T316.501",0.03175,-0.022935,-0.0079591,-0.021412,0.001446
"M517.099T802.454",-0.011124,0.016996,0.007184,0.035187,-0.0028307
"M982.374T904.236",0.043668,0.012181,-0.0085842,-0.0039712,-0.00061828
"M383.433T314.152",0.015202,-0.023884,0.056136,-0.0028363,-0.0015062
"M362.298T315.255",0.022226,-0.030237,-0.018623,0.037815,0.0014446
"M481.183T769.795",0.021337,-0.03893,0.076794,0.00322,0.0058424
"M407.173T414.983",-0.0032036,-0.027664,0.016485,0.11851,-0.0077568
"M1297.451T316.098",0.045044,0.027079,-0.021938,0.01613,0.012368
"M727.283T864.823",0.046017,-0.018017,0.00042547,-0.00054778,-0.0045118
"M847.495T1389.03",0.017527,-0.043367,-0.0011699,0.027011,-0.0010435
"M1031.84T1213.333",0.012061,-0.039055,-0.0074431,0.031342,-0.0056281
"M937.515T1306.76",0.031728,0.0016679,-0.015515,0.0165,0.0065845
"M570.518T894.146",-0.014359,-0.039889,0.011239,0.053183,-0.0038407
"M1162.717T895.445",-0.017287,-0.017431,0.029293,-0.018784,0.00047402
"M289.446T802.654",-0.023369,-0.0028473,0.053113,-0.047034,-0.001857
"M970.001T316.098",0.026824,-0.031241,-0.013314,-0.028466,0.0081403
"M647.193T836.421",0.033058,0.035872,-0.020411,-0.0077887,0.0054337
"M968.365T965.957",0.043386,0.058067,-0.045284,0.0032791,0.0061981
"M863.184T809.21",-0.016636,-0.039843,0.035346,0.029357,-0.007875
"M565.23T844.341",0.028117,-0.035045,0.011506,0.007896,0.0021483
"M293.118T1042.937",0.044946,-0.0074176,-0.090077,-0.10997,0.0095393
"M483.209T897.853",0.04099,-0.01117,-0.0036102,0.0013775,-0.0022248
"M1094.047T894.516",-0.031858,0.0094822,0.051298,0.020115,-0.00059498
"M317.087T121.975",0.031572,0.0023909,0.035513,0.0015883,-0.00031487
"M909.388T926.435",0.051126,0.066875,-0.0078236,-0.0050126,0.0042473
"M549.258T834.983",0.055097,0.054718,-0.040515,-0.017262,0.0023746
"M415.744T872.34",0.03638,0.021343,-0.014576,-0.0011108,0.0030918
"M451.125T735.96",0.036563,0.018918,-0.0064775,-0.025557,0.014942
"M361.481T320.767",0.030013,0.001142,0.017827,-0.028509,0.0058629
"M409.075T744.412",0.018925,-0.010031,0.059044,-0.02956,0.0031947
"M457.136T788.61",0.046802,0.036497,0.017122,-0.0083893,0.00077521
"M311.138T170.155",0.036448,-0.018323,0.021298,0.0059576,0.0067775
"M593.763T756.056",-0.027899,0.036235,0.1143,-0.020013,-0.012856
"M392.068T765.784",0.0091477,-0.021828,0.02204,-0.0090867,0.0029482
"M433.661T789.942",0.041076,-0.01155,0.013469,0.0016513,-0.00089308
"M919.493T1102.884",0.01768,-0.056299,0.026477,0.051896,0.004522
"M437.044T765.875",0.044494,-0.007432,-0.0044617,-0.02242,0.002096
"M715.427T310.719",-0.0023185,-0.049691,-0.057367,-0.018681,0.003046
"M1095.84T892.791",0.013005,-0.082587,0.011684,-0.10854,0.0036834
"M485.168T916.74",0.04188,-0.0040129,-0.010939,-0.0026121,-0.004047
"M313.119T883.187",0.041865,0.076101,-0.068603,-0.0034018,-0.0081013
"M433.039T456.919",0.040869,0.041277,0.088652,-0.12428,0.0026851
