"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M471.152T726.342",1.2037,1.2223,1.2228,1.2228
"M643.245T933.361",1.2033,1.1387,1.1371,1.1371
"M653.891T318.024",1.2004,1.1666,1.1658,1.1658
"M293.177T1099.499",1.1998,1.1467,1.1485,1.1485
"M483.209T897.853",1.1992,1.127,1.1254,1.1254
"M433.661T789.942",1.1988,1.1266,1.125,1.125
"M405.167T106.416",1.1973,1.1267,1.1251,1.1251
"M485.168T916.74",1.194,1.1224,1.1208,1.1208
"M225.002T107.866",1.1936,1.1343,1.1334,1.1334
"M501.206T823.684",1.1935,1.3092,1.3075,1.3075
"M1014.811T1344.847",1.1926,1.1704,1.1688,1.1688
"M967.36T964.868",1.1917,1.2147,1.2179,1.2179
"M533.169T900.984",1.1913,1.1848,1.1835,1.1835
"M1613.665T937.741",1.1873,1.1654,1.1704,1.1704
"M942.309T937.647",1.1856,1.1989,1.198,1.198
"M942.303T939.917",1.1855,1.229,1.2273,1.2273
"M609.054T106.871",1.1812,1.1336,1.1321,1.1321
"M969.4T973.77",1.1805,1.2629,1.2611,1.2611
"M1087.412T876.684",1.1799,1.1111,1.1108,1.1108
"M1204.491T868.846",1.1791,1.1079,1.1078,1.1078
"M343.102T681.368",1.1787,1.1076,1.1065,1.1065
"M924.351T839.79",1.1768,1.1502,1.1495,1.1495
"M768.448T1315.096",1.176,1.1053,1.1043,1.1043
"M851.819T1425.446",1.1756,1.1282,1.1355,1.1355
"M657.266T958.998",1.1739,1.159,1.1574,1.1574
"M359.022T90.408",1.1736,1.1118,1.1103,1.1103
"M969.321T316.442",1.1731,1.1067,1.1053,1.1053
"M753.298T903.043",1.171,1.1312,1.1296,1.1296
"M427.197T838.449",1.1692,1.1123,1.1112,1.1112
"M469.036T876.272",1.1687,1.2916,1.3066,1.3066
"M1125.418T877.844",1.1672,1.2169,1.2156,1.2156
"M420.95T86.132",1.1663,1.1199,1.1198,1.1198
"M395.189T761.387",1.1648,1.0945,1.0942,1.0942
"M401.18T764.21",1.1643,1.1336,1.1329,1.1329
"M206.082T164.917",1.1642,1.1774,1.1784,1.1784
"M559.276T958.275",1.1641,1.122,1.1205,1.1205
"M723.346T899.128",1.164,1.1368,1.1353,1.1353
"M431.759T791.911",1.1608,1.1113,1.1106,1.1106
"M587.201T848.147",1.1601,1.0964,1.0967,1.0967
"M982.374T904.236",1.1581,1.1027,1.1012,1.1012
"M1462.085T939.347",1.1563,1.4902,1.4891,1.4891
"M843.287T936.679",1.1561,1.1378,1.1362,1.1362
"M621.052T106.9",1.1547,1.1004,1.0989,1.0989
"M1053.272T316.465",1.1516,1.0896,1.0885,1.0885
"M521.224T935.29",1.15,1.1052,1.1041,1.1041
"M661.253T876.035",1.1489,1.0831,1.0817,1.0817
"M545.298T995.647",1.1489,1.1102,1.1094,1.1094
"M1045.593T1289.364",1.1487,1.0821,1.0806,1.0806
"M1085.513T1348.399",1.1487,1.0807,1.08,1.08
"M263.13T940.795",1.1472,1.0879,1.0901,1.0901
"M593.947T757.746",1.1466,1.0985,1.0973,1.0973
"M695.298T853.355",1.145,1.101,1.101,1.101
"M693.278T872.306",1.144,1.0758,1.0746,1.0746
"M1014.782T1351.411",1.1435,1.1094,1.1079,1.1079
"M1167.557T907.179",1.1428,1.1354,1.1371,1.1371
"M590.775T907.789",1.1402,1.0959,1.0947,1.0947
"M683.129T316.242",1.1402,1.0863,1.0876,1.0876
"M871.351T913.248",1.1399,1.0716,1.0705,1.0705
"M997.575T1403.78",1.1395,1.1183,1.1173,1.1173
"M373.167T930.605",1.1385,1.1967,1.1955,1.1955
"M393.176T847.594",1.1382,1.0723,1.0708,1.0708
"M621.037T758.225",1.1367,1.1163,1.1147,1.1147
"M1031.347T966.014",1.1366,1.0856,1.0844,1.0844
"M1071.439T878.893",1.1359,1.2076,1.2061,1.2061
"M585.15T892.945",1.1324,1.0645,1.0631,1.0631
"M491.208T833.798",1.1322,1.3086,1.3072,1.3072
"M673.289T892.945",1.1311,1.0683,1.0672,1.0672
"M497.083T319.72",1.1294,1.2339,1.2339,1.2339
"M1069.501T1402.821",1.1291,1.1737,1.173,1.173
"M445.095T115.802",1.129,1.0635,1.062,1.062
"M969.939T315.438",1.1285,1.2045,1.2062,1.2062
"M432.997T107.064",1.1283,1.0611,1.06,1.06
"M1106.454T890.453",1.1282,1.0626,1.0614,1.0614
"M427.009T107.872",1.1274,1.0829,1.0814,1.0814
"M395.28T1470.273",1.1263,1.0609,1.0595,1.0595
"M632.847T316.374",1.1256,1.0863,1.0856,1.0856
"M494.168T786.301",1.1255,1.1855,1.1843,1.1843
"M665.182T815.828",1.1235,1.1313,1.1297,1.1297
"M989.364T928.413",1.1231,1.216,1.2143,1.2143
"M893.38T934.735",1.1206,1.1861,1.1852,1.1852
"M615.195T761.983",1.1201,1.0526,1.0512,1.0512
"M1007.373T920.82",1.1199,1.0704,1.0691,1.0691
"M589.773T907.878",1.1197,1.0866,1.0852,1.0852
"M367.08T114.463",1.1192,1.0586,1.0574,1.0574
"M310.969T105.491",1.1192,1.0574,1.0571,1.0571
"M511.24T944.134",1.1186,1.053,1.0525,1.0525
"M353.181T807.324",1.1184,1.0977,1.0966,1.0966
"M460.969T105.772",1.1162,1.1218,1.1203,1.1203
"M305.082T1122.457",1.116,1.111,1.1118,1.1118
"M359.123T830.487",1.1152,1.1253,1.1243,1.1243
"M457.136T788.61",1.1152,1.1217,1.1205,1.1205
"M861.166T878.352",1.113,1.0608,1.061,1.061
"M402.187T763.436",1.1112,1.0753,1.0741,1.0741
"M433.777T806.208",1.1096,1.0478,1.0492,1.0492
"M497.261T974.778",1.1092,1.0431,1.0425,1.0425
"M417.764T850.924",1.1069,1.0785,1.0775,1.0775
"M562.892T1151.046",1.1023,1.0838,1.0828,1.0828
"M433.039T456.919",1.1021,1.0408,1.0568,1.0568
"M1005.392T917.562",1.101,1.039,1.0379,1.0379
"M603.083T90.379",1.1009,1.0486,1.0486,1.0486
"M919.334T939.971",1.0987,1.0329,1.0328,1.0328
"M1014.585T1348.471",1.0979,1.0329,1.0316,1.0316
"M776.814T66.22",1.0974,1.0312,1.0305,1.0305
"M311.138T170.155",1.0974,1.0333,1.032,1.032
"M1097.514T1402.931",1.0973,1.05,1.0492,1.0492
"M548.979T106.308",1.0969,1.0358,1.0355,1.0355
"M619.26T816.529",1.0961,1.0307,1.0303,1.0303
"M769.419T945.253",1.0955,1.0302,1.0311,1.0311
"M445.207T780.093",1.0955,1.0589,1.0591,1.0591
"M485.178T783.442",1.0952,1.0352,1.034,1.034
"M295.104T156.471",1.0945,1.0692,1.0683,1.0683
"M413.081T316.361",1.0941,1.0353,1.0338,1.0338
"M703.247T844.715",1.094,1.0296,1.0281,1.0281
"M969.317T316.321",1.0935,1.0425,1.0411,1.0411
"M1095.01T894.541",1.0928,1.167,1.1658,1.1658
"M269.103T792.774",1.0926,1.0276,1.0262,1.0262
"M1013.583T1347.533",1.0923,1.0274,1.0261,1.0261
"M375.104T216.821",1.0913,1.03,1.029,1.029
"M581.283T805.632",1.09,1.0519,1.0506,1.0506
"M695.12T755.765",1.0899,1.1028,1.1013,1.1013
"M970.813T317.253",1.0899,1.0266,1.0252,1.0252
"M1008.375T923.099",1.0898,1.1331,1.1315,1.1315
"M708.241T861.396",1.0898,1.026,1.0259,1.0259
"M524.183T892.811",1.088,1.0336,1.0322,1.0322
"M1095.063T894.34",1.0869,1.0297,1.0284,1.0284
"M430.136T769.014",1.0868,1.2206,1.22,1.22
"M968.4T974.568",1.0859,1.1375,1.1359,1.1359
"M851.338T916.834",1.0856,1.0219,1.0204,1.0204
"M1297.451T316.098",1.0855,1.0853,1.0838,1.0838
"M461.037T823.98",1.0852,1.1871,1.1854,1.1854
"M809.324T904.082",1.0844,1.0903,1.0888,1.0888
"M873.638T939.705",1.0843,1.1751,1.1738,1.1738
"M567.778T908.116",1.0836,1.0923,1.0915,1.0915
"M309.119T137.634",1.0805,1.0705,1.069,1.069
"M751.173T317.266",1.0803,1.0262,1.025,1.025
"M503.143T589.731",1.0798,1.0835,1.0821,1.0821
"M433.038T831.69",1.0789,1.1904,1.1926,1.1926
"M630.654T314.128",1.0788,1.0143,1.0132,1.0132
"M653.913T316.046",1.0779,1.0136,1.0145,1.0145
"M784.154T761.471",1.0775,1.0153,1.0139,1.0139
"M1129.441T885.407",1.0775,1.0129,1.0115,1.0115
"M1039.403T917.165",1.0764,1.1596,1.1592,1.1592
"M274.971T109.977",1.0759,1.025,1.0245,1.0245
"M467.156T971.498",1.0756,1.0296,1.03,1.03
"M836.522T1479.692",1.074,1.0542,1.0535,1.0535
"M654.008T318.692",1.0729,1.0282,1.0276,1.0276
"M909.388T926.435",1.0723,1.2161,1.2151,1.2151
"M443.058T752.856",1.0715,1.0129,1.013,1.013
"M277.129T811.716",1.0706,1.0302,1.0288,1.0288
"M289.065T88.687",1.0668,1.0103,1.014,1.014
