"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M748.186T13.112,3.0312,0.037799,1.4225,0.090285,Test-Second
M382.315T1625.896,3.0302,0.037843,1.422,0.090285,Test-Second
M1338.236T13.111,3.0268,0.037993,1.4203,0.090305,Test-Second
M1392.401T13.109,3.0172,0.038417,1.4155,0.090971,Test-Second
M869.821T17.042,2.9992,0.039225,1.4064,0.092542,Test-Second
M1039.788T17.124,2.9907,0.039614,1.4022,0.092955,Test-Second
M1086.78T17.14,2.989,0.039692,1.4013,0.092955,Second-First
M1483.711T12.226,2.9841,0.039914,1.3989,0.093133,""
M956.802T18.02,2.964,0.040857,1.3887,0.093883,Second-First
M1242.097T13.11,2.9615,0.040974,1.3875,0.093883,""
M1377.734T13.11,2.9604,0.041027,1.3869,0.093883,""
M1080.788T16.122,2.96,0.041046,1.3867,0.093883,Test-Second
M924.819T11.107,2.9596,0.041066,1.3865,0.093883,Test-Second
M1549.443T13.109,2.9541,0.04133,1.3837,0.093883,Test-Second
M1505.377T13.111,2.953,0.041378,1.3832,0.093883,""
M1388.062T13.11,2.9523,0.041415,1.3828,0.093883,Test-Second
M1474.048T13.111,2.9428,0.041871,1.3781,0.094425,Test-Second
M1355.233T13.111,2.9383,0.04209,1.3758,0.094425,""
M1072.785T17.12,2.9365,0.042178,1.3749,0.094425,Second-First
M998.141T13.111,2.9351,0.042247,1.3742,0.094425,""
M1446.718T13.11,2.9274,0.042627,1.3703,0.094942,Second-First
M1189.43T15.136,2.9232,0.042835,1.3682,0.095073,Test-Second
M1355.23T13.109,2.9119,0.043398,1.3625,0.095797,Second-First
M1002.791T18.125,2.9107,0.043462,1.3619,0.095797,Second-First
M1164.775T13.111,2.8785,0.045115,1.3457,0.099098,""
M1350.732T15.948,2.8746,0.045322,1.3437,0.09921,Test-Second
M1236.757T13.113,2.8695,0.04559,1.3411,0.099455,""
M771.182T13.584,2.861,0.046041,1.3369,0.1001,Test-Second
M1786.658T13.109,2.8571,0.046252,1.3349,0.10021,""
M928.805T18.125,2.8438,0.046971,1.3282,0.10112,""
M1434.718T13.115,2.8435,0.046986,1.328,0.10112,Test-Second
M337.056T22.131,2.8373,0.047324,1.3249,0.10129,""
M1505.382T13.111,2.8333,0.047548,1.3229,0.10129,Second-First
M1170.77T17.127,2.8322,0.047606,1.3223,0.10129,""
M908.329T13.112,2.8305,0.047704,1.3214,0.10129,""
M898.826T12.106,2.8082,0.048956,1.3102,0.10361,Third-Second
M1178.106T13.115,2.7991,0.049477,1.3056,0.10429,""
M1244.755T16.127,2.7968,0.049606,1.3045,0.10429,Third-Second
