"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M372.36T1624.16","-0.23051580"," 0.05362506"," 0.05362506","-0.05324233","-0.46260791","-0.36663583","-0.08768051"," 0.04873494"," 0.14276536","-0.03861747"," 0.53270133","-0.16302764"," 0.72339672","-0.04098128","-0.08218667"," 0.24295612","-0.37706019","-0.00833174","-0.11157997"," 0.17317792"," 0.05148480"
"M380.92T18.56","-0.40820334","-0.51341018","-0.51341018","-0.02797889"," 0.02191301"," 0.26218955"," 0.17875150"," 0.05823084","-0.04646115","-0.05393435"," 0.03901715"," 0.59144717"," 0.20460439"," 0.51324316"," 0.04497457","-0.15840210"," 0.18198503","-0.18516549"," 0.11510496","-0.52491138"," 0.22041575"
"M382.31T1622.76"," 0.078960672"," 0.076979480"," 0.076979480"," 0.168058424"," 0.004896097","-0.011991544"," 0.364321444"," 0.342131569","-0.611893091"," 0.499139338","-0.557667654"," 0.034908998","-0.467252620","-0.095400454"," 0.003275448","-0.102449499"," 0.363700644"," 0.242054680","-0.062023643"," 0.228991348","-0.575719118"
"M385.29T1369.89","-0.27944138","-0.19426802","-0.19426802","-0.34595544"," 0.11639333","-0.67863667"," 0.45072131"," 0.47886913","-0.54945243"," 0.48828740","-0.06599804"," 0.46224885","-0.60123135"," 0.65371293"," 0.57616723"," 0.61471470","-0.56411617","-0.85688397"," 0.10436905"," 0.19406654"," 0.19070102"
"M392.9T19.57","-0.31636989","-0.33481243","-0.33481243"," 0.11734128","-0.07496422"," 0.15091793"," 0.39198387","-0.19547316"," 0.09140860"," 0.18950347"," 0.09525167","-0.02411294"," 0.11346557"," 0.16461170"," 0.04805609"," 0.27300763","-0.13757985","-0.10929208"," 0.29062964","-0.56236542"," 0.16360496"
"M400.92T17.56","-0.29042496","-0.17050870","-0.17050870"," 0.17066165"," 0.03648893","-0.07331590","-0.04910017"," 0.16513526"," 0.20830167"," 0.93208407","-0.11489778","-0.08865278"," 0.24000035","-0.14159484"," 0.16682947","-0.14732276","-0.17726617","-0.18748525"," 0.16952020","-0.41690900","-0.06103460"
"M408.91T18.56","-0.43608024","-0.32137850","-0.32137850"," 0.12891109"," 0.22124534"," 0.24155524"," 0.12484926","-0.24394932","-0.08902078"," 0.09691315"," 0.34054502"," 0.27043867"," 0.14536820"," 0.32644727"," 0.08757554"," 0.10140633"," 0.19488748","-0.28226392"," 0.04279019","-0.65427070"," 0.02540916"
"M408.91T11.54"," 0.157673745","-0.379770627","-0.379770627"," 0.064754513"," 0.437032527"," 0.094262354"," 0.034434388","-0.314067330","-0.190665953","-0.250961747"," 0.805638684","-0.199604699"," 0.121137764","-0.128003642"," 0.142460796","-0.338109646","-0.050941157"," 0.006080982"," 0.188984866"," 0.194629284","-0.015194474"
"M409.18T18.56","-0.3971583642","-0.0004746333","-0.0004746333"," 0.2052114627","-0.2826820301","-0.0263644715"," 0.1949997424"," 0.2921275696","-0.3409909083"," 0.1737388323"," 0.2960200460","-0.2958489262"," 0.0808751460","-0.1573193688"," 0.0265232654","-0.2527128238"," 0.4735955277"," 0.1482891627"," 0.1218725569","-0.5175709774"," 0.2583438252"
"M411.2T18.56","-0.57180517","-0.13823299","-0.13823299"," 0.15785590"," 0.05625582"," 0.11637209","-0.05060268"," 0.14803695","-0.28011737"," 0.66183089","-0.01398414","-0.36803922","-0.02186215"," 0.73750661"," 0.07753234","-0.19988491"," 0.17094049"," 0.01367349","-0.06553873","-0.31842263"," 0.02671841"
