"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M1515.45T13.55","9556.549","10490.218","10490.218","12238.606","10825.271","9374.38","10901.523","8840","10612.565","12057.066","9580.539","10713.112","10203.445","11200.369","10023.04","10168.322","11103.968","9687.37","11879.262","6753.038","6079.766"
"M1516.19T14.52","6718.27","6718.125","6718.125","7707.052","6325.061","7700.228","6148.455","6990","6459.862","6331.8189","8095.162","5593.662","7809.575","6120.32","4916.607","7030.689","7118.514","6492.722","8113.142","5164.788","8147.324"
"M1519.03T13.55","22039.99","21052.644","21052.644","25889.436","25643.514","23737.756","24815.893","21300","24667.055","21944.1973","19491.969","23972.9","22903.461","23526.158","23485.652","25904.486","22375.8","23546.624","23815.339","20431.367","28178.056"
"M1520.03T13.55","10032.709","9767.173","9767.173","10188.474","11449.402","7987.534","12864.152","9710","12307.7","8670.0767","13064.715","11459.135","13033.8","12113.207","12807.033","11725.431","15078.374","6285.048","13280.12","9445.425","10717.489"
"M1523.41T13.11","7984.449","8795.066","8795.066","8539.542","8321.29","6039.267","7518.878","7930","10358.045","8581.1669","8651.357","7682.134","7836.658","7000.438","7953.791","9095.521","7223.824","7432.962","8186.936","6541.591","9054.373"
"M1524.7T13.54","9908.686","12121.049","12121.049","7961.814","10849.621","8947.452","11469.803","9600","9114.254","10270.45","9631.298","12542.556","11116.861","9826.929","10816.13","10843.273","12281.07","11366.607","11373.505","10703.543","11614.991"
"M1525.96T13.55","10438.602","12305.583","12305.583","10553.566","11260.919","11247.575","10956.772","11200","14788.763","11243.0584","11525.848","11433.08","11351.925","10824.882","12648.575","11699.392","8914.13","12074.513","12236.951","8790.292","10409.657"
"M1529.71T13.54","10130.883","11130.315","11130.315","8553.584","12401.999","11588.357","10423.442","8600","7153.396","10648.1275","10606.67","10654.755","11584.074","10473.49","10623.379","11202.654","10935.876","10640.652","13853.68","9709.204","12533.256"
"M1530.7T16.98","4260.911","4774.701","4774.701","5957.82","5142.707","5201.745","5462.338","5330","5125.049","8686.0611","4561.203","4450.303","5473.031","6973.488","7450.804","6122.583","6919.661","4510.163","8015.313","3420.759","5547.792"
"M1530.7T12.55","4883.222","7430.224","7430.224","6082.192","5989.809","6647.27","5298.54","3810","5896.65","3872.3813","5789.121","5223.246","7175.36","5506.151","6260.726","5749.426","5707.28","6626.488","6463.87","5973.299","6890.062"
"M1531.2T13.55","7502.126","9185.913","9185.913","9418.17","10626.728","8604.903","9866.53","7030","9890.6","7489.4439","8451.218","9638.224","8680.126","8383.209","8822.364","10243.227","7722.917","8688.164","11020.972","9152.513","10088.787"
"M1531.95T13.55","12008.124","10992.013","10992.013","14525.446","12662.3","11507.878","11728.155","11500","10891.222","12732.0699","12865.684","14044.612","12815.233","13692.473","13053.602","12547.673","11176.039","12493.642","13972.533","10805.663","16013.917"
"M1533.7T13.54","8794.358","13319.097","13319.097","10332.906","10749.643","9913.681","10979.761","7800","9324.229","10346.6611","12093.811","10285.264","6589.778","9569.91","9776.079","9449.309","10767.241","10063.447","11070.453","9531.403","11939.587"
"M1535.37T13.54","9258.504","10687.348","10687.348","10663.896","12829.213","10477.022","12056.248","11000","11160.42","11121.7986","11074.923","12949.562","10032.045","7784.839","13986.443","10547.68","10576.83","10614.842","11343.401","8941.856","12798.811"
"M1536.01T13.6","16938.534","18898.648","18898.648","24080.024","20091.932","20406.79","19822.616","15800","20236.516","19174.2082","23692.153","24499.063","22468.266","19003.28","21301.36","20293.26","19502.808","16918.997","25343.403","15566.278","23336.757"
"M1536.7T13.55","16201.913","15012.544","15012.544","18384.99","18738.184","17724.938","18335.018","16200","17081.393","17785.2667","17319.978","17388.569","18991.938","16378.884","16870.784","17868.563","16805.252","17931.744","17064.413","15688.875","13832.789"
"M1537.02T14.08","7536.022","8805.364","8805.364","7398.128","9590.266","8218.053","8607.034","7540","6462.368","10516.842","9034.546","8817.469","10349.282","8527.887","6894.899","7403.005","8330.248","5785.011","10305.408","6162.92","8650.272"
"M1537.7T13.55","8739.299","12446.982","12446.982","12471.302","13033.49","11200.605","9720.513","7110","9041.921","10178.8869","11194.703","11363.046","10423.06","10796.771","10599.285","10968.305","9748.85","11086.153","10584.766","9631.066","8097.069"
"M1538.45T13.55","7928.446","7735.941","7735.941","10531.5","8103.23","10760.044","8332.212","7380","7966.949","9564.6149","9570.39","8603.281","8664.685","7864.137","8453.845","9457.682","8017.232","9301.235","10105.759","7716.585","6935.987"
"M1540.7T12.55","7837.585","6383.092","6383.092","10501.41","8972.003","9430.213","9262.029","8630","6007.97","8713.5696","9921.579","8025.416","11143.9","12440.084","8765.017","9373.56","9256.204","9904.671","9776.595","8995.002","7467.861"
"M1542.2T13.55","14313.759","12472.204","12472.204","15971.772","15607.13","14977.835","15897.55","13000","13131.276","13933.8166","15708.307","14940.261","15920.582","14569.717","14386.192","14206.009","15882.485","15136.275","14342.621","13564.767","18240.528"
"M1542.95T13.55","11231.598","11571.083","11571.083","10244.642","15851.981","12814.15","10698.589","11300","11344.805","11241.1637","11774.708","11667.904","16953.966","12234.466","10514.404","11505.103","13034.553","10983.576","12197.175","9357.99","13526.264"
"M1544.7T16.56","7295.029","8512.044","8512.044","9893.592","10012.846","10034.064","9401.173","8550","8431.368","10011.1207","9949.76","9882.987","10074.303","9922.379","8550.614","10081.753","10778.436","7694.464","11304.19","6214.751","13789.296"
"M1549.41T14.54","8429.638","11752.089","11752.089","9311.852","7930.594","7757.04","6257.699","9450","9088.133","8567.8893","11702.639","7768.934","8360.038","8004.517","9254.992","11577.21","9835.545","8018.455","10412.803","6994.922","11615.443"
"M1549.7T13.55","10605.416","11952.562","11952.562","12304.804","12164.191","13297.211","11654.573","10800","11232.356","10972.3944","11483.811","11479.275","12486.38","11485.499","13002.646","11232.698","10961.516","12604.153","12615.82","8931.827","13181.062"
"M1558.03T13.55","9021.759","10450.102","10450.102","8136.336","9429.161","11012.191","10387.191","9130","6363.032","9645.8393","12984.49","9257.966","10649.617","8658.299","11378.319","10792.043","8069.677","8770.373","9288.318","8082.322","8014.834"
"M1558.36T14.49","9183.702","9939.547","9939.547","11283.75","10463.562","9841.62","9148.582","8010","8132.27","9004.035","6043.076","8998.185","10090.6","10235.819","10157.371","10229.207","10381.174","9500.235","8567.386","7964.614","10259.278"
"M1559.96T13.55","10555.108","10210.306","10210.306","12284.744","14427.85","13926.619","11861.436","10100","11924.349","11280.9521","11582.725","11513.859","11054.7","10764.643","7113.276","12504.589","13837.272","10622.862","11990.613","10707.089","15100.129"
"M1560.19T13.55","10213.738","9292.143","9292.143","11795.28","12044.288","10073.901","9512.561","8040","11142.32","10292.7659","10953.131","9713.522","11154.928","10391.164","11752.089","10621.79","9745.348","9600.276","8920.464","9104.362","11921.022"
"M1560.44T13.55","8963.384","10542.58","10542.58","12021.958","11564.674","10589.262","8641.848","8370","10229.58","10845.1747","10019.978","9898.004","9327.925","10644.166","10642.775","10525.647","11753.029","11236.256","10458.683","8789.26","11539.967"
"M1563.69T15.56","2992.468","6395.858","6395.858","4866.556","3955.315","4154.979","4350.854","5290","3582.023","4866.9154","3987.79","4132.695","4149.396","4320.653","3177.149","4219.916","4609.1","3213.241","3736.19","2211.076","4842.707"
"M1566.7T12.67","11840.438","12309.595","12309.595","13670.89","13296.661","13168.77","7404.675","11500","14251.209","10540.1304","9904.7","11425.566","8627.515","13200.292","7145.953","12752.958","13841.282","13614.661","8818.618","12107.454","15781.353"
