"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M385.29T1369.89"," 423460.9"," 510284.3"," 510284.3"," 412582.2"," 720462.5"," 292675.6"," 997860.1"," 916000.0"," 339653.5","1085636.0"," 572620.2","1063310.9"," 313377.5","1278990.0","1195801.2","1245584.5"," 330964.7"," 228326.7"," 687298.6"," 686150.2"," 942176.5"
"M392.9T19.57"," 8035.007"," 8724.857"," 8724.857","10744.136","10122.840","11202.877","12608.094"," 8070.000","10906.821","11747.946","10820.793","10503.658","10786.163","11375.407","10850.357","12289.530"," 9498.632"," 9190.545","12013.453"," 6732.916","13944.937"
"M400.92T17.56"," 6267.292"," 7423.949"," 7423.949"," 8822.388"," 8498.211"," 7723.849"," 7711.479"," 7870.000"," 9308.520","15071.869"," 7495.208"," 7911.073"," 9278.434"," 7450.407"," 9240.106"," 7546.514"," 7204.501"," 6816.393"," 8944.211"," 5560.629"," 9621.411"
"M408.91T18.56","19354.28","22825.14","22825.14","28960.62","32214.35","31812.12","29057.30","20500.00","26004.55","29803.26","33741.11","33508.22","29440.74","33815.14","29624.93","29834.54","30793.30","21714.19","27830.87","16227.76","34314.11"
"M408.91T11.54","15717.81","12089.33","12089.33","15496.35","20800.21","16168.71","15278.66","10800.00","13482.33","13207.50","25783.73","13771.77","16182.75","14066.37","17127.23","12446.13","14642.89","14480.40","17067.05","15493.71","18588.96"
"M409.18T18.56"," 5992.151"," 8383.752"," 8383.752"," 9087.180"," 7072.113"," 8067.978"," 9083.835"," 8580.000"," 6697.083"," 9359.638"," 9796.493"," 7074.441"," 8471.747"," 7502.529"," 8551.067"," 7194.029","10926.267"," 8524.501"," 8760.293"," 5354.114","11872.560"
"M411.2T18.56"," 6860.398","10163.255","10163.255","11921.658","11661.752","11853.188","10379.849","10600.000"," 9066.521","17747.554","10792.387"," 8765.656","10590.530","18364.189","11839.412"," 9753.555","12270.899","10479.930","10361.265"," 7865.437","13767.757"
"M420.91T18.56"," 6732.580","10598.030","10598.030"," 9560.596","10576.848","11429.940","10532.193"," 9090.000"," 8831.160","15936.271","10420.859"," 9083.998","12797.450","15103.174"," 8983.142","17197.158","11951.106"," 9878.741"," 9490.132"," 8978.856","11396.851"
"M428.92T12.55"," 9280.923"," 8834.894"," 8834.894","10256.678"," 9999.910"," 9238.177"," 9458.410"," 6440.000"," 9265.714"," 6586.982","10541.238"," 9061.343"," 9374.445"," 8265.246","10063.689"," 8462.193"," 7800.149"," 8896.822"," 9345.954"," 8519.174","12246.571"
"M428.92T17.56"," 8973.536","10349.445","10349.445","10567.608","13652.897","12018.661","13245.423","11300.000","12136.577","13604.725","14150.333","20525.693","13512.497","12835.276","10803.760","18112.675","11466.262","11116.735","13853.501"," 7320.727","14631.607"
"M468.42T1623.34"," 542007.5"," 628074.8"," 628074.8"," 549716.1"," 495555.1"," 560420.0"," 554851.5"," 573000.0"," 578260.6"," 588952.0"," 599908.3"," 534901.8"," 680026.0"," 592141.1"," 891091.2"," 528290.0"," 583463.4","1147340.9"," 572543.9"," 614329.7"," 694111.8"
"M468.91T17.56","29462.32","33982.82","33982.82","43558.28","47826.26","45394.88","44796.42","38200.00","42126.02","73395.28","47564.18","74758.30","46368.10","69576.10","43935.17","71064.67","46944.74","43261.11","45940.36","38248.40","50943.71"
"M480.89T18.57"," 9054.941","13164.882","13164.882","15550.512","16984.802","15285.921","13733.308","12200.000","14226.785","20963.492","17004.975","22348.995","17829.389","24567.482","13931.670","23302.389","14707.829","13444.393","14985.856","11717.046","15496.928"
"M496.91T17.56","30901.49","40334.91","40334.91","46063.78","49178.11","49225.00","49833.98","43500.00","45509.66","76830.71","46742.44","73969.12","38570.98","74029.42","47204.49","74767.44","47482.22","34120.06","47191.75","39981.59","51230.68"
"M501.91T13.55","5019.482","5415.455","5415.455","5757.220","4971.728","7233.997","4919.900","4010.000","5177.516","5368.000","5212.023","5235.012","6035.147","5614.312","5827.050","6000.962","5667.057","5620.081","4901.632","5874.726","6134.806"
"M502.87T19.22"," 6388.386"," 8680.406"," 8680.406","10060.090"," 9489.228"," 9267.411"," 8519.235"," 4880.000"," 8675.590","15350.391"," 9902.388","15174.309"," 9433.536"," 8386.480"," 8932.901"," 9351.108","10470.660"," 6597.547"," 8874.715"," 5435.289","10241.510"
"M516.89T18.56","15235.15","17205.02","17205.02","21103.12","23013.98","23291.88","23990.78","17500.00","19345.11","32020.43","20826.08","35262.55","22393.80","30655.69","20761.52","21834.90","20576.62","15413.07","22219.09","11816.09","25168.13"
"M534.88T17.56","13402.62","16541.08","16541.08","21379.95","20532.50","19516.83","20101.27","18500.00","22486.06","31977.70","18895.65","33445.26","23422.73","35295.57","22821.02","32765.29","19883.04","19102.81","21073.04","16003.87","23542.56"
"M536.9T12.55","13801.49","22413.18","22413.18","15233.56","15034.97","15197.90","16331.43","10500.00","13544.51","10385.58","12290.35","24483.02","14728.73","13378.42","12330.88","23478.28","12797.73","15122.73","16481.30","13985.04","14758.27"
"M536.9T17.56"," 6900.825","11331.061","11331.061","13109.210","12470.821","12316.757","13933.676","19600.000","12256.629","23660.492","12371.511"," 8521.799","12034.000","23773.106","15580.389","11655.292","16581.240"," 9149.462","13040.683"," 8277.378","15463.690"
"M544.89T18.56","13845.16","18097.88","18097.88","20280.66","24929.47","23660.05","21964.97","16900.00","20085.22","24932.31","21426.56","26164.26","22323.22","33869.30","24451.66","18282.63","20709.43","16700.42","22460.80","11784.05","27038.15"
"M544.89T11.54","12132.426"," 9309.846"," 9309.846","11743.124","16433.152","12383.650","12290.317"," 7990.000","12774.208","10168.982","18514.755","12692.227","11407.312","10815.653","14064.066","11103.247","12690.046","11449.970","14599.668","11445.337","11417.609"
"M549.19T881.43","  1168.4810","128359.6400","128359.6400","173481.1680","116269.4680"," 93772.3860","104272.2380","203000.0000"," 64189.6300","   985.2931","360393.4380","   941.7110","     0.0000","     0.0000"," 15492.7890","     0.0000"," 68295.1010","310664.9420","328976.8960","123999.2440","134351.3260"
"M564.89T12.55","45405.56","47680.61","47680.61","45706.71","44836.11","45440.80","56023.00","46900.00","42707.74","33133.50","55648.78","42262.00","43151.32","43435.18","45480.03","42226.81","45025.72","45093.81","44085.86","43936.62","59558.40"
"M565.89T17.56"," 5444.639"," 6261.638"," 6261.638"," 7049.084"," 6486.110"," 7948.457"," 7381.963"," 7120.000"," 7023.079","13199.093"," 7148.566","13392.056"," 6991.459"," 6793.373"," 7323.084","12085.055"," 6813.434"," 7612.245"," 6555.435"," 4824.632"," 9563.889"
"M569.88T19.56","2780.451","5141.378","5141.378","4499.458","4782.304","5041.073","4266.640","4270.000","4579.033","3880.982","4384.865","3785.894","4628.147","4572.753","3987.193","4328.777","4503.535","3074.390","5859.173","2684.889","4690.346"
"M573.47T1437.42"," 17160.980","271111.302","271111.302","321061.515","264162.649","172846.757","212916.407","276000.000","216150.123"," 15717.672","354214.601","  6329.379"," 26551.058"," 16985.156"," 90207.022"," 17410.007","212221.567","513244.514","472354.529","305155.755","400890.981"
"M575.48T1420.61","     0.000","252221.125","252221.125","280112.464","211791.101","165964.755","181309.580","225000.000","205129.257","     0.000","297869.519","     0.000"," 21693.188","  6787.314"," 74320.579"," 31326.516","192647.575","352355.743","338284.104","346509.731","264605.789"
"M575.48T1555.33"," 10303.69","234417.65","234417.65","141265.64","218185.50"," 97587.08","118864.01","175000.00","150020.75"," 19967.08","348152.68"," 10381.60"," 78640.60"," 12829.77"," 65228.28"," 27500.40","142697.50","508528.62","289831.08","183556.10","261611.58"
"M579.89T13.55"," 8955.852"," 9951.573"," 9951.573"," 9257.690","11043.095"," 9975.688"," 8876.997"," 8910.000"," 8810.431","10300.358","10648.815","10048.601"," 9809.467"," 9877.127"," 9677.695","11024.389"," 9949.796"," 6967.619","10805.095"," 5356.020"," 7743.310"
"M589.43T1437.43","376092.4","445533.2","445533.2","439667.2","319238.9","443520.5","344268.9","386000.0","415094.7","306301.7","513217.3","213294.0","496530.8","236341.9","240021.9","177562.4","397921.8","623755.3","485908.1","440721.6","475541.5"
"M592.89T17.56"," 56345.11"," 84518.79"," 84518.79","102396.27","106645.83","104031.61","103330.39"," 84000.00"," 96394.63","165078.72","100516.92","165627.68","100484.28","164068.73","101033.85"," 82713.32","104971.06"," 70092.57"," 98257.98"," 48279.55","108772.44"
"M593.89T12.55"," 9689.881"," 9572.632"," 9572.632"," 9376.044","11817.346"," 9288.238","13646.293"," 7110.000"," 8081.010"," 6954.175"," 8874.245"," 8387.436"," 9404.517"," 8714.728"," 9199.516"," 8552.366","10041.364"," 8481.664"," 9795.298"," 9570.531","11163.753"
"M603.37T16.56"," 5607.298"," 5366.222"," 5366.222"," 7502.440"," 8377.625"," 9957.804"," 7726.236"," 7140.000"," 8221.580"," 7995.968","11536.420","10783.279"," 7268.567","11819.352"," 5991.055","11453.222"," 6881.870"," 7484.665"," 5973.888"," 5589.778"," 7471.108"
"M604.89T12.55","30275.98","26812.20","26812.20","39297.54","32441.03","31477.37","32021.41","20800.00","31554.38","23444.11","29787.32","30303.42","30641.36","29489.21","31620.58","32492.18","34045.06","31391.58","32711.84","29714.16","42218.28"
"M612.87T18.56"," 9816.992","16236.257","16236.257","13588.644","18274.178","17894.558","18123.634","14000.000","16531.097","24328.720","18725.969","19145.264","17441.834","25410.002","17804.726","22899.153","16719.873","13034.575","15898.317","10023.950","20420.001"
"M612.88T11.54"," 9656.268"," 8194.510"," 8194.510"," 9909.640","14328.680"," 8674.770","10192.459"," 5760.000"," 7179.474"," 7208.961","16139.732"," 8603.595"," 9941.803"," 9493.294","10822.370"," 7157.735"," 8656.141"," 9115.432","11422.179","10064.407"," 8816.864"
"M618.85T19.56"," 4178.242"," 7387.009"," 7387.009"," 7341.960"," 6963.523"," 7514.883"," 6554.560"," 5050.000"," 6624.497","10396.512"," 6907.806"," 5729.136"," 7043.418"," 7406.207"," 7049.084"," 7692.586"," 8003.285"," 7013.140"," 8240.967"," 4348.966"," 6192.058"
"M624.87T18.56"," 6189.754"," 9183.468"," 9183.468"," 7815.376"," 8034.492"," 8441.321"," 9795.909"," 8070.000"," 7325.290"," 7773.582"," 8559.640"," 8084.180"," 8336.567"," 7136.960"," 8108.910","13019.091","11091.600"," 6788.325"," 9567.900"," 6345.565"," 9730.278"
"M626.86T18.56","12856.20","17500.17","17500.17","18679.87","21097.10","21464.87","18163.65","16400.00","19927.13","19710.42","18377.58","22280.64","16629.01","20280.66","20256.07","18087.62","20131.21","15483.24","19053.58","14621.73","21450.83"
"M631.47T1471.08"," 32113.96","433184.66","433184.66","556866.49","417166.08","268902.48","448006.99","446000.00","320922.73"," 40404.13","658895.42"," 33057.69"," 47452.48"," 47945.25"," 99531.09"," 45319.06","299604.87","516154.65","680519.91","519653.43","607250.27"
"M631.86T17.56"," 8829.019","14190.621","14190.621","10531.500"," 9462.225"," 9415.606"," 9844.221","10500.000","11719.889"," 9061.010"," 9636.574","12817.178"," 9722.043","10935.729","10904.330"," 9682.558","11732.973"," 9603.256","10053.070"," 7374.056"," 7172.264"
"M632.47T1471.09"," 11585.88","177558.99","177558.99","243774.77","162435.57","109772.82","185963.00","210000.00","153186.39"," 19724.75","304919.33"," 15754.89"," 24180.50"," 25619.36"," 69615.31"," 27769.99","138592.81","237306.68","300330.89","247727.47","253721.06"
"M632.88T17.56","30286.87","45441.46","45441.46","48715.71","51584.97","44845.27","51721.35","43400.00","49093.87","85618.81","51645.81","42155.21","43372.54","84332.24","48914.20","84275.09","54302.71","46593.92","42639.40","24907.69","57032.38"
"M633.48T1454.22"," 183005.5"," 864318.2"," 864318.2","1033543.0"," 815745.4"," 591410.0"," 704197.1"," 750000.0"," 732585.9"," 169016.5","1561302.3"," 127231.0"," 397452.0"," 242402.9"," 371831.4"," 214023.7"," 661512.5"," 999256.5","1134312.4","1011916.0"," 990112.7"
"M633.48T1420.61"," 173923.3"," 791068.9"," 791068.9"," 985980.8"," 815745.4"," 560379.5"," 665471.4"," 750000.0"," 727895.0"," 169016.5","1107518.8"," 127231.0"," 397452.0"," 242402.9"," 371831.4"," 205478.7"," 688013.9"," 940311.0","1132897.3","1102126.6"," 990112.7"
"M633.88T17.56","10299.24","11374.14","11374.14","12429.18","18256.01","14146.98","14333.95","12900.00","14222.18","26011.33","17216.35","24882.17","15778.58","27203.37","13331.88","25720.61","18608.58","16554.03","18534.17","20772.19","15159.19"
"M634.48T1420.61"," 86236.05","335057.97","335057.97","420986.22","337046.65","261779.14","305001.94","294000.00","246511.24"," 87535.08","516449.26"," 46513.08","174249.24"," 81141.82","154807.31"," 78538.52","264301.04","392603.32","491862.99","476181.53","407343.74"
"M637.36T17.55"," 5742.402"," 9257.634"," 9257.634","10657.878"," 9232.303","10267.008","11326.269"," 8790.000"," 9165.800","16693.782"," 7681.985","15896.229","10483.665","16675.878"," 8428.279","15378.608"," 9246.946"," 8175.776"," 9011.645"," 6985.721"," 7962.083"
"M637.87T18.56"," 4993.554"," 8191.225"," 8191.225","12234.594"," 8137.721"," 9700.258"," 8276.077"," 8090.000"," 6468.307","17373.646"," 8852.237","18028.545","10293.081"," 9718.884","10056.078","16521.924","10615.994"," 8698.558","10343.339"," 6159.343"," 8845.904"
"M644.87T18.05"," 7965.999"," 7755.913"," 7755.913"," 9971.826"," 9830.578"," 7278.322"," 7926.401"," 9880.000"," 8307.471","11333.646"," 6756.445"," 7657.172"," 6301.595"," 7005.642"," 6597.530","12630.637"," 9104.624"," 8245.341"," 7408.171"," 5727.874"," 7284.683"
"M647.46T1437.41","  38118.15"," 548711.59"," 548711.59"," 565574.82"," 488103.22"," 327918.75"," 565996.29"," 469000.00"," 348017.28","  24821.24","1013371.06","  31929.50","  74264.11","  37328.56"," 133031.11","  36489.01"," 396285.01"," 799515.39","1059873.78"," 553012.09"," 755237.19"
"M648.47T1437.41"," 17233.82","270241.10","270241.10","273653.77","223105.67","159194.00","241483.57","225000.00","124875.92"," 23139.03","470720.55"," 22136.43"," 50662.37"," 18816.85"," 47710.02"," 19142.33","186788.69","381000.07","517647.88","247493.78","319048.62"
"M649.48T1420.61","  73403.63","1192119.49","1192119.49","1342487.57"," 939520.39"," 709628.15"," 702552.06"," 946000.00"," 689919.49","  42720.36","1840772.66","  60912.04","  95804.62"," 333372.22"," 260285.32"," 898103.83"," 687240.42","1925554.25","2360946.92","1108443.89","1379719.80"
"M649.48T1386.28","  41290.32"," 825317.44"," 825317.44"," 889233.49"," 889505.68"," 623141.67"," 513436.89"," 772000.00"," 564541.23"," 136618.62","1091553.11","  20674.97","  39025.42"," 344473.53"," 358234.41"," 562833.82"," 572932.66","1078726.40","1463045.04"," 936211.61"," 911127.62"
