"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"M890.804T18.126",0.0061378,0.088952,-0.030832,0.0040484,-0.0067316,-0.089175,-0.013068,0.010846,-0.0093414,0.017463,-0.016466,-0.0027507,0.033643,0.023481,0.03316,-0.061372,-0.020039,-0.0038479,0.0050339,0.0020145,0.0072324,-0.040542,0.012073,-0.011795,0.0063189,-0.00029957,-0.006821,0.0076093,-0.015111,-0.015914,0.0072972,0.0063757,0.060403,0.011737,-0.015969,0.035056,0.004739,0.0028852,0.048936,-0.019168,-0.022118,0.015307,0.021026,0.0047529,0.010144,0.00094939,0.033568,-0.0072392,0.020094,0.019012,0.018874,0.024272,-0.050564,-0.022156
"M891.82T17.128",0.024445,0.0623,0.019069,-0.0091857,-0.049431,0.057676,-0.030926,-0.0093124,0.0051311,0.028894,0.016216,0.022423,0.06447,-0.033117,0.043951,0.0044209,-0.030934,-0.029978,0.074435,0.016462,0.041582,-0.02098,-0.014796,-0.036953,0.067869,0.004812,-0.0080151,-0.028186,-0.026816,-0.021347,-0.033219,0.015444,-0.025038,-0.022834,-0.045417,0.023714,-0.02963,0.0015183,-0.031171,0.035116,-0.0062512,0.0069635,-0.01708,0.023103,-0.0091345,0.024706,-0.025692,0.031596,-0.039422,-0.011468,0.018792,0.01083,-0.027406,-0.0057725
"M893.828T13.11",-0.0057373,0.0058,0.028529,-0.016584,-0.026193,-0.0081092,0.0078468,-0.014485,-0.071178,0.024454,0.0036162,0.0048504,0.0020759,-0.070205,0.045462,0.030111,-0.02091,-0.033351,-0.062923,0.026958,0.031264,0.012557,-0.0039264,0.038574,-0.073465,0.059236,0.10492,0.12,-0.12289,-0.028937,-0.021421,-0.061124,-0.014271,-0.028213,-0.069372,0.045754,-0.015972,0.044181,-0.0099212,-0.052112,-0.0019068,0.0020417,0.044298,0.07032,-0.0073555,-0.0055915,-0.02276,-0.064834,-0.0038265,0.012119,-0.027022,-0.0051145,-0.01004,0.010732
"M894.156T16.118",-0.023407,0.012684,0.022122,-0.015827,0.027124,-0.0029681,0.03982,0.019266,-0.077762,-0.0085165,0.020787,-0.12163,0.00059575,-0.072201,0.061956,0.051589,0.016863,0.0089656,0.084353,0.068413,0.0781,0.02485,0.092917,0.012021,0.06644,0.076485,0.086546,0.0032171,0.065739,-0.069896,0.025907,0.060904,0.10473,-0.059004,-0.12147,0.081994,0.075093,0.037893,0.0011467,-0.0078754,-0.070911,-0.020754,-0.04707,-0.075095,0.0050071,0.011628,-0.041457,0.014826,0.0017594,0.01118,-0.023028,-0.004289,0.012164,0.0011052
"M894.158T15.507",-0.0035837,0.018238,0.030576,-0.043287,-0.069389,-0.055293,0.032508,-0.0052144,0.0033907,0.02996,0.042711,-0.0046868,0.074314,-0.0030163,-0.028869,0.01519,0.087744,-0.024557,0.023392,0.048476,0.083711,-0.045839,-0.022895,0.01443,-0.0036809,0.0094656,0.033041,-0.096162,0.016928,-0.0032433,-0.045942,0.025473,0.099951,-0.056327,-0.044049,0.10942,0.025764,0.0066668,-0.045495,0.048066,0.0112,0.0096481,0.0033367,0.029161,-0.05133,-0.029363,-0.031952,-0.013232,0.048433,-0.008619,0.0097038,-0.017589,-0.01031,0.00943
"M894.49T15.115",-0.0030584,0.014754,0.013191,-0.031048,-0.028391,-0.003093,0.026847,0.012487,0.03546,0.02261,0.062521,-0.010331,-0.0063771,0.047602,-0.092353,-0.018706,-0.10267,0.056223,0.0078578,-0.096542,0.062631,-0.025146,0.03171,0.026877,-0.094177,0.14285,0.077094,-0.05844,-0.021313,-0.0013211,0.088406,0.024422,0.02031,-0.009108,0.028584,-0.050247,0.025444,0.037592,-0.057324,-0.086945,0.0058188,0.00047589,-0.034126,0.096035,-0.02105,-0.040467,-0.012292,0.042187,-0.024374,0.0028545,0.021254,0.030122,0.011738,-0.0060923
"M896.813T18.124",0.021987,0.046153,0.042293,0.047223,-0.010209,0.08217,-0.0044,-0.027593,-0.025131,-0.058589,-0.0041948,0.051702,0.012126,0.025988,0.020386,-0.022229,0.012575,-0.00043765,0.0076081,0.0019542,0.00024847,-0.039911,-0.010456,0.014092,-0.0025841,0.020411,0.021778,-0.07366,-0.012548,-0.023113,-0.031044,-0.057049,-0.0014549,-0.015785,0.027529,-0.020419,-0.0098933,0.0071238,-0.0097838,-0.014814,-0.017772,0.0021417,-0.030414,0.0017992,0.025269,-0.045422,0.058072,-0.014143,0.068309,0.0041229,0.012138,0.01042,0.039422,0.0050889
"M896.819T12.104",-0.028521,0.013971,0.09288,-0.0055833,0.014353,0.024747,-0.051636,0.12979,0.093249,-0.012928,-0.042227,-0.039306,-0.05905,0.02102,0.034613,-0.053908,-0.020365,-0.016758,0.034409,-0.015282,-0.00046211,-0.0042771,-0.038017,0.051448,-0.032432,-0.011827,-0.026427,-0.0082609,0.023974,-0.063847,0.0097965,0.015105,0.034417,0.0065085,-0.035043,0.024339,-0.02345,0.048923,0.020167,-0.026339,-0.01196,0.064134,0.0073989,-0.0010089,-0.032449,-0.0072897,-8.2117e-05,-0.062971,0.025095,0.0022589,0.01136,0.0081861,0.014481,-0.0025594
"M897.824T12.109",-0.003946,0.0069693,0.031357,-0.031626,0.032185,0.079526,0.089661,0.020208,0.059041,0.014238,-0.06993,-0.053179,-0.14692,-0.033872,-0.011208,-0.10355,0.00065873,-0.0036717,-0.043584,0.10701,0.011415,-0.043052,-0.029244,-0.058286,0.0072322,-0.019153,0.028445,0.036975,-0.0096325,-0.027506,0.067456,0.043156,0.091234,0.009879,-0.021853,0.023053,-0.035395,-0.0094931,0.021264,-0.018769,0.045485,0.01503,-0.033054,-0.013597,0.010248,-0.0078995,-0.035113,0.022327,-0.011012,0.0010134,0.010344,0.020075,-0.01058,-0.0033821
"M898.826T12.106",0.0052258,0.024607,0.012686,-0.05523,0.017989,0.01263,0.0097678,-0.028575,-0.034132,0.095571,-0.054718,-0.0078829,-0.12233,0.045346,-0.053699,0.11443,0.072909,0.019017,0.015741,-0.0080124,0.036749,-0.034562,0.0066621,-0.030759,0.03291,0.0033088,0.10279,-0.028126,0.037149,-0.0016714,0.067313,-0.017878,-0.054269,-0.026085,0.0033795,0.0019606,-0.013033,0.037956,0.026897,0.0093384,0.0080014,-0.0084264,-0.029355,0.00078484,-0.065084,0.027466,-0.064992,-0.025557,0.0017939,0.0014297,-0.0014573,-0.0018881,-0.00068223,0.014672
