"","FC","log2(FC)","raw.pval","-log10(p)"
"M427.124T881.088",0.37187,-1.4271,0.092927,1.0319
"M943.39T965.159",0.26327,-1.9254,0.093735,1.0281
"M772.809T66.771",2.4597,1.2985,0.094156,1.0262
"M771.83T66.444",2.1517,1.1055,0.094313,1.0254
"M476.12T661.378",7.8641,2.9753,0.09518,1.0215
"M732.876T67.374",2.4457,1.2902,0.095467,1.0201
"M401.18T764.21",2.7411,1.4548,0.097614,1.0105
"M1163.56T905.015",3.017,1.5931,0.098866,1.005
"M467.156T971.498",0.38137,-1.3907,0.098867,1.0049
"M418.896T66.885",0.49891,-1.0031,0.099246,1.0033
