"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M475.366T1425.395",1.4091,1.381,1.3808,1.3808,1.3808
"M521.224T935.29",1.4087,1.3829,1.3827,1.3827,1.3827
"M643.245T933.361",1.3889,1.37,1.37,1.37,1.37
"M349.056T728.324",1.3888,1.3598,1.3596,1.3596,1.3596
"M1432.595T1048.493",1.3864,1.366,1.3658,1.3658,1.3658
"M279.124T874.724",1.3802,1.3658,1.3658,1.3658,1.3658
"M313.119T883.187",1.3794,1.3825,1.3825,1.3825,1.3825
"M884.8T66.979",1.379,1.3612,1.3613,1.3613,1.3613
"M549.258T834.983",1.3745,1.383,1.383,1.383,1.383
"M180.067T785.272",1.3681,1.349,1.3488,1.3488,1.3488
"M942.309T937.647",1.3676,1.3617,1.3615,1.3615,1.3615
"M1042.422T909.151",1.3562,1.3535,1.3534,1.3534,1.3534
"M823.337T914.416",1.3541,1.3365,1.3363,1.3363,1.3363
"M564.929T1201.416",1.3491,1.3304,1.3302,1.3302,1.3302
"M711.218T782.65",1.3387,1.3254,1.3253,1.3253,1.3253
"M518.153T824.178",1.3366,1.3183,1.3181,1.3181,1.3181
"M1462.52T939.973",1.3342,1.323,1.3228,1.3228,1.3228
"M696.3T853.355",1.3339,1.3223,1.3221,1.3221,1.3221
"M747.22T952.211",1.3305,1.3214,1.3212,1.3212,1.3212
"M369.569T765.536",1.3303,1.3028,1.3027,1.3027,1.3027
"M895.304T938.238",1.3257,1.2997,1.2995,1.2995,1.2995
"M562.835T1148.266",1.3249,1.3148,1.3146,1.3146,1.3146
"M1035.367T890.845",1.3207,1.2938,1.2936,1.2936,1.2936
"M851.338T916.834",1.3207,1.2975,1.2972,1.2972,1.2972
"M447.222T1194.448",1.31,1.3046,1.3044,1.3044,1.3044
"M401.18T764.21",1.3057,1.3194,1.3192,1.3192,1.3192
"M798.851T67.54",1.3038,1.2851,1.2849,1.2849,1.2849
"M505.3T1291.082",1.3035,1.2826,1.2824,1.2824,1.2824
"M356.995T88.504",1.2992,1.2719,1.2717,1.2717,1.2717
"M1132.537T923.907",1.2983,1.2721,1.2719,1.2719,1.2719
"M1005.392T917.562",1.2975,1.2789,1.2786,1.2786,1.2786
"M1243.514T983.057",1.2912,1.2692,1.269,1.269,1.269
"M1197.439T886.215",1.2899,1.2666,1.2664,1.2664,1.2664
"M467.156T971.498",1.2883,1.2681,1.2683,1.2683,1.2683
"M513.235T964.262",1.2854,1.2587,1.2585,1.2585,1.2585
"M775.338T1039.594",1.2785,1.2605,1.2603,1.2603,1.2603
"M611.147T106.977",1.2779,1.2551,1.255,1.255,1.255
"M439.083T756.683",1.2755,1.2604,1.2602,1.2602,1.2602
"M1193.041T904.79",1.2752,1.2853,1.2856,1.2856,1.2856
"M1130.433T884.599",1.2729,1.25,1.2497,1.2497,1.2497
"M427.124T881.088",1.2728,1.2472,1.247,1.247,1.247
"M821.606T900.199",1.2723,1.2464,1.2463,1.2463,1.2463
"M1109.422T909.522",1.2669,1.254,1.2539,1.2539,1.2539
"M320.919T92.078",1.2645,1.2404,1.2402,1.2402,1.2402
"M640.844T67.188",1.2628,1.285,1.2847,1.2847,1.2847
"M693.278T872.306",1.2534,1.2312,1.2311,1.2311,1.2311
"M771.811T66.858",1.2516,1.2883,1.2881,1.2881,1.2881
"M591.465T1235.608",1.25,1.2603,1.26,1.26,1.26
"M809.324T904.082",1.2486,1.2369,1.2368,1.2368,1.2368
"M187.905T92.369",1.2447,1.2189,1.2186,1.2186,1.2186
"M359.123T830.487",1.2406,1.2503,1.2502,1.2502,1.2502
"M385.113T835.894",1.2401,1.2415,1.2417,1.2417,1.2417
"M1043.424T909.662",1.2387,1.2243,1.2243,1.2243,1.2243
"M950.337T882.881",1.2326,1.2327,1.2325,1.2325,1.2325
"M808.342T938.944",1.2325,1.2155,1.2153,1.2153,1.2153
"M401.049T776.54",1.231,1.2051,1.2049,1.2049,1.2049
"M732.876T67.374",1.2292,1.2716,1.2713,1.2713,1.2713
"M311.186T1077.614",1.2284,1.2025,1.2023,1.2023,1.2023
"M850.805T68.208",1.2229,1.1983,1.1984,1.1984,1.1984
"M702.25T942.066",1.2125,1.189,1.1888,1.1888,1.1888
"M555.158T835.854",1.2122,1.2111,1.211,1.211,1.211
"M272.959T67.281",1.21,1.2481,1.248,1.248,1.248
"M333.135T1582.426",1.2093,1.1959,1.1958,1.1958,1.1958
"M772.809T66.771",1.2079,1.216,1.2157,1.2157,1.2157
"M361.323T326.759",1.2037,1.1948,1.1948,1.1948,1.1948
"M487.212T857.117",1.2002,1.1753,1.1751,1.1751,1.1751
"M355.433T783.665",1.1999,1.1778,1.1777,1.1777,1.1777
"M341.088T439.204",1.1979,1.173,1.1728,1.1728,1.1728
"M1463.124T939.772",1.1952,1.2035,1.2036,1.2036,1.2036
"M555.17T790.902",1.1886,1.1636,1.1634,1.1634,1.1634
"M455.081T744.378",1.1865,1.1625,1.1623,1.1623,1.1623
"M698.26T899.18",1.1864,1.1828,1.1826,1.1826,1.1826
"M357.108T784.337",1.182,1.1621,1.162,1.162,1.162
"M728.88T67.591",1.18,1.2388,1.2386,1.2386,1.2386
"M1007.373T920.82",1.1747,1.1601,1.1599,1.1599,1.1599
"M814.836T68.186",1.1742,1.2322,1.2324,1.2324,1.2324
"M957.374T926.518",1.1714,1.1757,1.1756,1.1756,1.1756
"M587.201T848.147",1.1711,1.1475,1.1473,1.1473,1.1473
"M1094.047T894.516",1.168,1.1439,1.1437,1.1437,1.1437
"M1095.84T892.791",1.168,1.2396,1.2394,1.2394,1.2394
"M645.252T899.393",1.1654,1.1413,1.1411,1.1411,1.1411
"M735.222T927.83",1.1652,1.1603,1.1602,1.1602,1.1602
"M293.177T1099.499",1.165,1.1405,1.1403,1.1403,1.1403
"M398.263T1317.762",1.1648,1.1471,1.1469,1.1469,1.1469
"M1105.431T888.552",1.164,1.1413,1.1413,1.1413,1.1413
"M921.374T936.829",1.1594,1.1684,1.1682,1.1682,1.1682
"M429.074T115.482",1.1593,1.1368,1.1366,1.1366,1.1366
"M843.287T936.679",1.1589,1.1593,1.1591,1.1591,1.1591
"M1614.109T935.709",1.1568,1.135,1.1349,1.1349,1.1349
"M950.342T882.081",1.156,1.1666,1.1665,1.1665,1.1665
"M974.806T67.938",1.1558,1.1931,1.193,1.193,1.193
"M483.183T857.732",1.153,1.1303,1.1301,1.1301,1.1301
"M941.306T938.915",1.1528,1.1356,1.1357,1.1357,1.1357
"M1161.883T894.146",1.1516,1.1433,1.1434,1.1434,1.1434
"M1084.663T1198.774",1.1512,1.1317,1.1323,1.1323,1.1323
"M990.329T838.789",1.1479,1.1614,1.1614,1.1614,1.1614
"M475.187T823.258",1.1461,1.1489,1.1488,1.1488,1.1488
"M508.215T930.69",1.142,1.1185,1.1185,1.1185,1.1185
"M1096.548T894.929",1.1411,1.1178,1.1176,1.1176,1.1176
"M927.368T972.44",1.1387,1.1504,1.1502,1.1502,1.1502
"M313.275T1417.53",1.1301,1.1082,1.1082,1.1082,1.1082
"M473.196T813.174",1.1299,1.1099,1.1098,1.1098,1.1098
"M731.208T950.406",1.1278,1.1091,1.1089,1.1089,1.1089
"M473.173T881.847",1.1246,1.1045,1.1043,1.1043,1.1043
"M872.81T67.519",1.124,1.1896,1.1895,1.1895,1.1895
"M1039.403T917.165",1.1226,1.1389,1.1388,1.1388,1.1388
"M333.06T88.804",1.1173,1.098,1.0978,1.0978,1.0978
"M409.172T733.287",1.1173,1.1023,1.1023,1.1023,1.1023
