"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Drought","Drought","Drought","Drought"
"M919.292T824.161","-0.45226074","-0.07841770"," 0.24574846"," 0.30245793","-0.03995913"," 0.02243117"
"M545.37T1372.761"," 0.4608850"," 0.8786335","-0.2022455","-0.3464421","-0.4790856","-0.3117454"
"M1085.421T973.898","-0.82975411"," 0.11271772","-0.01598453"," 0.45053859"," 0.13925092"," 0.14323140"
"M1114.854T834.347","-0.7068803"," 0.1556634"," 0.4025414"," 0.1301192"," 0.1350023","-0.1164459"
"M441.224T1179.269"," 0.52633762"," 0.67137123","-0.43501709","-0.44277150","-0.08504167","-0.23487859"
"M899.349T990.311","-0.55266936","-0.25961733"," 0.31974435"," 0.03037429","-0.05331838"," 0.51548642"
"M659.418T1406.262","-0.3760425","-0.2479260"," 0.1262177"," 0.5021379"," 0.2043524","-0.2087395"
"M841.471T1389.363","-0.166414801","-0.212298464"," 0.199032963","-0.109685042"," 0.005527706"," 0.283837638"
"M575.479T1473.048","-0.49063467","-0.30995490"," 0.27096595"," 0.25939529"," 0.30784627","-0.03761794"
"M575.481T1540.694","-0.4914880","-0.3114818"," 0.2675142"," 0.2710177"," 0.3045979","-0.0401600"
"M331.187T1104.601","-0.315087177"," 0.106036741","-0.001799503","-0.071404367"," 0.342415689","-0.060161384"
"M423.211T1338.363"," 0.4061148"," 0.2352366","-0.3026497","-0.2382928"," 0.2136042","-0.3140132"
"M886.353T1006.792","-0.61749385","-0.10027012"," 0.40091077","-0.11265217"," 0.06548166"," 0.36402370"
"M585.283T918.479"," 0.02501484"," 0.28335169","-0.34365932"," 0.33803642"," 0.05480119","-0.35754483"
"M956.379T959.199","-0.721395053","-0.099045373"," 0.357419899"," 0.142839759","-0.007132444"," 0.327313212"
"M329.157T1608.526","-0.21863237","-0.35706189"," 0.14310935"," 0.42734402","-0.07513265"," 0.08037354"
"M351.108T857.905"," 0.39454170","-0.35129527"," 0.15638435"," 0.11086537","-0.03884389","-0.27165226"
"M640.557T1608.472","-0.43619464","-0.25949602"," 0.02076596"," 0.16689264"," 0.43044340"," 0.07758865"
"M423.212T1319.031"," 0.4195206"," 0.2492350","-0.3013970","-0.2713236"," 0.1803751","-0.2764102"
"M541.474T1573.977","-0.61729958","-0.49917269"," 0.10947573"," 0.41508585"," 0.66847077","-0.07656008"
"M629.459T1473.698"," 0.10302366"," 0.07996697"," 0.20300664"," 0.28851135","-0.35004847","-0.32446015"
"M847.517T1163.004"," 0.66299384"," 0.67585915","-0.28015191","-0.54269053","-0.41609663","-0.09991392"
"M652.416T1356.524","-0.25979899"," 0.31146501","-0.11284033","-0.07279044"," 0.14916921","-0.01520446"
"M449.365T1540.699","-0.20776845"," 0.13046329"," 0.08343005"," 0.31926857","-0.29308185","-0.03231161"
"M537.533T1295.888"," 0.6919551"," 0.5877268","-0.7356829"," 0.2960165","-0.3338074","-0.5062080"
"M561.396T1195.638","-0.07893095"," 1.35041295","-0.21197149","-0.42689687","-0.20996194","-0.42265170"
"M812.538T1253.346"," 0.24873138"," 0.49764040","-0.58844292"," 0.06835159","-0.10994544","-0.11633500"
"M495.298T1036.333"," 0.4384871"," 0.4042015","-0.2725156"," 0.0903408","-0.5314701","-0.1290437"
"M617.489T1624.961","-0.67256528","-0.19845759"," 0.03490003"," 0.16181123"," 0.49754868"," 0.17676293"
"M535.409T1440.116","-0.4017303","-0.2296646"," 0.3314007"," 0.2022699","-0.1255922"," 0.2233165"
"M433.152T909.874","-0.48242592","-0.09679066"," 0.31695536"," 0.06843183","-0.01925376"," 0.21308315"
"M817.317T940.819","-0.9016140","-0.2019705"," 0.1784822"," 0.1878359"," 0.1959120"," 0.5413545"
"M438.146T926.75","-0.64700477","-0.29431093"," 0.44269520"," 0.06450530"," 0.07710699"," 0.35700821"
"M535.375T1490.352","-0.4538046"," 0.1333655"," 0.2564817"," 0.1733915","-0.2205899"," 0.1111557"
"M808.52T1220.972"," 0.4580988"," 0.7262509","-0.3544566","-0.2760430","-0.1016318","-0.4522183"
"M577.49T1591.335","-0.37290716","-0.24283632"," 0.07371843"," 0.14201929"," 0.50015423","-0.10014846"
"M813.332T1056.081","-1.06077868","-0.07941120"," 0.41886137"," 0.31650356","-0.04414696"," 0.44897192"
"M869.334T919.017","-0.79408957","-0.07138329"," 0.31873271"," 0.30710677","-0.05993814"," 0.29957152"
"M325.162T1642.868","-0.1168291","-0.1182578","-0.0859126"," 0.3547980","-0.1562976"," 0.1224991"
"M449.347T1490.033","-0.29803779","-0.04894606"," 0.18075606"," 0.36343160","-0.21649625"," 0.01929244"
"M374.303T1319.161"," 0.41085994"," 0.51383865","-0.46306426","-0.25456189","-0.24741030"," 0.04033786"
"M605.427T1212.039"," 0.09805623"," 0.15083750"," 0.08923380","-0.31506657"," 0.34808606","-0.37114702"
"M504.265T1099.137"," 0.575149802"," 0.582510668","-0.232272918","-0.465964642"," 0.002705381","-0.462128292"
"M479.188T913.185","-1.00067592","-0.65333108"," 0.66635651","-0.03536644"," 0.44244974"," 0.58056721"
"M291.195T1053.001","-0.25281037"," 0.08827205"," 0.36010168","-0.43672598"," 0.15890710"," 0.08225552"
"M821.505T1179.269"," 0.4245485"," 0.3529736","-0.3549696","-0.3118340"," 0.1247632","-0.2354817"
"M820.327T1006.792","-0.90934086","-0.23057630"," 0.52663820"," 0.12397029"," 0.08744325"," 0.40186542"
"M682.262T843.183","-0.07935251","-0.18428608"," 0.37946675","-0.06026757","-0.38094890"," 0.32538832"
"M576.484T1473.551","-0.5766079","-0.2946180"," 0.1554633"," 0.3878098"," 0.2395541"," 0.0883986"
"M764.518T1295.888"," 0.145314844"," 0.663403356","-0.326826953","-0.006121722","-0.369608752","-0.106160773"
"M471.313T1295.888"," 0.72131907"," 0.08725156","-0.09015365","-0.12755529","-0.13874421","-0.45211748"
"M617.506T1594.034","-0.67426731","-0.05879215","-0.05813697"," 0.19741771"," 0.42872176"," 0.16505696"
"M534.402T1422.678","-0.41262476"," 0.23094608"," 0.27911995"," 0.20525732","-0.36182662"," 0.05912803"
"M765.518T1313.696"," 0.28134686"," 0.37410366","-0.21210540","-0.21350302"," 0.06520062","-0.29504272"
"M415.326T1295.888","-0.07587803"," 0.08905552"," 0.22762698","-0.39216581","-0.09062365"," 0.24198499"
"M1102.351T817.469","-0.44595114"," 0.08594276"," 0.20993099"," 0.01286673","-0.16031044"," 0.29752111"
"M549.424T1473.203","-0.57111556","-0.17866992"," 0.50238868"," 0.09582933","-0.10773941"," 0.25930688"
"M787.545T1575.098","-0.1406595","-0.9085829"," 0.3484477"," 0.2155945"," 0.1972618"," 0.2879385"
"M567.43T1421.35","-0.1913791"," 0.0704896"," 0.1364803"," 0.3967030","-0.2464203","-0.1658735"
"M764.517T1325.086"," 0.29684114"," 0.50305932","-0.22537101","-0.27045501","-0.34748205"," 0.04340761"
"M487.775T1256.694","-0.33074155","-0.40046290","-0.07029521"," 0.01187341"," 0.51346799"," 0.27615826"
"M677.438T1339.916","-0.6288395","-0.3638120"," 0.4024518"," 0.3245675","-0.1480385"," 0.4136707"
"M832.307T992.353","-1.0081705","-0.2155620"," 0.6140996"," 0.2371518","-0.1437549"," 0.5162360"
"M455.315T1295.888"," 0.50650757"," 0.17956488","-0.17320360","-0.06102627","-0.33115732","-0.12068526"
"M297.239T1626.197"," 0.04619002","-0.32734945"," 0.27007219"," 0.29055961","-0.12525021","-0.15422216"
"M425.216T1401.37","-0.07091927"," 0.07759914"," 0.32435481","-0.10383933","-0.04684212","-0.18035324"
"M430.319T1557.453","-0.33267542","-0.31888374"," 0.08901321"," 0.07114836"," 0.36703952"," 0.12435808"
"M392.284T1436.378"," 0.6522494"," 0.3645111","-0.2298149","-0.2707693","-0.2699428","-0.2462335"
"M386.164T943.456","-0.69993763","-0.51667886"," 0.65552625"," 0.03529645","-0.19220483"," 0.71799861"
"M635.491T1472.841","-0.29237924","-0.18341281"," 0.05829864"," 0.25695620"," 0.24226280","-0.08172559"
"M399.308T1262.042"," 1.2182610"," 0.4669583","-0.5239463","-0.1985431","-0.4790135","-0.4837164"
"M578.503T1590.788","-0.32449714","-0.13732069"," 0.11540667"," 0.05325224"," 0.43321329","-0.14005437"
"M549.428T1523.962","-0.34624694","-0.03678006"," 0.19445278"," 0.42340927","-0.39032872"," 0.15549367"
"M807.348T918.929","-1.10585039","-0.56212211"," 0.92248690","-0.26465108"," 0.09988945"," 0.91024724"
"M542.478T1573.977","-0.3593381","-0.8733725"," 0.2011291"," 0.1748080"," 0.6511915"," 0.2055820"
"M522.261T1109.944"," 0.37773456"," 0.56712593","-0.39699411"," 0.07155066","-0.19847955","-0.42093749"
"M425.215T1355.365","-0.04000942","-0.08628746"," 0.29198115","-0.14300240"," 0.09133711","-0.11401899"
"M605.427T1490.314","-0.419815042","-0.009731267"," 0.129447996"," 0.193148761","-0.122681280"," 0.229630831"
"M475.412T1607.605","-0.12541916","-0.88522214"," 0.18610168"," 0.38336964"," 0.46996200","-0.02879202"
"M330.263T1492.022"," 0.31749835"," 0.35882994","-0.15807525","-0.25981140","-0.16207219","-0.09636945"
"M629.463T1474.173","-0.19609395","-0.06933029"," 0.20725131"," 0.22619981"," 0.15472939","-0.32275627"
"M722.259T892.9"," 0.4485782"," 1.6357279","-0.4189786","-0.5607525","-0.6291653","-0.4754098"
"M737.493T1439.78","-0.45983171","-0.09312963"," 0.01856800"," 0.02559059"," 0.48773156"," 0.02107118"
"M523.599T1382.768"," 0.35666212"," 0.37066900","-0.30956237","-0.05932148","-0.22608803","-0.13235925"
"M549.431T1507.08","-0.39070977","-0.26255932"," 0.38170876"," 0.27485352","-0.05896612"," 0.05567292"
"M351.179T1358.969","-0.10416167"," 0.09045331","-0.35819213"," 0.18379357"," 0.07913389"," 0.10897303"
"M330.262T1456.934"," 0.28434219"," 0.35425077","-0.24715005","-0.09695617","-0.05800124","-0.23648549"
"M576.484T1557.453","-0.5294019","-0.4568032"," 0.2027924"," 0.2952927"," 0.2183345"," 0.2697856"
"M467.383T1523.593","-0.553646955","-0.329162755"," 0.505564308"," 0.004708092"," 0.316799071"," 0.055738238"
"M951.603T1424.253","-0.60096535","-0.38302234","-0.09519871"," 0.87868666"," 0.56871086","-0.36821112"
"M477.403T1542.988","-0.22236419"," 0.27098104","-0.30130675"," 0.28518438","-0.06572051"," 0.03322604"
"M477.407T1590.788","-0.3068183"," 0.1829089","-0.1230823"," 0.2439162","-0.1530573"," 0.1561328"
"M549.426T1489.95","-0.424077693","-0.009107545"," 0.450952650","-0.081187759","-0.178412716"," 0.241833062"
"M471.336T1557.26","-0.414910757","-0.003859029"," 0.365452864"," 0.163616195","-0.273994623"," 0.163695350"
"M330.263T1439.913"," 0.29867554"," 0.35065151","-0.20688307","-0.14672824","-0.05759997","-0.23811577"
"M629.529T1601.79","-0.21963321","-0.52674183"," 0.42626499"," 0.44558297"," 0.01857539","-0.14404830"
"M449.369T1557.545","-0.39580214"," 0.03314817"," 0.34608367","-0.05738502","-0.20431701"," 0.27827233"
"M576.533T1641.124","-0.4710560","-0.8346261"," 0.2760203"," 0.2973626"," 0.3504573"," 0.3818419"
"M619.438T1245.233"," 0.6628685"," 0.7913831","-0.3655517","-0.3240508","-0.3379201","-0.4267292"
"M652.503T1490.314","-0.10465437","-0.42806696"," 0.20883372"," 0.34149395"," 0.03682851","-0.05443486"
"M313.161T1621.4"," 0.11124526","-0.34306482","-0.02841534"," 0.06829133","-0.07942332"," 0.27136689"
"M295.151T1624.873","-0.12506430"," 0.02219417"," 0.34403041"," 0.01271985","-0.08508649","-0.16879363"
"M772.55T1170.538"," 0.51390322"," 0.45030880"," 0.09372324","-0.59334774","-0.21940420","-0.24518333"
"M494.565T1319.161"," 0.65215074"," 0.31149465","-0.32405874","-0.02318321","-0.42085931","-0.19554413"
"M423.321T1473.286"," 0.07904731"," 0.20463557"," 0.07861440"," 0.38185368","-0.51932386","-0.22482710"
"M722.581T1518.016"," 1.08371327"," 0.51218741","-0.95349081","-0.04603609"," 0.09284767","-0.68922145"
"M535.447T1540.43","-0.220180710","-0.195699888"," 0.206918378"," 0.394099565","-0.191996383"," 0.006859037"
"M477.398T1574.327","-0.28993723"," 0.20909159","-0.17790696"," 0.32955205","-0.13456170"," 0.06376225"
"M691.433T1253.346"," 0.391917838"," 0.475366451","-0.339821927","-0.110913017","-0.003963214","-0.412586131"
"M605.416T1473.993","-0.18536448"," 0.06423054"," 0.10413694"," 0.12857442","-0.36472922"," 0.25315179"
"M465.26T1373.143","-0.06162516","-0.35947636"," 0.48765788","-0.34557805","-0.15260991"," 0.43163160"
"M341.283T1305.932"," 1.0672293"," 0.2184916","-0.4357831","-0.3056293","-0.4341520","-0.1101565"
"M330.261T1473.013"," 0.25707021"," 0.32627456","-0.22637132","-0.06186354","-0.08041951","-0.21469040"
"M533.435T1510.689","-0.49936240","-0.04448659"," 0.30284390"," 0.40930713","-0.26578680"," 0.09748476"
"M471.796T1446.028"," 0.27229292"," 0.32947083","-0.17350684","-0.01550357","-0.09430770","-0.31844566"
"M339.172T1490.329","-0.20071012","-0.49912671"," 0.29513578"," 0.27157653"," 0.14642383","-0.01329931"
"M558.46T1591.049","-0.01096900","-0.49875511","-0.07777194"," 0.21220785"," 0.33527132"," 0.04001688"
"M516.434T1624.418"," 0.13104111","-0.63494237"," 0.13196326"," 0.02353709"," 0.13981032"," 0.20859059"
"M722.58T1595.75"," 1.06281416"," 0.37687048","-0.81838477"," 0.04429284","-0.01528299","-0.65030971"
"M477.343T1423.013"," 0.08621363"," 0.22236968","-0.09305473"," 0.13633818","-0.16321787","-0.18864889"
"M332.328T1440.13"," 0.15416262"," 0.44472385","-0.20454566","-0.20515594","-0.02303399","-0.16615088"
"M494.563T1509.9","-0.1483880","-0.5559875"," 0.0308553"," 0.3188832"," 0.1818412"," 0.1727958"
"M481.362T1591.564"," 0.06972619","-0.34248233"," 0.01590430","-0.01962199","-0.27025039"," 0.54672421"
"M443.333T1262.042"," 1.1970701"," 0.4834795","-0.3929511","-0.3964621","-0.4373858","-0.4537506"
"M510.367T1523.593","-0.03803544"," 0.01448751","-0.01428170","-0.03183841","-0.16988711"," 0.23955514"
"M545.456T1607.833","-0.24594334","-0.34275472"," 0.30538368"," 0.20849865","-0.01778332"," 0.09259906"
"M669.539T1543.447","-0.221111131"," 0.149160178"," 0.002306389"," 0.572977295","-0.370444329","-0.132888401"
"M669.531T1507.08","-0.28975863"," 0.08342725"," 0.11049272"," 0.60284296","-0.33810991","-0.16889439"
"M629.509T1624.418","-0.25806487","-0.60724741"," 0.55878064"," 0.30105208","-0.02500458"," 0.03048414"
"M383.284T1439.726"," 0.47258107"," 0.19953126","-0.28071639"," 0.01507462","-0.10877700","-0.29769355"
"M589.501T1621.712"," 0.36977153"," 0.01305923","-0.03295866"," 0.33016094","-0.18880439","-0.49122866"
"M534.444T1557.26","-0.1410940","-0.2283095"," 0.3076007"," 0.2293215","-0.4641447"," 0.2966260"
"M494.565T1422.678"," 0.53634062"," 0.24789557","-0.29252462","-0.04380487","-0.25561716","-0.19228953"
"M516.411T1568.021","-0.15436991","-0.35112574"," 0.19628405"," 0.10931696","-0.02268369"," 0.22257833"
"M492.408T1557.26","-0.1594358","-0.1006320"," 0.3413483"," 0.2800187","-0.1788077","-0.1824914"
"M533.436T1590.96","-0.52998731","-0.03540284"," 0.35663188"," 0.35153954","-0.29380084"," 0.15101957"
"M628.514T1473.756","-0.39741203","-0.13105695","-0.05977469"," 0.54408893"," 0.41979081","-0.37563607"
"M628.529T1624.373","-0.08482533","-0.44674411","-0.03925217"," 0.41749088"," 0.30160409","-0.14827336"
"M609.518T1624.418"," 0.074067165","-0.571346319"," 0.170691980"," 0.273818292"," 0.057332220","-0.004563338"
"M465.265T1237.073"," 0.11484892"," 0.30056258","-0.30076919"," 0.10524337","-0.18459012","-0.03529556"
"M669.562T1624.559","-0.21184500","-0.06006429","-0.00955161"," 0.56388382","-0.17851588","-0.10390704"
"M628.528T1608.773"," 0.03974982","-0.54976362","-0.02668890"," 0.25126644"," 0.37881737","-0.09338111"
