"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M661.446T1372.452","-0.522706859","-0.005215173"," 0.118835306"," 0.234617758","-0.177561667","-0.421780437"," 0.317188882","-0.091421345","-0.202335134"," 0.659107421","-0.022065341"," 0.113336589"
"M695.45T1338.973","-0.44172705","-0.35784519"," 0.35129394"," 0.26758294","-0.30647203","-0.33288616"," 0.40139192","-0.15139772","-0.01307157"," 0.72933077","-0.17210743"," 0.02590759"
"M593.49T1490.213","-0.51191472","-0.20091090","-0.16150964"," 0.08976864"," 0.11136732","-0.14922220"," 0.12581935"," 0.24732567"," 0.49319855"," 0.20943175","-0.36459713"," 0.11124331"
"M951.567T1289.006","-0.1386235"," 0.4190275","-0.5518941"," 0.1371517","-0.1548429","-0.4016474","-0.1795169","-0.3402525"," 0.3723362"," 0.2652167"," 0.2504679"," 0.3225774"
"M593.489T1431.043","-0.48210110","-0.16913675","-0.14726796"," 0.09211195"," 0.08411821","-0.13302423"," 0.14637982"," 0.19932274"," 0.48524741"," 0.19764268","-0.38808955"," 0.11479677"
"M639.424T1291.55","-0.06590204"," 0.32031556"," 0.19118223","-0.12627875","-0.25548117","-0.56457594","-0.02801957"," 0.17917753"," 0.18503494"," 0.08019040"," 0.01119426"," 0.07316253"
"M986.591T1195.638"," 0.46296953"," 0.68201938","-0.26445584","-0.13202620"," 0.24160099"," 0.06823119","-0.42148711","-0.20981484","-0.12277020","-0.32358272"," 0.04706835","-0.02775254"
"M591.473T1440.13","-0.73606958","-0.07537572"," 0.06859753"," 0.15212904","-0.08550567","-0.23165361"," 0.41630145"," 0.25487404"," 0.07849375"," 0.49470617","-0.31750343","-0.01899396"
"M590.465T1389.456","-0.41164763","-0.19050474"," 0.41693446"," 0.18599734","-0.22463483","-0.34826795"," 0.42909855"," 0.31716394","-0.13929363"," 0.45391203","-0.03766443","-0.45109312"
"M631.469T1330.308"," 0.0001186518"," 0.9409435051"," 0.1627845490"," 0.4340477981","-0.2805670692","-0.1564442245","-0.1147056940","-0.0988567569","-0.1518388198","-0.0271920069","-0.2929420843","-0.4153478484"
