"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M1201.918T909.936",0.034723,-0.055641,-0.00015879,0.0018233,0.018292,-0.036457,-0.024815,0.059309
"M864.188T806.912",0.036256,-0.062395,0.065504,-0.034136,0.022847,0.023181,0.015796,-0.023395
"M865.489T1291.829",0.03195,-0.024696,0.039557,-0.040431,-0.025148,0.043304,-0.029437,-0.0013381
"M799.191T949.166",0.037262,-0.040708,-0.006969,0.020021,-0.025873,0.070593,0.014933,-0.0016119
"M1263.489T907.902",0.027889,-0.082439,0.013345,0.013816,-0.0028804,-0.042851,0.041945,-0.007352
"M451.174T880.577",0.050833,-0.0082482,-0.0061307,-0.037208,0.052752,-0.022709,0.006003,0.035655
"M405.08T802.267",0.034857,-0.012701,0.034116,-0.038587,-0.033681,0.044057,-0.053706,-0.0024167
"M309.119T137.634",0.040506,0.013591,-0.041847,-0.013321,0.00465,0.013411,-0.0001334,0.0004119
"M385.077T746.611",0.024437,-0.077959,-0.010518,0.0038498,-0.020756,-0.0023794,0.017215,-0.0045955
"M1030.642T1193.369",0.024946,-0.019846,0.042721,-0.00043613,0.046138,-0.038734,0.063588,0.020166
"M429.414T851.13",0.035066,0.011393,-0.03249,-0.035671,0.029659,0.030388,0.013614,0.057508
"M723.577T942.094",0.03089,-0.058206,0.059754,0.032557,-0.052542,0.004654,0.0041222,0.0076136
"M1071.439T878.893",0.045012,0.016061,-0.01424,-0.039713,0.047243,-0.029409,0.025833,0.022797
"M1069.501T1402.821",0.034647,0.0043216,0.035545,-0.0049121,-0.01449,0.079562,-0.048947,0.004115
"M281.07T709.104",0.033425,-0.045187,0.0094692,0.025552,0.0020593,-0.0018906,-0.0085413,-0.028601
"M577.137T781.037",0.035723,-0.096587,0.046958,0.0096643,0.024763,0.050267,0.001955,-0.0041321
"M397.075T138.684",0.036341,-0.017942,-0.0028281,-0.0024592,-0.0075003,0.014926,0.014698,0.033918
"M653.861T317.501",0.035031,-0.0059891,0.027082,-0.023649,0.02539,-0.0027712,0.0036838,-0.022466
"M375.104T216.821",0.040284,0.00099254,0.012456,-0.022406,-0.019016,-0.0015401,-0.011003,0.017652
"M384.097T310.658",0.035546,-0.018927,0.00065614,-0.0037236,-0.031026,-0.009786,-0.022544,0.017869
"M351.085T316.423",0.036197,-0.0054012,0.010087,-0.010704,-0.01955,0.014394,-0.022063,0.005255
"M460.969T105.772",0.037828,-0.0068982,0.031287,0.0060656,-0.056234,0.018203,-0.0075725,0.023639
"M665.267T889.419",0.040251,-0.015049,0.045839,-0.036552,0.012636,-0.0060275,-0.019242,0.029746
"M969.939T315.438",0.032196,0.012535,0.052425,0.02675,0.059851,0.038912,-0.035309,-0.065743
"M289.065T88.687",0.034207,0.0077833,0.037222,-0.0033533,-0.038047,-0.0078667,0.028516,-0.0019848
"M289.086T1163.856",0.038189,-0.011428,0.003462,-0.052855,0.0027388,0.0046241,-0.030654,-0.0060931
"M655.873T943.419",0.038833,-0.029704,0.033034,-0.034963,-0.035173,0.039344,-0.047499,0.012414
"M642.242T817.768",0.032531,0.0037255,-0.0042597,0.037357,0.04845,0.0067188,0.082277,-0.037262
"M695.12T755.765",0.031179,-0.12101,0.054935,0.0061739,0.025242,-0.11318,0.023171,0.081452
"M487.016T806.181",0.037126,-0.0294,0.032476,-0.020265,0.033115,-0.04472,0.060934,0.016187
"M967.561T1349.704",0.037444,-0.00041867,-0.0023302,-0.018499,-0.03207,0.040105,0.00077227,-0.0083929
"M821.606T900.199",0.045588,0.0048762,0.0039628,0.026728,0.023336,0.01131,0.027495,-0.034765
"M1095.063T894.34",0.033206,-0.0949,0.0402,-0.024893,0.00072051,0.0035258,0.016627,-0.020899
"M279.139T1150.344",0.066357,-0.030074,-0.0034674,0.026518,-0.0014005,0.097135,0.010621,-0.13744
