"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M463.02T875.074",0.63934,1.5254,1.4742,1.5419,1.5388,1.5386,1.5385,1.5385
"M1323.606T888.291",0.63106,1.1714,1.1645,1.1515,1.1486,1.1484,1.1483,1.1483
"M1204.518T908.598",0.63078,0.84206,0.90308,0.89417,0.89424,0.89386,0.89398,0.89398
"M297.244T1278.646",0.63018,0.6307,0.60701,0.62247,0.63023,0.63021,0.63019,0.63019
"M281.07T709.104",0.62831,0.85248,0.84863,0.84557,0.84346,0.84297,0.84294,0.84294
"M366.994T111.318",0.61997,0.91746,0.88363,0.87411,0.87322,0.87271,0.87269,0.87269
"M864.188T806.912",0.60914,1.0408,1.071,1.0623,1.0617,1.0614,1.0614,1.0614
"M731.208T950.406",0.60906,0.83403,0.84804,0.83813,0.8362,0.83794,0.83794,0.83794
"M593.686T850.456",0.5958,1.2497,1.299,1.2859,1.2827,1.282,1.282,1.282
"M389.182T799.355",0.58934,0.87435,0.91543,0.9034,0.90305,0.90329,0.90326,0.90326
"M263.13T940.795",0.58661,0.44503,0.76108,0.7971,0.80434,0.80528,0.80524,0.80524
"M365.143T832.741",0.57916,1.293,1.2434,1.2846,1.2816,1.2848,1.2851,1.2851
"M699.093T985.159",0.57458,0.75579,0.7654,0.77832,0.78473,0.78548,0.78559,0.78559
"M286.972T107.919",0.57285,0.84216,0.82112,0.8106,0.81081,0.81143,0.8114,0.8114
"M1163.56T905.015",0.57083,2.6671,2.5685,2.5345,2.53,2.5287,2.5286,2.5286
"M559.667T1200.71",0.56834,1.0455,1.0034,1.0173,1.0152,1.0147,1.0148,1.0148
"M863.184T809.21",0.56799,0.91319,1.1132,1.1005,1.1021,1.1016,1.1016,1.1016
"M421.636T753.774",0.56461,1.135,1.1399,1.1321,1.1294,1.1288,1.1287,1.1287
"M451.007T107.467",0.56076,0.82101,0.83909,0.82931,0.82782,0.82966,0.82962,0.82962
"M715.427T310.719",0.55956,0.85646,0.82293,0.81658,0.81567,0.81786,0.81784,0.81784
"M491.126T414.484",0.55414,0.77231,0.97981,0.98709,0.98877,0.98978,0.98974,0.98974
"M369.388T763.979",0.55336,0.97511,0.99961,0.99131,0.98883,0.98887,0.98887,0.98887
"M723.577T942.094",0.55108,0.83359,0.98704,0.97689,0.97961,0.97904,0.979,0.979
"M1396.865T985.147",0.54092,1.3718,1.3274,1.311,1.3187,1.318,1.3182,1.3182
"M526.316T1188.04",0.53685,0.44497,0.52365,0.52477,0.52431,0.53097,0.53095,0.53095
"M232.059T185.959",0.52716,0.60418,0.60298,0.59957,0.61499,0.61678,0.61676,0.61676
"M309.118T727.508",0.51019,1.3323,1.2905,1.2735,1.271,1.2703,1.2703,1.2703
"M1201.918T909.936",0.5093,1.1297,1.0833,1.069,1.0664,1.0665,1.0664,1.0664
"M1331.507T909.803",0.50826,1.1128,1.0673,1.0545,1.0529,1.0522,1.0522,1.0522
"M204.975T113.721",0.50306,1.0327,0.99482,0.98193,0.97955,0.9791,0.9791,0.9791
