"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M1053.286T316.584",0.032639,-0.0053281,0.018183,0.0032288,0.011701,-0.034887,0.020513,0.019629,0.0013039,-0.00049697,0.012896,0.0043999
"M1163.085T907.707",0.014498,0.081996,-0.15444,0.10023,-0.0071405,-0.019077,0.0071129,0.051635,-0.0097229,-0.041174,0.013049,0.019447
"M421.636T753.774",0.036704,0.01784,-0.059358,-0.0090771,-0.0095234,-0.053773,0.017853,-0.055507,0.0297,0.0014228,0.059532,-0.0014642
"M709.31T874.193",0.041589,0.0010783,-0.00091505,-0.011743,0.0054394,0.009991,0.0027297,0.012627,0.0044568,0.0086176,-0.0094579,0.00887
"M361.589T316.501",0.033242,0.0093153,0.019255,-0.033945,0.025197,-0.0088671,0.010536,0.0039556,-0.036074,-0.051564,0.011203,-0.0036781
"M517.099T802.454",0.03311,0.045964,-0.03084,-0.0039746,-0.0093822,0.016368,0.03951,-0.015454,0.025289,0.070156,-0.042305,0.013873
"M982.374T904.236",0.043243,0.0087556,0.017792,0.021607,0.0023707,0.0036742,-0.0050006,-0.009013,-0.0222,0.042658,0.0050679,-0.0074904
"M383.433T314.152",0.032972,0.024167,-0.013143,-0.031105,0.00024158,-0.019231,-0.010584,0.0094003,0.013489,-0.038357,0.0035644,-0.0035948
"M362.298T315.255",0.036927,0.020309,-0.005134,-0.022345,0.0085753,0.01824,0.017187,0.030743,-0.028008,0.018541,0.0030324,-0.0020831
"M481.183T769.795",0.039951,-0.017945,-0.04474,-0.011583,0.018507,-0.0038769,-0.10916,0.015218,-0.020049,0.0022286,-0.015005,-0.0040509
"M407.173T414.983",0.022186,-0.075431,-0.10383,-0.029662,-0.043783,0.022234,0.038623,0.078446,0.075094,0.0095357,-0.045137,-0.0047121
"M1297.451T316.098",0.027952,-0.013774,0.04811,0.048085,-0.011839,-0.059825,0.036176,0.062534,-0.0053827,0.034809,0.039101,0.015314
"M727.283T864.823",0.028468,0.0073342,0.062896,0.0039587,-0.053573,-0.0098294,-0.010151,-0.0018927,-0.020052,0.025107,0.026781,-0.0011181
"M847.495T1389.03",0.031903,0.026122,-0.0055229,-0.054143,0.020048,0.048677,0.0029335,-0.021677,0.025669,0.044005,-0.0096131,-0.00074055
"M1031.84T1213.333",0.030235,0.015823,-0.011037,-0.023731,0.021141,0.021185,-0.0031734,0.031539,-0.042125,-0.015057,0.066087,0.0040446
"M937.515T1306.76",0.033534,0.019435,0.019833,-0.027008,0.038614,0.052869,0.0086676,-0.018448,0.012035,-0.0021476,0.026344,0.0055158
"M570.518T894.146",0.034557,0.052528,-0.026359,-0.034923,-0.016681,0.036046,0.037812,0.026826,-0.024014,-0.02723,-0.039763,0.0070015
"M1162.717T895.445",0.033788,0.06113,-0.021094,-0.02763,-0.0053021,-0.011307,0.046923,-0.0023433,-0.011373,-0.023729,-0.06304,-0.0049238
"M289.446T802.654",0.030719,0.075356,-0.035871,-0.016047,-0.0059965,-0.064213,0.036483,-0.023513,0.028041,0.043216,0.039187,0.01528
"M970.001T316.098",0.027036,0.017119,0.017321,0.024998,-0.014994,-0.010278,-0.048228,-0.0108,-0.094313,0.085049,0.012723,0.0036695
"M647.193T836.421",0.041746,-0.0013242,-0.011101,0.0095675,0.020081,0.0067185,0.040874,-0.020227,0.013812,0.016153,-0.0065296,-0.014765
"M968.365T965.957",0.03709,-0.038477,0.018859,0.054459,0.014444,0.073008,0.03765,-0.042347,-0.0118,-0.01911,-0.015826,-0.008394
"M863.184T809.21",0.033189,0.05558,-0.035559,0.010513,-0.021088,0.005869,-0.033183,0.016455,-0.046577,0.096466,-0.020391,0.010254
"M565.23T844.341",0.033056,0.012739,0.0072236,-0.028763,-0.021503,-0.0092674,0.010879,0.021871,-0.020868,-0.028838,-0.0053401,0.011725
"M293.118T1042.937",0.06032,-0.029459,-0.011959,0.0010502,0.042917,-0.063639,0.070846,-0.048938,-0.13519,0.024796,-0.053123,0.0030944
"M483.209T897.853",0.034475,-0.013613,0.022372,-0.021762,0.0021948,0.030784,-0.008166,-0.020668,0.0035093,-0.0077243,-0.019543,0.0045873
"M1094.047T894.516",0.035152,0.068893,-0.050971,-0.00016708,-0.0056249,0.042279,0.0057937,-0.011068,-0.0070273,-0.023435,0.00093911,0.012613
