"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M683.129T316.242","4839.8253","9181.0358","12580.554","11297.073","10123.0949","557.109","7868.436","11797.2976","7629.4036","11191.516","13995.4974","557.109","10378.9885","2785.545","10860.2553","557.109","13286.6617","14402.974"
"M653.783T316.318","11901.3256","11296.2251","16749.9303","16819.9688","10174.9921","870.12689","16007.9958","12254.1932","6226.3667","12782.8263","17100.6736","37.6","13890.1757","11570.2068","6892.5056","188","15019.9869","12387.2303"
"M489.058T766.222","7766.948","4286.214","5507.3749","9211.3926","6416.1689","857.2428","8024.5058","11453.8232","14631.6814","19926.9765","12275.824","857.2428","7339.387","8851.5326","9490.6015","857.2428","20016.7988","16691.82"
"M851.819T1425.446","8015.5254","2638.1002","2317.4744","6389.9473","2359.538","463.49488","3586.5192","5591.5426","6875.5624","5237.8594","6651.0464","463.49488","7542.3015","4541.104","2451.8188","463.49488","6540.2586","7850.0246"
"M530.968T106.005","5426.3441","4850.953","5602.569","5372.6962","3726.8369","667.17665","5105.7437","5443.5259","5583.4775","6063.3757","5245.0886","107.4","5337.3225","4645.0971","5654.9775","537","5830.2525","6958.1924"
"M1009.607T1323.757","23615.9042","22055.4953","31527.8409","18395.3471","25510.1865","404.39354","20162.1021","25389.348","21821.3785","20605.541","23676.8392","565.9592","14166","18624.0314","21710.3333","80.878708","37239.9703","26108.7727"
"M653.717T312.26","16423.1403","16609.7948","24072.5049","14635.7277","6711.936","1342.3872","14940.2158","19491.6329","6930.5042","13884.2613","11336.7942","1342.3872","11982.7068","13978.344","11735.517","1342.3872","9584.7514","9450.1341"
"M1031.899T1225.646","8242.3207","6853.4762","7898.3529","5885.1395","6120.4494","449.15496","5859.8413","6378.4762","2245.7748","8457.2999","5568.4317","449.15496","6094.9142","3865.6049","8669.3421","449.15496","7332.9371","5578.9521"
"M297.119T136.686","9275.7447","6506.859","9332.3982","7232.7061","8990.5993","34.2","7481.8654","9391.6443","10243.4429","10786.5438","11099.2052","34.2","10132.8134","10287.41","7189.846","171","7689.903","9379.1025"
"M769.419T945.253","11024.9595","5514.3465","7594.7766","7599.7302","8267.1395","1102.8693","17432.0515","10676.6774","7678.3276","10423.188","19006.3714","1102.8693","8196.9081","8000.5971","11528.0991","1102.8693","11616.909","11592.869"
"M1201.918T909.936","4997.6554","4024.2185","6655.2093","4402.0801","4470.1815","849.07825","7005.2492","4779.801","5262.6136","4884.3472","9622.2271","406.3698","4921.5526","2848.273","4860.6936","291","1768.0583","5719.9841"
"M864.188T806.912","6533.4932","9843.5477","9562.4121","3209.2305","3579.953","641.8461","5011.6442","9031.6268","10461.1486","7681.6743","15028.7614","641.8461","6764.5","6576.5524","6526.9979","641.8461","4950.9084","4625.6733"
"M865.489T1291.829","6501.8774","7897.2702","7517.9126","3451.8867","7487.4763","690.37734","5368.0336","6590.2291","6061.6885","5461.2747","5945.2046","690.37734","5040.5272","5016.8182","4699.8688","690.37734","6333.3457","6245.556"
"M799.191T949.166","3446.3085","4857.0403","5466.0862","6262.8775","6448.4993","561.43462","7689.2112","7018.8791","7011.9972","5192.9663","9069.0444","561.43462","5520.2196","7536.8468","5121.4625","561.43462","5154.7988","2807.1731"
"M1263.489T907.902","13780.1487","17957.5013","17757.1385","11891.3013","6292.5334","631.34798","27051.3536","11881.7575","13453.5491","12163.3499","17747.7812","126.269596","12363.0359","12469.1266","19739.6447","126.269596","5090.0073","7701.5673"
