"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M418.218T902.438","-0.57667030","-0.99051326"," 0.08578722","-0.45703473","-0.01894744","-0.71287051"," 0.36927478"," 1.17171408"," 0.57344139"," 0.26103025"," 0.08398833"," 0.21080020"
"M632.783T316.499","-0.607871181","-0.628634972","-0.184826795"," 0.011838951","-0.416321646","-0.432686419"," 0.803002317"," 0.648825121"," 0.122704845"," 0.305814125","-0.004524062"," 0.382679717"
"M451.218T291.531","-0.3684612","-0.7678044","-0.1560860","-0.5231998","-0.2481153","-0.7277707"," 0.4899917"," 1.2284591"," 0.5290996"," 0.4667185","-0.1483258"," 0.2254942"
"M344.099T126.621","-0.56600060","-0.89961877","-0.11808793","-0.10218142","-0.18390098","-0.48357930"," 0.39311951"," 1.08644679"," 0.43818755"," 0.36567549","-0.02390834"," 0.09384800"
"M385.113T835.894","-0.18001171","-1.54522419","-0.56619609","-0.09846659"," 0.07437790","-0.22969263"," 0.37773811"," 0.96002255"," 0.63116560"," 0.60477457"," 0.26191379","-0.29040132"
"M627.229T851.009","-0.45928962","-1.02772059","-0.11592275","-0.20092010","-0.26487436","-0.88945701"," 0.44240225"," 1.07501696"," 0.69313702"," 0.49702296"," 0.32535647","-0.07475121"
"M885.489T1408.277","-0.54221583","-0.66866399","-0.31121598","-0.35694101","-0.07016075","-0.49912311"," 0.40291729"," 1.30097935"," 0.50595422"," 0.24982304","-0.14400276"," 0.13264952"
"M645.124T781.203","-0.1031821","-0.1665917","-0.4350365","-0.1228677","-0.1745974","-0.6662918"," 0.4285737"," 1.5740352"," 0.2763592"," 0.5485182","-0.6086867","-0.5502326"
"M942.469T1308.469","-0.63468976","-0.39572193","-0.24283796","-0.22242626"," 0.02259587","-0.66758188"," 0.32502737"," 1.25497122"," 0.32563423"," 0.12286385"," 0.08634538"," 0.02581988"
"M421.069T767.549","-0.43531372","-0.59743030","-0.63785988","-0.51715588","-0.23746140","-0.77939948"," 0.53549802"," 1.22184877"," 0.55816447"," 0.42388362","-0.08737736"," 0.55260315"
