"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought"
"M438.146T926.75","3205.8092","50703.909","69619.004","145821.692","97200","98395.849","134000"
"M535.375T1490.352","127001.4741","120584.546","172386.853","194845.03","176000","137076.318","177000"
"M808.52T1220.972","8213.0399","120697.147","159858.192","50551.562","52500","63695.341","45200"
"M577.49T1591.335","135842.0042","152439.223","164729.178","216002.902","216000","279259.416","190000"
"M1059.419T884.787","810.8953","71001.183","205845.58","137583.518","223000","73948.295","98000"
"M813.332T1056.081","3272.8688","11942.724","42455.745","85113.502","70900","44266.014","88200"
"M869.334T919.017","13744.4729","53492.947","107737.704","165720.877","156000","108493.753","162000"
"M449.347T1490.033","113243.658","110810.716","125642.701","149596.968","158000","113759.953","136000"
"M374.303T1319.161","67083.7649","103723.931","112107.063","48331.565","55600","55980.849","76000"
"M504.265T1099.137","8042.4331","280340.786","278250.498","118054.691","86800","145850.339","91200"
"M479.188T913.185","760.3332","29252.107","50165.806","431684.869","134000","287562.593","375000"
"M291.195T1053.001","3826.4803","285157.375","352887.774","442613.04","247000","368403.096","366000"
"M821.505T1179.269","28600","262457.535","244059.415","145096.405","143000","202588.397","159000"
"M820.327T1006.792","1367.9568","22036.529","48770.183","125801.709","74100","70964.707","108000"
"M764.518T1295.888","66300.1355","170012.442","262870.922","115943.171","146000","106402.624","140000"
"M471.313T1295.888","21542.8486","299762.258","166034.244","147749.417","136000","134672.789","106000"
"M534.402T1422.678","65285.8828","92021.557","143253.735","154960.032","140000","93524.218","132000"
"M765.518T1313.696","53331.2503","177554.745","185700.313","132439.83","126000","151163.635","125000"
"M1003.558T1223.957","2525.8699","144753.656","157369.376","103945.046","122000","147201.719","92100"
"M415.326T1295.888","71958.1766","148196.442","159772.345","180245.778","122000","144091.106","181000"
"M653.413T1286.062","25271.1283","157173.717","167730.592","181515.971","167000","141001.252","160000"
"M1102.351T817.469","12334.977","50863.077","69708.58","78703.363","66300","59550.559","82800"
"M549.424T1473.203","92484.1327","106916.649","147552.381","277157.343","186000","156161.062","224000"
"M787.545T1575.098","35366.2348","55158.77","23378.149","97073.496","79900","78335.827","90500"
"M567.43T1421.35","168212.9707","71620.73","81850.383","88830.092","98100","68037.971","74500"
"M798.839T1023.188","1645.3419","10807.334","35321.432","70931.888","71200","28014.41","78900"
"M764.517T1325.086","66349.916","225187.785","260891.895","153436.609","141000","132726.69","189000"
"M677.438T1339.916","10473.4191","99987.334","129116.181","295698.899","260000","160332.039","298000"
"M832.307T992.353","4371.5082","25767.383","75470.659","246891.814","140000","82943.155","215000"
"M455.315T1295.888","76561.8221","363482.892","285738.052","234281.334","241000","200179.372","242000"
"M297.239T1626.197","146574","118088.086","93969.488","138049.368","133000","104980.909","108000"
"M471.314T1308.231","49886.6001","398392.899","264998.934","267955.708","173000","180197.744","203000"
"M455.313T1308.231","88010.9163","403000.098","307984.046","315931.602","272000","244282.928","304000"
"M392.284T1436.378","121283.2694","342323.099","257792.304","154919.199","142000","142158.075","152000"
"M399.308T1262.042","64986.7223","2172556.166","632565.324","132589.419","214000","135846.553","141000"
"M549.428T1523.962","60481.7533","69344.604","85810.02","106404.593","120000","65794.911","103000"
"M807.348T918.929","4041.1379","253963.057","691204.147","11604876.95","1200000","2373636.177","11300000"
"M542.478T1573.977","9044","29286.757","15302.819","60094.731","55400","99626.698","60200"
"M522.261T1109.944","5867.8096","154053.761","181417.946","76183.448","113000","87559.793","74200"
"M653.412T1258.482","19085.3778","135177.639","149758.372","160775.707","138000","127405.776","146000"
"M475.412T1607.605","33636.3167","29122.145","12141.735","42608.113","50700","55928.277","33300"
"M653.413T1377.63","35834.4817","124807.531","135234.216","161604.022","125000","101088.931","140000"
"M330.263T1492.022","146481.4689","176199.229","177938.484","135283.934","121000","128550.539","140000"
"M447.35T1507.107","76515.0103","116777.742","199474.338","69949.354","85000","81049.611","78700"
"M722.259T892.9","10426.6994","540138.794","6109886.122","93337.556","66400","57704.086","82800"
"M523.599T1382.768","218080.0938","317868.564","315921.916","208311.899","235000","209973.236","234000"
"M549.431T1507.08","99370.8879","96042.493","103299.308","168451.468","149000","118372.837","134000"
"M330.262T1456.934","110351.8984","137110.335","140737.016","102728.976","107000","109555.22","103000"
"M435.346T1540.43","74630","62488.279","56945.862","75207.081","79900","75514.832","75100"
