"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"M438.146T926.75","  3205.809"," 50703.909"," 69619.004","145821.692"," 97200.000"," 98395.849","134000.000"
"M535.375T1490.352","127001.5","120584.5","172386.9","194845.0","176000.0","137076.3","177000.0"
"M808.52T1220.972","  8213.04","120697.15","159858.19"," 50551.56"," 52500.00"," 63695.34"," 45200.00"
"M577.49T1591.335","135842.0","152439.2","164729.2","216002.9","216000.0","279259.4","190000.0"
"M1059.419T884.787","   810.8953"," 71001.1830","205845.5800","137583.5180","223000.0000"," 73948.2950"," 98000.0000"
"M813.332T1056.081"," 3272.869","11942.724","42455.745","85113.502","70900.000","44266.014","88200.000"
"M869.334T919.017"," 13744.47"," 53492.95","107737.70","165720.88","156000.00","108493.75","162000.00"
"M449.347T1490.033","113243.7","110810.7","125642.7","149597.0","158000.0","113760.0","136000.0"
"M374.303T1319.161"," 67083.76","103723.93","112107.06"," 48331.57"," 55600.00"," 55980.85"," 76000.00"
"M504.265T1099.137","  8042.433","280340.786","278250.498","118054.691"," 86800.000","145850.339"," 91200.000"
"M479.188T913.185","   760.3332"," 29252.1070"," 50165.8060","431684.8690","134000.0000","287562.5930","375000.0000"
"M291.195T1053.001","  3826.48","285157.38","352887.77","442613.04","247000.00","368403.10","366000.00"
"M821.505T1179.269","     0.0","262457.5","244059.4","145096.4","143000.0","202588.4","159000.0"
"M820.327T1006.792","  1367.957"," 22036.529"," 48770.183","125801.709"," 74100.000"," 70964.707","108000.000"
"M764.518T1295.888"," 66300.14","170012.44","262870.92","115943.17","146000.00","106402.62","140000.00"
"M471.313T1295.888"," 21542.85","299762.26","166034.24","147749.42","136000.00","134672.79","106000.00"
"M534.402T1422.678"," 65285.88"," 92021.56","143253.73","154960.03","140000.00"," 93524.22","132000.00"
"M765.518T1313.696"," 53331.25","177554.74","185700.31","132439.83","126000.00","151163.64","125000.00"
"M1003.558T1223.957","  2525.87","144753.66","157369.38","103945.05","122000.00","147201.72"," 92100.00"
"M415.326T1295.888"," 71958.18","148196.44","159772.35","180245.78","122000.00","144091.11","181000.00"
"M653.413T1286.062"," 25271.13","157173.72","167730.59","181515.97","167000.00","141001.25","160000.00"
"M1102.351T817.469","12334.98","50863.08","69708.58","78703.36","66300.00","59550.56","82800.00"
"M549.424T1473.203"," 92484.13","106916.65","147552.38","277157.34","186000.00","156161.06","224000.00"
"M787.545T1575.098","35366.23","55158.77","23378.15","97073.50","79900.00","78335.83","90500.00"
"M567.43T1421.35","168212.97"," 71620.73"," 81850.38"," 88830.09"," 98100.00"," 68037.97"," 74500.00"
"M798.839T1023.188"," 1645.342","10807.334","35321.432","70931.888","71200.000","28014.410","78900.000"
"M764.517T1325.086"," 66349.92","225187.79","260891.89","153436.61","141000.00","132726.69","189000.00"
"M677.438T1339.916"," 10473.42"," 99987.33","129116.18","295698.90","260000.00","160332.04","298000.00"
"M832.307T992.353","  4371.508"," 25767.383"," 75470.659","246891.814","140000.000"," 82943.155","215000.000"
"M455.315T1295.888"," 76561.82","363482.89","285738.05","234281.33","241000.00","200179.37","242000.00"
"M297.239T1626.197","146574.00","118088.09"," 93969.49","138049.37","133000.00","104980.91","108000.00"
"M471.314T1308.231"," 49886.6","398392.9","264998.9","267955.7","173000.0","180197.7","203000.0"
"M455.313T1308.231"," 88010.92","403000.10","307984.05","315931.60","272000.00","244282.93","304000.00"
"M392.284T1436.378","121283.3","342323.1","257792.3","154919.2","142000.0","142158.1","152000.0"
"M399.308T1262.042","  64986.72","2172556.17"," 632565.32"," 132589.42"," 214000.00"," 135846.55"," 141000.00"
"M549.428T1523.962"," 60481.75"," 69344.60"," 85810.02","106404.59","120000.00"," 65794.91","103000.00"
"M807.348T918.929","    4041.138","  253963.057","  691204.147","11604876.950"," 1200000.000"," 2373636.177","11300000.000"
"M542.478T1573.977"," 9044.00","29286.76","15302.82","60094.73","55400.00","99626.70","60200.00"
"M522.261T1109.944","  5867.81","154053.76","181417.95"," 76183.45","113000.00"," 87559.79"," 74200.00"
"M653.412T1258.482"," 19085.38","135177.64","149758.37","160775.71","138000.00","127405.78","146000.00"
"M475.412T1607.605","33636.32","29122.15","12141.74","42608.11","50700.00","55928.28","33300.00"
"M653.413T1377.63"," 35834.48","124807.53","135234.22","161604.02","125000.00","101088.93","140000.00"
"M330.263T1492.022","146481.5","176199.2","177938.5","135283.9","121000.0","128550.5","140000.0"
"M447.35T1507.107"," 76515.01","116777.74","199474.34"," 69949.35"," 85000.00"," 81049.61"," 78700.00"
"M722.259T892.9","  10426.70"," 540138.79","6109886.12","  93337.56","  66400.00","  57704.09","  82800.00"
"M523.599T1382.768","218080.1","317868.6","315921.9","208311.9","235000.0","209973.2","234000.0"
"M549.431T1507.08"," 99370.89"," 96042.49","103299.31","168451.47","149000.00","118372.84","134000.00"
"M330.262T1456.934","110351.9","137110.3","140737.0","102729.0","107000.0","109555.2","103000.0"
"M435.346T1540.43","74630.00","62488.28","56945.86","75207.08","79900.00","75514.83","75100.00"
"M576.484T1557.453"," 43791.06"," 64461.49"," 67670.81","126762.88","131000.00","122421.81","134000.00"
"M467.383T1523.593"," 52699.21"," 57843.56"," 69790.60","155396.48"," 94000.00","124758.19","103000.00"
"M951.603T1424.253"," 56709.91"," 69557.29"," 92135.71","142506.45","511000.00","335187.97"," 97900.00"
"M477.403T1542.988","68754.77","72109.81","93786.98","70969.57","94100.00","77218.28","85400.00"
"M477.407T1590.788"," 83304.49"," 82232.18","104177.77"," 93016.96","107000.00"," 87247.95","107000.00"
"M549.426T1489.95"," 92561.85","100676.42","133273.35","193435.43","126000.00","117594.93","166000.00"
"M471.336T1557.26"," 75170.60"," 74425.39"," 96848.86","130067.10","108000.00"," 80275.75","113000.00"
"M330.263T1439.913","113723.4","142481.7","144695.6","108400.1","107000.0","112890.1","106000.0"
"M629.529T1601.79","132953.4","136004.8","102248.1","246765.1","239000.0","164330.1","149000.0"
"M505.27T1240.129"," 36869.38","496398.96","487628.52","338101.75","304000.00","316976.84","466000.00"
"M576.533T1641.124","28320.66","22442.07","14288.02","56505.78","55200.00","58843.44","63900.00"
"M619.438T1245.233"," 12008.94","387624.43","451165.77","104462.33","105000.00","103155.11"," 96100.00"
"M313.161T1621.4","61415.94","68126.84","53976.47","65577.01","65400.00","60961.81","75400.00"
"M505.253T1269.605"," 14742.23","348384.97","275499.65","199025.69","193000.00","209952.55","318000.00"
"M494.565T1319.161","188625.4","417460.7","297804.2","170665.0","216000.0","148350.0","192000.0"
"M535.447T1540.43","63646.63","65862.82","65775.47","86982.88","92400.00","65632.35","77100.00"
"M477.398T1574.327","75046.82","72226.53","93786.98","79089.54","99800.00","77171.90","90100.00"
"M691.433T1253.346","112036.4","461054.1","487173.9","255155.9","295000.0","323104.1","239000.0"
"M341.283T1305.932"," 94925.39","710584.57","226058.78"," 98908.37","112000.00"," 94421.86","152000.00"
"M330.261T1473.013","105049.8","129928.7","132831.0","102729.0","107000.0","105959.5","103000.0"
"M339.172T1490.329","44191.59","27250.67","21719.25","39829.14","37300.00","34150.48","31900.00"
"M477.343T1423.013","48754.95","56632.00","58826.35","54302.07","56600.00","50316.10","52100.00"
"M332.328T1440.13","115359.6","142796.5","167103.2","118710.3","113000.0","125971.4","121000.0"
"M494.563T1509.9","304154.7","234099.8","171452.2","274363.3","322000.0","291615.9","303000.0"
"M481.362T1591.564","33792.03","45292.62","33077.86","44825.32","41600.00","34704.15","65600.00"
"M443.333T1262.042","  40654.56","2291206.76"," 726799.04"," 189027.68"," 179000.00"," 167800.69"," 171000.00"
"M510.367T1523.593","139590.33"," 86069.98"," 86114.55"," 89218.12"," 84500.00"," 81016.56"," 96100.00"
"M545.456T1607.833","108912.17"," 73195.07"," 68086.86","104034.30"," 93600.00"," 82007.95"," 91500.00"
"M669.539T1543.447","121295.60"," 80496.05","105264.37"," 98310.40","145000.00"," 70367.84"," 88300.00"
"M669.531T1507.08","111179.86"," 65231.82"," 86689.23"," 92604.53","131000.00"," 61504.12"," 73700.00"
"M383.284T1439.726","125217.3","251315.5","205205.8","154353.3","180000.0","165413.5","152000.0"
"M589.501T1621.712","261732.00"," 73577.31"," 55522.83"," 56077.76"," 70000.00"," 47558.67"," 39700.00"
"M534.444T1557.26"," 85462.73"," 77456.07"," 71460.74","111317.13","100000.00"," 59693.29","110000.00"
"M494.565T1422.678","263375.7","463612.2","367002.5","254955.1","293000.0","249733.7","274000.0"
"M609.518T1624.418","60609.94","55474.25","35151.34","60977.18","62300.00","53759.67","53900.00"
"M465.265T1237.073"," 42836.11","242014.04","261681.82","201901.28","236000.00","203943.56","230000.00"
"M605.432T1239.559"," 77368.51","396644.25","322817.74","185347.27","231000.00","151869.45","147000.00"
