"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"Sodium_Formate","3667732","3667732","3667732","3667732","3963239","3909794","3819856","3934423","3867787","3442128","3960498","4034768","3834774","3778849","4038728","3998858","3805402","3801631","3974273","4037492","3920796","4069493","3868514","3927945","3923776","3741009","4053882","3999728","3766924","3339944","3555483","3964440","4037002","4030309","3922006","3890744","4045781","3879945","4104744","4024050","4024050","3845071","4035455","3797963","3837318","3790177","3735045","3901010","3528208","4862692","3959808","3945214","3800063","4006431"
"M1106.779T17.121"," 7111.437"," 7111.437"," 7111.437"," 7111.437","11228.352"," 7767.098","13938.023","14137.039","13636.788"," 8222.713"," 8229.821","14781.908"," 9441.556","13882.118","15056.679","14224.105"," 9783.950","18677.866","12347.956","10543.308","13475.653","10418.514","13534.198","11286.672","10613.839"," 7689.634","12548.461","14260.739","11639.442"," 5520.678"," 8802.126","15347.331","17842.834","11030.996","14585.368","27320.661","12685.944","13723.214","12994.093","12675.813","12675.813","13444.213","13030.816","12978.820","15035.482"," 8889.502","11139.301","13555.770"," 9273.927","18356.341","13707.357","11004.048"," 9995.023"," 9988.035"
"M1107.445T13.643","12819.336","12819.336","12819.336","12819.336","13504.730","12570.504","12242.589","13546.872"," 9635.627","13044.606","13015.202","13737.370","13455.115","11806.154","11870.373"," 8455.290"," 8173.739","11885.550"," 5576.680","12926.053","13598.922","14127.066","13590.104","13197.288","14280.202","12918.327","15724.231","13346.374","13898.947","11669.802","13907.132","14323.461","14100.196","13359.808","13262.722","13878.174","14444.191","14849.688","15829.917","15821.575","15821.575","13088.206","13456.577"," 6688.676"," 9075.857","12593.668","12424.929","14716.593","10963.189","17126.612","12060.716","13566.601","13440.137","13849.309"
"M1108.781T17.122","13128.01","13128.01","13128.01","13128.01","19512.48","22505.31","17103.67","18547.71","18524.40","16106.54","17015.48","18734.58","22675.82","19554.23","23528.48","17938.14","18076.78","22220.46","20883.59","19368.32","20713.26","40294.52","18933.49","21620.25","23367.21","16330.78","18976.06","18819.59","14746.50","10411.44","18373.99","19691.63","18598.36","16660.86","20633.84","17559.90","19781.71","21646.33","19328.51","18128.62","18128.62","17453.30","24311.26","21596.78","21701.72","17176.81","13809.07","19295.49","12770.95","21327.86","18143.36","17934.97","18161.71","17682.23"
"M1109.452T15.512","14964.712","14964.712","14964.712","14964.712","13060.558","11670.908","15749.259","14249.267","15888.666","12296.715","13528.971","15387.619","15139.508","14966.671","14024.554","15821.580","13063.313","15096.706","14601.571","14109.875","10239.535","13637.283","15301.003","14397.953"," 6851.856","13128.397","13237.552","14367.437","15033.326","11684.898","14091.412","17368.149","15566.921","13831.001","14679.950"," 9235.499","16693.516","14282.171","15672.914","14893.065","14893.065","16516.055","14367.187","15159.898","11484.924"," 9162.924","13206.054","14971.795","12390.991","17873.239","14604.809","13451.631","15433.717","16403.978"
"M1110.119T13.109","15839.88","15839.88","15839.88","15839.88","17269.80","17676.13","18475.17","19873.21","18954.60","16349.83","17955.72","19398.89","19382.55","17695.79","19617.78","18332.87","15895.66","18912.81","18719.23","18901.62","19163.95","17615.02","19555.18","19673.13","17456.28","17475.51","20209.49","17903.31","19056.96","13979.61","17720.97","19907.85","19577.73","19424.17","17884.33","18034.82","19102.66","18562.12","17743.45","17268.08","17268.08","19324.29","18100.14","18479.22","16735.03","16487.40","16575.31","17970.65","16085.71","21483.99","17766.45","19887.48","18579.56","18144.26"
"M1110.456T13.116","10908.343","10908.343","10908.343","10908.343","13871.408","13417.426","11154.254","11881.061","11452.254","11230.258","12000.688","13936.560","11746.512","13847.484","10697.633","12647.230","11196.583","11909.056","12821.722","13082.265","14306.155","12843.815","12858.862","13340.605","13869.167","12312.378","13817.938","11836.614","11800.950"," 9752.512","13267.184","13452.334","13973.501","14491.429","12409.701","12938.723","11393.336","13392.160","13487.750","12927.498","12927.498","13197.422","12227.357","11274.477","12101.522","12972.914","10960.235","12990.514","11787.676","13333.857","12351.786","12016.539","10697.998","14286.141"
"M1112.289T13.11","27209.72","27209.72","27209.72","27209.72","28169.21","29364.88","28861.89","28262.48","29631.45","24859.37","28743.38","28182.29","32479.23","32099.34","31525.32","31256.96","27654.53","29796.71","32873.79","27040.86","29649.20","31550.18","27694.31","30461.11","31559.82","27521.58","29095.88","26885.30","27282.18","24589.75","27150.57","29668.74","30454.34","32588.17","31297.08","29722.08","29469.06","29850.60","31733.05","27423.30","27423.30","30979.69","33364.11","26751.06","27632.54","28595.53","30623.29","27834.12","24921.29","34967.90","30025.58","29497.71","29022.28","31207.47"
"M1112.777T17.122","20904.40","20904.40","20904.40","20904.40","50900.46","30886.38","26785.34","27581.35","25532.37","21760.54","25581.00","32416.33","27793.21","27543.55","36778.30","32699.22","24286.49","33379.84","35921.44","50950.71","26943.58","52163.31","25726.69","26412.53","27112.48","21026.07","27685.21","32987.73","28171.59","16534.14","17897.71","25911.52","25209.40","49860.63","36223.20","27015.08","25730.86","30973.77","27595.06","21941.38","21941.38","25586.53","32499.82","31215.37","32959.32","23703.92","23415.98","25237.37","17288.61","34515.43","24915.11","26920.61","32749.96","32968.61"
"M1113.279T14.053","18080.029","18080.029","18080.029","18080.029","19889.790","19345.544","19046.978","13634.000","21153.020","17102.337","18206.854","22454.907","13109.210","20672.861","21077.120","21271.983","17873.744","19793.589","20870.892","19045.471","13698.919","19753.573"," 9306.894","20835.800","19989.155","10795.997","21262.378","12796.274","21876.873","17762.616","16615.034","19963.712","20044.581","20093.026","10989.048","11805.482","19006.414","19773.389","21380.863","16592.044","16592.044","19575.964","19656.622","19108.097","21131.385","17804.194","19563.936","20256.763","15796.448","23538.548","19880.782","20058.506","18581.558","18989.405"
"M1113.777T15.116","16482.900","16482.900","16482.900","16482.900","18026.538","17755.603","18334.227","12409.592","18908.106","16172.774","18515.756","20000.183","20312.789","18206.433","18168.725","20870.606","11041.365","19882.781","20602.383","18281.434","12657.657","18810.928","19967.672","19473.708","20599.701","18210.752","14062.060","11745.130","18712.242","14352.239","16130.045","19606.644","13086.975","20782.282","20258.666","17286.310"," 8017.982","20312.493","19789.703","19274.401","19274.401","18194.795","19835.356","14713.920","20292.796","17352.330","18018.303","19960.676","17284.188","22237.282","17708.052","20149.114","13349.930","19321.708"
"M1116.11T13.109","14071.732","14071.732","14071.732","14071.732","16136.602","17653.743","15216.620","11027.500","17518.657","13187.616","14561.515","16879.508","16163.964","14833.025","14855.834","11191.474","12924.064","17533.538","17164.685","16073.856","10063.095","15219.406","15085.242","16232.869","16975.296","15822.199","15234.602","14050.063","15581.458","13449.392","13511.811","15867.437","16355.394","14805.072","14986.426","16443.117","13578.112"," 9407.697","15525.312","21710.801","21710.801","15254.738","15671.142","17022.354"," 8254.690","15042.435","13920.122","17177.040","14852.152","17146.902","14866.026","14625.592","14574.149","17364.570"
"M1116.775T17.12"," 7578.607"," 7578.607"," 7578.607"," 7578.607","21863.737","14645.806","13229.377"," 9921.703"," 9341.328"," 8238.451"," 9472.830","11964.301"," 9177.450","12427.170"," 8423.194"," 9312.184"," 7968.079","12820.346","10551.560"," 9929.902"," 9217.328","10543.655","11113.218"," 9880.399","10610.124"," 8922.572","13606.187","11111.024"," 8711.016"," 4938.028"," 6646.292","11035.090","13470.057","21350.829","10274.777"," 9527.462","11232.821"," 9895.392","12140.804","11578.501","11578.501","11099.198","11953.376","12825.355"," 9931.971","10312.896"," 9639.150","10757.757"," 6410.540","13347.470"," 9540.540","12585.644","10646.244"," 9964.160"
"M1117.282T13.111","19229.00","19229.00","19229.00","19229.00","19140.99","20312.76","20706.28","17843.82","21010.52","16772.64","19083.18","20011.86","21143.32","20032.48","20304.24","21968.14","19359.73","22627.63","21287.44","20132.50","19941.68","20756.25","22561.20","21147.59","20270.39","17708.29","19576.23","18690.97","21712.29","16746.09","18090.86","22018.92","19205.32","21673.98","21175.02","18996.96","20829.06","20852.30","20670.24","19121.67","19121.67","19440.15","19871.24","19191.08","21867.06","19554.43","20832.91","20028.34","20623.42","24113.58","19811.16","21061.73","20798.21","21355.16"
"M1117.784T13.112","20400.21","20400.21","20400.21","20400.21","23492.25","22580.28","23879.19","15833.49","24995.76","20504.70","23941.92","24333.84","25219.90","24168.90","16036.65","17365.94","20838.49","25350.88","26419.86","20233.23","23507.21","24380.72","23500.33","24515.68","23905.71","21009.82","16888.51","25674.57","24639.24","20886.44","21168.99","23985.65","22342.98","23296.17","15184.90","23423.45","25370.62","15594.64","24254.35","25198.00","25198.00","25078.50","25612.49","23226.01","22571.02","20152.37","23383.74","24340.77","19873.40","29714.74","15329.31","24574.79","24182.14","22643.63"
"M1118.774T17.122","10551.09","10551.09","10551.09","10551.09","14926.01","19540.45","14697.96","13266.14","19746.26","11763.41","13469.57","17330.79","16372.97","13791.77","17217.96","15333.70","15769.76","18653.79","20304.73","15145.32","19812.07","14268.95","20249.69","15914.76","14561.62","17875.47","15692.09","20262.01","13467.95"," 9323.59","11964.53","16052.68","13978.32","16510.49","16140.63","13086.23","16455.22","15969.77","14572.18","21457.94","21457.94","14748.11","18408.01","14828.35","14536.59","12867.35","14576.39","14983.54","10679.55","21034.90","15100.88","13705.67","17901.54","15831.35"
"M1120.12T13.11","41185.28","41185.28","41185.28","41185.28","41121.46","44442.85","47113.35","48651.26","50215.38","40458.70","43902.81","47045.42","46138.71","45448.74","46799.33","48548.95","42727.57","43974.96","49219.45","46367.76","45689.48","43411.22","46004.08","49736.10","46767.61","46730.48","49798.73","47497.51","48346.34","37541.51","42622.48","45483.32","49945.15","48761.94","47270.39","44611.65","45307.41","45936.03","51397.26","43680.70","43680.70","46356.04","45332.58","45323.07","48213.56","43314.06","46490.95","48671.64","41603.03","58418.77","47682.00","47432.01","49061.89","48222.65"
"M1120.777T16.117","22220.74","22220.74","22220.74","22220.74","26254.22","26420.10","28775.98","30186.30","28578.58","36886.02","46109.75","26439.46","25459.26","43951.49","30269.86","30946.36","25700.20","31648.66","29152.86","46093.54","27625.20","49962.93","28086.40","25932.42","22414.13","41901.75","23108.52","27292.80","24814.14","16996.44","40713.53","25981.59","30534.27","26400.27","28161.57","29880.42","29795.12","27829.85","26100.72","25181.74","25181.74","28437.06","25639.59","25889.44","30058.82","26477.58","25343.65","26698.58","20144.25","32348.72","29111.07","28770.49","28503.25","29349.79"
"M1121.442T16.134"," 8687.665"," 8687.665"," 8687.665"," 8687.665","10530.742","10628.545","10020.525","10651.627","12260.488"," 7232.043"," 8222.666","10951.675","11351.954","10974.826","12112.058","10642.514","10293.665","10178.420","11826.803"," 8604.781","19127.754","19283.936","12066.377","12047.283","11173.500"," 9881.556","10483.733","11874.847"," 9971.420"," 6895.158"," 8421.540","10558.592","12507.470","10800.748","11263.824"," 9913.167","10990.426","10304.765","10841.837"," 8169.080"," 8169.080"," 9587.093","11518.161","11401.436","11216.608","10310.192","10075.009","11203.518"," 7838.390","12888.664","12266.690","10422.777","10660.513","10423.177"
"M1121.782T12.114"," 9462.148"," 9462.148"," 9462.148"," 9462.148"," 8347.744","10122.475","10028.150"," 9703.232","10122.276"," 8809.774"," 9039.036"," 8750.010"," 9396.508","10520.321"," 7455.896","10935.992"," 7696.999"," 9522.584","10296.653"," 8902.248"," 9855.213","10528.242"," 9862.135"," 8748.427"," 9545.110"," 9438.907"," 8836.233"," 7899.046","11086.425"," 9511.571"," 9398.852"," 8701.785"," 9093.644"," 8170.298","10592.218"," 9787.274","10332.511"," 9853.480","20976.742","11232.227","11232.227"," 9179.207"," 9995.898","18000.049","12368.946"," 8775.417"," 8892.127","11082.537"," 9368.180","10774.721"," 8862.356"," 9837.424","11157.372","11085.636"
