"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","con_12","con_12","con_12","dro_12","dro_12","dro_12","dro_12","foc_12","foc_12","foc_12","foc_12","xvm_12","xvm_12","xvm_12"
"M632.472T1474.795","-1.07112682","-0.02620534"," 0.28078161"," 0.21339494"," 0.31018727"," 0.07078363"," 0.01723354"," 0.35079361"," 0.25932316","-1.76688538"," 0.37849650"," 0.49777079"," 0.18359321"," 0.30185929"
"M633.474T1424.866","-0.37453347","-0.24238243"," 0.15044891"," 0.12531908"," 0.30208798"," 0.09322395","-0.15199334"," 0.10059625"," 0.29567175","-1.29314339"," 0.48110170"," 0.22838198"," 0.04871372"," 0.23650730"
"M633.482T1643.428"," 0.02071157","-0.33387025","-0.01175220","-0.12828541"," 0.27547740","-0.31978980"," 0.06971403"," 0.47132054"," 0.45221432","-1.56026517"," 0.94840328"," 0.36764851","-0.26185100"," 0.01032417"
"M634.485T1424.862","-0.63266181","-0.16905587"," 0.11854838"," 0.14812779"," 0.33217103"," 0.18542758"," 0.01458111"," 0.08848972"," 0.19097107","-1.28050550"," 0.46795614"," 0.22991851"," 0.13412363"," 0.17190824"
"M636.377T13.112","-0.16491834","-0.12622573","-0.08601070"," 0.07981376","-0.07643215"," 0.15640521"," 0.05886538","-0.27676242"," 0.36248047","-0.00688662","-0.17243057"," 0.28080799"," 0.08192036","-0.11062663"
"M637.868T17.018"," 0.07140910"," 0.13610315"," 0.35112313","-0.22591110"," 0.11308397"," 0.18558814","-0.01857275","-0.24072210","-0.19804348","-0.22333394","-0.06602614"," 0.39350750","-0.05699748","-0.22120800"
"M647.463T1427.898","-1.28218792"," 0.04972153"," 0.21281142"," 0.22210584"," 0.44393417","-0.12002249"," 0.04096126"," 0.50141269"," 0.31592300","-1.65595134"," 0.31855709"," 0.58267899"," 0.04379693"," 0.32625883"
"M648.465T1441.075","-1.51194990","-0.17819886"," 0.22258039"," 0.31352855"," 0.47167433"," 0.05658206","-0.03160384"," 0.52340145"," 0.29956989","-1.42643288"," 0.36903488"," 0.52170226"," 0.05924747"," 0.31086421"
"M649.479T1424.057","-1.48288460","-0.15446391"," 0.26886241"," 0.27730340"," 0.38980159"," 0.08565470","-0.09312863"," 0.41476331"," 0.40328334","-1.44159649"," 0.45493308"," 0.55909478"," 0.09154982"," 0.22682721"
"M650.482T1423.88","-1.47935729","-0.19264009"," 0.21211398"," 0.37683105"," 0.35804979"," 0.11390911"," 0.11121545"," 0.37590154"," 0.31221596","-1.37560692"," 0.43285541"," 0.52674891"," 0.05496801"," 0.17279510"
"M652.863T18.122"," 0.30463405","-0.08317774"," 0.25268049"," 0.12087801","-0.97086189"," 0.28008406"," 0.21168401"," 0.01275431"," 0.07179213","-0.25569277","-0.10630828"," 0.14217026","-0.12376469"," 0.14312805"
"M652.865T11.104"," 0.030455290","-0.042909350"," 0.002196436"," 0.046231791","-0.662364901"," 0.183756107"," 0.056473416"," 0.061377182","-0.218075984"," 0.134982550","-0.046521548"," 0.373653596","-0.133253883"," 0.213999297"
"M653.868T15.563"," 0.320376331","-0.272992569","-0.040381393","-0.203079145"," 0.198458606"," 0.079920830","-0.005054475","-0.394390805","-0.023546832"," 0.136016604","-0.155850301"," 0.087503790","-0.042657339"," 0.315676699"
"M653.871T12.106"," 0.94987855","-0.30601832"," 0.01213036","-0.22145566","-0.03941711","-0.13891781","-0.14136870"," 0.11994748","-0.10811791"," 0.11146898"," 0.13772291","-0.29150090","-0.01279817","-0.07155370"
"M660.871T17.121"," 0.716115266","-0.001840614"," 0.235421203"," 0.073146281","-0.410603098"," 0.116908131","-0.097330000"," 0.142340988","-0.205212403","-0.514458464","-0.251100879"," 0.062456905"," 0.069403424"," 0.064753261"
"M660.874T12.107","-0.485087324"," 0.052135642","-0.226089058"," 0.447543430","-0.516368415"," 0.156578830"," 0.508607501"," 0.060158661","-0.083915609"," 0.073397683","-0.004973264","-0.178458698"," 0.208783756","-0.012313134"
"M663.459T1408.312","-0.60998914","-0.10919361","-0.42676031"," 0.30478631"," 0.28633996","-0.04552711"," 0.18182672"," 0.31272375"," 0.19885800","-0.59619777"," 0.41899346"," 0.51222449","-0.64168343"," 0.21359869"
"M663.461T1374.938","-0.74204976","-0.05503416","-0.11413763"," 0.25543541"," 0.33772125","-0.09127056"," 0.07432461"," 0.24318846"," 0.11848909","-0.65303034"," 0.44596388"," 0.57536348","-0.59049869"," 0.19553498"
"M664.853T17.893"," 0.32188546","-0.10857552"," 0.14460087","-0.01096972"," 0.04357257"," 0.19643728"," 0.20215484","-0.02358761","-0.27952174","-0.47750133","-0.34605945"," 0.15984823"," 0.16266447"," 0.01505164"
"M664.856T11.103","-0.24478954","-0.23536250","-0.02034478"," 0.23206280","-0.28772943"," 0.23757651"," 0.24854453"," 0.27826170","-0.52299905"," 0.02096567"," 0.17046480"," 0.22367250"," 0.05657714","-0.15690033"
"M665.856T18.124","-0.038379489"," 0.025298904"," 0.037048825"," 0.031571388"," 0.077118073","-0.018759153"," 0.196151699"," 0.167441817","-0.188923776"," 0.471350918","-0.550215399","-0.056738115"," 0.007845645","-0.160811336"
"M667.868T16.126"," 0.067673786"," 0.042336106"," 0.082979036"," 0.081391634","-0.322655075"," 0.079836816","-0.206295068"," 0.222539587","-0.005285852","-0.444720907","-0.011489322"," 0.173027012"," 0.231245708"," 0.009416538"
"M671.358T17.117"," 0.55356729"," 0.20997148","-0.92638461"," 0.02350060"," 0.47644095"," 0.17128349","-0.16819351"," 0.07462991","-0.25514886","-0.38381216","-0.05831554"," 0.04062901"," 0.01868217"," 0.22314976"
"M672.874T15.116"," 0.65559353","-0.09030189"," 0.01724860","-0.03884690","-0.06775339"," 0.06288317"," 0.11026538"," 0.02012835","-0.26766081"," 0.60960831","-0.18996836","-0.36851101","-0.36775601","-0.08492898"
"M680.861T18.117"," 0.55615090","-0.17162293"," 0.19621845"," 0.06627814","-0.26367742"," 0.15828643"," 0.20183256","-0.12289130"," 0.04592472","-0.76630297","-0.29883010"," 0.01882437"," 0.23447550"," 0.14533366"
"M680.864T11.105","-0.118122693","-0.220933932"," 0.185283663"," 0.011411844","-0.149770555","-0.005444919"," 0.128240840","-0.357516032","-0.003664801"," 0.068298267"," 0.270096804"," 0.246073828"," 0.055315905","-0.109268220"
"M681.468T1391.964","-1.06920682","-0.52656115","-0.02685647"," 0.37717852"," 0.39750577","-0.22996281","-0.06766452"," 0.50847084"," 0.39409516","-0.96283793"," 0.42836353"," 0.77346057","-0.01203339"," 0.01604873"
"M691.857T17.129"," 0.11994594","-0.08642983"," 0.16748656"," 0.22074296"," 0.04648208"," 0.22599623"," 0.05532260"," 0.07922437","-0.13666236","-0.58122102","-0.21111363"," 0.01650161"," 0.14141381","-0.05768934"
"M694.849T18.125"," 0.056205506","-0.143382297"," 0.241022372"," 0.097831431","-0.009716040"," 0.217512821"," 0.083993753"," 0.105040854"," 0.024641369","-0.322477284","-0.593658346"," 0.178072426","-0.007516004"," 0.072429437"
"M694.852T11.105"," 1.04677602","-0.13833065","-0.29740891","-0.06432665","-0.10488711","-0.02518732"," 0.72688179","-0.01624464","-0.04444238","-0.10932356","-0.30487928","-0.19671679","-0.09709573","-0.37481479"
"M696.843T19.128"," 0.16022979","-0.33581315"," 0.22752340"," 0.32028267","-0.12258575"," 0.23854275"," 0.23014724"," 0.22722322","-0.17264138","-0.28950966","-0.67596834"," 0.17104508"," 0.06337136","-0.04184724"
"M696.846T18.125"," 0.28774245"," 0.06645119"," 0.22208170"," 0.27652175","-0.04732169"," 0.29681190","-1.02073917"," 0.20427720","-0.09646848","-0.17866283","-0.48274104"," 0.17721569"," 0.15474850"," 0.14008283"
"M696.848T11.105","-0.427334230"," 0.209253716"," 0.256878066","-0.220250315","-0.616790928"," 0.363011771"," 0.006513440"," 0.204167122","-0.146071633"," 0.003033372"," 0.173633185","-0.067641170"," 0.172945495"," 0.088652109"
"M705.862T12.108","-0.26365773","-0.02572318","-0.52346724"," 0.01125982","-0.05009257"," 0.26713712","-0.03584651","-0.12718587"," 0.15889598"," 0.35485785"," 0.12276429"," 0.22788123","-0.12922583"," 0.01240263"
"M706.844T11.105","-0.275444075"," 0.169721709"," 0.008221683"," 0.137931688","-0.444083456"," 0.085151035"," 0.377773177","-0.086528811","-0.033952412","-0.017515191"," 0.238357891","-0.208938007"," 0.149192764","-0.099887994"
"M711.854T15.533"," 0.853813556","-0.105262434","-0.044273759","-0.151906777","-0.065752187"," 0.024931504"," 0.202632315","-0.188572731","-0.089486123"," 0.003969242","-0.150195643","-0.117826021","-0.063839199","-0.108231744"
"M712.85T18.123"," 0.69404434"," 0.03108344"," 0.12844664"," 0.17955339"," 0.02466534","-0.12714797","-0.01172466"," 0.04297150","-0.09741035","-0.51008948","-0.25667416","-0.12530072"," 0.11037297","-0.08279029"
"M717.846T18.125"," 0.644384216","-0.008567032"," 0.161128334"," 0.039500289","-0.011745404"," 0.172608304","-0.032291673"," 0.080732677","-0.099931515","-0.340225807","-0.497076171","-0.051884697"," 0.125110706","-0.181742229"
"M717.849T18.124"," 0.14826122"," 0.09278037"," 0.20831642"," 0.05511848"," 0.10275594"," 0.02116180"," 0.18849102"," 0.12707138","-0.02110011","-0.32025684","-0.51580362","-0.15259378"," 0.18875878","-0.12296105"
"M720.849T18.123"," 0.67548550","-0.08964571","-0.75414260"," 0.05553021","-0.02914434"," 0.08877879"," 0.27583128"," 0.04094522","-0.03481737","-0.28965667","-0.12691766"," 0.12534125"," 0.02067797"," 0.04173414"
"M725.522T13.111"," 0.294838021"," 0.057207446"," 0.320403979"," 0.065000471"," 0.093686097","-0.037512845","-0.291219194","-0.066603509","-0.310206519"," 0.144393346"," 0.066131084"," 0.008636102"," 0.040755879","-0.385510358"
"M725.853T17.122","-0.06458560","-0.06522865"," 0.15170945"," 0.06111362"," 0.68425440"," 0.01759312","-0.25986341"," 0.07681756","-0.11837899","-0.46660878","-0.01253764"," 0.04220366"," 0.06937138","-0.11586012"
"M728.859T17.123"," 0.02352571","-0.05451533"," 0.27234395"," 0.18269078","-0.01460611","-0.15919098","-0.08666578"," 0.15609196","-0.08818289","-0.45011619","-0.25715838"," 0.16486349"," 0.27752194"," 0.03339784"
"M732.841T18.125"," 0.38203966","-0.19520776"," 0.23012924"," 0.12221431"," 0.05164358"," 0.04746614"," 0.19480818"," 0.11516540","-0.13184563","-0.31303063","-0.54765885"," 0.02715825"," 0.09943102","-0.08231292"
"M733.846T16.933"," 0.6477359600"," 0.0006480923"," 0.1609403637"," 0.0496192772"," 0.1147615108","-0.1499258445"," 0.1737525109","-0.2142989430","-0.0791324993","-0.2276185565"," 0.1539845798"," 0.1610641756","-0.6423459334","-0.1491846936"
"M733.848T12.11","-0.37107744","-0.04891616"," 0.02036365","-0.14334736","-0.16174029"," 0.42638679"," 0.31731618","-0.15468775"," 0.04675270","-0.06408515"," 0.27703358","-0.30760504","-0.08528053"," 0.24888682"
"M748.186T13.112","-0.06686284"," 0.03381478"," 0.19591006"," 0.21301191","-0.14099401"," 0.14645237","-0.10196575","-0.23193664","-0.03074671"," 0.19119455"," 0.03959086","-0.21613972"," 0.04440868","-0.07573754"
"M748.848T18.125"," 0.10504375"," 0.03546675"," 0.15608237"," 0.03224226"," 0.03290437"," 0.01823560"," 0.23679319"," 0.18163558","-0.29358644","-0.51784663","-0.29116255"," 0.07493295"," 0.16330499"," 0.06595381"
"M748.852T11.107","-0.215403536"," 0.815712986","-0.054325894"," 0.041773200","-0.204143208","-0.219175752"," 0.311134489"," 0.160222332","-0.332294912"," 0.023014315","-0.102669864","-0.006724587"," 0.044236427","-0.261355997"
"M755.848T17.122","-0.17762109"," 0.08062481"," 0.32251325"," 0.22548064","-0.34958052"," 0.44154879"," 0.25735227","-0.05161519"," 0.13153041","-0.70901358"," 0.00861608"," 0.12947771"," 0.01028828","-0.31960187"
"M759.846T17.125","-0.092419389","-0.095438112","-0.017470513"," 0.039551376"," 0.036222894"," 0.046515625"," 0.116285366"," 0.118440506"," 0.125416686","-0.670749745","-0.091088587","-0.003464809"," 0.207614925"," 0.280583778"
"M762.841T18.125"," 0.64024603","-0.22792693"," 0.16863016"," 0.13002422","-0.03864702"," 0.13970292"," 0.18898347"," 0.05255304","-0.02268585","-0.44829996","-0.59587271"," 0.03408231","-0.03349371"," 0.01270402"
"M762.847T11.105","-0.39584404"," 0.08236064"," 0.14845524"," 0.20817056","-0.44890979"," 0.16142840"," 0.27409381"," 0.13603302","-0.06934714","-0.18304046","-0.05999282"," 0.21983544"," 0.25124520","-0.32448806"
"M764.831T18.142","-0.03819669","-0.12962369"," 0.31253634"," 0.21223891"," 0.04124457"," 0.17226948"," 0.18375338"," 0.05616027","-0.29282582","-0.27322464","-0.27473605","-0.10702216"," 0.11431608"," 0.02311002"
"M764.834T11.202"," 0.90120301"," 0.47301970","-0.11271267","-0.31383904","-0.27142945","-0.19065715","-0.26120184","-0.28033719","-0.09395095","-0.02125069"," 0.06697928","-0.25714418"," 0.61129553","-0.24997438"
"M764.837T11.106","-0.42502788"," 0.21152869"," 0.22798326","-0.19488127"," 0.07415581"," 0.41814304"," 0.31119454"," 0.02078257","-0.04926169","-0.06501610"," 0.13077461","-0.04668345","-0.19705718","-0.41663494"
"M767.839T17.122","-0.123533940","-0.113135121","-0.183419984"," 0.008097129"," 0.465710489"," 0.080556666"," 0.016612810"," 0.102879712"," 0.108155135","-0.401084698"," 0.253669102","-0.282552327"," 0.076916145","-0.008871117"
"M767.841T12.14","-0.30996916"," 0.13408326"," 0.34613517","-0.09381006","-0.16158721"," 0.31767264","-0.16239942","-0.39504304"," 0.12465400"," 0.22047256"," 0.07438856","-0.32168465"," 0.06794811"," 0.15913925"
"M768.855T17.124","-0.03003174","-0.22841102"," 0.13881546","-0.17044951"," 0.36892329"," 0.10991203"," 0.23866227","-0.02941704","-0.11553378","-0.55778536","-0.49294895"," 0.31158237"," 0.09683675"," 0.35984523"
"M771.182T13.584","-0.21062813"," 0.09378391"," 0.14450722","-0.11723300","-0.31073663"," 0.04529723"," 0.13238718"," 0.03908454"," 0.15094015","-0.27046548"," 0.08949988"," 0.16816557"," 0.12699229","-0.08159471"
"M771.505T1357.807","-1.77255127"," 0.67092876"," 0.19865897"," 0.35247682"," 0.09016835"," 0.74184185"," 0.38680267"," 0.03875957"," 0.02251298","-1.88877202"," 0.50198517"," 0.01180677"," 0.23094615"," 0.41443521"
"M772.843T17.125","-0.04459884","-0.04616067"," 0.47328840"," 0.05836341","-0.08470379"," 0.08443644"," 0.21830225"," 0.35159038","-0.12904773","-0.74299663","-0.47417935"," 0.36778597"," 0.07296900","-0.10504883"
