"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M893.341T926.592,13.209,0.010297,1.9873,0.14267,NA
M700.27T900.968,13.189,0.010387,1.9835,0.14267,NA
M566.215T813.875,13.183,0.010414,1.9824,0.14267,NA
M670.245T959.199,13.157,0.010535,1.9774,0.14267,NA
M948.363T924.637,13.149,0.01057,1.9759,0.14267,NA
M809.346T827.274,13.088,0.010852,1.9645,0.14267,NA
M787.311T955.77,13.08,0.010892,1.9629,0.14267,NA
M885.332T901.88,13.078,0.010899,1.9626,0.14267,NA
M618.492T1624.789,13.077,0.010906,1.9623,0.14267,NA
M984.375T812.644,13.076,0.010912,1.9621,0.14267,NA
M904.347T942.609,13.041,0.011079,1.9555,0.14267,NA
M850.318T843.183,13.027,0.011146,1.9529,0.14267,NA
M803.313T918.862,13.021,0.011173,1.9518,0.14267,NA
M798.337T946.991,13.013,0.011211,1.9504,0.14267,NA
M936.359T886.012,13.011,0.011222,1.9499,0.14267,NA
M990.367T843.183,13.003,0.01126,1.9484,0.14267,NA
M822.328T902.328,13.001,0.011271,1.948,0.14267,NA
M836.312T942.609,12.951,0.01152,1.9385,0.14378,NA
M789.34T911.399,12.951,0.01152,1.9385,0.14378,NA
M519.185T891.73,12.921,0.011668,1.933,0.14378,NA
M734.266T813.875,12.915,0.0117,1.9318,0.14378,NA
M850.319T858.821,12.911,0.011717,1.9312,0.14378,NA
M805.328T827.274,12.908,0.011736,1.9305,0.14378,NA
M958.38T975.822,12.845,0.012057,1.9188,0.14565,NA
M795.328T924.482,12.836,0.012105,1.917,0.14565,NA
M847.317T919.58,12.834,0.012116,1.9166,0.14565,NA
M787.312T881.272,12.816,0.012212,1.9132,0.14565,NA
M705.258T877.183,12.789,0.012355,1.9082,0.14565,NA
M967.385T975.822,12.788,0.012359,1.908,0.14565,NA
M887.342T862.119,12.776,0.012422,1.9058,0.14565,NA
M471.218T918.479,12.772,0.012443,1.9051,0.14565,NA
M878.337T941.124,12.765,0.012486,1.9036,0.14565,NA
M905.343T902.791,12.721,0.012724,1.8954,0.14565,NA
M807.348T918.929,12.717,0.012742,1.8948,0.14565,NA
M511.168T833.583,12.707,0.012798,1.8929,0.14565,NA
M804.315T943.327,12.682,0.01294,1.8881,0.14565,NA
M425.15T917.809,12.68,0.012949,1.8877,0.14565,NA
M821.327T902.328,12.678,0.012962,1.8873,0.14565,NA
M1051.398T857.905,12.674,0.012982,1.8866,0.14565,NA
M1087.418T959.199,12.669,0.013011,1.8857,0.14565,NA
M901.354T973.898,12.637,0.01319,1.8798,0.14565,NA
M862.322T843.183,12.629,0.013236,1.8782,0.14565,NA
M850.319T935.639,12.623,0.013271,1.8771,0.14565,NA
M951.371T857.905,12.614,0.013325,1.8753,0.14565,NA
M995.371T941.78,12.612,0.013335,1.875,0.14565,NA
M960.389T959.199,12.602,0.013393,1.8731,0.14565,NA
M881.336T941.124,12.589,0.013471,1.8706,0.14565,NA
M910.351T957.42,12.565,0.01361,1.8661,0.14565,NA
M1038.388T940.951,12.547,0.013718,1.8627,0.14565,NA
M803.314T959.886,12.522,0.013865,1.8581,0.14565,NA
M551.201T893.689,12.517,0.013894,1.8572,0.14565,NA
M986.389T942.609,12.516,0.013902,1.8569,0.14565,NA
M698.241T891.652,12.509,0.013941,1.8557,0.14565,NA
M1097.411T857.905,12.509,0.013942,1.8557,0.14565,NA
M874.349T992.353,12.503,0.013978,1.8546,0.14565,NA
M899.333T857.905,12.502,0.013986,1.8543,0.14565,NA
M818.274T858.699,12.485,0.014085,1.8512,0.14585,NA
M890.353T1023.188,12.459,0.014242,1.8464,0.14585,NA
M853.347T926.093,12.448,0.01431,1.8444,0.14585,NA
M512.175T909.479,12.44,0.014364,1.8427,0.14585,NA
M908.359T973.898,12.438,0.014377,1.8423,0.14585,NA
M440.152T910.27,12.436,0.014387,1.842,0.14585,NA
M963.375T943.327,12.425,0.014458,1.8399,0.14592,NA
M803.31T992.353,12.392,0.01466,1.8339,0.14613,NA
M1037.391T940.951,12.383,0.014717,1.8322,0.14613,NA
M1087.424T940.951,12.377,0.014754,1.8311,0.14613,NA
M734.269T909.479,12.371,0.014798,1.8298,0.14613,NA
M1080.395T940.951,12.362,0.01485,1.8283,0.14613,NA
M1018.384T812.644,12.341,0.014986,1.8243,0.14613,NA
M700.272T813.875,12.331,0.015055,1.8223,0.14613,NA
M498.187T898.1,12.326,0.015083,1.8215,0.14613,NA
