"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M472.315T1401.37,6.0248,0.19731,0.70486,0.51957,NA
M847.517T1163.004,6.0203,0.19764,0.70413,0.51985,NA
M829.507T1333.909,6.0139,0.19811,0.70308,0.52029,NA
M640.557T1608.472,6.0119,0.19826,0.70277,0.52029,NA
M681.474T1424.253,6.0034,0.19889,0.70138,0.52124,NA
M481.203T929.492,5.9968,0.19939,0.70031,0.52124,NA
M772.3T843.183,5.9959,0.19946,0.70015,0.52124,NA
M510.367T1523.593,5.9906,0.19985,0.6993,0.52124,NA
M393.25T1170.538,5.9895,0.19994,0.69911,0.52124,NA
M933.559T1255.703,5.9888,0.19999,0.699,0.52124,NA
M937.594T1308.231,5.9855,0.20023,0.69847,0.52128,NA
M595.491T1621.712,5.9739,0.2011,0.69658,0.52296,NA
M552.249T887.511,5.9637,0.20187,0.69492,0.52368,NA
M603.415T1456.538,5.9617,0.20203,0.69459,0.52368,NA
M923.341T843.183,5.9558,0.20247,0.69364,0.52368,NA
M639.422T1384.421,5.9519,0.20277,0.693,0.52368,NA
M771.505T1209.593,5.9475,0.2031,0.69228,0.52368,NA
M549.428T1523.962,5.9459,0.20323,0.69202,0.52368,NA
M549.424T1473.203,5.9423,0.2035,0.69144,0.52368,NA
M869.576T1472.958,5.9422,0.20351,0.69142,0.52368,NA
M374.303T1319.161,5.9411,0.20359,0.69124,0.52368,NA
M608.447T1456.373,5.9401,0.20367,0.69108,0.52368,NA
M1100.695T1308.231,5.9312,0.20435,0.68963,0.52484,NA
M574.466T1295.888,5.9263,0.20472,0.68884,0.52517,NA
M1115.431T857.905,5.9214,0.20509,0.68805,0.52517,NA
M555.368T1312.999,5.9179,0.20536,0.68748,0.52517,NA
M1105.447T942.609,5.9175,0.20539,0.68742,0.52517,NA
M633.407T1339.403,5.9025,0.20655,0.68497,0.52652,NA
M425.216T1473.286,5.9023,0.20657,0.68494,0.52652,NA
M719.539T1371.072,5.9017,0.20661,0.68485,0.52652,NA
M650.569T1641.124,5.8915,0.2074,0.6832,0.52794,NA
M299.109T1341.992,5.8843,0.20796,0.68203,0.52831,NA
M576.533T1641.124,5.8837,0.20801,0.68193,0.52831,NA
M425.215T1372.868,5.8764,0.20857,0.68075,0.52856,NA
M621.422T1335.803,5.872,0.20891,0.68004,0.52856,NA
M727.561T1540.694,5.8706,0.20903,0.6798,0.52856,NA
M727.571T1439.78,5.8706,0.20903,0.6798,0.52856,NA
M954.593T1523.868,5.865,0.20946,0.6789,0.52856,NA
M848.522T1297.532,5.8622,0.20968,0.67845,0.52856,NA
M807.524T1179.269,5.8594,0.20989,0.678,0.52856,NA
M778.292T940.951,5.8531,0.21039,0.67698,0.52856,NA
M674.516T1456.832,5.8502,0.21062,0.6765,0.52856,NA
M711.444T1322.388,5.8472,0.21085,0.67602,0.52856,NA
M409.275T1322.624,5.8458,0.21096,0.6758,0.52856,NA
M347.259T1473.286,5.8411,0.21133,0.67503,0.52856,NA
M521.267T1106.551,5.8406,0.21138,0.67495,0.52856,NA
M845.59T1410.795,5.8351,0.21181,0.67406,0.52856,NA
M617.437T1439.554,5.834,0.21189,0.67388,0.52856,NA
M558.473T1423.364,5.8331,0.21196,0.67374,0.52856,NA
M440.221T1305.648,5.826,0.21252,0.67259,0.52856,NA
M491.175T936.403,5.8258,0.21254,0.67255,0.52856,NA
M659.432T1373.551,5.8216,0.21288,0.67187,0.52856,NA
M329.158T1625.781,5.8183,0.21314,0.67134,0.52856,NA
M908.613T1393.418,5.8173,0.21321,0.67119,0.52856,NA
M889.582T1473.64,5.8169,0.21324,0.67112,0.52856,NA
M259.067T312.641,5.8149,0.21341,0.67079,0.52856,NA
M545.37T1372.761,5.803,0.21435,0.66887,0.53032,NA
M877.503T1170,5.7933,0.21513,0.6673,0.53114,NA
M933.598T1473.64,5.793,0.21515,0.66727,0.53114,NA
M507.368T1440.116,5.7809,0.21612,0.66531,0.53297,NA
M933.558T1239.033,5.7776,0.21638,0.66478,0.53299,NA
M815.507T1358.969,5.7733,0.21673,0.66408,0.53299,NA
M873.589T1438.489,5.7721,0.21683,0.66389,0.53299,NA
M1018.702T1376.163,5.7641,0.21747,0.6626,0.534,NA
M505.273T1221.035,5.7529,0.21838,0.66079,0.5352,NA
M900.588T1507.107,5.7523,0.21842,0.6607,0.5352,NA
M312.324T1587.373,5.741,0.21935,0.65887,0.53603,NA
M590.465T1389.456,5.74,0.21942,0.65872,0.53603,NA
M472.321T1423.013,5.7395,0.21947,0.65863,0.53603,NA
M623.435T1308.231,5.7356,0.21978,0.65801,0.53612,NA
M654.541T1386.472,5.7333,0.21997,0.65763,0.53612,NA
M769.489T1304.079,5.7199,0.22106,0.65548,0.53821,NA
M439.231T1187.316,5.7036,0.2224,0.65286,0.5409,NA
M885.565T1438.11,5.6964,0.223,0.65169,0.54124,NA
M660.514T1439.78,5.6962,0.22302,0.65166,0.54124,NA
M615.477T1390.077,5.6899,0.22353,0.65066,0.54192,NA
M425.216T1422.743,5.679,0.22443,0.64891,0.54311,NA
M862.498T1256.218,5.6783,0.2245,0.64879,0.54311,NA
M805.508T1280.356,5.6667,0.22546,0.64692,0.54456,NA
M533.436T1590.96,5.6653,0.22557,0.64671,0.54456,NA
M614.484T1372.967,5.6594,0.22607,0.64575,0.54519,NA
M770.485T1321.424,5.656,0.22636,0.64521,0.5453,NA
M830.514T1319.031,5.6498,0.22687,0.64422,0.54545,NA
M387.235T1108.062,5.6496,0.22689,0.64418,0.54545,NA
M537.531T1591.374,5.6427,0.22747,0.64307,0.54627,NA
M534.444T1557.26,5.6373,0.22792,0.64222,0.54677,NA
M639.422T1278.929,5.6329,0.22829,0.64151,0.54709,NA
M640.427T1423.35,5.6263,0.22885,0.64046,0.54784,NA
M867.583T1492.083,5.618,0.22955,0.63912,0.54896,NA
M808.52T1220.972,5.61,0.23023,0.63783,0.55001,NA
M661.446T1372.452,5.6042,0.23072,0.63691,0.55019,NA
M576.484T1557.453,5.6034,0.23079,0.63679,0.55019,NA
M629.464T1456.367,5.6002,0.23106,0.63628,0.55027,NA
M555.365T1404.858,5.593,0.23168,0.63511,0.55102,NA
M352.255T1036.333,5.5909,0.23186,0.63478,0.55102,NA
M422.212T1355.605,5.5825,0.23257,0.63345,0.55165,NA
M855.48T1289.094,5.5814,0.23267,0.63326,0.55165,NA
M623.426T1405.986,5.5793,0.23285,0.63293,0.55165,NA
M803.49T1305.244,5.5639,0.23417,0.63047,0.55421,NA
M698.466T1253.346,5.5603,0.23448,0.62989,0.55439,NA
M514.42T1557.571,5.5444,0.23585,0.62736,0.55695,NA
M549.406T1423.559,5.5421,0.23605,0.62699,0.55695,NA
M351.253T1019.694,5.5333,0.23682,0.62558,0.55695,NA
M381.12T920.434,5.533,0.23684,0.62554,0.55695,NA
M771.504T1195.638,5.5272,0.23735,0.62461,0.55695,NA
M727.445T1338.726,5.5271,0.23736,0.62459,0.55695,NA
M555.456T1423.317,5.5265,0.23741,0.6245,0.55695,NA
M646.461T1352.771,5.5254,0.23751,0.62432,0.55695,NA
M256.263T1593.285,5.5111,0.23875,0.62205,0.55789,NA
M613.499T1578.697,5.5086,0.23897,0.62165,0.55789,NA
M579.488T1473.637,5.5076,0.23906,0.62149,0.55789,NA
M668.509T1456.373,5.4995,0.23978,0.6202,0.55789,NA
M481.366T1325.086,5.4968,0.24002,0.61976,0.55789,NA
M603.424T1440.046,5.4945,0.24021,0.61941,0.55789,NA
M1153.43T924.482,5.4942,0.24024,0.61935,0.55789,NA
M745.453T1320.963,5.4941,0.24025,0.61933,0.55789,NA
M786.512T1300.456,5.4938,0.24028,0.61929,0.55789,NA
M315.215T1607.605,5.493,0.24035,0.61916,0.55789,NA
M803.496T1340.099,5.4831,0.24122,0.61758,0.55935,NA
M639.424T1291.55,5.4789,0.24159,0.61692,0.55939,NA
M600.494T1476.552,5.4773,0.24173,0.61667,0.55939,NA
M425.216T1401.37,5.4726,0.24215,0.61592,0.55948,NA
M645.457T1372.456,5.4681,0.24255,0.61521,0.55948,NA
M668.506T1440.08,5.4663,0.24271,0.61491,0.55948,NA
M613.48T1674.955,5.4635,0.24296,0.61447,0.55948,NA
M775.529T1416.7,5.4632,0.24299,0.61442,0.55948,NA
M371.256T1312.999,5.4516,0.24402,0.61257,0.56086,NA
M461.357T1435.338,5.4509,0.24407,0.61248,0.56086,NA
M644.52T1393.418,5.4448,0.24463,0.61149,0.56157,NA
M973.671T1456.538,5.441,0.24496,0.6109,0.56177,NA
M601.255T947.668,5.4345,0.24554,0.60987,0.56254,NA
M312.324T1556.858,5.4299,0.24596,0.60913,0.56294,NA
M679.452T1355.733,5.4157,0.24724,0.60688,0.5653,NA
M871.588T1456.932,5.4116,0.24761,0.60623,0.56533,NA
M711.441T1125.643,5.408,0.24794,0.60565,0.56533,NA
M605.221T880.56,5.4073,0.24799,0.60556,0.56533,NA
M695.451T1225.817,5.3964,0.24898,0.60383,0.56702,NA
M951.567T1289.006,5.3868,0.24986,0.60229,0.5678,NA
M691.276T938.382,5.3864,0.2499,0.60224,0.5678,NA
M866.584T1473.64,5.3836,0.25016,0.60179,0.5678,NA
M415.326T1295.888,5.3805,0.25043,0.60131,0.5678,NA
M622.422T1352.626,5.3791,0.25056,0.60108,0.5678,NA
M599.516T1557.26,5.37,0.2514,0.59964,0.56912,NA
M545.399T1295.888,5.3668,0.25169,0.59913,0.56922,NA
M785.481T1083.452,5.3592,0.25238,0.59794,0.56942,NA
M513.307T1059.952,5.3589,0.25242,0.59788,0.56942,NA
M805.511T1321.794,5.3577,0.25252,0.5977,0.56942,NA
M483.269T1036.129,5.3457,0.25363,0.5958,0.57102,NA
M862.501T1188.24,5.3446,0.25373,0.59563,0.57102,NA
M600.493T1607.83,5.3353,0.25459,0.59415,0.57192,NA
M325.162T1456.762,5.3349,0.25463,0.59409,0.57192,NA
M461.356T1493.495,5.3272,0.25534,0.59288,0.57274,NA
M549.431T1507.08,5.3229,0.25575,0.59219,0.57274,NA
M839.557T1356.291,5.3229,0.25575,0.59219,0.57274,NA
M497.355T1490.329,5.3194,0.25607,0.59165,0.5729,NA
M549.19T901.604,5.3082,0.25711,0.58988,0.57468,NA
M679.436T1338.726,5.3031,0.25759,0.58907,0.57519,NA
M374.305T1278.929,5.2932,0.25851,0.58752,0.57668,NA
M284.294T1507.157,5.2848,0.2593,0.5862,0.57787,NA
M284.292T1489.634,5.2732,0.2604,0.58436,0.57976,NA
M471.336T1557.26,5.2657,0.2611,0.58319,0.58076,NA
M839.497T1323.85,5.2545,0.26216,0.58143,0.58214,NA
M621.422T1439.586,5.2538,0.26223,0.58132,0.58214,NA
M654.545T1490.203,5.247,0.26288,0.58025,0.58249,NA
M699.261T909.479,5.2468,0.2629,0.58021,0.58249,NA
M284.292T1454.541,5.2427,0.26329,0.57957,0.5828,NA
M420.286T1339.593,5.2358,0.26394,0.57849,0.58286,NA
M521.768T1141.562,5.232,0.26431,0.57789,0.58286,NA
M505.253T1269.605,5.2318,0.26433,0.57785,0.58286,NA
M735.519T1091.088,5.2314,0.26437,0.57779,0.58286,NA
M645.455T1406.122,5.2291,0.26459,0.57743,0.58286,NA
M670.538T1472.8,5.2182,0.26563,0.57572,0.58391,NA
M563.398T1372.544,5.2146,0.26598,0.57516,0.58391,NA
M613.47T1623.158,5.2112,0.26631,0.57461,0.58391,NA
M336.324T1558.832,5.2106,0.26636,0.57453,0.58391,NA
M839.506T1306.415,5.2091,0.2665,0.5743,0.58391,NA
M329.157T1608.526,5.2074,0.26667,0.57403,0.58391,NA
M753.499T1355.744,5.2055,0.26685,0.57373,0.58391,NA
M1028.908T973.898,5.1989,0.26749,0.57269,0.58423,NA
M293.173T1490.995,5.1985,0.26753,0.57262,0.58423,NA
M285.297T1471.68,5.1943,0.26794,0.57196,0.58423,NA
M745.439T1283.896,5.1905,0.26831,0.57137,0.58423,NA
M608.454T1439.392,5.1879,0.26855,0.57097,0.58423,NA
M753.585T1558.832,5.1879,0.26856,0.57096,0.58423,NA
M787.544T1540.701,5.1846,0.26888,0.57044,0.58423,NA
M949.553T1173.004,5.1808,0.26924,0.56986,0.58423,NA
M919.292T824.161,5.1783,0.26948,0.56947,0.58423,NA
M803.498T1269.605,5.1777,0.26955,0.56937,0.58423,NA
M727.264T942.609,5.1722,0.27008,0.56851,0.58483,NA
M951.572T1242.045,5.1534,0.27192,0.56556,0.58805,NA
M637.556T1540.43,5.1517,0.27208,0.56531,0.58805,NA
M589.459T1372.544,5.137,0.27352,0.563,0.59033,NA
M424.212T1390.408,5.1287,0.27434,0.56171,0.59033,NA
M642.513T1591.557,5.1263,0.27458,0.56132,0.59033,NA
M424.206T1605.092,5.1261,0.2746,0.5613,0.59033,NA
M769.489T1272.035,5.121,0.2751,0.56051,0.59033,NA
M487.275T1254.627,5.1207,0.27513,0.56046,0.59033,NA
M1022.363T909.479,5.1191,0.2753,0.5602,0.59033,NA
M731.268T924.482,5.1175,0.27545,0.55996,0.59033,NA
M623.427T1295.888,5.1175,0.27545,0.55996,0.59033,NA
M815.515T1474.31,5.1137,0.27583,0.55937,0.59058,NA
M549.392T1385.9,5.1094,0.27626,0.55869,0.59095,NA
M455.313T1308.231,5.1064,0.27656,0.55822,0.59104,NA
M841.494T1269.702,5.0976,0.27743,0.55685,0.59206,NA
M854.586T1584.638,5.0949,0.2777,0.55643,0.59206,NA
M455.314T1423.012,5.0938,0.27781,0.55625,0.59206,NA
M512.387T1540.565,5.0892,0.27827,0.55554,0.59248,NA
M676.501T1423.01,5.0866,0.27853,0.55513,0.59248,NA
M882.48T1339.403,5.0751,0.27968,0.55334,0.59438,NA
M758.249T769.852,5.0661,0.28058,0.55194,0.59562,NA
M993.709T1358.969,5.0627,0.28093,0.55141,0.59562,NA
M587.444T1372.394,5.0615,0.28104,0.55123,0.59562,NA
M839.501T1289.163,5.0511,0.28209,0.54961,0.5973,NA
M474.347T1608.13,5.047,0.28251,0.54897,0.59763,NA
M385.292T1608.361,5.0375,0.28347,0.54749,0.59894,NA
M683.462T1387.796,5.0357,0.28366,0.54721,0.59894,NA
M826.519T1204.919,5.0313,0.2841,0.54652,0.59934,NA
M335.219T1456.26,5.028,0.28443,0.54602,0.59948,NA
M871.586T1542.988,5.0244,0.2848,0.54545,0.59971,NA
M453.296T1425.43,5.0142,0.28585,0.54387,0.60119,NA
M672.592T1624.962,5.0095,0.28633,0.54314,0.60119,NA
M419.313T1610.334,5.0093,0.28635,0.54311,0.60119,NA
M441.32T1479.382,5.0073,0.28655,0.54279,0.60119,NA
M675.452T1372.394,4.9948,0.28783,0.54086,0.60332,NA
M351.18T1518.016,4.9886,0.28847,0.5399,0.60409,NA
M545.398T1401.37,4.9836,0.28898,0.53913,0.60462,NA
M658.499T1325.086,4.9802,0.28934,0.53859,0.60471,NA
M613.479T1523.593,4.9715,0.29024,0.53725,0.60471,NA
M886.576T1523.593,4.9696,0.29043,0.53695,0.60471,NA
M438.219T1156.388,4.9672,0.29068,0.53658,0.60471,NA
M645.453T1423.012,4.9637,0.29104,0.53604,0.60471,NA
M291.231T1305.114,4.9628,0.29114,0.53591,0.60471,NA
M675.447T1389.557,4.9624,0.29118,0.53584,0.60471,NA
M629.459T1473.698,4.9609,0.29133,0.53561,0.60471,NA
M311.255T1422.18,4.9603,0.2914,0.53551,0.60471,NA
M429.161T884.128,4.9565,0.29179,0.53494,0.60496,NA
M891.586T1463.866,4.9516,0.2923,0.53417,0.60518,NA
M555.366T1352.626,4.9504,0.29242,0.53399,0.60518,NA
M403.243T1438.94,4.9427,0.29322,0.5328,0.60629,NA
M697.464T1209.593,4.9368,0.29384,0.53188,0.60703,NA
M541.474T1573.977,4.931,0.29445,0.53099,0.60773,NA
M901.581T1474.354,4.9275,0.29481,0.53045,0.60794,NA
M735.517T1069.529,4.917,0.29592,0.52883,0.60879,NA
M1028.737T1475.069,4.9161,0.29602,0.52868,0.60879,NA
M713.458T1120.063,4.916,0.29602,0.52868,0.60879,NA
M1018.708T1492.083,4.9053,0.29715,0.52702,0.61056,NA
M757.24T725.919,4.8986,0.29786,0.52599,0.61147,NA
M439.315T1490.286,4.8937,0.29838,0.52523,0.61199,NA
M653.413T1286.062,4.8841,0.2994,0.52375,0.6132,NA
M501.359T1626.501,4.8831,0.29951,0.52359,0.6132,NA
M654.545T1540.694,4.8797,0.29987,0.52307,0.61339,NA
M628.488T1423.366,4.8689,0.30102,0.52141,0.61502,NA
M759.217T1590.788,4.8671,0.3012,0.52114,0.61502,NA
M453.3T1369.526,4.8563,0.30237,0.51947,0.61664,NA
M619.437T1280.542,4.8547,0.30253,0.51923,0.61664,NA
M427.241T1439.043,4.8519,0.30284,0.51879,0.61671,NA
M568.445T1641.124,4.8474,0.30332,0.5181,0.61715,NA
M871.583T1481.744,4.8447,0.30361,0.51768,0.61719,NA
M297.239T1641.309,4.8348,0.30467,0.51617,0.61879,NA
M309.131T1610.851,4.828,0.30541,0.51512,0.61974,NA
M341.156T1442.696,4.7987,0.30858,0.51063,0.62533,NA
M520.268T1356.47,4.7976,0.30871,0.51045,0.62533,NA
M385.181T1641.823,4.7944,0.30905,0.50997,0.62547,NA
M645.458T1212.039,4.7853,0.31004,0.50858,0.62692,NA
M646.453T1439.754,4.7809,0.31053,0.5079,0.6271,NA
M603.41T1440.081,4.7795,0.31068,0.50769,0.6271,NA
M645.449T1440.08,4.7746,0.31121,0.50694,0.62716,NA
M297.239T1372.882,4.7743,0.31125,0.50689,0.62716,NA
M725.257T926.047,4.7706,0.31166,0.50632,0.62743,NA
M951.567T1355.083,4.7603,0.31278,0.50476,0.62914,NA
M347.255T1439.392,4.7555,0.31332,0.50401,0.62948,NA
M605.427T1490.314,4.7517,0.31374,0.50343,0.62948,NA
M837.55T1439.862,4.7513,0.31378,0.50338,0.62948,NA
M945.579T1325.086,4.7442,0.31456,0.5023,0.6305,NA
M432.221T1406.201,4.7384,0.3152,0.50141,0.63091,NA
M609.485T1523.905,4.7374,0.31532,0.50126,0.63091,NA
M860.602T1570.854,4.7316,0.31597,0.50036,0.63166,NA
M609.518T1624.418,4.7273,0.31644,0.49971,0.63205,NA
M993.57T1273.542,4.7203,0.31722,0.49864,0.6323,NA
M767.537T1356.112,4.7169,0.3176,0.49812,0.6323,NA
M365.194T1335.803,4.7161,0.31768,0.49801,0.6323,NA
M975.566T1291.55,4.7158,0.31772,0.49795,0.6323,NA
M256.171T1610.743,4.7131,0.31803,0.49754,0.6323,NA
M722.259T892.9,4.7084,0.31855,0.49683,0.6323,NA
M297.24T1406.34,4.7071,0.31869,0.49664,0.6323,NA
M590.444T1439.586,4.7064,0.31877,0.49652,0.6323,NA
M723.451T1338.726,4.6978,0.31973,0.49521,0.63366,NA
M561.396T1195.638,4.688,0.32083,0.49372,0.63474,NA
M897.569T1456.348,4.6864,0.32102,0.49347,0.63474,NA
M675.44T1356.706,4.6855,0.32111,0.49334,0.63474,NA
M680.474T1439.81,4.66,0.324,0.48946,0.6399,NA
M455.315T1295.888,4.655,0.32457,0.4887,0.64047,NA
M993.57T1306.532,4.6483,0.32533,0.48768,0.64062,NA
M943.383T973.898,4.6482,0.32534,0.48766,0.64062,NA
M614.483T1621.712,4.6469,0.32548,0.48747,0.64062,NA
M680.472T1423.013,4.6371,0.3266,0.48599,0.64171,NA
M433.146T798.136,4.6371,0.3266,0.48599,0.64171,NA
M977.7T1446.028,4.6236,0.32814,0.48394,0.64419,NA
M885.576T1456.932,4.6098,0.32972,0.48185,0.64663,NA
M610.257T918.479,4.6079,0.32995,0.48156,0.64663,NA
M869.576T1513.559,4.602,0.33063,0.48066,0.64741,NA
M862.521T1333.909,4.5993,0.33094,0.48026,0.64746,NA
M932.586T1456.932,4.5874,0.33231,0.47845,0.64922,NA
M455.313T1352.626,4.5866,0.3324,0.47834,0.64922,NA
M713.457T1306.323,4.5772,0.33349,0.47691,0.65035,NA
M892.611T1446.028,4.5747,0.33378,0.47654,0.65035,NA
M745.448T1339.004,4.5743,0.33383,0.47647,0.65035,NA
M985.572T1323.311,4.5648,0.33493,0.47505,0.65193,NA
M897.571T1473.254,4.5556,0.33601,0.47365,0.65296,NA
M702.545T1440.116,4.5503,0.33662,0.47285,0.65296,NA
M889.582T1376.163,4.5492,0.33675,0.47269,0.65296,NA
M747.539T1372.761,4.548,0.3369,0.4725,0.65296,NA
M431.216T1372.484,4.5459,0.33714,0.47219,0.65296,NA
M1141.365T817.469,4.5449,0.33726,0.47204,0.65296,NA
M763.456T1354.833,4.5432,0.33745,0.47179,0.65296,NA
M967.561T1163.004,4.5321,0.33876,0.47011,0.6542,NA
M685.539T1591.061,4.5311,0.33888,0.46995,0.6542,NA
M393.235T1355.605,4.529,0.33912,0.46964,0.6542,NA
M521.363T1439.751,4.5261,0.33946,0.46921,0.6542,NA
M779.481T1678.566,4.525,0.3396,0.46904,0.6542,NA
M555.448T1352.626,4.5232,0.33981,0.46877,0.6542,NA
M453.3T1456.918,4.5153,0.34074,0.46758,0.65543,NA
M538.393T1458.161,4.5106,0.34129,0.46688,0.65543,NA
M311.311T1540.43,4.5105,0.3413,0.46686,0.65543,NA
M273.168T1570.267,4.5017,0.34234,0.46554,0.65687,NA
M679.449T1212.039,4.4972,0.34287,0.46486,0.65734,NA
M628.528T1608.773,4.4925,0.34344,0.46415,0.65787,NA
M670.539T1507.08,4.4898,0.34376,0.46374,0.65794,NA
M689.542T1488.279,4.4735,0.3457,0.4613,0.66034,NA
M555.366T1440.123,4.4678,0.34639,0.46044,0.66034,NA
M628.529T1624.373,4.4666,0.34653,0.46026,0.66034,NA
M297.239T1269.605,4.4627,0.347,0.45968,0.66034,NA
M861.513T1356.533,4.4615,0.34714,0.4595,0.66034,NA
M504.765T1256.694,4.4609,0.34721,0.4594,0.66034,NA
M847.518T1306.823,4.4607,0.34723,0.45939,0.66034,NA
M967.715T1574.486,4.46,0.34732,0.45927,0.66034,NA
M393.186T1422.878,4.4574,0.34763,0.45888,0.66039,NA
M351.179T1358.969,4.4409,0.34961,0.45641,0.6636,NA
M504.266T1201.385,4.4345,0.35039,0.45545,0.66424,NA
M385.183T1369.501,4.4333,0.35053,0.45527,0.66424,NA
M511.374T1540.43,4.4276,0.35122,0.45442,0.66499,NA
M312.323T1418.36,4.4223,0.35186,0.45363,0.66523,NA
M555.454T1439.586,4.4195,0.3522,0.45321,0.66523,NA
M706.585T1658.237,4.4194,0.35222,0.45319,0.66523,NA
M912.601T1591.283,4.3983,0.35478,0.45004,0.66854,NA
M641.509T1471.536,4.3921,0.35554,0.44911,0.66854,NA
M295.152T1325.086,4.3911,0.35566,0.44896,0.66854,NA
M621.419T1456.849,4.3877,0.35607,0.44846,0.66854,NA
M605.432T1239.559,4.3868,0.35618,0.44833,0.66854,NA
M844.601T1557.588,4.3855,0.35634,0.44813,0.66854,NA
M672.565T1621.712,4.385,0.3564,0.44806,0.66854,NA
M1123.425T940.951,4.3833,0.35661,0.44781,0.66854,NA
M645.45T1333.909,4.3805,0.35695,0.44739,0.66854,NA
M652.503T1490.314,4.3805,0.35695,0.44739,0.66854,NA
M736.519T1283.896,4.3787,0.35717,0.44712,0.66854,NA
M549.426T1489.95,4.3728,0.3579,0.44624,0.66875,NA
M635.243T900.968,4.3709,0.35813,0.44596,0.66875,NA
M917.578T1423.395,4.3674,0.35856,0.44543,0.66875,NA
M542.478T1573.977,4.3645,0.35892,0.445,0.66875,NA
M565.421T1472.855,4.3642,0.35895,0.44496,0.66875,NA
M387.25T1278.929,4.3612,0.35932,0.44452,0.66875,NA
M544.447T1588.441,4.3611,0.35933,0.4445,0.66875,NA
M481.361T1475.061,4.3535,0.36027,0.44337,0.66936,NA
M349.197T1405.871,4.353,0.36034,0.44329,0.66936,NA
M1012.721T1475.069,4.3514,0.36053,0.44305,0.66936,NA
M934.562T1254.627,4.3433,0.36153,0.44185,0.67066,NA
M624.433T1278.929,4.3349,0.36258,0.4406,0.67205,NA
M293.211T1204.461,4.3254,0.36375,0.43919,0.6737,NA
M396.223T1712.492,4.3187,0.36459,0.43819,0.67452,NA
M901.578T1512.438,4.3158,0.36495,0.43777,0.67452,NA
M689.544T1473.566,4.3147,0.36508,0.43761,0.67452,NA
M539.396T1624.559,4.3115,0.36549,0.43713,0.67455,NA
M840.543T1338.528,4.3096,0.36573,0.43684,0.67455,NA
M772.55T1170.538,4.3074,0.36599,0.43653,0.67455,NA
M441.316T1456.744,4.3052,0.36628,0.43619,0.67455,NA
M393.197T1408.78,4.3022,0.36665,0.43575,0.67469,NA
M885.58T1536.307,4.2865,0.36862,0.43342,0.67732,NA
M789.515T1372.553,4.2861,0.36867,0.43336,0.67732,NA
M569.418T1387.824,4.2773,0.36978,0.43206,0.67755,NA
M297.24T1335.811,4.2769,0.36982,0.43201,0.67755,NA
M331.187T1104.601,4.2766,0.36986,0.43196,0.67755,NA
M885.578T1475.069,4.2738,0.37021,0.43155,0.67755,NA
M484.408T1495.193,4.2722,0.37041,0.43131,0.67755,NA
M504.265T1239.89,4.2699,0.37071,0.43097,0.67755,NA
M493.153T817.469,4.2659,0.37122,0.43037,0.67755,NA
M674.519T1428.666,4.2623,0.37167,0.42984,0.67755,NA
M495.275T1540.43,4.2595,0.37203,0.42942,0.67755,NA
M619.438T1351.666,4.2578,0.37224,0.42917,0.67755,NA
M692.521T1354.385,4.2575,0.37228,0.42913,0.67755,NA
M419.314T1508.139,4.257,0.37234,0.42906,0.67755,NA
M326.286T1473.082,4.2524,0.37292,0.42838,0.67767,NA
M559.507T1407.26,4.2518,0.373,0.42829,0.67767,NA
M325.162T1642.868,4.2477,0.37351,0.42769,0.67789,NA
M664.46T1406.422,4.2462,0.37371,0.42746,0.67789,NA
M873.579T1393.418,4.2354,0.37509,0.42587,0.67951,NA
M625.445T1372.464,4.2338,0.37528,0.42564,0.67951,NA
M1012.723T1358.969,4.2312,0.37562,0.42525,0.67951,NA
M966.708T1619.342,4.2264,0.37624,0.42454,0.67951,NA
M628.526T1540.694,4.2247,0.37645,0.42429,0.67951,NA
M399.208T1428.24,4.222,0.3768,0.42389,0.67951,NA
M609.452T1220.972,4.221,0.37692,0.42375,0.67951,NA
M803.491T1372.736,4.2194,0.37713,0.42351,0.67951,NA
M519.387T1507.107,4.2183,0.37727,0.42335,0.67951,NA
M865.579T1523.732,4.2134,0.3779,0.42262,0.68009,NA
M347.216T1256.694,4.2111,0.37819,0.42229,0.68009,NA
M326.29T1508.218,4.208,0.37859,0.42183,0.68028,NA
M425.215T1440.098,4.2048,0.379,0.42136,0.68048,NA
M658.501T1302.601,4.1983,0.37984,0.4204,0.68145,NA
M991.561T1287.599,4.1927,0.38056,0.41958,0.6822,NA
M1003.558T1223.957,4.1843,0.38164,0.41835,0.68298,NA
M495.298T1036.333,4.1713,0.38332,0.41644,0.68298,NA
M613.193T831.535,4.1674,0.38382,0.41587,0.68298,NA
M1025.558T1119.866,4.1672,0.38384,0.41584,0.68298,NA
M623.429T1456.316,4.1671,0.38386,0.41583,0.68298,NA
M257.959T60.451,4.1663,0.38397,0.41571,0.68298,NA
M808.552T1473.499,4.1661,0.384,0.41567,0.68298,NA
M325.16T1624.705,4.1591,0.3849,0.41465,0.68298,NA
M864.518T1223.69,4.1585,0.38497,0.41457,0.68298,NA
M789.513T1407.327,4.1575,0.38511,0.41442,0.68298,NA
M1064.424T990.311,4.1571,0.38516,0.41435,0.68298,NA
M549.424T1386.472,4.1568,0.3852,0.41431,0.68298,NA
M585.283T918.479,4.1568,0.38521,0.41431,0.68298,NA
M257.088T864.231,4.1556,0.38536,0.41413,0.68298,NA
M718.53T1372.761,4.153,0.3857,0.41375,0.68298,NA
M719.487T1456.538,4.1525,0.38576,0.41368,0.68298,NA
