"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M581.318T900.123",0.032477,-0.028352,-0.0058362,0.034436,-0.021756,0.0035017,0.01793,-0.0018992
"M1014.585T1348.471",0.033647,-0.037331,0.0024404,0.028515,-0.045116,0.014303,0.022048,-0.0068048
"M799.289T814.54",0.026793,-0.0023267,0.019503,0.0063601,0.0028057,-0.008266,0.0049928,-0.0031655
"M883.503T1155.003",0.027384,-0.033175,0.0039729,0.023377,-0.011603,-0.021369,0.021308,0.0068023
"M527.103T89.251",0.01102,-0.0466,-0.0014715,-0.055598,0.031585,-0.0047595,0.068709,-0.030493
"M1053.272T316.465",0.038526,-0.011223,-0.011316,0.0081218,-0.044872,0.037729,-0.0067677,0.0072589
"M1097.037T893.528",0.031175,-0.03026,-0.0016431,0.00616,0.024597,-0.024841,-0.014056,-0.0033569
"M987.494T1327.158",0.028291,-0.040127,0.013101,0.024319,-0.018314,-0.011896,0.014868,0.0087363
"M863.484T1242.374",0.021214,-0.0092286,-0.0059636,-0.0010427,0.024704,-0.050137,0.023114,0.014975
"M869.849T1307.413",0.025059,-0.016022,-0.0060416,-0.0065662,0.028815,-0.02357,0.016613,-0.0054308
"M867.515T1204.699",0.028495,-0.045469,0.013489,0.029305,-0.031661,-0.014325,0.014689,0.011046
"M1071.559T892.477",0.03118,-0.010913,-0.016013,0.0028742,0.018891,-0.011686,-0.017245,0.0062918
"M751.392T1268.098",0.023621,-0.027634,0.0071479,0.013854,0.020343,-0.036437,0.015321,-0.0014576
"M306.171T797.884",0.017408,-0.058199,0.015926,0.0042005,-0.013842,0.014372,-0.0079683,0.021433
"M1000.263T316.358",0.03737,-0.0019773,-0.016304,-0.0027184,-0.041342,0.041442,-0.018183,0.013536
"M699.398T1124.853",0.025177,-0.040771,0.0058303,0.033154,-0.005108,-0.025631,0.019897,0.0061044
"M767.194T317.413",0.033413,-0.012707,-0.0071454,0.0029057,-0.023173,0.0015518,-0.003804,-0.0061355
"M280.961T95.439",0.027723,-0.020242,0.00065665,0.0066069,0.014527,-0.026311,0.0098144,0.0025554
"M650.407T1378.088",0.035542,-0.021168,-0.0044469,0.0091637,-0.026034,0.0078202,0.015711,-0.0067223
"M653.891T318.024",0.03374,-0.013293,0.00087603,-0.0038916,-0.013877,0.0078469,0.0012105,0.0028259
"M560.841T1187.938",0.028529,-0.025676,-0.01204,0.0070606,-3.9334e-05,0.013508,-0.025245,-0.0071033
"M354.957T108.842",0.020978,-0.013433,0.0021258,-0.016922,0.044757,-0.037036,0.018205,0.0042939
"M590.775T907.789",0.017308,-0.005996,-0.0076007,0.0058073,0.050909,-0.040169,-0.027061,0.0037498
"M455.14T941.827",0.028273,-0.0022722,-0.0099187,-0.019857,-0.012998,-0.0042043,0.02256,0.0077828
"M478.858T67.274",0.012425,-0.014969,0.03044,-0.026258,0.049923,-0.0092301,-0.0033138,-0.0080976
"M991.585T1378.099",0.027202,-0.036936,0.010459,0.026677,-0.033504,-0.0085595,0.026675,0.0044007
"M184.986T90.923",0.028399,-0.053485,-0.0065604,0.0057774,-0.0020756,-0.01469,0.034699,-0.036741
"M206.082T164.917",0.0041932,-0.063866,-0.0076515,-0.012194,-0.0062961,0.011786,-0.026962,0.027902
"M1161.521T895.466",0.027252,-0.015647,-0.012224,-0.00054883,0.038184,-0.01837,-0.0052532,-0.0030917
"M418.218T902.438",0.035405,0.00088108,0.0041268,0.024956,-0.023653,-0.0060617,0.019085,-0.00098098
"M632.783T316.499",0.030878,0.010559,0.00029128,-0.0093969,-0.0090181,0.017926,-0.0077842,-0.020777
"M1074.325T1193.301",0.015059,-0.043615,-0.020869,0.0042375,0.035194,0.032598,-0.030453,-0.044061
"M451.218T291.531",0.037442,-0.01184,-0.0086471,0.025207,-0.026075,0.0060598,0.0095821,0.0018347
"M344.099T126.621",0.032554,-0.013695,0.001671,0.0096912,-0.0031981,-0.0016464,0.004706,-0.0039151
"M558.799T1194.269",0.020538,-0.022284,-0.012937,-0.0085254,0.026844,0.00075349,-0.014328,-0.016787
"M852.187T1328.651",0.020223,-0.015643,0.012903,0.0029679,0.016566,-0.044034,0.036486,0.024395
"M1343.805T1193.201",0.013527,-0.033301,-0.0035212,-0.0020756,-0.015968,0.078038,-0.059491,-0.010465
"M1074.439T1194.382",0.016574,-0.024181,-0.033634,-0.010288,-0.00041299,0.057615,-0.069492,0.022546
"M575.856T1053.805",0.023087,-0.036603,0.008102,0.0055109,0.0052414,-0.0045351,-0.0061304,0.010474
"M653.691T320.692",0.033763,-0.031555,-0.015195,0.016449,-0.018277,0.017734,-0.0048158,0.0021191
"M385.113T835.894",0.033259,-0.014869,0.0036832,0.0013228,-0.020391,2.792e-05,-0.00094849,0.021221
