"",F.stat,p.value,-log10(p),FDR
M593.922T852.299,2.0343,0.14865,0.82783,0.69292
M293.118T1042.937,2.0295,0.14938,0.8257,0.69292
M485.063T759.194,2.0232,0.15034,0.82294,0.69292
M409.045T138.763,2.0157,0.15148,0.81964,0.69292
M286.972T107.919,2.015,0.1516,0.8193,0.69292
M970.813T317.253,2.011,0.15222,0.81753,0.69292
M455.098T785.732,1.9978,0.15427,0.81172,0.69292
M891.177T805.681,1.9973,0.15435,0.8115,0.69292
M427.038T293.27,1.996,0.15456,0.81091,0.69292
M1047.564T1087.659,1.9956,0.15461,0.81075,0.69292
M656.69T947.865,1.9887,0.15571,0.80767,0.69292
M791.126T833.266,1.9856,0.1562,0.80633,0.69292
M655.038T106.771,1.9826,0.15667,0.805,0.69292
M852.339T915.443,1.9814,0.15688,0.80444,0.69292
M562.892T1151.046,1.9809,0.15694,0.80426,0.69292
M561.784T1244.889,1.9802,0.15706,0.80392,0.69292
M271.07T418.897,1.9744,0.15799,0.80137,0.69292
M728.286T863.521,1.974,0.15806,0.80118,0.69292
M1730.319T908.053,1.973,0.15822,0.80074,0.69292
M459.959T106.348,1.972,0.15839,0.80028,0.69292
M483.178T941.182,1.9705,0.15862,0.79965,0.69292
M353.461T751.667,1.9679,0.15905,0.79846,0.69292
M492.116T194.278,1.9666,0.15925,0.79791,0.69292
M330.047T113.025,1.9654,0.15945,0.79738,0.69292
M421.636T753.774,1.961,0.16017,0.79543,0.69292
M773.327T876.979,1.9546,0.16123,0.79256,0.69292
M379.565T877.71,1.9534,0.16142,0.79204,0.69292
M180.971T1182.798,1.952,0.16164,0.79145,0.69292
M873.774T937.9,1.9407,0.16353,0.78639,0.69292
M287.071T1080.355,1.9394,0.16375,0.78582,0.69292
M433.039T456.919,1.9346,0.16456,0.78368,0.69292
M1045.593T1289.364,1.9297,0.16538,0.78152,0.69292
M729.127T851.649,1.9296,0.16539,0.78149,0.69292
M1294.437T316.362,1.9249,0.16621,0.77936,0.69292
M698.26T899.18,1.923,0.16653,0.77851,0.69292
M1395.427T994.378,1.9184,0.16731,0.77648,0.69292
M990.329T838.789,1.9184,0.16731,0.77647,0.69292
M551.031T750.36,1.9165,0.16764,0.77562,0.69292
M1091.545T907.712,1.9156,0.16779,0.77522,0.69292
M585.15T892.945,1.9146,0.16797,0.77477,0.69292
M807.744T937.741,1.9134,0.16817,0.77425,0.69292
M712.22T783.012,1.9127,0.16829,0.77395,0.69292
M444.996T106.721,1.9097,0.16881,0.77261,0.69292
M289.086T1163.856,1.9094,0.16887,0.77245,0.69292
M1044.425T908.907,1.9076,0.16918,0.77166,0.69292
M649.026T106.128,1.9055,0.16954,0.77072,0.69292
M967.36T964.868,1.9051,0.16961,0.77055,0.69292
M561.985T1245.624,1.9042,0.16976,0.77016,0.69292
M513.129T730.532,1.9004,0.17042,0.76847,0.69292
M1452.98T315.276,1.8993,0.17062,0.76798,0.69292
M329.089T195.942,1.899,0.17068,0.76783,0.69292
M239.129T1031.518,1.8978,0.17088,0.7673,0.69292
M1071.439T878.893,1.8961,0.17118,0.76655,0.69292
M727.283T864.823,1.896,0.17121,0.76648,0.69292
M475.366T1425.395,1.8956,0.17128,0.76629,0.69292
M1602.049T314.239,1.8948,0.17142,0.76593,0.69292
M497.083T319.72,1.894,0.17155,0.76561,0.69292
M575.614T1052.68,1.8934,0.17166,0.76533,0.69292
M613.983T886.617,1.8932,0.1717,0.76522,0.69292
M361.481T320.767,1.8926,0.1718,0.76498,0.69292
M951.343T881.927,1.8925,0.17182,0.76493,0.69292
M316.508T323.984,1.8922,0.17188,0.76477,0.69292
M655.189T778.866,1.8856,0.17304,0.76186,0.69292
M465.105T746.988,1.8847,0.1732,0.76146,0.69292
M703.247T844.715,1.8824,0.17362,0.7604,0.69292
M523.18T894.843,1.8821,0.17366,0.7603,0.69292
M459.052T765.953,1.8797,0.1741,0.7592,0.69292
M593.926T757.244,1.8787,0.17427,0.75877,0.69292
M529.184T941.182,1.8771,0.17456,0.75804,0.69292
M633.146T772.656,1.874,0.17512,0.75666,0.69292
M849.51T1359.918,1.8733,0.17525,0.75633,0.69292
M1452.478T314.239,1.8718,0.17552,0.75568,0.69292
M451.174T880.577,1.8712,0.17563,0.7554,0.69292
M873.638T939.705,1.8703,0.1758,0.75499,0.69292
M302.995T91.809,1.8668,0.17644,0.75341,0.69292
M1125.372T909.368,1.8663,0.17653,0.75319,0.69292
M1103.415T879.391,1.8662,0.17655,0.75314,0.69292
M723.538T832.745,1.861,0.17749,0.75083,0.69292
M440.855T1728.569,1.8589,0.17786,0.74991,0.69292
M621.037T758.225,1.8587,0.17791,0.7498,0.69292
M941.508T1318.851,1.8587,0.17791,0.74979,0.69292
M438.049T766.588,1.8571,0.17821,0.74907,0.69292
M352.831T96.52,1.855,0.17859,0.74815,0.69292
M489.125T757.244,1.8525,0.17904,0.74705,0.69292
M809.324T904.082,1.8488,0.17973,0.74538,0.69292
M399.065T319.722,1.8488,0.17974,0.74536,0.69292
M349.088T88.189,1.8481,0.17987,0.74504,0.69292
M675.158T785.506,1.8473,0.18001,0.74471,0.69292
M627.83T1193.411,1.8454,0.18037,0.74382,0.69292
M785.11T833.266,1.8443,0.18058,0.74334,0.69292
M289.12T769.482,1.8423,0.18095,0.74244,0.69292
M421.069T767.549,1.842,0.181,0.74231,0.69292
M623.347T1299.275,1.8411,0.18117,0.74192,0.69292
M391.065T766.545,1.8403,0.18133,0.74154,0.69292
M545.298T995.647,1.8382,0.18172,0.74061,0.69292
M1701.804T908.08,1.8373,0.18189,0.7402,0.69292
M433.716T806.299,1.8346,0.18239,0.73901,0.69292
M581.283T805.632,1.8338,0.18254,0.73865,0.69292
M708.241T861.396,1.8334,0.18261,0.73846,0.69292
M548.179T817.387,1.8309,0.1831,0.73731,0.69292
M613.696T886.351,1.8306,0.18315,0.73719,0.69292
M647.689T1159.779,1.8292,0.1834,0.73659,0.69292
M869.171T823.716,1.826,0.18402,0.73514,0.69292
M455.193T892.238,1.8234,0.18452,0.73395,0.69292
M763.121T89.636,1.8205,0.18508,0.73264,0.69292
M447.259T942.596,1.8198,0.18521,0.73233,0.69292
M924.351T839.79,1.8193,0.18531,0.73209,0.69292
M653.091T90.81,1.8173,0.18569,0.7312,0.69292
M362.298T315.255,1.8152,0.1861,0.73025,0.69292
M764.865T68.038,1.815,0.18612,0.7302,0.69292
M489.058T766.222,1.8145,0.18622,0.72997,0.69292
M721.798T1122.035,1.813,0.18652,0.72927,0.69292
M519.07T322.203,1.8128,0.18655,0.7292,0.69292
M445.037T424.564,1.8103,0.18705,0.72805,0.69292
M873.6T939.438,1.8092,0.18725,0.72757,0.69292
M999.727T1404.686,1.8076,0.18757,0.72684,0.69292
M653.691T320.692,1.8065,0.18778,0.72636,0.69292
M702.25T942.066,1.8061,0.18785,0.72618,0.69292
M941.306T938.915,1.8055,0.18796,0.72593,0.69292
M431.769T791.594,1.8053,0.18801,0.72582,0.69292
M579.301T894.416,1.8042,0.18822,0.72534,0.69292
M341.233T1044.4,1.804,0.18826,0.72525,0.69292
M989.364T928.413,1.8021,0.18863,0.72439,0.69292
M377.193T1206.958,1.7988,0.18928,0.7229,0.69292
M499.24T895.317,1.7984,0.18936,0.72272,0.69292
M843.287T936.679,1.7983,0.18937,0.72268,0.69292
M1013.474T983.582,1.7982,0.1894,0.72263,0.69292
M551.147T89.35,1.798,0.18944,0.72254,0.69292
M375.07T470.729,1.7956,0.18992,0.72144,0.69292
M891.19T804.294,1.7954,0.18996,0.72135,0.69292
M314.124T880.028,1.7947,0.19009,0.72104,0.69292
M487.016T806.181,1.7946,0.19011,0.72099,0.69292
M535.217T864.116,1.7928,0.19046,0.72019,0.69292
M737.927T1007.192,1.7912,0.19079,0.71945,0.69292
M1419.739T1123.898,1.7902,0.19099,0.71899,0.69292
M737.363T997.317,1.7893,0.19116,0.7186,0.69292
M373.167T930.605,1.7876,0.19149,0.71785,0.69292
M431.674T89.564,1.7867,0.19168,0.71742,0.69292
M691.153T854.793,1.7858,0.19185,0.71704,0.69292
M1014.043T1346.26,1.7853,0.19195,0.71681,0.69292
M497.109T889.816,1.7825,0.19251,0.71554,0.69292
M397.075T138.684,1.7818,0.19266,0.71521,0.69292
M701.195T940.853,1.7816,0.1927,0.71512,0.69292
M273.038T89.35,1.7802,0.19298,0.7145,0.69292
M739.368T1006.616,1.7796,0.1931,0.71423,0.69292
M319.076T917.392,1.778,0.19342,0.7135,0.69292
M723.871T1121.272,1.7779,0.19343,0.71347,0.69292
M751.392T1268.098,1.7772,0.19358,0.71313,0.69292
M743.317T783.373,1.7751,0.19399,0.71222,0.69292
M563.307T901.93,1.7748,0.19407,0.71205,0.69292
M562.689T1149.325,1.7734,0.19434,0.71145,0.69292
M1219.316T833.268,1.772,0.19463,0.71079,0.69292
M806.921T938.616,1.7716,0.19471,0.7106,0.69292
M1461.92T936.679,1.7702,0.19498,0.71,0.69292
M559.728T1193.65,1.7699,0.19504,0.70987,0.69292
M331.079T87.506,1.7695,0.19513,0.70967,0.69292
M1451.979T314.698,1.7672,0.19561,0.70862,0.69292
M231.895T92.025,1.7663,0.19578,0.70824,0.69292
M407.173T414.983,1.7656,0.19592,0.70792,0.69292
M191.056T750.478,1.7635,0.19636,0.70695,0.69292
M819.351T968.448,1.762,0.19666,0.70629,0.69292
M338.852T95.887,1.759,0.19728,0.70491,0.69292
M609.959T835.516,1.7536,0.19839,0.70249,0.69292
M365.136T768.138,1.7524,0.19863,0.70195,0.69292
M869.849T1307.413,1.7497,0.1992,0.70072,0.69292
M223.046T89.705,1.7482,0.19951,0.70003,0.69292
M469.095T760.602,1.7482,0.19952,0.70002,0.69292
M735.222T927.83,1.748,0.19955,0.69994,0.69292
M807.007T938.915,1.7473,0.1997,0.69962,0.69292
M919.334T939.971,1.7421,0.20078,0.69728,0.69292
M309.119T137.634,1.7409,0.20104,0.69672,0.69292
M244.992T90.87,1.7367,0.20192,0.69483,0.69292
M524.981T106.871,1.7349,0.2023,0.69401,0.69292
M804.318T962.853,1.7348,0.20232,0.69397,0.69292
M347.184T1141.626,1.7336,0.20258,0.69341,0.69292
M653.891T318.024,1.7329,0.20271,0.69313,0.69292
M1125.418T877.844,1.7319,0.20294,0.69264,0.69292
M1013.752T1251.503,1.7285,0.20364,0.69113,0.69292
M494.168T786.301,1.7258,0.20422,0.68989,0.69292
M471.234T922.432,1.7248,0.20444,0.68944,0.69292
M873.333T1008.241,1.7246,0.20447,0.68936,0.69292
M851.338T916.834,1.7234,0.20473,0.68881,0.69292
M873.334T1049.155,1.722,0.20504,0.68816,0.69292
M549.147T750.744,1.7218,0.20508,0.68807,0.69292
M345.082T140.774,1.7165,0.20621,0.68568,0.69292
M575.766T1053.433,1.7158,0.20637,0.68535,0.69292
M937.515T1306.76,1.7151,0.20652,0.68503,0.69292
M335.137T198.47,1.7141,0.20673,0.68459,0.69292
M515.214T948.428,1.713,0.20698,0.68408,0.69292
M307.139T820.104,1.7128,0.20702,0.68399,0.69292
M1286.455T315.199,1.7124,0.20711,0.68381,0.69292
M1136.99T908.053,1.7109,0.20743,0.68313,0.69292
M696.291T1183.733,1.71,0.20763,0.68271,0.69292
M635.012T105.736,1.7097,0.20769,0.68258,0.69292
M354.093T469.671,1.7095,0.20774,0.68249,0.69292
M1331.507T909.803,1.7071,0.20825,0.68141,0.69292
M957.274T935.63,1.7069,0.20831,0.68129,0.69292
M942.469T1308.469,1.7064,0.20841,0.68108,0.69292
M593.266T1148.35,1.7046,0.20879,0.68029,0.69292
M1015.586T1347.819,1.7024,0.20929,0.67925,0.69292
M473.196T813.174,1.7019,0.2094,0.67903,0.69292
M445.135T747.805,1.7011,0.20957,0.67867,0.69292
M484.016T89.822,1.696,0.21069,0.67635,0.69292
M413.081T316.361,1.6941,0.21112,0.67548,0.69292
M617.247T870.852,1.6931,0.21132,0.67506,0.69292
M330.967T90.669,1.6919,0.21159,0.6745,0.69292
M1333.355T942.499,1.6916,0.21167,0.67434,0.69292
M355.433T783.665,1.6903,0.21195,0.67377,0.69292
M289.011T91.489,1.6903,0.21195,0.67376,0.69292
M345.183T1137.887,1.6896,0.2121,0.67347,0.69292
M459.903T66.337,1.6895,0.21213,0.67339,0.69292
M653.935T315.929,1.6888,0.21228,0.67309,0.69292
M863.373T951.624,1.6876,0.21255,0.67253,0.69292
M221.066T891.624,1.683,0.21358,0.67044,0.69292
M685.993T90.522,1.6823,0.21374,0.67011,0.69292
M633.892T311.985,1.6816,0.21388,0.66983,0.69292
M988.804T68.066,1.6805,0.21414,0.66931,0.69292
M920.512T1327.64,1.6775,0.21482,0.66792,0.69292
M1015.483T980.936,1.6768,0.21496,0.66764,0.69292
M943.39T965.159,1.6765,0.21504,0.66748,0.69292
M631.833T319.717,1.672,0.21605,0.66545,0.69292
M543.282T933.008,1.6712,0.21624,0.66506,0.69292
M509.218T928.864,1.671,0.21629,0.66497,0.69292
M383.529T318.749,1.667,0.21718,0.66318,0.69292
M361.589T316.501,1.6656,0.21752,0.66251,0.69292
M439.365T89.079,1.6652,0.21761,0.66232,0.69292
M195.183T96.705,1.6641,0.21786,0.66182,0.69292
M723.112T851.461,1.6623,0.21827,0.66101,0.69292
M1030.642T1193.369,1.662,0.21833,0.66088,0.69292
M575.926T1053.198,1.6591,0.21899,0.65957,0.69292
M641.167T774.439,1.6571,0.21946,0.65864,0.69292
