"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M917.503T1359.918"," 0.03476021"," 0.03990454"," 0.33951315"," 0.11114837","-0.18864861"," 1.20181152","-0.02414432","-0.06934355"," 0.07092909"," 0.56253079","-0.25105849"," 0.72571736","-0.25935729"," 0.22097487","-1.89783937","-0.22651390","-0.22979817","-0.16058619"
"M851.912T1326.892"," 0.4579885","-0.0202436"," 0.2416506"," 0.3094793","-0.1389452"," 1.2521593","-0.2752264","-0.3357714"," 0.1705111"," 0.7274801","-0.2714763"," 0.7324400","-0.1256091","-0.0887018","-2.4402397","-0.1955860"," 0.1497158","-0.1496251"
"M705.267T1050.095"," 0.40002840","-0.23242962"," 0.82059606"," 0.22763799","-0.08798455"," 0.76231509"," 0.03209029","-0.43254886","-0.53025440"," 0.98707779","-0.11160965"," 0.64729649","-0.27913741"," 0.28230237","-1.59916875","-0.32060273","-0.31429457","-0.25131395"
"M983.568T1252.43"," 0.01723701","-0.35345101"," 0.31278999","-0.08509688"," 0.14093249"," 1.21228838","-0.27716316"," 0.26630196","-0.28565871"," 0.11455483","-0.02048826"," 0.87084061","-0.03294515"," 0.42356778","-2.13759148","-0.05939035","-0.08980574","-0.01692231"
"M457.19T799.683","-0.30688181","-1.04085126"," 0.27398306"," 0.16182761"," 0.15315683"," 0.84207349","-0.20596116","-0.34828163","-0.05271888"," 0.75895510","-0.07084310"," 0.78492040"," 0.15756700"," 0.49790528","-1.12670232","-0.08823568","-0.48943419"," 0.09952125"
"M846.46T1187.467","-0.33997602"," 0.01567463"," 0.57410047"," 0.40019739"," 0.09094691"," 1.19520991","-0.18059000","-0.19338143","-0.60556709"," 0.46688555"," 0.15400543"," 0.50867375"," 0.07273142"," 0.16362744","-2.28186159","-0.00582484"," 0.06037506","-0.09522697"
"M821.506T1329.663"," 0.07377284","-0.55930490"," 0.40553323","-0.50102559","-0.26002852"," 1.41800133","-0.25344463","-0.02931628","-0.14370696","-0.20288223","-0.53784058"," 1.02484112","-0.07588777"," 0.15554370"," 0.08468662","-0.22079589","-0.29371402","-0.08443148"
"M347.184T1141.626","-0.12342632","-0.42969573"," 0.17092983","-0.10286375"," 0.72027842"," 1.28200081"," 0.01523738","-0.72094097","-0.05531400"," 0.80510496","-0.02550970"," 0.33026974","-0.12424475"," 0.37501429","-1.20949472","-0.12196549","-0.35816135","-0.42721866"
"M768.448T1315.096"," 0.01331799","-0.41590405"," 0.24534837","-0.01562347"," 0.10808188"," 1.07647515","-0.03606294","-0.58668335"," 0.20966781"," 0.68927316","-0.23292029"," 0.73008758","-0.10955100"," 0.45197317","-1.58229157","-0.27840527","-0.19448314","-0.07230002"
"M531.078T845.355"," 0.074097351"," 0.068175372"," 0.397710023"," 0.395871122","-0.548286526"," 0.551441126","-0.604506983","-0.361497539"," 0.283135105"," 1.154460752"," 0.104321202"," 0.431856474","-0.012517227"," 0.276739812","-1.885858065","-0.272495850","-0.057858842"," 0.005212693"
"M309.118T727.508"," 0.05002498","-0.88783765"," 0.64319209","-0.01650673","-0.01453559"," 1.17658682","-0.35925383"," 0.62659850","-0.03074703"," 0.76075989","-0.43739804"," 0.55171084","-0.06690867","-0.04122998","-1.90667586","-0.03927249"," 0.01679975","-0.02530700"
"M345.183T1137.887"," 0.18413622","-0.55188584"," 0.43244856"," 0.07435645"," 0.34580991"," 1.46391794"," 0.03739028","-0.38049381"," 0.02024007"," 0.60189211"," 0.14260153"," 0.14831016","-0.11529335"," 0.32438622","-2.02824192","-0.08676786","-0.28803745","-0.32476923"
