"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M632.847T316.374,2.228,0.12239,0.91225,0.69292,First-tp_Drought - Other
M410.078T615.621,2.2182,0.12358,0.90804,0.69292,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M723.577T942.094,2.2159,0.12387,0.90704,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M593.465T757.874,2.2145,0.12404,0.90642,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M437.042T89.308,2.2061,0.12508,0.90282,0.69292,First-tp_Drought - Other
M269.05T89.726,2.2033,0.12544,0.90158,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M684.137T316.584,2.1973,0.12618,0.899,0.69292,First-tp_Drought - Other
M469.208T948.545,2.1963,0.12631,0.89856,0.69292,First-tp_Drought - Other
M343.871T91.064,2.1912,0.12695,0.89635,0.69292,First-tp_Control - Other; First-tp_Fusarium - Other
M379.067T781.128,2.1854,0.12769,0.89385,0.69292,First-tp_Fusarium - First-tp_Control; Other - First-tp_Control
M395.048T106.9,2.1802,0.12835,0.89159,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M911.26T1004.032,2.1776,0.12868,0.89048,0.69292,First-tp_Fusarium - Other
M795.198T1006.041,2.1717,0.12945,0.88788,0.69292,First-tp_Control - Other; First-tp_Fusarium - Other
M917.49T1360.024,2.1688,0.12983,0.88663,0.69292,First-tp_Drought - Other
M1107.431T863.874,2.1649,0.13034,0.88493,0.69292,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - Other
M343.139T875.835,2.1634,0.13052,0.88432,0.69292,First-tp_Fusarium - Other
M463.021T778.363,2.1633,0.13054,0.88425,0.69292,Other - First-tp_Control
M941.361T940.292,2.1618,0.13073,0.88361,0.69292,""
M470.098T771.956,2.1613,0.1308,0.88338,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M937.334T882.127,2.1609,0.13085,0.88321,0.69292,First-tp_Fusarium - First-tp_Control
M573.017T749.518,2.1597,0.13101,0.8827,0.69292,First-tp_Control - Other; First-tp_Drought - Other; First-tp_Fusarium - Other
M481.099T800.114,2.1597,0.13101,0.88268,0.69292,First-tp_Fusarium - Other
M341.275T746.97,2.1549,0.13164,0.8806,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M357.108T784.337,2.1529,0.1319,0.87975,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M283.068T151.129,2.1502,0.13227,0.87855,0.69292,First-tp_Fusarium - Other
M807.166T938.699,2.1479,0.13258,0.87754,0.69292,First-tp_Xanthomonas - Other
M1197.439T886.215,2.1467,0.13272,0.87705,0.69292,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M799.289T814.54,2.1447,0.133,0.87616,0.69292,First-tp_Drought - First-tp_Control; First-tp_Drought - Other
M473.173T881.847,2.1388,0.13378,0.8736,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control
M813.108T834.298,2.1387,0.1338,0.87354,0.69292,First-tp_Drought - Other
