"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M901.267T743.636",0.019152,-0.0011227,0.017063,0.015772,0.0070433,0.014283,-0.020381,-0.046244,-0.047596,-0.06138,0.0074341,-0.0096615,-0.073825,-0.0045619,-0.077919,0.0083893,-0.018324,0.00031569
"M779.462T1401.836",0.021304,-0.001275,0.039893,0.015668,0.0061948,-0.0016899,-0.0156,-0.027723,-0.0066163,-0.0090681,0.0020281,0.027962,-0.0029303,0.0027611,-0.027755,-0.0035374,0.0010444,-0.0020338
"M917.503T1359.918",0.022522,-0.0010218,0.023624,0.015628,0.013404,0.0059871,-0.0053284,-0.016215,-0.0020962,-0.0063402,-0.0057667,0.0021458,-0.0014252,4.8024e-05,-0.012684,0.002101,0.0018245,0.0002104
"M851.912T1326.892",0.026795,-0.0020068,0.031338,0.0085117,0.019689,0.0056838,-0.0043234,-0.0041271,-0.01501,0.0030743,0.011618,0.019634,-0.026046,-0.005693,0.0040215,0.012333,0.025682,0.0012246
"M705.267T1050.095",0.021345,-0.00032161,0.019436,0.023792,-0.018309,-0.0093717,0.016672,0.0064168,0.00071853,-0.0016511,-0.015974,0.0060427,-0.027216,-0.01385,-0.015925,0.0036183,0.0081146,0.0024185
"M983.568T1252.43",0.024188,0.010769,0.019868,0.0041044,0.017589,0.0024844,-0.029461,0.0054039,0.016036,-0.0015717,-0.023764,-0.00089957,0.001124,-0.0019169,-0.010326,0.0061744,-0.0012063,0.0011963
"M457.19T799.683",0.020666,0.0056369,-0.0092607,0.0084269,-0.0021288,-0.0030176,0.0043677,0.014572,-0.022667,-0.0014517,-0.017688,-0.012449,0.010016,-0.016782,-0.0055651,-0.0038255,-0.032985,0.0016578
"M846.46T1187.467",0.024637,-0.005309,0.030441,0.0032113,-0.0039717,-0.016741,-0.030483,0.0085157,-0.0010226,-0.0066587,-0.020022,-0.01395,-0.0066253,0.0027889,0.0054329,0.017993,0.00036836,0.0037137
"M821.506T1329.663",0.0098021,0.0068442,-0.020001,0.041639,0.030233,0.001765,-0.025938,-0.0094078,0.012228,0.0078876,-0.012964,-0.013696,-0.0089437,-0.014494,-0.01969,-0.0042985,-0.00078443,0.0029815
"M347.184T1141.626",0.021398,-0.0099421,-0.00032859,0.014094,-0.0023254,-0.0047684,0.011407,0.018694,0.016225,0.014715,0.013346,-0.016045,0.021248,0.0071462,0.0092528,-0.014653,-0.0085771,0.0046535
"M768.448T1315.096",0.022593,-0.00036546,0.0084608,0.013576,0.0068151,0.0060262,0.0071078,0.0018735,-0.011479,0.012474,0.0056329,-0.0077141,0.011834,-0.013133,-0.014263,-0.00086376,0.0050195,0.00088206
"M531.078T845.355",0.020825,-0.0056582,0.025295,0.0047462,-0.011628,0.020641,0.00077591,0.0032512,-0.039132,-0.02455,0.010823,0.021791,-0.015584,-0.019928,-0.018014,0.024099,-0.0032893,-0.0025574
