"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M649.026T106.128",-0.048324,0.0077333,0.016881,-0.018342,-0.0048238,0.0028563,-0.0079254,0.00040965
"M1097.561T894.34",-0.048292,0.016648,0.0080269,0.013094,0.0081161,-0.0093834,-0.0039266,0.0011343
"M1014.585T1248.122",-0.043696,0.012896,0.011051,-0.0015745,-0.0031431,0.0094098,-0.0058757,0.013984
"M868.517T1202.592",-0.049093,0.0042884,0.02946,-0.00079595,-0.015807,0.010256,0.0015759,0.013052
"M1015.588T1248.088",-0.051162,0.0095889,0.021707,-0.0075966,-0.015403,0.01494,-0.0088786,0.016582
"M921.374T936.829",-0.042941,0.023337,0.013729,0.0090806,-0.023727,0.0079719,0.00080259,0.0076037
"M851.794T1356.146",-0.047895,0.0050949,0.026129,-0.0072601,0.0002033,0.010083,-0.0057973,0.014994
"M451.007T107.467",-0.041967,0.006348,0.0062404,-0.0046859,0.012889,-0.0057699,0.0058948,-0.009078
"M808.919T1196.341",-0.027302,0.008703,0.016708,0.013729,0.025213,0.024448,0.0348,-0.01316
"M1013.97T1244.591",-0.046387,0.01327,0.01095,-0.0049668,-0.0019766,0.014998,0.00013018,0.012821
"M1100.582T1225.322",-0.048142,0.012694,0.022644,-0.00019571,-0.015705,0.0072521,-0.0033684,0.014254
"M649.302T900.549",-0.036806,0.015285,0.0020855,0.019596,-0.0052224,0.001495,0.0032922,0.00069672
"M575.766T1053.433",-0.037561,0.0060065,-0.0020392,0.012359,0.015225,-0.0091381,0.0014018,-0.0045402
"M1161.883T894.146",-0.045295,0.016845,-0.014436,0.0078149,0.016903,0.00035151,0.011702,-0.012067
"M286.972T107.919",-0.037612,0.0095872,-0.0030031,0.0016325,0.019823,-0.0067296,-0.0068765,-0.00056536
"M581.318T900.123",-0.047948,0.0075854,0.022613,0.0094503,-0.024124,0.014415,0.001596,0.0064663
"M1014.585T1348.471",-0.051989,0.011123,0.02923,-0.0080704,-0.024733,0.025625,-0.0022676,0.019694
"M799.289T814.54",-0.027669,0.021889,-0.0069407,0.0025614,0.011554,-0.010184,0.010479,0.021457
"M883.503T1155.003",-0.044219,0.0042643,0.016203,0.009017,-0.0042803,0.0014582,0.0037119,0.016101
"M527.103T89.251",-0.03522,-0.0020857,-0.0005781,0.019271,0.03114,-0.0073769,0.019447,-0.032082
"M1053.272T316.465",-0.043174,0.033463,-0.023727,0.0097808,-0.029649,0.044595,-0.02544,0.0098643
"M1097.037T893.528",-0.04335,0.01903,0.015341,0.006001,0.019004,-0.00067734,-0.008878,-0.0074354
"M987.494T1327.158",-0.047072,0.0046707,0.024248,-0.015591,-0.011129,-0.0067067,0.0018508,0.015433
"M863.484T1242.374",-0.025332,0.0054143,-0.030476,0.034047,0.014938,-0.015523,0.019344,0.016339
"M869.849T1307.413",-0.030957,0.010945,-0.021397,0.0075703,0.016261,-0.018141,0.0013317,-0.0005965
"M867.515T1204.699",-0.051491,0.004658,0.022729,-0.0026064,-0.011472,0.0078781,-0.0026183,0.017214
"M1071.559T892.477",-0.034261,0.022767,-0.024392,0.01486,0.0034887,0.012987,-0.018002,-0.0076822
"M751.392T1268.098",-0.037356,0.00031809,0.00023208,0.011596,0.014523,-0.0097437,0.015891,-0.0022587
"M306.171T797.884",-0.045388,0.0058212,0.017907,-0.019635,-0.0026697,-0.002169,0.0045898,-0.013437
"M1000.263T316.358",-0.036398,0.039639,-0.03777,0.015454,-0.029969,0.044646,-0.027709,0.0073166
"M699.398T1124.853",-0.045428,-0.0027844,0.032528,0.0076333,-0.0040494,0.0022031,-0.0045931,0.014323
"M767.194T317.413",-0.038617,0.026759,-0.015832,0.0033606,-0.0092693,0.017615,-0.016938,0.0080933
"M280.961T95.439",-0.037016,0.0076694,-0.0033299,0.0044772,0.0015823,-0.021085,0.0029873,-0.0027498
"M650.407T1378.088",-0.044219,0.020253,0.010094,-0.0030055,-0.021665,0.019274,-0.0013382,0.013929
"M653.891T318.024",-0.038227,0.026363,-0.019565,0.0063962,-0.0065244,0.012857,-0.01084,0.0013678
"M560.841T1187.938",-0.039946,0.023773,-0.0019289,0.0022598,0.00011051,0.0064967,-0.011864,-0.01455
"M354.957T108.842",-0.023767,0.0081112,-0.015924,0.011007,0.031916,-0.037545,0.012581,0.0038815
"M590.775T907.789",-0.014856,0.014399,0.015685,0.022236,0.011888,-0.031377,-0.020248,-0.034636
"M455.14T941.827",-0.027564,0.023865,-0.031813,0.013109,0.0045897,0.0072375,-0.025168,0.024278
"M478.858T67.274",-0.0123,0.011587,-0.01335,-0.01473,0.048917,-0.021331,-0.0079904,-0.023571
"M991.585T1378.099",-0.046033,0.0038777,0.021244,-0.0023697,-0.010689,0.013786,-0.0079429,0.02789
"M184.986T90.923",-0.052351,0.0024753,0.027048,-0.015884,0.012389,0.0028843,-0.0010328,-0.00062784
"M206.082T164.917",-0.042469,-0.0020142,0.013737,0.0013687,0.020161,-0.011196,0.017526,-0.031722
"M1161.521T895.466",-0.03171,0.017661,-0.015836,0.01638,0.020603,0.0056412,-0.018146,-0.018657
"M418.218T902.438",-0.036795,0.021847,0.018638,0.016162,-0.030835,0.007316,0.0089385,0.011449
"M632.783T316.499",-0.023651,0.035251,-0.037436,0.015193,-0.0026227,0.018991,-0.015118,0.00078035
"M1074.325T1193.301",-0.038256,0.012322,0.0072662,-0.0012774,0.014807,-0.00040499,-0.0089389,-0.019009
"M451.218T291.531",-0.043807,0.022399,0.0076446,0.011482,-0.028954,0.021977,-0.0090693,0.011723
"M344.099T126.621",-0.038943,0.018471,-0.00082135,0.0064473,-0.0053352,0.0015976,0.0034352,-0.0039805
"M558.799T1194.269",-0.030547,0.015775,-0.020131,0.010554,0.021154,-0.017282,-0.01884,-0.010854
"M852.187T1328.651",-0.026995,-0.0003099,-0.00019665,0.008477,0.020597,-0.030199,-0.0036276,0.025292
"M1343.805T1193.201",-0.037678,0.031026,-0.022772,-0.01796,0.0053961,0.023748,-0.024826,-0.016711
"M1074.439T1194.382",-0.031984,0.033129,-0.05162,-0.010228,0.0027877,0.031132,-0.029002,-0.015278
"M575.856T1053.805",-0.039428,0.011494,0.01122,0.0052166,0.01409,-0.0029861,0.0017956,-0.0045506
"M653.691T320.692",-0.048559,0.019226,-0.003509,0.0037459,-0.013127,0.028044,0.0017265,-0.0029302
"M385.113T835.894",-0.040609,0.018569,-0.0075882,-0.01788,-0.0082387,0.0037483,0.022209,0.0087433
"M1326.883T1200.672",-0.019791,0.017255,-0.01184,0.0085512,0.048496,-0.0050959,-0.013488,-0.01197
"M700.309T1205.376",-0.038833,-0.0047613,0.037377,-0.0055421,0.026268,-0.022761,-0.0006139,-0.0095902
"M627.229T851.009",-0.02545,0.046271,-0.047034,0.028164,-0.01318,0.029679,-0.019635,0.012088
"M633.552T319.689",-0.037149,0.02827,-0.020895,0.016692,-0.0024628,0.0057753,-0.016299,-0.0057878
"M885.489T1408.277",-0.023374,0.0083451,-0.03065,0.033208,0.0095192,-0.015686,-0.0012561,0.023451
"M845.458T1184.78",-0.04752,0.0086868,0.019618,-0.021484,-0.017604,0.0063545,-0.02012,0.019873
"M1001.569T1093.359",-0.03115,0.019321,-0.037188,0.025283,0.00083076,0.0002381,-0.02322,0.03679
"M1028.185T1194.382",-0.03303,0.01995,-0.035637,0.0089898,0.012813,0.010055,-0.01085,0.014094
"M645.124T781.203",-0.032431,0.024135,-0.019625,0.011147,0.0026886,0.012039,0.01325,-0.012536
"M537.695T1290.37",-0.028158,6.6477e-05,0.01259,-0.013069,0.0059763,0.0050991,-0.006149,-0.0065018
"M808.368T1195.332",-0.039485,0.01067,0.0056902,-0.017381,0.029145,0.00096391,-0.00061068,-0.0059628
"M942.469T1308.469",-0.037123,0.013061,0.014846,0.00095062,0.0095008,-0.0056638,0.0027577,0.0098333
"M575.826T1054.493",-0.03915,0.0081971,0.0067467,0.0032738,0.0066956,-0.017226,0.0060649,-0.0008274
"M453.17T879.981",0.0057718,0.015439,0.044455,0.0075584,0.0011269,-0.0062262,-0.011727,0.035166
"M349.088T88.189",-0.023998,0.034543,0.003728,-0.046175,0.010996,0.013661,-0.011356,0.026779
"M421.069T767.549",-0.049416,0.0062029,0.001938,-0.0038984,-0.01052,-0.0044137,0.023149,0.0090297
"M643.245T813.714",-0.020904,0.032151,-0.030157,0.02038,-0.0034843,0.0065658,0.015237,0.0059616
"M745.161T766.586",-0.040193,0.024606,-0.020926,-0.004104,-0.021799,0.015094,0.0096137,-0.0015812
"M603.339T1194.269",-0.046952,0.0048828,0.037293,-0.012631,0.0048814,-0.00071967,0.0028279,-0.0077872
"M1128.561T892.565",-0.030714,0.0061771,0.028092,0.063773,0.022251,-0.0042673,-0.058214,0.052171
"M875.523T1196.25",-0.039712,0.017404,0.0044532,-0.013005,0.018465,0.001753,-0.0099037,-0.0086391
"M442.823T96.43",-0.016508,0.012475,-0.021564,0.010969,0.035999,-0.041193,0.0072172,0.0048976
"M316.508T323.984",-0.047921,0.012967,0.012731,-0.0035556,-0.0083596,0.010927,0.00039076,0.00050473
"M698.005T988.342",-0.050476,0.0049645,0.023061,-0.0088422,-0.012467,-0.0072444,0.0038563,-0.0042729
"M729.273T847.264",-0.027713,0.027322,-0.0084526,0.011648,0.0022881,-0.020601,-0.011259,0.021865
"M417.764T850.924",-0.032427,0.043831,-0.031382,0.00035284,-0.019436,0.025388,-0.033006,0.0020164
"M442.938T91.386",-0.020676,0.0077685,-0.039156,0.016832,0.03859,-0.027686,0.0037031,-0.0056918
