feature,f.value,p.value,-log10(p),FDR,Tukey's HSD
M829.834T17.046,2.059,0.1695,0.77083,0.79926,
M944.823T12.108,2.0391,0.17232,0.76366,0.79926,
M984.48T13.584,2.0303,0.17359,0.76048,0.79926,
M1214.752T17.114,2.0272,0.17403,0.75938,0.79926,
M1098.786T12.1,2.0256,0.17426,0.7588,0.79926,
M827.834T17.122,2.0133,0.17604,0.75438,0.79926,
M364.909T21.126,2.0075,0.1769,0.75227,0.79926,
M968.803T17.122,2.004,0.17741,0.75102,0.79926,
M956.305T17.121,2.0001,0.178,0.74958,0.79926,
M773.843T17.12,1.9935,0.17897,0.74723,0.79926,
M937.806T17.14,1.9918,0.17923,0.74659,0.79926,
M1418.72T12.097,1.9876,0.17986,0.74506,0.79926,
M1002.135T16.12,1.972,0.18221,0.73943,0.79926,
M992.801T17.117,1.972,0.18222,0.7394,0.79926,
