"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M245.03T22.3","6157.923","6013.752","6013.752","6405.158","7001.676","5831.963","5714.658","6075.098","6081.877","5237.366","6262.732","7761.500","5303.228","4922.427","5492.428","6462.593","5021.002","6489.022","6183.918"
"M247.08T831.65"," 33687.28"," 86295.61"," 86295.61","113814.47","110407.01"," 18373.31"," 96293.08","119284.79","140679.47","138721.85"," 97445.94","134990.94"," 86685.36"," 95289.60"," 48264.51"," 55607.27","125796.24","137883.65","117235.39"
"M250.96T20.39","16840.89","16405.07","16405.07","18019.90","18108.54","20512.21","16258.23","18119.34","18203.46","16898.94","19600.91","18494.82","17656.04","15322.14","13351.28","17525.45","15263.65","17337.71","16658.71"
"M256.93T20.56","4383.145","5904.748","5904.748","6980.880","6927.869","5551.822","5468.076","5915.545","8860.348","4990.904","6308.870","7515.307","6971.527","5609.109","4525.487","5796.067","5220.774","6051.894","5621.007"
"M274.94T20.57"," 9951.659","13998.478","13998.478","14581.614","15707.216","14603.542","11266.986","14832.521","16832.346","12880.256","13783.226","14392.397","15080.606","11587.675","12442.628","12252.544","13195.341","15464.651","13520.111"
"M277T22.59","6276.339","6670.868","6670.868","8074.150","7411.853","6312.600","5518.677","6688.004","5495.527","6036.615","6956.592","6917.117","6628.882","6522.430","7149.323","6554.674","5947.790","6064.138","5811.382"
"M302.93T20.57","12462.75","17969.82","17969.82","20625.69","19458.20","22550.97","16334.83","21391.62","22651.80","19280.19","20375.02","18764.05","21274.13","15491.24","12736.09","15022.54","18126.22","18790.20","19789.19"
"M309.13T18.56","14532.18","24267.98","24267.98","17821.30","17974.63","28620.00","16470.97","18422.11","18500.41","15561.81","17395.99","17953.32","18612.74","17095.01","24162.67","16367.78","18099.60","16206.80","25574.84"
"M322.92T21.56","6396.367","6244.203","6244.203","6230.636","8778.042","7091.180","6002.691","6703.141","7328.198","6901.896","7731.819","9239.241","6133.295","7445.585","6357.413","6503.745","5586.710","7301.495","5794.178"
"M324.92T20.56","4951.827","7290.901","7290.901","7468.338","9447.301","8095.003","6998.658","7610.572","5685.004","6592.507","7388.098","8041.539","7326.419","5653.212","5583.576","5843.425","6752.196","7439.998","6082.192"
"M326.38T1622.84","209904.2","253874.6","253874.6","238278.2","219486.5","188412.1","253328.3","264380.4","230693.6","223024.6","227080.8","243244.2","224482.3","219691.2","270155.8","230249.8","224760.7","227955.2","237473.1"
"M337.06T22.56"," 6911.705"," 9280.022"," 9280.022","11831.388"," 9885.533","11147.139"," 8784.274"," 8894.604","11510.794"," 9966.980","10013.923","11314.135","10432.307"," 9617.172"," 9846.051"," 9882.760"," 9913.543","11617.678"," 9940.464"
"M338.34T1639.2"," 586486.4","1532441.3","1532441.3"," 963209.6","1752235.4"," 616139.2","5854805.7","1421115.1","1278141.4","1111346.3"," 727001.2","1279043.9","1406196.9"," 666929.4"," 990406.5","3585895.5","1955543.0"," 626577.9","6936254.2"
"M341.27T1369.82","207023.5","246041.2","246041.2","267799.0","269622.4","270380.2","788994.1","310983.7","219943.9","325767.4","215774.4","323287.2","267487.1","256942.7","303597.5","557041.9","279902.6","201973.3","515394.3"
"M349.25T12.55","7220.087","5095.324","5095.324","8585.680","9119.501","5906.514","7528.518","7653.753","7179.474","5944.335","8240.536","7517.995","8777.460","8450.962","7509.041","5364.214","8774.062","7457.069","6017.215"
"M352.92T20.57","13557.76","15807.94","15807.94","14597.66","17538.37","17399.72","14090.55","25161.87","17750.76","15146.37","15235.14","18713.48","18155.36","13865.74","13223.56","14561.30","15709.38","17345.84","16423.04"
"M360.93T17.56","18205.67","27367.32","27367.32","30164.22","32695.15","65397.38","27668.76","32722.45","32465.10","31482.51","41060.81","36091.95","42651.06","31464.85","26629.44","31758.94","30449.07","42900.99","62875.64"
