"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M1417.47T13.55","8430.737","7129.324","7129.324","10126.288","11086.874","7935.1074","10884.161","12162.378","8780.262","12876.11","14221.394","13238.66","9572.902","11438.212","12623.269","9626.813","9073.563","9890.94","10403.116"
"M1419.72T16.56","4997.421","7357.869","7357.869","7039.054","5827.983","6349.0992","6935.695","6948.829","7263.225","11765.34","7029.722","8208.552","10624.605","5286.447","6779.163","7706.101","7860.844","7008.805","7225.381"
"M1419.72T12.55","11410.051","13545.167","13545.167","12461.272","8421.188","12429.9284","11875.52","6627.824","12075.365","10521.676","8977.577","11863.308","11227.714","10860.478","10976.032","10714.72","11127.699","11780.757","12115.114"
"M1421.72T17.55","3516.914","6381.862","6381.862","5408.176","6557.71","5860.8525","5054.469","5789.291","5489.424","5217.989","7850.179","5197.546","6364.657","5436.768","4393.085","6288.826","5506.772","5387.924","6058.566"
"M1421.72T12.54","4823.466","7646.872","7646.872","6539.56","5753.501","5471.3424","6770.014","5996.285","6413.182","9919.185","5473.77","7566.87","6240.956","5613.087","5152.524","5270.432","5446.332","7026.497","5374.168"
"M1422.39T13.55","12100.568","13790","13790","13835.382","12544.273","12538.8289","10015.958","12991.241","13730.433","11377.744","12809.767","14190.21","11338.662","13603.985","12013.928","8113.579","6968.844","10932.889","7241.338"
"M1423.46T13.55","20971.161","17945.694","17945.694","23857.358","22294.467","21644.3739","23660.386","21996.015","23482.358","19192.509","21094.901","28792.394","19943.172","23646.024","19176.955","21961.302","24338.377","25661.652","20806.232"
"M1424.72T12.6","14803.836","13661.352","13661.352","15261.648","18315.264","15490.3427","14927.435","10972.82","9835.418","15785.365","16175.04","17295.704","15161.527","15450.514","14114.335","12909.48","16720.349","16152.976","14616.745"
"M1427.4T13.43","8370.189","8597.107","8597.107","8266.726","12002.907","6764.7894","7733.051","7489.242","7811.387","8723.755","8370.829","9650.733","7724.857","8880.026","7019.408","5540.442","6171.231","7626.721","6448.3"
"M1429.06T13.55","14861.14","13579.266","13579.266","14162.36","18092.316","16446.6196","16878.484","16194.829","15600.211","14544.078","12665.159","15304.068","17536.709","13901.58","14152.46","14346.985","15478.587","17496.854","15285.72"
"M1429.22T13.55","11155.27","13725.689","13725.689","12523.458","12199.276","11887.2166","11205.516","10674.749","10675.72","11459.945","11976.326","12185.756","12325.171","9386.91","9103.886","11136.217","11075.905","11221.332","10654.99"
"M1429.4T13.55","11120.429","14935.322","14935.322","11807.316","15188.055","15108.4825","17032.946","14896.997","14840.975","12649.744","14407.792","22211.81","16405.256","14976.087","13276.123","14818.283","15785.789","17082.005","14483.32"
"M1431.72T17.4","6222.668","9530.153","9530.153","10350.96","9553.817","8022.0064","9196.694","10399.382","10047.717","9308.547","10491.505","8694.087","8289.42","9193.926","7979.263","10147.322","9159.278","10092.806","11012.502"
"M1433.39T12.55","8397.672","11001.913","11001.913","9283.768","6950.79","8964.6672","8857.532","9761.485","10141.117","8737.763","10599.299","10212.453","10418.298","8978.471","8865.464","9122.533","10947.359","10441.446","8422.793"
"M1434.47T13.55","8825.407","8184.154","8184.154","10288.774","10862.92","7244.2762","11145.336","8439.242","11599.848","9838.484","11166.933","11481.457","12132.431","10907.269","9045.695","7379.922","12345.391","12230.149","10573.626"
"M1435.72T12.55","6032.303","6780.28","6780.28","5777.28","6034.774","10343.9615","5105.336","7528.518","11232.612","5772.848","6704.944","6760.293","5481.097","6487.279","4572.664","9666.105","7316.566","6413.309","6431.034"
"M1435.72T17.56","2838.112","7675.869","7675.869","4156.432","5817.323","5257.1677","4966.426","5183.482","4701.785","6496.26","5966.479","5119.584","4314.648","3961.303","4136.203","5005.565","4942.85","5387.924","4279.66"
"M1438.05T13.55","15538.578","15984.365","15984.365","17915.586","17683.133","19357.9211","17793.22","18198.618","18090.194","15978.964","17705.088","17661.558","17474.53","17219.095","15597.203","16143.365","17026.623","15938.15","16315.269"
"M1438.38T13.55","11494.677","12252.561","12252.561","14561.554","13719.672","13226.8042","12637.8","14829.014","13620.263","10950.709","13688.088","8211.294","12504.019","13425.601","11351.727","11842.879","13336.685","13196.689","8537.29"
"M1438.71T16.56","7697.033","9530.153","9530.153","9327.9","9819.256","8265.1691","9347.96","16726.518","16860.105","14172.56","10295.028","7372.05","8690.537","8630.583","7760.841","9586.415","8248.672","9996.569","8146.989"
"M1440.47T13.55","17174.629","16716.519","16716.519","19385.984","16882.398","14996.5926","18477.266","16830.512","18280.95","16513.234","16242.544","19302.536","18495.538","16814.292","12661.566","15270.414","19482.752","20198.398","20452.395"
"M1442.72T13.1","13052.832","15475.823","15475.823","13185.438","13702.84","19149.5491","13426.553","12976.006","12847.404","19270.055","12439.5","21462.315","11959.304","11052.862","11650.237","9084.788","14171.708","13965.457","11276.822"
"M1445.05T13.55","11314.28","11174.312","11174.312","13277.714","12011.177","11108.7865","11480.338","12239.392","12261.243","11763.759","11469.211","13759.049","10785.335","12010.058","10315.865","11341.59","12676.668","12219.85","11671.04"
"M1446.21T13.55","10778.657","11791.76","11791.76","11083.15","10399.614","9416.363","7941.754","8863.532","9202.439","8115.098","12414.664","10507.628","9382.898","9833.457","8534.016","9913.707","10546.496","9490.778","8528.479"
"M1446.44T13.6","10070.291","11565.07","11565.07","12152.348","12049.162","10390.74","11082.429","12437.568","12537.858","9841.49","7037.048","8310.858","12487.972","10295.515","9768.465","12574.79","11402.83","14087.334","11879.99"
