"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M382.31T1622.76","-0.005808179","-0.008389398","-0.008389398"," 0.110273893","-0.102304096","-0.710585248","-0.179922671"," 0.035974666"," 0.129346509"," 0.122865583","-0.159303437","-0.066037635"," 0.176389612"," 0.032073530"," 0.339019079","-0.286205675"," 0.363980220"," 0.306236359","-0.089213714"
"M385.29T1369.89","-0.14308796","-0.04417504","-0.04417504","-0.22033158"," 0.31659995","-0.22839523"," 0.86570841","-0.16322310","-0.16068471"," 0.19748264","-0.19366521"," 0.51552467","-0.62890423","-0.47028735"," 0.18274240"," 0.41504414"," 0.12021685","-0.78914095"," 0.47275133"
"M392.9T19.57","-0.37605254","-0.39564238","-0.39564238"," 0.08463969","-0.11962911"," 0.16818550"," 0.05627893"," 0.13249752"," 0.14576754","-0.10719703"," 0.35224444"," 0.24720619"," 0.12745761"," 0.04582615","-0.33313776"," 0.02833874","-0.01299405"," 0.09825395"," 0.25359900"
"M400.92T17.56","-0.26656688","-0.13946732","-0.13946732"," 0.22214023"," 0.07993011"," 0.87816366","-0.16304491"," 0.04268108","-0.20038996","-0.32015384","-0.02117306"," 0.16199193"," 0.15552125"," 0.06438541","-0.15718551"," 0.09450786","-0.11769243","-0.01938995","-0.15479034"
"M408.91T18.56","-0.50959491","-0.38100439","-0.38100439"," 0.12380898"," 0.22732363"," 0.15101036","-0.05877715"," 0.13085486"," 0.07544441","-0.16476067"," 0.24144685"," 0.13876404"," 0.07662590","-0.28979244"," 0.33705038","-0.14370031"," 0.07821649"," 0.24363533"," 0.10445302"
"M408.91T11.54"," 0.19949832","-0.32745580","-0.32745580"," 0.10839275"," 0.47340443"," 0.27241765","-0.76906267"," 0.22019117"," 0.06264190"," 0.08515749","-0.03552627"," 0.06517880","-0.12124932"," 0.05685461","-0.14262591","-0.32945296"," 0.28127487"," 0.30046405","-0.07264729"
"M409.18T18.56","-0.40632417"," 0.01445816"," 0.01445816"," 0.23263985","-0.28489342","-0.15031635","-0.45272690"," 0.10738370"," 0.08141519","-0.45913270","-0.15747553"," 0.12347310"," 0.04346959"," 0.08985385"," 0.32821793"," 0.11582906"," 0.29904305"," 0.16157808"," 0.29904936"
"M411.2T18.56","-0.57298563","-0.12741504","-0.12741504"," 0.17686779"," 0.07245603","-0.32688683","-0.03737950","-0.07024175","-0.15637412","-0.40514162"," 0.15339912"," 0.12240654","-0.06842632"," 0.09126561"," 0.80228926"," 0.02415492","-0.05927990"," 0.16975555"," 0.33895095"
"M420.91T18.56","-0.569199545"," 0.131587804"," 0.131587804"," 0.019923697"," 0.122209724","-0.021803753","-0.153965376"," 0.368589982"," 0.160909961","-0.007668963"," 0.304456540"," 0.130102407","-0.154900096","-0.259305465","-0.272480953","-0.160137615","-0.042171980"," 0.162119707"," 0.110146119"
"M428.92T12.55"," 0.21753373","-0.07143861","-0.07143861"," 0.32490473"," 0.17492992","-0.10263640"," 0.09014227","-0.09975048","-0.14623029","-0.56683906"," 0.06904516"," 0.20014475","-0.04635972"," 0.06316180"," 0.16833925","-0.30872211"," 0.20803370"," 0.07358161","-0.17640165"
"M428.92T17.56","-0.37848192","-0.30544397","-0.30544397","-0.20839061"," 0.09557963","-0.18380972","-0.24625322"," 0.12849987"," 0.64450948"," 0.06131621"," 0.14807915","-0.04876397"," 0.28836383","-0.18064574","-0.27055439"," 0.54973481"," 0.17702350"," 0.26947730","-0.23479628"
"M468.42T1623.34","-0.094839294","-0.007864282","-0.007864282","-0.147498187","-0.389422977","-0.039155256","-0.187602083","-0.004831046","-0.061740764","-0.151248457"," 0.937782157"," 0.027037246","-0.146364528"," 0.136436815"," 0.267511053"," 0.191150879","-0.079507132","-0.245924784"," 0.003944923"
"M468.91T17.56","-0.446538747","-0.371714072","-0.371714072"," 0.067628121"," 0.135154413"," 0.827255160","-0.105205080"," 0.058192354","-0.151339637","-0.219323132"," 0.222382877"," 0.213932493"," 0.130003914"," 0.006925033","-0.284267137","-0.086161059"," 0.104732496"," 0.108518020"," 0.161538054"
"M480.89T18.57","-0.647075497","-0.189438824","-0.189438824"," 0.155239872"," 0.220096568"," 0.618247459","-0.279162557"," 0.087333027"," 0.005749839"," 0.114514154"," 0.253299654"," 0.075549024"," 0.030525529","-0.120082792","-0.318005221","-0.028501766","-0.051860613"," 0.040922944"," 0.222088026"
"M496.91T17.56","-0.43680979","-0.16584345","-0.16584345"," 0.11231268"," 0.13897991"," 0.86031354","-0.35061474"," 0.20388184"," 0.14505709","-0.03817211","-0.09612284","-0.03564124"," 0.09726107","-0.04268128","-0.29443224","-0.21686969"," 0.11072747"," 0.14724548"," 0.02725175"
"M501.91T13.55"," 0.07846475"," 0.05135189"," 0.05135189"," 0.22369395","-0.09130893"," 0.24869342","-0.15319021","-0.41331678","-0.23565567","-0.46776423","-0.21105051"," 0.15866142","-0.42863677"," 0.33586031"," 0.11052483"," 0.04611582"," 0.55732994"," 0.06497104"," 0.07390382"
"M502.87T19.22","-0.522171301","-0.086562526","-0.086562526"," 0.306546433"," 0.089127805","-0.251370270","-0.118262025"," 0.303382365","-0.006303945"," 0.052206006"," 0.042279688"," 0.154968520","-0.071247030","-0.089643103","-0.055914204","-0.160224557"," 0.086085781"," 0.426083743","-0.012418853"
"M516.89T18.56","-0.34536982","-0.30139271","-0.30139271"," 0.07886317"," 0.13726608"," 0.76528525","-0.42915558"," 0.19258450","-0.06768975","-0.04034214"," 0.06619800"," 0.27878128"," 0.21551497","-0.09577542","-0.40746406"," 0.04974687"," 0.10541563"," 0.01227309"," 0.08665335"
"M534.88T17.56","-0.56000899","-0.39342632","-0.39342632"," 0.03421501","-0.09144553"," 0.61120063","-0.02043207","-0.08678956"," 0.02585400","-0.01283854"," 0.11316385"," 0.08257698","-0.01803047","-0.12517759"," 0.50935608","-0.12885208"," 0.59691302","-0.04824935","-0.09460275"
"M536.9T12.55"," 0.072440483"," 0.681260086"," 0.681260086"," 0.152403241"," 0.057003651","-0.114452720","-0.341128485","-0.009974775","-0.307458473","-0.102441176"," 0.132751949","-0.238666220","-0.003652695"," 0.073868819","-0.277576207","-0.116002298","-0.171071106","-0.082165365","-0.086398798"
"M536.9T17.56","-0.791611340","-0.162375318","-0.162375318"," 0.136119585","-0.017214401","-0.186883945","-0.211350420","-0.163242581"," 0.273808051","-0.175824858"," 0.230734187"," 0.366290467"," 0.003643919"," 0.234524598"," 0.066803577"," 0.180482189"," 0.370975190","-0.178547869"," 0.186044290"
"M544.89T18.56","-0.52449338","-0.23290047","-0.23290047"," 0.03243016"," 0.29557294","-0.02640000","-0.13332215"," 0.29370759"," 0.11198835","-0.02929928"," 0.28023312"," 0.20042952"," 0.07683597","-0.09994970","-0.50618759","-0.19631023"," 0.06230329"," 0.35944823"," 0.26881411"
"M544.89T11.54"," 0.159054427","-0.453894982","-0.453894982"," 0.022187818"," 0.515438407","-0.003735321","-0.144512448"," 0.217669613","-0.007390809","-0.112480600","-0.110780978"," 0.269640417","-0.209710380"," 0.055290586","-0.029272866","-0.190245990"," 0.207693459"," 0.381649038","-0.112704408"
"M549.19T881.43","-1.88576474"," 0.19887476"," 0.19887476"," 0.35579078"," 0.15282421","-2.64811105"," 0.08644039"," 0.55259728"," 0.19270822"," 0.52120928"," 0.06168073"," 0.24017802"," 0.55879825"," 0.61938500","-1.67246095"," 0.75545372"," 0.58205123"," 0.39854737"," 0.73092275"
"M564.89T12.55"," 0.181147522"," 0.060290718"," 0.060290718"," 0.069162738","-0.117143984","-0.183730669","-0.036081532"," 0.070066097","-0.050994080","-0.200276653"," 0.460641878"," 0.002510069","-0.096762757"," 0.065903293","-0.172497133"," 0.036267656"," 0.115239419","-0.136490858","-0.127542443"
"M565.89T17.56","-0.277392460","-0.201156777","-0.201156777"," 0.064244773","-0.148723420"," 0.866820957","-0.293979185","-0.022414532"," 0.017152151"," 0.004105991"," 0.070163167"," 0.404614700","-0.102379825","-0.130147331"," 0.036256965"," 0.114271620","-0.172366737"," 0.113170334","-0.141083612"
"M569.88T19.56","-0.49739739"," 0.18678204"," 0.18678204"," 0.07161301"," 0.08817824","-0.14343174","-0.14250587"," 0.48021398","-0.05026011"," 0.72347724"," 0.20028401"," 0.21223034","-0.05878153","-0.21070207","-0.61866783"," 0.18466728"," 0.13510879","-0.35090298","-0.39668747"
"M573.47T1437.42","-1.62508308"," 0.09670483"," 0.09670483"," 0.23523944"," 0.07811651","-1.24482998","-0.04769159"," 0.28514277"," 0.38675331"," 0.41832500"," 0.29930229"," 0.17291599"," 0.48370695"," 0.43280769","-1.52517941"," 0.35803670"," 0.56847006"," 0.19848403"," 0.33207366"
"M575.48T1420.61","-2.6301402"," 0.2811029"," 0.2811029"," 0.3539694"," 0.1950792","-1.4209047"," 0.2415384"," 0.3443243"," 0.4431783"," 0.4512579"," 0.4775598"," 0.2845798"," 0.3958566"," 0.4721879","-1.8051542"," 0.4102799"," 0.4898193"," 0.3763689"," 0.3579936"
"M575.48T1555.33","-1.88233912"," 0.20648911"," 0.20648911","-0.11109453"," 0.15510079","-0.97427670","-0.04392254"," 0.05597920"," 0.26517214"," 0.23228785"," 0.25257207"," 0.18502449"," 0.54928308"," 0.40094083","-1.02281990"," 0.57268577"," 0.47464482","-0.02099711"," 0.49878065"
"M579.89T13.55","-0.08921676","-0.05842847","-0.05842847","-0.12330728"," 0.18686061"," 0.09081040","-0.09640793","-0.14224098","-0.10425036"," 0.02739987"," 0.11036172"," 0.20867915","-0.12611943"," 0.08564610"," 0.23825122"," 0.31238510","-0.04740504"," 0.05971563","-0.47430508"
"M589.43T1437.43","-0.033047409"," 0.089238170"," 0.089238170"," 0.140630652","-0.446567883","-0.232038286","-0.582673391","-0.070120863","-0.004784115","-0.005118898"," 0.062925811","-0.387563427"," 0.066028608"," 0.236776848","-0.214792074"," 0.372838525"," 0.399606442"," 0.198439877"," 0.320983241"
"M592.89T17.56","-0.61991236","-0.10430750","-0.10430750"," 0.28701374"," 0.27437913","-0.14857005"," 0.06182016"," 0.26754314"," 0.25763757","-0.35598399"," 0.32708225"," 0.08692753","-0.15057904"," 0.06296260","-0.33858156","-0.10414505","-0.15502038"," 0.21683715"," 0.23920416"
"M593.89T12.55"," 0.222482783"," 0.005543244"," 0.005543244"," 0.056726075"," 0.435392043","-0.314970634","-0.023535653"," 0.076078319"," 0.035560559","-0.242036095","-0.177441426","-0.021319990","-0.148427978"," 0.410932856","-0.127797086","-0.198519513"," 0.232180307"," 0.004680841","-0.231071897"
"M603.37T16.56","-0.30430258","-0.53076477","-0.53076477"," 0.09993739"," 0.20269405","-0.12695793"," 0.21402540"," 0.04583249"," 0.18164142"," 0.14688806"," 0.32654846"," 0.11033351"," 0.13884910","-0.43421740"," 0.24333672"," 0.07013440"," 0.09183799","-0.04292096"," 0.09786943"
