"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"M496.91T17.56",0.020637,-0.055623,0.0097647,0.01278,0.030229,-0.021608,-0.022724,0.020781,0.040596,0.008668,-0.014166,0.014251,0.0049052,0.0028878,-0.0033616,0.00085134,0.006,-0.00074704,0.0087547
"M501.91T13.55",-0.014159,-0.0078724,0.0076441,0.045619,-0.032286,-0.016345,-0.024201,-0.070357,0.047723,-0.0045189,-0.044446,-0.032481,0.0040353,-0.049104,-0.019049,0.020801,-0.0085116,-0.0087377,0.0077401
"M502.87T19.22",0.034759,0.0014019,-0.009123,0.028737,0.015147,0.028165,0.0095847,-0.001241,0.023522,0.034621,-0.013112,0.015347,-0.0065507,0.017607,-0.016161,-0.031084,-0.029614,-0.00094041,-0.0011206
"M516.89T18.56",0.02723,-0.054817,-0.0042297,0.010624,0.012055,-0.032644,-0.0095959,0.017785,0.02851,0.0062133,0.03353,-0.012001,0.012042,-0.010123,-0.029482,0.021937,-0.003696,0.0011436,0.00074572
"M534.88T17.56",0.0099705,-0.051937,-0.028839,0.01661,-0.0012232,0.033799,0.019036,-0.011604,-0.0022502,0.030056,-0.065626,-0.037329,0.0088219,-0.0511,0.018822,0.012168,0.021066,-0.0048021,0.0056645
"M536.9T12.55",-0.0064925,0.02369,0.075076,0.016096,0.0084613,-0.0058312,-0.017238,0.020887,-0.0037295,0.00058284,0.0021726,0.0078703,0.02666,0.014272,-0.040972,0.021128,-0.031544,0.0068547,-0.0057255
"M536.9T17.56",0.046079,-0.0058955,-0.014003,0.026903,-0.026075,0.025222,0.0020808,-0.031275,-0.007385,-0.0060393,-0.021502,0.010822,0.01008,-0.066092,0.0016868,0.047909,0.03124,-0.014899,0.0091382
"M544.89T18.56",0.048838,-0.013155,-0.013202,0.020097,0.041237,0.0075202,-0.016783,0.001952,0.01607,-0.0061107,0.023443,-0.0056221,-0.014389,0.029948,-0.030351,-0.012966,0.012241,0.0034676,0.0067435
"M544.89T11.54",0.0024349,-0.0084494,-0.04994,0.043395,0.023545,-0.016861,0.010271,-0.0083576,0.057365,0.022079,0.010402,-0.0072055,-0.0085336,0.030382,-0.033947,-0.017727,0.037545,0.00909,-0.0010332
"M549.19T881.43",0.18878,0.12785,0.00022854,-0.030273,-0.02924,-0.022891,-0.040072,-0.031867,0.0022703,0.03381,-0.0011451,0.00031491,0.021284,0.025096,-0.012175,-0.013976,-0.014824,0.0063479,-0.0030007
"M564.89T12.55",0.0006684,0.013687,0.0031205,0.029922,0.0039286,-0.0032118,0.0084192,0.0090375,-0.021391,-0.04451,0.0075767,-0.030004,0.027423,-0.003313,-0.0063964,0.01634,-0.022983,0.00686,-0.0046173
"M565.89T17.56",0.0046625,-0.058425,0.0029692,0.013618,-0.0059346,-0.0087914,0.035516,-0.0058323,0.012446,-0.0059102,0.022925,0.021912,-0.01169,-0.030699,-0.015828,-0.0077357,-0.02142,-0.002328,0.0028729
"M569.88T19.56",0.045031,0.0064623,0.031151,-0.024121,0.025498,-0.019197,0.087604,0.029161,0.017358,0.016241,0.021079,-0.017407,0.062983,0.022949,0.015662,0.026498,-0.023736,0.0065969,3.4214e-05
"M573.47T1437.42",0.14843,0.054513,0.016244,-0.01436,0.018303,-0.04353,-0.018219,-0.0094744,-0.0049027,-0.0042317,-0.022199,-0.0059792,0.011814,-0.0037933,0.005126,0.016535,-0.003369,0.0040902,0.0046523
"M575.48T1420.61",0.20044,0.055349,0.045558,-0.0040471,0.021243,-0.023112,-0.0029564,-0.051674,-0.037951,0.010182,-0.042127,0.016404,-0.0019741,0.029864,0.021046,0.0064919,-0.00093386,-0.0086764,0.0019108
"M575.48T1555.33",0.13791,0.035746,0.034006,-0.024846,-0.025841,-0.011626,-0.025458,-0.025199,-0.039554,0.014918,-0.019569,-0.0052637,0.007963,-0.026285,0.0015876,0.02729,0.060228,0.0064381,-0.01873
"M579.89T13.55",-0.0041279,-0.0079076,-0.0020318,0.02242,-0.028808,-0.016992,0.062718,-0.0028575,-0.017266,0.01423,-0.0055468,0.0064755,-0.0056654,-0.0064487,-0.025673,-0.0020203,0.031361,-0.012589,0.0094234
"M589.43T1437.43",0.019494,0.015149,0.010729,-0.0092768,-0.041327,-0.011593,-0.044327,0.032747,0.035043,-0.044566,-0.047186,-0.020267,0.02196,-0.054236,-0.048801,-0.017778,-0.040389,-0.0047728,0.008018
"M592.89T17.56",0.044069,-0.0045462,-0.0049697,0.044732,0.015544,0.02487,-0.024133,-0.020562,-0.0058431,-0.027542,0.0075351,0.035071,-0.0069636,0.052297,-0.00057656,0.0049386,0.0016128,0.0022709,0.0021703
"M593.89T12.55",-0.0057133,0.025448,-0.0097383,0.043421,0.015716,-0.035991,-0.011981,-0.012483,0.029794,0.014525,-0.017166,0.0063628,0.021692,0.021436,0.00013797,0.014886,0.043548,-0.0011066,0.0058267
"M603.37T16.56",0.022051,-0.01543,-0.058904,-0.0083682,0.0021582,0.047107,0.028,0.013763,-0.024755,0.0063503,-0.00098472,-0.019121,-0.025681,0.021426,0.0067719,0.033057,0.010826,0.003728,-0.0007217
"M604.89T12.55",0.017254,-0.0023696,-0.045902,0.018049,0.016601,0.014438,0.029913,0.035068,0.011161,-0.039485,-0.010152,0.0060005,0.031102,0.017823,0.011934,0.025755,-0.043034,0.0063045,0.0086509
"M612.87T18.56",0.039703,-0.022414,0.016195,0.012736,0.035786,0.015704,0.029552,0.0093777,0.0044103,0.012977,-0.017965,-0.046223,-0.047325,0.012844,0.0015286,-0.026789,0.029508,0.0012776,0.0018237
"M612.88T11.54",-0.0046378,0.0043422,-0.033087,0.049162,0.04054,-0.0086995,0.010872,0.011194,0.042834,0.035205,-0.023048,-0.002969,-0.025649,0.046013,-0.043792,0.0096463,0.037309,0.0042984,-0.00085875
"M618.85T19.56",0.035131,-0.004632,0.011607,0.0080642,0.010502,0.059662,0.02732,-0.015489,0.0044923,0.012541,-0.057062,0.0027162,-0.0088006,-0.029874,-0.014775,0.0019281,0.0012718,0.0033872,-0.009697
"M624.87T18.56",0.0054984,-0.042582,0.044064,-0.018986,-0.0060791,-0.022126,0.035339,-0.00080937,0.033872,-0.02906,-0.026749,0.022704,-0.00025805,-0.025525,-0.007052,0.022888,0.0089138,0.0062135,-0.010282
"M626.86T18.56",0.031525,-0.025772,-0.0028232,0.038093,0.025517,-0.00064441,-0.015474,0.00080138,-0.016039,0.0074731,-0.0051185,0.022575,-0.010544,0.0037744,0.0021429,0.0062175,0.025746,0.0050843,-0.0052679
"M631.47T1471.08",0.14074,0.048935,0.0097941,-0.025698,-0.0080274,-0.025649,-0.014894,-0.015493,-0.0088235,0.015001,-0.032211,-0.0034904,0.015465,0.0021303,0.010218,0.0057385,-0.0073992,-0.0015541,0.0091934
"M631.86T17.56",-0.0017126,0.0084478,0.059345,0.033485,-0.016487,0.018473,-0.026186,-0.032858,-0.0013962,-0.022334,0.011751,0.0049761,-0.029171,-0.039031,-0.0019783,0.027384,-0.016824,0.010081,-0.017864
"M632.47T1471.09",0.14949,0.036807,0.017731,-0.024074,0.0075222,-0.051985,-0.021141,-0.019044,0.0053734,-0.0010089,-0.01981,-0.014228,0.010566,0.010613,0.016412,-0.0010923,-0.024009,-0.0026561,0.012391
"M632.88T17.56",0.020655,-0.052596,0.020269,0.017351,0.018927,-0.020445,0.038469,-0.00095445,0.0017225,-0.018612,-0.049688,-0.0080142,-0.035716,0.013249,0.00079053,0.0094221,0.00051343,0.005221,-0.0038222
"M633.48T1454.22",0.10773,0.0097778,0.020836,-0.026016,-0.023291,-0.06551,-0.013005,0.003861,-0.0079802,-0.010972,-0.0312,0.0034143,0.031197,0.0051278,-0.014559,-0.0022979,-0.016848,-0.0014809,0.003385
"M633.48T1420.61",0.10827,0.0057986,0.017199,-0.02229,-0.0018052,-0.050449,0.0031199,-0.0052664,-0.0025158,-0.0089989,-0.027423,0.0016536,0.023962,0.0171,-0.004633,-0.0076484,-0.019267,-0.0054253,0.011764
"M633.88T17.56",0.04349,-0.0042191,-0.023365,-0.039457,-0.036122,-0.048933,0.068888,0.042973,0.0083751,0.016114,0.0085018,-0.019505,-0.019178,0.017407,-0.067762,-0.0092971,0.018468,-0.00043559,-0.01706
"M634.48T1420.61",0.10806,0.019786,0.012375,-0.021863,0.0061651,-0.045818,0.00081084,-0.0064774,0.0084814,-0.020975,-0.016231,-0.0063337,0.011049,0.010818,-0.011306,-3.7458e-05,-0.026244,0.001746,-0.00093703
"M637.36T17.55",0.022012,-0.055704,0.016176,-0.012429,-0.029816,0.02327,-0.034502,-0.021999,0.043835,-0.010333,-0.033896,0.019405,0.013574,-0.013301,-0.02382,-0.0025816,-0.005374,-0.0032989,0.0031388
"M637.87T18.56",0.052374,0.0055112,-0.019239,0.021176,0.0082868,-0.00058514,0.061159,0.043135,0.018193,0.0053061,-0.091194,-0.031431,0.04264,-0.0059808,0.048079,-0.0094774,-0.037834,0.012132,-0.0043064
"M644.87T18.05",-0.0019416,0.010012,-0.023366,0.0062554,-0.01777,0.0037049,0.041279,-0.054513,-0.019705,-0.030838,-0.019748,0.019715,-0.011296,0.036865,-0.050739,0.053633,-0.020764,-0.0020448,-0.00023353
"M647.46T1437.41",0.14613,0.053386,0.017926,-0.037568,0.0056944,-0.061526,-0.039567,-0.012399,0.0047072,0.0026617,-0.0098237,-0.0089546,0.0085284,-0.017002,0.014354,0.023492,0.0035694,0.014492,-0.014071
"M648.47T1437.41",0.14427,0.06222,0.017499,-0.029534,-0.0037079,-0.038261,-0.025776,-0.0052972,0.00071413,0.0018194,-0.022845,-0.0095097,0.011169,-0.022574,0.011505,0.030616,0.0056977,-0.004726,0.0067763
"M649.48T1420.61",0.14096,0.064192,0.017431,-0.021877,-0.010625,-0.030626,-0.019693,0.0040847,-0.0036816,0.01127,-0.044552,-0.0011827,0.02792,-0.0060665,0.010601,0.011723,-0.0052268,0.0019229,0.0013918
"M649.48T1386.28",0.14806,0.062549,0.010789,0.0018674,0.011021,-0.0048264,0.017224,-0.0096498,-0.018402,0.004478,-0.021788,0.011888,0.0002502,-0.016706,-0.0025675,0.018067,0.017758,-0.00081038,-0.0085549
"M650.48T1420.61",0.13748,0.055947,0.0046113,-0.011753,-0.0085685,-0.025486,0.0045264,0.0053719,-0.0026073,0.018841,-0.030933,0.0074499,0.01292,-0.022209,0.018456,0.018017,0.0069036,0.0043025,-0.01355
"M650.48T1403.57",0.14365,0.06456,0.0026717,-0.0028001,-0.00033594,-0.011139,0.0077811,-0.013545,-0.0010019,0.03242,-0.0061469,0.002125,0.012502,-0.016065,0.011366,0.018945,0.012243,-0.0018736,-0.00039833
"M653.86T17.74",0.023557,-0.053161,0.0083424,0.0037612,-0.011869,0.031503,0.043971,0.047401,0.026543,0.013545,-0.0063796,-0.024221,-0.024596,0.024683,0.00012724,-0.022641,-0.039448,0.0040621,-0.00396
"M660.87T12.55",0.0042394,0.023076,-0.0080468,0.028046,0.0178,0.010175,0.055887,-0.0083806,-0.010707,-0.008059,0.030557,-0.004017,0.0081169,-0.039491,-0.03349,-0.0058142,-0.021774,0.00018421,-0.0066338
"M660.87T17.56",0.030884,-0.059165,-0.010979,0.017807,0.015621,-0.0019961,-0.035582,0.015417,0.014593,0.0085852,0.0043592,-0.021385,-0.025756,0.04316,0.038018,0.010095,-0.01082,0.0073911,-0.0078453
"M663.46T1386.95",0.076826,0.029913,-0.010563,-0.034447,-0.017456,-0.033624,-0.0013903,-0.00028777,0.023343,0.0031954,-0.0084039,-0.027222,-0.006271,-0.042856,0.015815,0.022049,0.021114,-0.016552,0.019646
"M664.85T11.54",0.013105,0.02605,-0.018861,0.0071319,-0.015856,0.0018326,0.028938,0.037234,-0.0091454,0.0045069,0.019163,-0.011941,0.0024885,-0.018398,0.0093713,0.016117,0.0032574,0.0062033,-0.013432
