"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M615.484T1373.389","83165.434","69842.599","92617.285","96728.568","69754.467","115423.71","66100.253","62656.65","191569.274","78500","44160.853","50096.3686","124779.949","68669.927","214000","104000","61137.2406","87339.9348","181000","67304.895"
"M669.539T1543.447","56761.944","81858.915","162902.337","145813.085","161010.102","80941.525","48727.828","169551.546","89161.203","54700","66968.796","52872.1426","105660.391","115397.595","62300","117000","72368.8783","129836.0651","118000","94692.887"
"M833.242T1612.704","11544.446","2083.717","9469.323","58085.314","251901.797","7490.919","10621.93","6413.815","8475.158","15700","7399.152","10441.1179","9938.945","16668.451","8480","7730","6746.9118","12874.1946","4920","14206.987"
"M857.578T1508.978","50594.503","90879.789","116718.913","69434.967","125041.613","45908.321","39351.588","129460.225","68647.279","117000","124306.971","41688.6213","70076.641","152926.612","233000","59700","33328.981","159168.3582","58100","79631.35"
"M284.199T1509.25","272998.281","334360.411","316586.163","324099.171","307455.706","291803.463","283677.144","312959.185","284606.212","277000","291261.829","278864.3946","343742.086","289772.26","316000","291000","300522.9672","290916.8","338000","278693.6"
"M545.398T1401.37","561082.147","510987.688","484869.779","551766.519","406611.367","461219.528","739555.694","596105.001","608945.843","418000","607228.616","504388.5889","527173.328","504932.789","359000","377000","609665.5023","703576.1656","496000","649675.81"
"M709.527T1642.128","46826.207","64614.501","59751.656","59729.085","53737.669","55124.213","10394.82","60500.662","73577.608","52500","57910.505","47099.6574","64276.28","64248.378","60100","52200","51575.25","113424.5862","31000","52179.087"
"M891.586T1523.868","29923.949","70550.308","55411.518","23684.086","75945.685","37561.767","18617.865","58262.014","58499.278","60900","45360.47","27555.9562","38594.914","62183.749","110000","31100","25568.1694","66003.8862","36700","31038.811"
"M641.505T1439.707","79744.894","33456.003","46819.589","51601.97","82272.937","90705.998","63125.943","230444.345","77682.793","73400","72408.211","51589.2146","40217.503","44486.652","74500","80900","33516.1447","284588.1559","50500","74189.406"
"M930.569T1490.033","51458.031","105944.691","79383.858","81480.221","169379.125","52521.791","21844.82","115843.01","83046.317","48700","26488.131","10299.9639","53573.766","121490.314","149000","57300","7359.6752","93158.6287","45600","58571.986"
"M393.862T1820.109","192066.563","195512.604","184405.634","183559.914","182197.2","207353.035","151138.996","184086.745","178554.266","196000","161266.439","193530.3561","183327.016","191309.225","184000","2e+05","185617.21","203926.0051","186000","185587.229"
"M700.599T1557.484","132360.22","389974.583","170724.294","414731.29","400939.84","174019.928","122324.358","161995.917","321946.241","390000","168224.241","207980.114","479327.226","267681.419","192000","89800","203433.056","229682.9488","484000","80491.065"
"M669.531T1507.08","56801.034","72673.15","160387.571","120224.648","167758.841","77802.069","34674.122","159157.118","81066.782","54700","61134.025","50747.3748","91277.323","97178.95","62300","1e+05","65684.4322","121139.8689","118000","88537.921"
"M572.541T1526.07","60604.391","29856.308","42851.771","41312.134","74909.452","28769.059","18800.476","48681.107","27679.828","46300","66099.46","31927.6955","32074.47","61683.121","38100","79800","47462.582","61227.218","44900","38304.424"
"M913.567T1470.553","65031.613","230390.322","139213.727","106415.301","496420.34","59592.686","49894.303","368136.481","112217.31","48000","45924.06","28110.2927","68057.441","317944.039","527000","44500","24731.8196","199340.0684","82700","61633.325"
"M396.223T1712.492","42901.057","25973.454","10673.945","174548.603","132493.844","31820.858","3439.714","14430","149305.804","94800","97115.559","50985.8706","152075.468","10758.567","142000","61100","27480.5393","10937.2461","147000","77040.8"
"M387.235T1108.062","146714.432","76370.715","121930.187","234784.802","151945.247","104233.012","164929.883","259229.517","303899.969","276000","202987.468","73007.229","282417.077","132192.447","227000","193000","70593.568","135919.451","331000","225103.073"
"M857.586T1540.43","58119.574","93495.243","122700.812","69246.395","141203.25","51392.039","58650.037","138687.866","83927.234","126000","132916.358","41558.7838","82666.922","166293.107","257000","73800","33340.6147","168998.3073","72700","79574.3"
"M913.569T1491.061","68806.709","257456.065","142532.288","103570.244","483193.864","53885.676","43792.523","354386.691","110879.799","50900","43268.349","28208.0421","65283.795","328600.378","561000","44500","22247.6769","197849.8096","90000","67497.835"
"M933.608T1624.867","5518.924","26880.707","12565.225","17264.907","15046.547","2894.106","8102.426","28111.419","26136.727","4360","4454.654","578.8212","12522.218","19396.884","46000","11700","578.8212","15476.3065","7730","5621.481"
"M820.506T1574.276","29074.317","164523.928","208545.258","74501.288","114919.722","27542.967","37761.152","51819.655","45385.569","32000","21686.307","18820.5319","82423.504","53862.702","49600","35000","5036.266","92985.2165","45300","18006.082"
"M436.428T1590.788","9071.892","15430.534","23795.082","17707.122","4090.606","10555.254","2899.809","5940.414","12658.254","465.7142","2328.571","20900.8907","19005.508","19909.157","12700","6000","17020.1934","63369.9432","21900","11242.196"
"M629.509T1624.418","96782.703","40553.68","54003.02","66244.503","57837.031","29658.514","9838.669","59310.138","173116.081","37200","32466.017","50587.3949","128189.165","42902.004","49900","39200","36696.5618","88570.8139","191000","39246.698"
"M809.528T1642.498","22073.567","207828.276","192516.089","166878.038","121451.686","23837.854","26844.992","133566.791","26235.929","28600","25558.772","18916.6339","38144.389","290572.095","49800","33200","21954.053","64571.7329","44300","32079.35"
"M699.594T1459.589","73231.187","645353.958","271866.199","593344.391","807600.594","70984.264","83620.57","245716.715","476095.353","650000","304820.4","79467.0071","899625.75","435607.857","389000","87000","76586.8007","255461.3784","673000","88110.121"
"M642.513T1591.557","50402.977","36767.526","39516.857","54332.156","49966.978","32680.684","5761.711","46413.558","158877.658","36800","42730.162","40338.8719","72274.138","52236.831","49100","42200","44845.1453","158437.2331","145000","38884.053"
"M602.51T1575.45","126012.629","112729.205","184741.854","174876.295","125757.096","90676.439","53556.852","190429.779","111088.701","58300","72602.127","77472.7284","158980.98","129641.375","75600","131000","64188.9784","126641.0486","145000","150237.215"
"M383.284T1439.726","146057.32","161450.555","140433.378","148415.792","145959.087","177541.705","200227.118","157721.111","166966.545","167000","120611.446","136629.9477","156163.083","153687.126","273000","158000","141114.1729","130752.7509","176000","161584.933"
"M315.215T1607.605","30617.786","30677.976","39500.255","29084.319","34413.542","20163.537","3890.117","41546.021","34278.227","35400","39859.139","25408.3189","40056.761","34844.075","31600","43500","35189.3633","43824.1132","41100","38076.471"
"M949.6T1601.965","32250.302","81496.318","49981.955","36487.316","80119.002","14127.512","30165.483","63231.922","55275.744","20600","16409.465","4626.9953","37464.881","84455.424","185000","12100","4870.7025","85329.3232","25800","25191.061"
"M361.241T1490.042","275514.598","389835.59","332017.25","287793.425","347124.79","624289.131","219766.811","300002.158","299156.684","673000","273799.059","293936.5534","307935.758","384318.23","442000","790000","267285.6922","337529.1472","341000","319987.777"
"M853.59T1540.43","41848.554","95566.957","82462.14","78805.411","117032.982","70758.684","34839.156","108497.307","92132.54","77800","63044.721","46045.6941","73924.607","121877.06","255000","77900","50755.7683","117084.9318","87500","58959.071"
"M313.164T1450.838","185769.537","133364.758","172652.273","150075.134","167557.544","174531.078","150011.352","151957.06","149187.555","195000","149616.207","152680.9922","182755.951","150936.154","169000","183000","142104.5664","139711.9685","162000","167280.456"
"M721.577T1609.803","73970.518","438531.336","203981.125","583100.02","476064.27","61306.77","41159.889","211335.669","275701.41","395000","261662.22","90637.8548","638151.784","378345.676","285000","83100","69146.3359","262365.4799","582000","79806.494"
"M565.558T1423.01","102464.465","402485.957","118408.144","243410.11","106848.908","296675.868","279461.063","108813.591","86275.737","134000","93051.965","85835.3767","198997.728","137672.373","134000","117000","94265.9079","153930.2673","134000","99562.151"
"M426.391T1557.26","71370.53","89136.323","101071.642","81023.55","89779.418","68675.247","45545.24","99948.092","89758.513","79800","59792.187","77653.9993","90999.159","100431.429","91300","90400","79640.0145","104493.0535","99000","84984.526"
"M699.595T1557.568","82231.688","736277.92","342669.381","822234.211","819026.859","86023.148","80837.061","280991.126","525539.213","738000","358430.525","103742.0667","970790.596","556079.186","453000","101000","97373.8278","317247.7813","952000","114123.176"
"M430.312T1463.866","178639.176","184353.019","196962.077","192164.136","189764.763","175002.988","100397.354","190495.482","175810.227","174000","195175.499","165160.2974","184455.814","192805.508","193000","184000","172255.4649","171703.9102","191000","164012.56"
"M385.289T1269.605","957116.392","366853.603","170628.328","389425.466","1053577.889","814303.984","526170.594","471523.97","261644.492","1090000","808937.091","187623.4306","257919.982","198119.775","893000","879000","217758.6683","273320.9883","196000","462125.528"
"M866.582T1523.593","19864.628","65886.472","60929.789","38678.37","81350.723","25428.201","28424.774","74141.655","36959.917","24400","18553.043","11525.6098","20765.372","87436.269","267000","36600","16761.0153","97674.5835","27600","40168.993"
"M731.268T924.482","81926.533","30323.357","54178.07","98266.963","102200.16","100217.151","94460.5","73004.703","67483.901","159000","136601.534","4567.774","93479.719","106530.746","90400","106000","7830.5339","106855.1563","83200","89528.452"
"M273.168T1570.267","115590.532","103522.707","89853.527","120924.024","84252.42","111099.06","50573.279","112480.364","108842.422","92800","93317.583","110556.134","84769.35","95492.958","96500","98900","96307.2817","105846.6907","111000","94209.71"
"M327.176T1612.829","99753.574","119792.147","117990.697","145228.212","92268.014","109024.919","12945.503","133064.809","98524.698","117000","121034.982","95030.5239","139365.405","132094.772","83300","111000","113067.4288","154415.3814","110000","111845.508"
"M341.269T1269.605","689573.719","337535.349","224660.88","316801.731","855315.92","673237.327","498659.35","288532.012","225499.679","922000","502019.312","266010.2979","278433.743","250413.855","693000","650000","200011.9227","243075.934","245000","268794.226"
"M965.704T1619.342","19424.849","10559.562","5726.519","18691.049","17457.85","10756.241","13186.074","7532.981","86873.54","20000","16659.154","18987.9674","24261.061","5272.507","144000","14300","471.1716","34378.025","28900","2355.858"
"M589.501T1621.712","49268.561","58334.115","70906.29","128598.481","83663.645","37512.527","13346.017","67326.378","107319.327","32000","21782.388","38401.828","142082.225","39612.393","43900","46800","24637.5779","48466.1092","81200","53215.549"
