"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M341.31T626.276",1.2543,1.1734,1.1645,1.1642,1.1642,1.1642
"M942.309T937.647",1.2533,1.2214,1.2263,1.2259,1.2259,1.2259
"M517.897T66.885",1.2493,1.1739,1.1775,1.1772,1.1772,1.1772
"M1130.437T924.326",1.2489,1.1912,1.1909,1.1905,1.1905,1.1905
"M341.465T625.973",1.2488,1.1658,1.1574,1.1573,1.1573,1.1573
"M893.38T934.735",1.2467,1.1736,1.1842,1.1841,1.1841,1.1841
"M461.037T823.98",1.2466,1.1949,1.2104,1.21,1.21,1.21
"M848.315T857.496",1.2461,1.1632,1.1721,1.1723,1.1723,1.1723
"M688.263T861.089",1.2436,1.1624,1.1604,1.1603,1.1603,1.1603
"M687.305T1181.604",1.2407,1.1739,1.1677,1.1682,1.1681,1.1681
"M806.921T938.616",1.2391,1.1666,1.1658,1.1654,1.1654,1.1654
"M968.4T974.568",1.2327,1.1572,1.1773,1.1771,1.1771,1.1771
"M365.136T768.138",1.231,1.2788,1.2704,1.2701,1.2701,1.2701
"M1095.84T892.791",1.2309,1.2868,1.3054,1.3062,1.3062,1.3062
"M489.058T766.222",1.2294,1.1476,1.1389,1.1389,1.1389,1.1389
"M644.248T900.496",1.2289,1.148,1.145,1.1447,1.1447,1.1447
"M1463.124T939.772",1.2289,1.1541,1.1449,1.1449,1.1449,1.1449
"M409.075T617.585",1.228,1.1468,1.1378,1.1388,1.1388,1.1388
"M895.304T938.238",1.226,1.1526,1.149,1.1486,1.1486,1.1486
"M843.287T936.679",1.223,1.1416,1.1373,1.1371,1.1371,1.1371
"M238.069T801.926",1.2215,1.2418,1.2336,1.2333,1.2333,1.2333
"M385.113T835.894",1.2205,1.15,1.1586,1.1583,1.1583,1.1583
"M911.26T1004.032",1.2201,1.1727,1.1796,1.1796,1.1796,1.1796
"M851.276T990.376",1.2191,1.1587,1.1667,1.1664,1.1664,1.1664
"M822.313T886.782",1.218,1.1435,1.1445,1.1441,1.1441,1.1441
"M982.374T904.236",1.2157,1.1429,1.1345,1.1342,1.1342,1.1342
"M475.187T823.258",1.2151,1.1423,1.1333,1.1349,1.1349,1.1349
"M505.029T765.672",1.2145,1.2101,1.2052,1.2048,1.2048,1.2048
"M698.26T899.18",1.2125,1.138,1.148,1.1476,1.1476,1.1476
"M341.259T618.637",1.212,1.1323,1.1234,1.1231,1.1231,1.1231
"M921.374T936.829",1.2119,1.1425,1.14,1.1396,1.1396,1.1396
"M759.826T66.885",1.2094,1.1289,1.1298,1.1295,1.1295,1.1295
"M1044.425T908.907",1.2093,1.1351,1.1279,1.1275,1.1275,1.1275
"M333.109T769.719",1.2079,1.1777,1.1727,1.1723,1.1724,1.1724
"M593.934T851.064",1.202,1.1252,1.1198,1.1204,1.1204,1.1204
"M1143.426T942.716",1.2016,1.1266,1.1338,1.1337,1.1337,1.1337
"M642.302T1183.207",1.2016,1.3375,1.3485,1.3499,1.3499,1.3499
"M1197.439T886.215",1.2005,1.1527,1.1465,1.146,1.146,1.146
"M684.191T618.708",1.1998,1.3716,1.3647,1.3673,1.3673,1.3673
"M937.334T882.127",1.1991,1.1459,1.1407,1.1403,1.1403,1.1403
"M886.794T67.143",1.1971,1.285,1.2918,1.2916,1.2916,1.2916
"M824.341T916.725",1.1969,1.7327,1.7242,1.7238,1.7238,1.7238
"M728.88T67.591",1.196,1.2069,1.2088,1.2084,1.2084,1.2084
"M941.317T938.576",1.1938,1.1467,1.1433,1.143,1.143,1.143
"M732.876T67.374",1.1894,1.1881,1.1883,1.188,1.188,1.188
"M974.806T67.938",1.186,1.1072,1.1084,1.1082,1.1082,1.1082
"M909.388T926.435",1.1858,1.1852,1.1989,1.1988,1.1988,1.1988
"M823.337T914.416",1.1857,1.1177,1.1222,1.1217,1.1217,1.1217
"M781.183T974.609",1.1836,1.1583,1.1491,1.149,1.149,1.149
"M807.007T938.915",1.1834,1.1454,1.1413,1.141,1.141,1.141
"M1144.448T942.538",1.1828,1.1107,1.1192,1.1188,1.1188,1.1188
"M728.269T963.544",1.1815,1.1386,1.1762,1.176,1.176,1.176
"M711.218T782.65",1.1807,1.1025,1.0977,1.0976,1.0976,1.0976
"M941.306T938.915",1.1793,1.1572,1.1555,1.1551,1.1551,1.1551
"M361.323T326.759",1.1771,1.1224,1.1188,1.1186,1.1186,1.1186
"M950.342T882.081",1.1767,1.0994,1.1113,1.1109,1.1109,1.1109
"M299.07T414.239",1.1756,1.1127,1.1387,1.1383,1.1383,1.1383
"M1143.444T941.11",1.1751,1.1039,1.1051,1.1047,1.1047,1.1047
"M395.28T1470.273",1.175,1.1595,1.1513,1.1509,1.1509,1.1509
"M772.809T66.771",1.1719,1.1053,1.1074,1.1073,1.1073,1.1073
"M1109.422T909.522",1.1708,1.0942,1.0887,1.0885,1.0885,1.0885
"M421.069T767.549",1.1692,1.1006,1.0948,1.0944,1.0944,1.0944
"M1243.514T983.057",1.1679,1.1673,1.1581,1.1577,1.1578,1.1578
"M889.313T902.886",1.1675,1.0994,1.1006,1.1002,1.1002,1.1002
"M712.22T783.012",1.1666,1.0947,1.0862,1.0875,1.0875,1.0875
"M428.2T856.891",1.1656,1.0888,1.0802,1.0802,1.0802,1.0802
"M609.959T835.516",1.1656,1.0941,1.093,1.0943,1.0943,1.0943
"M688.854T66.858",1.1646,1.0902,1.091,1.091,1.091,1.091
"M685.228T857.881",1.164,1.093,1.094,1.0937,1.0937,1.0937
"M645.252T899.393",1.1628,1.1877,1.1796,1.1793,1.1793,1.1793
"M333.06T88.804",1.1619,1.1015,1.0985,1.0988,1.0988,1.0988
"M852.339T915.443",1.1606,1.1059,1.098,1.0977,1.0977,1.0977
"M884.8T66.979",1.1601,1.1839,1.1851,1.1853,1.1853,1.1853
"M969.4T973.77",1.1595,1.1452,1.1653,1.1649,1.1649,1.1649
"M702.255T837.404",1.1585,1.1227,1.1153,1.115,1.115,1.115
"M533.169T900.984",1.157,1.1415,1.1342,1.134,1.134,1.134
"M714.253T913.384",1.1554,1.08,1.077,1.077,1.077,1.077
"M483.183T857.732",1.1547,1.1003,1.0944,1.0941,1.0941,1.0941
"M313.119T883.187",1.1533,1.0907,1.1247,1.1251,1.1251,1.1251
"M1432.595T1048.493",1.1529,1.0936,1.0878,1.0889,1.0889,1.0889
"M610.849T834.902",1.1502,1.0801,1.0923,1.0941,1.0941,1.0941
"M708.241T861.396",1.1497,1.0838,1.0784,1.0783,1.0783,1.0783
"M1461.92T936.679",1.1496,1.0969,1.0905,1.0902,1.0902,1.0902
"M611.538T834.844",1.1475,1.1158,1.1133,1.1136,1.1136,1.1136
"M814.836T68.186",1.1463,1.2072,1.2228,1.2224,1.2224,1.2224
"M349.057T865.046",1.146,1.0698,1.0622,1.0621,1.0621,1.0621
"M650.407T1378.088",1.1442,1.0829,1.0743,1.074,1.074,1.074
"M808.342T938.944",1.1441,1.1341,1.1315,1.1311,1.1311,1.1311
"M684.885T67.374",1.1439,1.0706,1.0908,1.0906,1.0906,1.0906
"M1035.397T978.889",1.1434,1.1264,1.1412,1.1409,1.1409,1.1409
"M924.351T839.79",1.141,1.1429,1.1426,1.1421,1.1421,1.1421
"M383.058T256.181",1.1393,1.1557,1.1465,1.1461,1.1461,1.1461
"M807.113T936.925",1.1388,1.0707,1.0623,1.0624,1.0624,1.0624
"M455.193T892.238",1.1387,1.0686,1.0608,1.0616,1.0616,1.0616
"M1009.386T967.414",1.1385,1.08,1.0895,1.0901,1.0901,1.0901
"M548.179T817.387",1.1384,1.1116,1.1086,1.1084,1.1084,1.1084
"M393.081T756.691",1.1382,1.0638,1.0604,1.06,1.06,1.06
"M1063.398T908.83",1.1381,1.0628,1.0559,1.0556,1.0556,1.0556
"M503.143T589.731",1.1373,1.0738,1.08,1.0798,1.0798,1.0798
"M633.697T313.008",1.1356,1.0835,1.0935,1.0932,1.0932,1.0932
"M1130.433T884.599",1.1352,1.0678,1.0609,1.0605,1.0605,1.0605
"M1035.367T890.845",1.135,1.0595,1.0539,1.0536,1.0536,1.0536
"M469.208T948.545",1.1336,1.0753,1.0677,1.0673,1.0673,1.0673
"M885.822T66.912",1.1333,1.0894,1.1015,1.1011,1.1011,1.1011
"M833.365T968.818",1.1329,1.1524,1.1485,1.1486,1.1486,1.1486
"M203.083T418.775",1.1327,1.0584,1.0663,1.0677,1.0677,1.0677
"M1039.403T917.165",1.131,1.1151,1.1367,1.1363,1.1363,1.1363
"M418.896T66.885",1.1304,1.1984,1.194,1.1945,1.1945,1.1945
"M1008.375T923.099",1.1284,1.1098,1.1163,1.1161,1.1161,1.1161
"M593.926T757.244",1.1276,1.0533,1.0742,1.074,1.074,1.074
"M807.166T938.699",1.1274,1.0807,1.0721,1.0717,1.0717,1.0717
"M705.205T926.435",1.127,1.0527,1.0551,1.0554,1.0554,1.0554
"M614.901T67.494",1.124,1.1935,1.2245,1.2241,1.2241,1.2241
"M806.978T940.468",1.1236,1.0981,1.1154,1.1151,1.115,1.115
"M627.229T851.009",1.1231,1.0505,1.0497,1.0494,1.0494,1.0494
"M696.3T853.355",1.1229,1.1254,1.1194,1.119,1.119,1.119
"M1036.399T977.849",1.1227,1.0724,1.0997,1.0993,1.0993,1.0993
"M703.247T844.715",1.1223,1.0603,1.0521,1.0518,1.0518,1.0518
"M538.221T942.724",1.1222,1.0632,1.0877,1.0873,1.0873,1.0873
"M1117.54T932.512",1.1221,1.0542,1.0484,1.048,1.048,1.048
"M709.31T874.193",1.122,1.0617,1.0533,1.0529,1.0529,1.0529
"M593.686T850.456",1.1219,1.0487,1.0583,1.058,1.058,1.058
"M593.922T852.299",1.1207,1.0554,1.0499,1.0511,1.0511,1.0511
"M785.833T68.422",1.1203,1.2235,1.2173,1.2173,1.2173,1.2173
"M433.777T806.208",1.1193,1.0626,1.055,1.0546,1.0546,1.0546
"M355.433T783.665",1.118,1.0439,1.0375,1.0378,1.0378,1.0378
"M289.12T769.482",1.1173,1.1551,1.1469,1.1464,1.1464,1.1464
