"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M723.577T942.094",-0.027276,0.021257,-0.076068,0.035947,-0.019074,-0.0046893
"M1071.439T878.893",-0.036145,-0.0076706,0.056837,-0.0423,0.015184,-0.013941
"M1069.501T1402.821",-0.029542,-0.004578,-0.033453,-0.0021038,0.03894,0.010519
"M281.07T709.104",-0.029826,-0.0013283,-0.023057,0.020411,-0.024345,0.01911
"M577.137T781.037",-0.031923,0.02304,-0.065042,-0.030028,0.051625,0.052637
"M397.075T138.684",-0.030766,0.028226,-0.0058012,-0.039429,-0.0091596,0.013391
"M653.861T317.501",-0.029193,-0.0024255,0.0026351,-0.0041161,0.0078017,-0.0241
"M375.104T216.821",-0.033248,0.02214,0.002081,-0.0019436,-0.010468,-0.023094
"M384.097T310.658",-0.029901,0.021592,-0.0071899,0.017067,0.0050748,-0.030044
"M591.094T89.826",-0.028352,0.043119,-0.032849,-0.068647,0.0019,0.042504
"M351.085T316.423",-0.030133,0.013235,-0.0048662,0.0085384,0.0064312,-0.0099475
"M460.969T105.772",-0.031922,0.032619,-0.038413,0.0083949,0.011317,-0.026548
"M241.033T103.182",-0.028614,0.049623,-0.0306,-0.0024083,-0.0011864,0.0035883
"M665.267T889.419",-0.032877,0.0038238,-0.0057648,-0.0070675,-0.012663,-0.013793
"M969.939T315.438",-0.027026,-0.07703,-0.02224,0.025345,0.048011,0.031906
"M1333.355T942.499",-0.027485,0.025248,-0.056496,-0.013954,-0.0003537,0.015802
"M319.083T845.914",-0.0315,0.028714,-0.014913,0.0024394,0.02253,-0.01498
"M289.065T88.687",-0.028773,0.034015,-0.019689,-0.00012526,-0.069961,0.0093537
"M289.086T1163.856",-0.031183,0.021133,0.028371,0.0070097,-0.020621,-0.0089396
"M655.873T943.419",-0.032374,0.04708,-0.022913,0.010697,0.013995,0.010369
"M642.242T817.768",-0.029723,-0.042718,0.000374,-0.038045,0.030529,-0.019098
"M695.12T755.765",-0.031155,0.040935,-0.056304,-0.01067,-0.014596,-0.0086249
"M487.016T806.181",-0.031313,0.014462,0.0077776,-0.033175,0.039674,-0.0062226
"M967.561T1349.704",-0.031586,0.030965,-0.0012706,-0.0067459,0.0038675,-0.014997
"M821.606T900.199",-0.039593,-0.018482,-0.0041705,-0.014954,0.0068671,0.0066352
"M1095.063T894.34",-0.029831,0.051475,-0.041017,0.0060955,0.013993,-0.012472
"M279.139T1150.344",-0.059288,-0.021565,-0.028789,0.031393,0.030805,-0.044628
"M579.301T894.416",-0.025927,0.040705,-0.015863,-0.011366,-0.0032075,-0.016129
"M367.102T765.544",-0.031503,0.050271,0.00051122,0.01381,0.011934,-0.00056004
"M585.15T892.945",-0.033208,0.0098436,-0.0061896,-0.0078375,-0.009182,0.014067
"M988.312T316.465",-0.027074,-0.024016,0.011521,-0.02946,-0.0041905,-0.0017012
"M735.437T1351.512",-0.028803,0.028808,-0.031874,-0.016184,0.0037407,-0.03195
"M633.697T313.008",-0.034488,-0.042974,0.053658,-0.024855,0.026461,-0.060584
"M851.154T319.552",-0.028641,0.03128,-0.020162,-0.0047196,0.0075185,-0.007691
"M265.093T134.502",-0.029835,0.0041968,0.008662,0.023029,-0.0063374,0.01523
"M575.708T1045.732",-0.026081,0.0078622,-0.05241,0.0077071,0.014713,0.012412
"M657.063T941.851",-0.029028,-0.0021027,-0.068402,0.022131,0.027126,0.014567
"M632.663T319.55",-0.028528,0.0041415,0.022596,0.0098112,0.012438,-0.035806
"M593.543T760.107",-0.029423,0.061465,-0.074246,-0.045737,0.0052643,0.0031025
"M809.433T1339.33",-0.029401,0.025664,-0.02117,-0.0055522,0.040965,-0.0049294
"M1296.442T316.362",-0.021553,-0.078404,0.038047,-0.05381,-0.025261,0.0040814
"M654.008T318.692",-0.030681,0.0025274,0.017413,-0.017217,0.037642,-0.046627
"M923.402T931.508",-0.040569,-0.031146,0.039396,-0.016633,-0.0097241,-0.02029
