"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M421.069T767.549"," 0.3616192"," 1.0099704"," 0.3830308"," 0.2561843","-0.5554438","-0.7085848","-0.7467760"
"M643.245T813.714"," 0.1434516"," 0.7213112"," 0.4872875"," 0.3444826","-0.4539046","-0.8867683","-0.3558601"
"M745.161T766.586"," 0.3017128"," 1.0124986"," 0.2791994"," 0.1732859","-0.3496252","-0.8850569","-0.5320146"
"M442.823T96.43"," 0.2024786"," 0.6308249"," 0.4135022","-0.1600108"," 0.1036343","-0.4828016","-0.7076277"
"M316.508T323.984"," 0.2068354"," 0.8920404"," 0.2319215"," 0.1352104","-0.5037889","-0.4637735","-0.4984453"
"M729.273T847.264"," 0.1769586"," 0.8310593"," 0.5115843"," 0.3864389","-0.7429177","-0.7423164","-0.4208069"
"M417.764T850.924"," 0.1686120"," 0.9861319"," 0.2390896"," 0.1454338","-0.5534404","-0.8831276","-0.1026992"
"M442.938T91.386"," 0.1553071"," 0.8644012"," 0.1540996"," 0.2181350","-0.3123678","-0.5048707","-0.5747044"
"M653.752T320.843"," 0.4278621"," 0.6570158"," 0.2272863"," 0.1717706","-0.5440310","-0.5527838","-0.3871200"
"M683.129T316.242"," 0.3211850"," 0.7717175"," 0.3789005"," 0.2850976","-0.9572732","-0.4982214","-0.3014060"
"M653.783T316.318"," 0.2300814"," 0.5690498"," 0.3846108"," 0.3292329","-0.5752774","-0.6242368","-0.3134606"
"M489.058T766.222"," 0.2531371"," 1.0348128"," 0.6640911"," 0.1623735","-0.5079287","-0.8657270","-0.7407589"
"M327.108T784.235"," 0.0944558"," 0.8556779"," 0.1561281"," 0.5789086","-0.5327255","-0.6917992","-0.4606457"
"M633.494T312.856"," 0.1635531"," 0.5374940"," 0.7610035","-0.2320768","-0.2543958","-0.6332010","-0.3423770"
"M851.819T1425.446"," 0.24455230"," 1.05385864"," 0.28761701"," 0.21427918","-0.08925055","-0.80079023","-0.91026635"
"M530.968T106.005"," 0.185345808"," 1.005729152"," 0.367061603","-0.009535224","-0.483832945","-0.570949316","-0.493819078"
"M1009.607T1323.757"," 0.24658372"," 0.97638947"," 0.18563055"," 0.01328222","-0.51999886","-0.57747428","-0.32441283"
"M653.717T312.26"," 0.5162681"," 0.5421923"," 0.3178638","-0.2169516","-0.4970583","-0.4893443","-0.1729700"
"M1031.899T1225.646"," 0.29000448"," 0.30673690"," 0.69488059","-0.05813093","-0.32151275","-0.50477582","-0.40720247"
"M297.119T136.686"," 0.1766309"," 1.0027280"," 0.3718701"," 0.1378484","-0.4678062","-0.7253285","-0.4959426"
"M769.419T945.253"," 0.2495662"," 0.7666740"," 0.3264732"," 0.5011128","-0.3520670","-0.8442291","-0.6475302"
"M1201.918T909.936"," 0.07473917"," 0.93527689"," 0.18957977"," 0.43072890","-0.54872949","-0.71225775","-0.36933749"
"M864.188T806.912"," 0.1459713"," 1.0207750"," 0.1249017"," 0.3547525","-0.7279942","-0.4335357","-0.4848704"
"M865.489T1291.829"," 0.21016369"," 1.00902207"," 0.16512627","-0.05459825","-0.52256166","-0.36633241","-0.44081971"
"M799.191T949.166"," 0.3012803"," 1.0224065"," 0.1866553"," 0.3253097","-0.7832974","-0.5521043","-0.5002501"
"M1263.489T907.902"," 0.02493085"," 0.99749782"," 0.15312060"," 0.17288870","-0.57799863","-0.36342220","-0.40701714"
"M451.174T880.577"," 0.4079388"," 0.9964253"," 0.4682616"," 0.3413233","-0.5738445","-1.3445460","-0.2955584"
"M405.08T802.267"," 0.13310422"," 1.04602226"," 0.29346087","-0.01949629","-0.40764384","-0.46839835","-0.57704886"
"M309.119T137.634"," 0.2494063"," 0.9201407"," 0.4143417"," 0.1861420","-0.3804888","-1.0972003","-0.2923415"
"M385.077T746.611","-0.16271791"," 0.95737957"," 0.07998926"," 0.25231022","-0.45702953","-0.37573092","-0.29420070"
"M192.103T133.173"," 0.04881867"," 0.79030964"," 0.21305026"," 0.15832831","-0.81007854"," 0.08870385","-0.48913220"
"M1030.642T1193.369"," 0.3909217"," 0.3543795"," 0.2642117"," 0.3473891","-0.5715585","-0.5503513","-0.2349921"
"M723.577T942.094"," 0.15922488"," 0.92088701"," 0.28414812"," 0.16528681","-0.89173093"," 0.03755824","-0.67537413"
"M1071.439T878.893"," 0.3951603"," 0.8577259"," 0.4570751"," 0.2027235","-0.3768673","-1.3336154","-0.2022021"
"M1069.501T1402.821"," 0.3324384"," 0.8607548"," 0.2410827"," 0.2496478","-0.4390788","-0.4793177","-0.7655273"
