"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M493.136T809.014","6494.3384","2538.4413","45.4","8480.2693","3582.882","1936.5578","4453.9372","4763.7284","2725.3058","2189.3352","5227.6293","918.7139","3165.9049","4621.3808","6147.8283","227","3129.7608","3370.5469"
"M438.263T1164.917","8677.552","6114.7881","580.30824","5759.0215","6806.0131","3391.1561","10717.3877","12857.4225","8607.103","7465.9385","2901.5412","580.30824","7618.6395","5881.7433","7399.0867","580.30824","3151.7429","3484.467"
"M313.094T115.286","3605.8181","3278.0143","32.8","5134.068","3478.3696","2110.3169","3124.4524","4099.667","3010.2066","3982.3323","5260.1689","228.2271","4248.0944","4438.9172","5360.0087","164","4722.3575","5059.5266"
"M515.105T113.414","6730.1932","2484.8812","39.6","10908.7854","4421.2508","3693.7453","5169.5307","6169.715","3768.8015","5152.1452","6289.1886","252.561","6042.1293","6066.5848","5914.2115","198","5294.1103","4810.4813"
"M285.909T1803.837","104313.9473","129962.8994","142283.7554","137750.8645","121215.47","113240.1212","134021.0415","128663.9266","98435.0311","129829.4988","130350.3875","131020.0893","118729.698","128121.1685","146945.8378","135000","119726.4983","146373.9743"
"M658.83T67.591","7734.61","7577.2309","3645.00042","12955.5578","10394.0806","5564.427","13820.5906","26524.7889","9672.7237","8479.3278","12118.3838","5857.0529","9783.8009","12712.3052","9606.4215","2980","5558.315","27849.744"
"M447.05T875.673","3851.4188","4097.8882","984.69188","7088.3952","4963.1821","6828.6283","5597.8438","6888.74","1272.0822","1147.9427","1537.3081","1132.2274","5948.8605","5900.4244","3963.7711","962","1662.2514","3860.386"
"M795.198T1006.041","5603.7477","18015.8886","470.78142","10181.785","26048.128","4172.7154","4541.0568","15322.7383","5891.9903","6523.6644","4881.6433","160.9531","6029.9785","6342.0768","6340.2143","32.19062","7935.2148","6012.2452"
"M321.216T1624.59","40421.6509","35485.4702","16426.42984","39037.1421","34661.4958","38952.5929","35209.7395","32865.9585","31248.6174","40182.2205","38328.2069","35181.5606","34423.0435","36803.7621","35411.1824","35600","35325.9884","36439.8074"
"M615.195T761.983","703.0723","1320.2561","140.61446","4220.5873","1868.8079","985.9495","2050.5205","2893.9369","1310.0623","1116.7173","1737.8461","140.61446","3093.8052","2107.1523","140.61446","140.61446","1748.3089","2509.6115"
