"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M591.094T89.826",-0.028378,-0.035208,-0.022503,0.057416,-0.028449,0.054155,0.0011405
"M351.085T316.423",-0.030089,-0.0081857,0.010774,-0.0016608,-0.0004083,-0.011655,-0.00037572
"M460.969T105.772",-0.031917,-0.040226,0.027562,-0.0065804,0.0042694,-0.0028776,-0.0016222
"M241.033T103.182",-0.028653,-0.040075,-0.000363,0.011168,-0.018603,-0.0042057,0.0050137
"M665.267T889.419",-0.032806,-0.0044434,0.0071832,-0.012965,-0.0089658,0.012737,0.0010493
"M969.939T315.438",-0.026797,0.010875,-0.017167,0.0099656,0.10724,0.015828,0.0051689
"M1333.355T942.499",-0.027476,-0.049792,-0.01154,0.010812,0.011115,0.032076,0.0014337
"M319.083T845.914",-0.031486,-0.020852,0.024103,0.011933,-0.0002639,-0.013135,0.0035389
"M289.065T88.687",-0.028777,-0.02666,-0.037136,-0.035429,-0.048115,0.015833,0.00021731
"M289.086T1163.856",-0.031151,0.013739,-6.3264e-05,-0.010487,-0.038814,-0.025389,-1.9932e-05
"M655.873T943.419",-0.032398,-0.03407,-0.0014142,0.019775,-0.0073406,-0.023052,0.0025023
"M642.242T817.768",-0.02956,0.019199,0.03216,0.012769,0.032564,0.046073,-0.0044109
"M695.12T755.765",-0.031171,-0.05555,0.0037644,-0.0075521,-0.0098137,0.026453,-0.003305
"M487.016T806.181",-0.031268,0.0035963,0.029434,0.041809,-0.0042812,0.0057026,-0.0032548
"M967.561T1349.704",-0.031576,-0.010994,0.017919,0.006271,-0.022313,-0.0087773,-0.0044281
"M821.606T900.199",-0.039458,0.005652,-0.0021765,0.0068747,0.01695,0.023481,0.0027726
"M1095.063T894.34",-0.029872,-0.048962,0.01856,0.0084901,-0.0054495,-0.0103,-0.0026843
"M279.139T1150.344",-0.0591,-0.013881,0.043793,-0.027371,0.055097,-0.0047556,-0.010331
"M579.301T894.416",-0.025953,-0.025331,0.016784,0.0034601,-0.027138,0.00055625,-0.0025712
"M367.102T765.544",-0.031534,-0.017983,0.0076135,0.016623,-0.023929,-0.039825,-0.0021442
"M585.15T892.945",-0.033149,-0.0068922,-0.014473,0.0053765,-0.0076977,0.0086416,0.0015537
"M988.312T316.465",-0.026957,0.019922,0.0024638,0.0025233,-0.00016036,0.032658,-0.0050013
"M735.437T1351.512",-0.028797,-0.032521,0.032584,-0.0042726,-0.0098403,0.018399,0.00037317
"M633.697T313.008",-0.03431,0.058338,0.065565,-0.0072295,0.0007357,0.0071493,0.0013778
"M851.154T319.552",-0.02864,-0.025397,0.012361,0.0084756,-0.0087957,-0.0012157,-0.0022657
"M265.093T134.502",-0.029771,0.0042366,-0.018951,-0.0038447,0.00033105,-0.024149,-0.0031687
"M575.708T1045.732",-0.026038,-0.041723,-0.0066124,0.0057654,0.036245,0.015761,-0.0010516
"M657.063T941.851",-0.028958,-0.050792,-0.0065901,0.0034193,0.064048,0.014124,0.0015434
"M632.663T319.55",-0.028467,0.015538,0.035567,-0.0091965,-0.0087749,-0.02493,0.00040129
"M593.543T760.107",-0.029488,-0.0742,0.0091299,0.02901,-0.014804,0.049666,-0.00064707
"M809.433T1339.33",-0.029386,-0.023882,0.024502,0.030543,0.013611,-0.007151,0.00047272
"M1296.442T316.362",-0.02133,0.060892,-0.011564,-0.010434,0.0055851,0.071377,-0.0019402
"M654.008T318.692",-0.030611,0.014125,0.059918,0.011732,-0.0020604,-0.00538,0.00086553
"M923.402T931.508",-0.040402,0.042857,0.014197,-0.013399,-0.010585,0.012116,0.0025132
