,FC,log2(FC),raw.pval,#NAME?
M306.936T1813.234,3.2437,1.6976,0.0035122,2.4544
M653.861T317.501,3.3091,1.7264,0.0035554,2.4491
M653.691T320.692,2.5695,1.3615,0.0035728,2.447
M1129.441T885.407,4.6051,2.2032,0.0036157,2.4418
M969.317T316.321,2.7995,1.4852,0.0036259,2.4406
M970.768T318.573,3.0782,1.6221,0.0036755,2.4347
M643.847T66.912,4.1858,2.0655,0.0037184,2.4296
M493.136T809.014,3.3115,1.7275,0.0037492,2.4261
M384.092T841.195,2.2788,1.1883,0.0037576,2.4251
M1005.392T917.562,4.7823,2.2577,0.0037606,2.4247
M357.108T784.337,5.3008,2.4062,0.0037804,2.4225
M469.208T948.545,5.5144,2.4632,0.0037864,2.4218
M281.07T709.104,3.7392,1.9027,0.0038821,2.4109
M1069.501T1402.821,3.8411,1.9415,0.0039862,2.3994
M1031.288T315.245,3.0852,1.6253,0.0040049,2.3974
M830.24T316.247,4.403,2.1385,0.0040109,2.3968
M870.649T1317.21,2.4264,1.2788,0.0040227,2.3955
M1037.324T316.098,3.2653,1.7072,0.0040487,2.3927
M537.08T758.19,3.289,1.7176,0.0040621,2.3912
M357.576T759.445,3.2096,1.6824,0.0040699,2.3904
M410.078T615.621,45.38,5.504,0.0040878,2.3885
M349.056T728.324,5.1325,2.3597,0.0040926,2.388
M643.245T813.714,3.7303,1.8993,0.0041376,2.3833
M576.861T67.042,3.5181,1.8148,0.0041503,2.3819
M345.082T140.774,4.7736,2.2551,0.0041638,2.3805
M767.194T317.413,3.4696,1.7947,0.004202,2.3765
M445.095T115.802,3.6021,1.8488,0.0042054,2.3762
M1035.367T890.845,6.068,2.6012,0.0042248,2.3742
M541.046T1246.429,2.1955,1.1345,0.0042446,2.3722
M433.038T831.69,20.749,4.375,0.0042562,2.371
M427.124T881.088,4.9043,2.294,0.0042571,2.3709
M344.844T1719.46,2.6322,1.3963,0.0042739,2.3692
M653.913T316.046,4.3389,2.1173,0.004275,2.3691
M407.9T66.13,2.3278,1.2189,0.0042908,2.3675
M923.402T931.508,9.1781,3.1982,0.0042928,2.3673
M443.191T791.98,3.7686,1.914,0.0043101,2.3655
M585.878T68.251,4.2509,2.0878,0.0043163,2.3649
M409.045T138.763,3.8301,1.9374,0.004317,2.3648
M969.321T316.442,2.9607,1.5659,0.0043379,2.3627
M445.207T780.093,4.9614,2.3107,0.0043419,2.3623
M322.969T105.104,3.1055,1.6348,0.0043586,2.3607
M915.823T68.606,5.2346,2.3881,0.0044223,2.3544
M456.925T66.979,2.7468,1.4578,0.0044241,2.3542
M561.217T921.818,4.9286,2.3012,0.004439,2.3527
M419.115T799.29,3.8618,1.9493,0.0044647,2.3502
M683.129T316.242,4.0324,2.0117,0.0045627,2.3408
M379.101T757.973,2.8729,1.5225,0.0046029,2.337
M489.058T766.222,9.0485,3.1777,0.0046063,2.3367
