"","Fold Change","log2(FC)"
"M621.037T758.225",5.0775,2.3441
"M714.826T66.684",5.0695,2.3418
"M587.201T848.147",5.0621,2.3397
"M353.181T807.324",5.048,2.3357
"M617.133T750.744",5.0251,2.3291
"M809.324T904.082",5.0128,2.3256
"M1103.415T879.391",5.0023,2.3226
"M655.873T943.419",4.9761,2.315
"M395.189T761.387",4.9746,2.3146
"M664.226T813.714",4.9738,2.3143
"M238.892T97.993",4.9698,2.3132
"M445.207T780.093",4.9614,2.3107
"M313.119T883.187",4.955,2.3089
"M353.228T471.773",4.9364,2.3035
"M789.663T1119.968",4.9362,2.3034
"M951.343T881.927",4.9303,2.3017
"M561.217T921.818",4.9286,2.3012
"M295.104T156.471",4.9225,2.2994
"M503.126T874.193",4.9134,2.2967
"M745.161T766.586",4.906,2.2946
"M433.376T793.769",4.906,2.2945
"M427.124T881.088",4.9043,2.294
"M721.31T972.44",4.9005,2.2929
"M705.205T926.435",4.9002,2.2928
"M289.12T769.482",4.8995,2.2926
"M407.173T414.983",4.8958,2.2915
"M549.258T834.983",4.8908,2.2901
"M425.103T1191.927",4.8847,2.2883
"M549.147T750.744",4.8707,2.2841
"M1106.454T890.453",4.8679,2.2833
"M851.338T916.834",4.868,2.2833
"M274.971T109.977",4.862,2.2816
"M885.489T1408.277",4.8558,2.2797
"M451.218T291.531",4.8544,2.2793
"M765.729T983.05",4.8505,2.2781
"M460.969T105.772",4.8474,2.2772
"M785.833T68.422",4.8414,2.2754
"M399.275T1363.391",4.8233,2.27
"M868.801T68.637",4.8018,2.2636
"M824.816T67.434",4.8012,2.2634
"M292.991T104.104",4.7948,2.2615
"M811.459T986.188",4.7933,2.261
"M451.125T735.96",4.7927,2.2608
"M1005.392T917.562",4.7823,2.2577
"M1071.559T892.477",4.7798,2.2569
"M1048.557T894.929",4.7791,2.2567
"M345.082T140.774",4.7736,2.2551
"M293.177T1149.195",4.7604,2.2511
"M1162.845T896.125",4.7597,2.2509
"M1223.501T894.767",4.7546,2.2493
"M585.15T892.945",4.7542,2.2492
"M341.088T304.64",4.7446,2.2463
"M695.12T755.765",4.7433,2.2459
"M395.048T106.9",4.7314,2.2423
"M507.151T845.473",4.7291,2.2416
"M439.083T756.683",4.7283,2.2413
"M456.197T892.811",4.721,2.2391
"M438.049T766.588",4.713,2.2366
"M1229.54T895.369",4.709,2.2354
