"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"M922.15T17.56",0.0073691,-0.044247,0.0041712,-0.010015,-0.007718,-0.0059365,0.050541,0.0061932,0.017685,0.0048876,-0.018897,-0.019631,0.038228,0.032746,0.030955,0.018997,0.06424,0.06526,0.039745,0.036115,-0.013309,0.028766,-0.065292,0.0051543,-0.032414,0.030137,0.0080107,0.044125,0.072093,-0.049789,-0.060048,0.017309,0.03186,-0.02559,-0.028282,0.0055559,0.0088523,0.034251,-0.023383,0.017192,0.028353,-0.068083,0.014045,-0.0060394,0.040373,-0.0040478,0.0097579,0.042025,-0.024973,-0.019876,0.012123
"M922.32T11.54",0.013631,0.011417,-0.023317,-0.054611,-0.00027403,0.009591,-0.041267,0.019625,0.013069,-0.0014478,0.0051714,-0.0025435,0.017947,0.013637,-0.049276,-0.020014,-0.021137,-0.029191,-0.0039402,0.0038582,0.035083,-0.033089,0.022497,-0.00060604,-0.0128,-0.012577,0.016342,-0.0014364,0.029494,-0.021139,-0.010608,0.014654,0.0046524,-0.039045,-0.034373,0.021887,-0.011517,-0.01049,0.018083,-0.014099,0.063903,0.069836,0.043127,-0.011293,0.0088903,-0.0038175,0.013297,0.028449,0.0016221,0.0093185,-0.0064425
"M922.8T18.56",-0.0078401,-0.033584,-0.01457,-0.012836,-0.018384,-0.0090084,0.041188,0.0057573,-0.043664,-0.006037,-0.020975,0.0084656,0.050227,-0.018504,0.014917,-0.0045966,-0.0039735,0.015804,0.0078421,-0.016876,-0.021392,0.021407,0.016518,0.0090286,0.03648,-0.010254,0.0064764,0.037148,-0.01984,0.0089082,-0.058362,-0.011002,-0.0051983,0.031111,0.022325,0.0088792,0.012796,-0.024197,-0.019429,-0.0059417,0.011722,0.042951,0.019844,-0.03581,0.048583,-0.0082456,-0.0042109,-0.04236,-0.045506,0.003993,0.002739
"M922.81T11.54",0.021869,0.0073038,-0.076398,-0.0042202,0.012785,-0.025003,0.027625,-0.0058234,0.031809,-0.012038,0.020169,-0.038856,-0.042165,0.032628,-0.0023412,-0.0037877,-0.0053137,-0.0078778,0.0071731,-0.0042026,-0.0096261,-0.011391,-0.033787,-0.0011663,-0.047228,-0.0064712,-0.042275,-0.01711,-0.017673,-0.012305,0.026134,-0.01029,-0.030406,0.021439,-0.0072381,-0.020294,-0.020449,0.024504,-0.005904,0.007539,0.057565,-0.013965,-0.020533,-0.0046008,0.016019,0.029403,-0.0026236,0.068941,-0.0057405,0.0047633,0.020658
"M923.82T13.52",0.014988,-0.0073588,-0.0078887,-0.042018,-0.0046957,0.004201,-0.032178,-0.033635,-0.0040614,0.02325,0.0044837,-0.011234,0.0079571,-0.05069,-0.00080134,0.019996,-0.040089,0.036555,-0.08085,0.021769,0.030071,-0.065905,0.06077,-0.022161,0.032786,0.017554,0.033134,0.023415,-0.041775,0.042631,0.015739,-0.02999,0.04049,-0.033741,0.01146,-0.04956,-0.031786,0.018566,-0.034586,-0.046829,-0.020739,-0.02878,0.045507,0.032514,-0.050434,0.082061,0.055698,0.0068412,-0.0036312,-0.01751,-0.0046108
"M924.81T18.55",-0.056485,-0.039136,-0.012278,-0.011606,0.0030958,-0.00059154,-0.0016761,0.031528,-0.021491,-0.013921,0.0013684,0.0043053,0.019854,0.0252,0.0021714,0.0029773,-0.016497,0.0112,-0.0032559,0.020741,-0.0096055,-0.026009,0.0093962,-0.016788,0.015936,-0.011007,-0.015087,0.0064231,-0.010921,0.0040266,0.006365,0.0035694,0.0010622,-0.0068063,0.023862,-0.0089155,0.0059181,-0.013811,0.011649,0.02519,-0.010051,-0.013839,-0.00078667,-0.0063248,0.011867,0.023915,0.0079545,0.033522,0.016844,-0.0080773,0.0029238
"M925.81T17.56",-0.041549,-0.0098514,0.013548,-0.020853,-0.05243,0.011203,-0.064305,0.023424,-0.017908,0.014671,-0.032062,0.031891,0.025218,-0.0068686,0.0092116,-0.0079348,-0.019479,-0.058077,0.03802,0.024253,-0.0094971,-0.037364,-0.018758,0.013924,0.034275,-0.035327,-0.067112,-0.028594,0.051138,0.017883,-0.031551,-0.017364,-0.024958,0.035335,-0.0068898,-0.020141,-0.011081,0.010576,0.061781,-0.024029,0.041049,0.028934,-0.010719,-0.0059281,-0.036849,0.0063014,0.0065541,-0.020682,-0.0086714,5.4195e-05,0.0089469
"M925.82T12.55",0.017469,-0.0017473,-0.042192,-0.03201,0.033479,-0.030509,0.031293,0.028797,0.018186,-0.0054208,0.012756,-0.020711,-0.049174,-0.017065,-0.005728,0.012008,0.022576,0.027981,-0.030122,-0.0050665,0.013094,0.012041,0.040338,-0.0080162,-0.016654,-0.013805,0.038926,0.065569,0.015308,0.039985,0.0033427,0.011635,0.026318,-0.0029551,0.019879,-0.012727,0.037358,-0.045082,0.013032,0.022913,-0.049915,0.019576,-0.011193,-0.021751,0.047861,0.031702,0.015685,0.016183,0.022372,-0.0033426,-0.015704
"M926.49T14.05",0.0063757,0.0092249,-0.061454,0.031591,-0.012679,-0.0034031,0.034189,-0.016597,0.0083341,0.022982,-0.0015684,0.033884,0.013947,0.011826,0.0092298,-0.018824,-0.015046,0.030696,-0.0057745,-0.041635,-0.049479,0.0095203,0.044051,-0.032677,0.010207,0.02494,-0.012575,0.0048212,0.027385,-0.0014555,-0.014788,0.0099675,0.044923,-0.016837,-0.015177,0.049934,-0.064116,-0.028114,0.012831,-0.0068018,-0.046264,0.00094675,0.015229,-0.029969,0.0072565,-0.0052735,-0.03454,-0.039826,0.040895,0.0052221,-0.0067894
"M926.81T18.56",-0.036777,-0.025536,0.0092791,-0.013958,0.056938,0.043769,-0.018352,0.040691,0.0024108,0.038302,0.027368,-0.046468,-0.030917,0.0065937,-0.032849,0.028517,0.017609,-0.019332,0.012474,-0.0019915,-0.036129,-0.02764,-0.010855,0.021374,0.018396,-0.0038855,-0.041043,0.028868,0.011522,-0.012905,0.030441,0.0012534,0.020303,-0.017849,0.019566,-0.031293,-0.0048938,-0.033518,-0.012087,0.017775,0.02178,0.037336,-0.037049,-0.0096957,-0.0038472,0.017734,0.027326,-0.016365,-0.017286,-0.0048702,-0.010964
