"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M326.38T1622.84","227302.551","183698.229","202093.578","250058.536","218937.212","220478.249","209612.814","227561.312","223119.725","230801.781","226190.773","234841.086","232553.421","273410.997","261563.142","227441.311","209904.197","253874.575","253874.575","238278.226","219486.489","188412.0958","253328.297","264380.404","230693.645","223024.599","227080.75","243244.204","224482.324","219691.217","270155.778","230249.771","224760.685","227955.193","237473.098","242273.172","267770.046","252000","226416.16","298333.4636","228201.333","234718.62","223046.771","215881.64","214785.482","242359.229","248260.419","207534.047","265520.574","234139.111","219861.413"
"M337.06T22.56","11955.767","11503.577","12630.343","10574.306","12848.646","11549.577","8935.492","11555.26","11239.935","10244.095","9330.051","11147.342","11496.386","10979.974","10118.264","11368.002","6911.705","9280.022","9280.022","11831.388","9885.533","11147.1394","8784.274","8894.604","11510.794","9966.98","10013.923","11314.135","10432.307","9617.172","9846.051","9882.76","9913.543","11617.678","9940.464","11799.829","10763.633","10600","10962.341","11652.854","10688.384","10060.842","9992.231","9759.19","11868.023","12298.786","10076.138","10137.18","12860.466","9027.506","9221.757"
"M338.34T1639.2","3612552.896","2075317.316","825777.442","1084133.441","10369224.78","4199462.973","1214330.311","1176764.43","842480.426","3284529.32","1085794.191","487734.908","853820.673","1158976.368","3376693.898","5799986.82","586486.443","1532441.336","1532441.336","963209.568","1752235.383","616139.2094","5854805.716","1421115.051","1278141.435","1111346.328","727001.211","1279043.926","1406196.865","666929.412","990406.542","3585895.467","1955543.012","626577.878","6936254.17","790726.86","5883860.081","10400000","646319.662","1393707.984","1352384.625","898509.68","828335.049","1589245.219","4159809.547","1378633.366","996668.848","760625.344","1729934.508","1728580.384","3474917.924"
"M341.27T1369.82","665227.44","317235.688","257595.854","349016.309","870669.229","637652.901","267207.467","287459.373","410731.045","907036.004","525230.652","225393.476","291191.481","274363.688","636469.517","602931.344","207023.495","246041.238","246041.238","267798.96","269622.395","270380.2081","788994.084","310983.749","219943.91","325767.398","215774.433","323287.188","267487.085","256942.734","303597.541","557041.925","279902.636","201973.332","515394.281","221447.662","657515.648","582000","210256.914","573260.5782","465856.619","704252.667","283826.467","895970.154","772582.582","614121.771","185437.278","248313.792","436158.107","290514.485","575034.485"
"M349.25T12.55","9482.12","7736.701","6747.734","6689.893","7765.783","6268.672","8138.316","7240.036","7317.243","8350.695","8643.218","7717.271","9059.094","7081.678","7174.849","7924.934","7220.087","5095.324","5095.324","8585.68","9119.501","5906.5138","7528.518","7653.753","7179.474","5944.335","8240.536","7517.995","8777.46","8450.962","7509.041","5364.214","8774.062","7457.069","6017.215","10074.49","6588.615","7920","8115.649","7142.8578","5858.026","8473.318","8598.605","7097.985","8321.958","7935.852","9179.901","8745.468","7412.106","7783.34","11112.08"
"M352.92T20.57","18174.976","16958.724","16295.88","17974.774","17300.104","18433.813","13873.989","17005.996","15049.76","16366.424","18067.215","20421.389","17637.682","14896.365","15359.888","16952.523","13557.76","15807.942","15807.942","14597.662","17538.37","17399.722","14090.547","25161.87","17750.757","15146.371","15235.138","18713.484","18155.359","13865.743","13223.557","14561.299","15709.376","17345.837","16423.044","20457.642","17484.832","14100","15201.283","18481.3474","17632.172","15181.246","17798.208","16461.777","16596.275","18409.881","17373.253","11458.272","16805.252","10924.676","21534.406"
"M360.93T17.56","40105.651","31680.758","30942.898","35024.76","32322.678","31661.946","19525.475","30356.736","41165.732","37169.174","30971.783","67714.928","31660.698","30715.872","40651.59","39341.672","18205.666","27367.322","27367.322","30164.222","32695.149","65397.3822","27668.758","32722.452","32465.104","31482.51","41060.814","36091.952","42651.056","31464.85","26629.44","31758.942","30449.074","42900.987","62875.636","34497.749","41381.897","29800","30390.261","64954.134","43417.256","26236.572","42673.577","65744.644","40100.96","65586.738","34615.703","35564.27","42501.048","23475.986","44648.862"
"M372.36T1639.49","170029.489","246273.886","233071.425","248105.458","222047.9","194935.445","177770.765","227765.427","202132.883","225826.832","208386.945","191617.339","234049.502","237536.856","166011.079","186972.44","168833.055","208986.386","208986.386","223256.756","159417.609","316354.8058","240285.523","206883.153","185052.349","240473.541","187653.429","181582.569","274131.617","171349.723","219850.693","340410.068","179440.655","187241.902","288183.56","162215.024","194280.008","190000","230492.572","196162.2321","292757.638","179937.686","320269.373","232629.961","198287.469","226008.672","172865.792","194129.162","169502.529","245989.28","271892.486"
"M372.36T1624.16","212305.901","277433.853","511418.425","249078.162","232948.04","226061.623","197744.477","299468.987","284474.723","231734.649","217011.502","201868.384","240121.239","281583.824","190668.714","211825.319","192652.142","253304.486","253304.486","226110.413","182836.974","324090.9468","290931.739","212489.086","198814.856","272029.473","215109.039","219154.438","261360.03","225390.767","259790.552","347178.313","204977.685","218009.71","327204.755","189496.751","222511.284","216000","263869.128","239647.9068","334875.162","223144.444","373083.284","234957.811","233060.235","286215.62","187648.537","226014.279","221031.971","239665.813","305677.969"
"M380.92T18.56","25242.638","23903.496","21668.496","22356.089","22549.446","21717.468","16634.057","22139.931","22998.212","24234.486","21439.169","27407.5","23782.088","18115.746","19699.169","23249.54","15621.098","15907.889","15907.889","21438.122","23308.977","35861.8372","20834.316","22805.377","24402.99","19518.675","22348.138","25887.43","24169.266","18606.261","17274.893","20943.692","24300.684","23463.264","23927.568","26941.887","24965.57","20400","21794.48","22100.8711","22922.749","35186.553","25431.746","32431.002","23701.948","20487.955","25373.586","18630.431","24070.016","13834.554","32327.55"
