"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","4034768","3834774","3778849","4038728","3927945","3923776","3741009","4053882","3890744","4045781","3879945","4104744","3959808","3945214","3800063","4006431","3667732","4024050","4024050","3845071","4035455","3963239","3909794","3819856","3998858","3805402","3801631","3974273","3999728","3766924","3340263","3555483","3798360","3837318","3790177","3934423","3867787","3442128","3960498","4037492","3920796","4069493","3868514","3964440","4037002","4030309","3922006","3735045","3901010","3528208","4862692"
"M1069.79T17.56","11936.004","11945.730","11855.632","14581.197","16258.630","15589.210","10740.028","14837.461","14896.089","14944.700","15940.318","12066.348","15229.552","15287.726","11670.908","11650.081"," 9125.068","13014.189","13014.189","13855.442","16691.158","26415.759","14413.110","17483.396","16237.256","13561.570","14856.436","16774.172","13654.579","11589.218","10634.517","14406.935","15498.356","16286.690","15450.773","26240.999","16326.127","11400.000","13454.012","26839.426","12336.944","27303.197","16388.691","25335.780","15493.775","24140.794","17692.406","12130.261","15692.479"," 8117.158","20752.914"
"M1069.8T12.54","12396.933","14531.464","14198.468","13269.491","11341.668","12987.680","12302.708","10553.467","12587.650","12190.462","12888.541","11676.119","13479.638","10920.664","16973.957","13491.774","11439.624","10946.365","10946.365","12184.444","12397.080","10860.577","11203.510","11532.494","12750.136"," 9975.854","11662.564","12848.763","15325.840","12240.177","10525.755","10155.750","12481.195","11694.980","11836.339","11833.846","12129.869"," 8200.000","11012.940","10313.236","14167.330","12331.939","11912.522","11202.930","11422.164","11920.812","12234.160","16221.832","11829.382","12337.354","11457.713"
"M1070.12T17.56"," 7895.184"," 6966.838"," 6528.228"," 5220.948"," 6105.475"," 7522.966"," 4946.286"," 8091.520"," 5374.906"," 7983.631","12964.778"," 7184.966"," 7256.415"," 7850.219"," 6459.320"," 6716.331"," 3761.508"," 6067.277"," 6067.277"," 8948.766"," 6465.369"," 5616.046"," 5726.672"," 8588.265"," 8980.348"," 5500.993"," 7532.530"," 6048.121"," 6177.832"," 5737.205"," 6463.817","11229.383"," 6385.788"," 7029.861"," 9096.715"," 8727.211"," 7200.886"," 6070.000"," 5595.191"," 7468.717"," 6356.275","14773.057"," 6932.767"," 6133.454"," 6432.742"," 5582.299"," 7927.651"," 6574.816"," 6725.945"," 4586.305"," 7840.337"
"M1070.29T12.55"," 7019.833"," 6997.704"," 6316.590"," 6220.345"," 5153.468"," 6790.059"," 7470.221"," 6681.252"," 5859.252"," 7815.376"," 6825.390","11950.897","11969.802"," 6570.061"," 6992.114"," 7179.093"," 6331.765"," 7565.029"," 7565.029"," 6551.596"," 7031.563"," 6435.152"," 6698.249"," 6429.823"," 6679.855"," 4846.041"," 6462.176"," 5278.638"," 6520.339"," 7017.790"," 5909.395"," 4370.391"," 5567.546"," 5807.370","10119.524"," 6311.856"," 6017.154"," 4970.000"," 6308.033","12141.729"," 7828.705","11329.081"," 6906.406"," 6512.596"," 7232.434"," 6932.458"," 7584.130"," 6070.931"," 5131.348"," 7114.949"," 9798.873"
"M1070.78T17.56","17874.424","14838.382","12813.042","14668.878","13055.367","14862.565","23319.886","17425.455","15465.468","13797.268","12368.996","25441.990","16481.296","12739.201","17877.472","13468.284"," 9567.359","15881.840","15881.840","15406.080","15736.461","11226.496","10949.111","16274.656","13072.510","13506.661","12869.175","17289.714","14683.486","11361.026","11896.851","11936.960","17243.576","16637.696","15346.444","14833.451","15779.196","13600.000","15692.336","15541.422","12630.590","24352.822","13153.162","26362.852","11347.942","26583.737","14336.809","12734.471","14817.408"," 8662.326","17062.794"
"M1071.78T17.56","14445.000"," 8431.218"," 7287.241"," 9263.708"," 8405.140"," 8017.386"," 6719.339"," 6986.926"," 6935.086"," 8599.067"," 9215.564"," 8386.079","11624.770"," 8407.868","10048.054"," 9459.640"," 6270.315","10128.711","10128.711"," 8675.950"," 8492.781"," 7728.811"," 6368.972","10741.994"," 8580.221","10309.710"," 9009.828"," 9320.351"," 7035.987"," 7041.919"," 5797.669","11040.307"," 7740.363"," 9622.869"," 9662.902"," 7532.081"," 8419.509"," 8940.000","13046.862","10144.192"," 8385.357"," 8995.126"," 8559.286"," 8049.177"," 9496.404"," 7678.664"," 7316.148","11099.520"," 7785.476"," 5495.461"," 9286.081"
"M1072.78T17.56","14123.471","18236.546","17406.170","11016.952","15317.816","19069.746","16134.258","16570.856","13257.060","13977.067","14979.285","14294.321","13805.292","12203.601","11935.700","14978.266"," 9344.203","14707.336","14707.336","14509.398","14770.080","14299.967","15879.496","14434.783","14329.823","13245.664","14383.020","13083.159","14289.889","12918.339","11228.557","11641.617","12609.716","15134.251","15615.292","12669.744","13749.124","12000.000","17036.133","12238.960","14050.819","13284.704","17648.280","29147.180","15243.594","12326.057","14191.626","13739.191","16703.655"," 7342.093","17068.223"
"M1073.29T13.55"," 9597.892"," 7527.580","10910.453"," 8439.579","10935.369"," 7920.114"," 8613.938","11573.845"," 6620.706"," 9604.385"," 7002.946"," 9350.079"," 9157.669"," 9262.407"," 8982.610"," 8579.223"," 9008.231"," 9906.646"," 9906.646","11002.910","10800.960"," 9389.100"," 9853.822"," 9733.212"," 7893.610"," 7879.005"," 9937.568"," 9609.915","11362.118"," 5583.776"," 8887.175"," 8954.435","10531.787","10984.678","10614.582"," 9875.574"," 8764.214"," 9100.000"," 9803.279","10197.968"," 9798.059"," 9802.433"," 9837.540"," 9758.658","10585.230","10598.929"," 9683.755","11245.909"," 9440.792"," 8000.608","10786.798"
"M1074.28T13.55"," 9718.275"," 9983.862"," 7757.738","11882.917"," 8227.245","11696.362","10269.800"," 9747.720"," 9422.622","10035.760"," 9857.578"," 9526.651","11510.504","10107.004","13900.919","10185.883","10552.690","13356.622","13356.622","12240.612","11278.905","10619.774","13123.252"," 9402.956","10044.317","13611.071","11940.246","12460.793","12126.572","10596.520","11038.687"," 8644.992"," 8724.178","12968.210"," 8723.394","12717.938"," 9398.598","10300.000","11152.827","14169.821"," 8119.429","11488.687","11614.617","12605.206","12212.815"," 8580.756","11609.431","10530.864","11566.882","12969.965","14903.637"
"M1075.29T13.42"," 8558.180"," 8784.316"," 8458.738"," 9000.314"," 9221.617"," 9382.955"," 7180.621","10515.128","12340.001"," 7995.916","11971.808","11819.352"," 9995.055"," 9268.372"," 7631.562"," 7052.288"," 8909.534"," 9044.101"," 9044.101"," 9303.828"," 9646.854"," 8571.730"," 8345.927"," 7572.650"," 8072.144","13569.397"," 8191.143"," 9173.396"," 8312.596"," 7519.244"," 8867.572"," 9527.232"," 9877.018"," 8058.769"," 8433.549"," 9202.092","11775.549","11100.000"," 7714.182","11469.674"," 9611.608","12733.181"," 8707.715","12028.783"," 7021.606"," 7863.744"," 9490.643"," 9649.688","10623.133"," 9695.108"," 9704.891"
