"",F.stat,p.value,-log10(p),FDR
M691.86T17.56,1.8784,0.069533,1.1578,0.47024
M1136.78T16.56,1.8762,0.069895,1.1556,0.47024
M687.86T17.56,1.8683,0.071216,1.1474,0.47631
M1159.77T17.56,1.8648,0.071806,1.1438,0.47745
M1307.75T12.55,1.8604,0.072554,1.1393,0.47962
M903.48T13.45,1.855,0.073488,1.1338,0.48298
M1121.45T12.55,1.8495,0.074447,1.1282,0.48647
M1560.19T13.55,1.847,0.074889,1.1256,0.48657
M1234.42T16.56,1.8353,0.07697,1.1137,0.48938
M774.82T18.56,1.8324,0.077504,1.1107,0.48938
M1461.71T12.67,1.8322,0.077539,1.1105,0.48938
M496.91T17.56,1.8321,0.077555,1.1104,0.48938
M848.83T17.56,1.8311,0.077748,1.1093,0.48938
M380.92T18.56,1.8302,0.077905,1.1084,0.48938
M1228.25T16.56,1.8226,0.079317,1.1006,0.4943
M1402.73T12.55,1.8194,0.079907,1.0974,0.4943
M720.85T18.56,1.8184,0.080093,1.0964,0.4943
M1208.09T16.56,1.816,0.080563,1.0939,0.4943
M1091.45T17.56,1.8144,0.080861,1.0923,0.4943
M575.48T1555.33,1.8025,0.08315,1.0801,0.50029
M796.85T17.56,1.8024,0.083175,1.08,0.50029
M1596.37T13.55,1.8016,0.083324,1.0792,0.50029
M924.81T18.55,1.7984,0.083965,1.0759,0.50029
M1572.44T14.02,1.7972,0.084192,1.0747,0.50029
M1610.96T13.55,1.7956,0.084508,1.0731,0.50029
M653.86T17.74,1.7905,0.08552,1.0679,0.50029
M1175.76T17.47,1.79,0.085623,1.0674,0.50029
M1244.75T17.56,1.787,0.086226,1.0644,0.50029
M1076.12T16.56,1.7855,0.086538,1.0628,0.50029
M1169.5T13.55,1.7847,0.086696,1.062,0.50029
M1185.52T13.55,1.7811,0.087428,1.0584,0.50029
M1481.21T13.55,1.7805,0.087562,1.0577,0.50029
M1008.13T17.48,1.7767,0.088351,1.0538,0.50228
M1502.71T13.55,1.7723,0.089258,1.0494,0.50491
M322.92T21.56,1.7689,0.08998,1.0459,0.50569
M1296.74T17.56,1.7633,0.091156,1.0402,0.50569
M1183.77T11.73,1.7625,0.091324,1.0394,0.50569
