"","C9.1","C9.2","C9.3","C9.4","C15.1","C15.2","C15.3","C15.4","C12.3","C12.4","D9.1","D9.2","D9.3","D9.4","D12.1","D12.2","D12.3","D12.4","D15.2","F9.1","F9.2","F9.3","F12.1","F12.2","F12.4","F15.2","F15.4","QC.1","QC.2","QC.3","X9.1","X9.2","X9.3","X9.4","X15.1","X15.2","X15.3","X15.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas"
"M439.318T1571.719","-0.099668346","-0.172829105"," 0.031431800"," 0.225261152","-0.168165164","-0.201381460"," 0.129139252","-0.148471920","-0.286211063"," 0.051718941","-0.104283050"," 0.168802640","-1.223362622","-0.221737927"," 0.174481207"," 0.440942900","-0.601675851"," 0.269677600"," 0.277912795","-0.249243398","-0.251171393","-0.044714705"," 0.509072014"," 0.539991623"," 0.627180294","-0.002564854","-0.007106418"," 0.024823968"," 0.210480100"," 0.276061464"," 0.428050805","-0.224085562","-0.347580787"," 0.242009509","-0.881690883","-0.259794137"," 0.339349582","-0.446031829"," 0.490129712"," 0.283206102"," 0.202047015"
"M737.173T1002.572"," 0.175809472"," 0.295054681"," 0.412874492"," 0.574869211"," 0.005872355","-0.438651771"," 0.175287015","-0.002052956","-0.118818647"," 0.648195804","-0.111853520","-0.520837958","-1.890610270","-0.029430971"," 0.212108603"," 0.578795382"," 0.050874917"," 0.450414150"," 0.454531543","-0.122139639"," 0.536065945"," 0.166015412"," 0.616446680"," 0.245664167","-0.051233244"," 0.036097467","-0.064473573"," 0.039557804"," 0.468099639"," 0.169725841"," 0.480996772"," 0.472068706","-0.483818307","-0.712723571","-1.716449609","-1.367193467"," 0.435538449","-0.817597681"," 0.508415220"," 0.126256977"," 0.112248481"
"M569.435T1691.217","-0.18991464"," 0.12544693"," 0.02078963"," 0.17902856","-0.21884473"," 0.06371747","-0.10107320"," 0.24676612","-0.20601740","-0.08914001","-0.30954119","-0.17314068","-1.26540622"," 0.24312924","-0.04814940"," 0.06189546","-0.66088516","-0.24792019"," 0.60381889"," 0.16247684","-0.12805312"," 0.07472070"," 0.03117477"," 0.18939987"," 1.13695246","-0.02584613","-0.28291918"," 0.22512839"," 0.09875666","-0.40096397"," 0.07735160"," 0.16784857","-0.28972579","-0.15253284","-1.06588191","-0.88109756"," 0.27585702"," 1.88038563"," 0.36192559"," 0.20862102"," 0.30186192"
"M886.576T1523.593","-0.56668527"," 0.03672556","-0.28760565","-0.52394285","-0.30320142","-0.13515927"," 0.27980364"," 0.12991908","-0.04180120","-0.02345398"," 0.30609853","-0.34082227","-0.78789950"," 0.28011419","-0.25347314"," 0.55057701"," 1.13728874","-0.61315018"," 0.34697731","-0.44705604","-0.77397687","-0.84025409"," 0.01691334","-0.21822249"," 0.60963735"," 0.76774192","-0.46126896"," 0.24626958","-0.09937883","-0.67132306","-0.68608704"," 0.36361475"," 0.79295692","-0.16106199"," 1.15746418","-0.29060477"," 0.47676013"," 0.44766871"," 0.07621802"," 0.15438317"," 0.34929673"
"M311.311T1540.43"," 0.657254228","-0.544857191"," 0.075090517","-0.777569386"," 0.604639044"," 0.023914153","-0.009157469"," 0.519973705","-0.878953208","-1.084901575"," 0.485122705","-0.183622240","-1.597912163"," 1.006335485"," 1.088389736","-0.652423036"," 0.487030885"," 0.915555632","-0.704640088"," 0.715610867"," 0.247094567"," 1.130943408","-0.672497196"," 0.074911345","-0.042353240","-0.100689168"," 0.876234910"," 0.900415758","-0.311731015"," 0.950275877","-0.563250480","-0.184352922"," 0.154258306","-0.051417597","-1.554547877","-1.071072140"," 0.972002488","-0.544894532","-0.654144649"," 0.510317729","-0.210384172"
"M455.313T1352.626","-0.12776179","-0.71576281","-0.48715084","-0.26371568","-0.44152179"," 0.12164670"," 0.07792237","-0.39523181"," 0.44705641"," 0.18932544"," 0.15665254"," 0.11656919"," 0.34332311","-0.46825313"," 0.14784884"," 0.28757699","-0.19588487"," 0.09473456"," 0.29687274","-0.55769896"," 0.48875691","-0.47956392"," 0.19917656"," 0.23795593"," 0.21338031","-0.26586948","-0.37722189","-0.18461366"," 0.02886128","-0.07912324"," 0.05350087","-0.29419736","-0.04344152"," 0.54246588"," 0.10196444"," 0.64755837"," 0.34209845","-0.19374376"," 0.41310236"," 0.04250207","-0.02009581"
"M471.218T918.479","-0.259429435","-0.813323554","-0.302375177"," 0.079870176"," 0.049484538","-0.470766953","-0.090371022","-0.299351954","-0.646506864","-0.004274471"," 0.076802772","-0.346647874","-0.248050715"," 0.106767766"," 0.634047394"," 0.103563391"," 0.254376033"," 0.336066760"," 0.556901138"," 0.112201218"," 0.618432495"," 0.290250431"," 0.027255196"," 0.362821032"," 0.276138908","-1.081328758"," 0.279720794"," 0.370807247"," 0.261058984"," 0.195406601"," 0.307340073"," 0.175131080","-0.163536513","-0.035047558","-0.253931244","-0.575857718"," 0.186997499","-0.693875828"," 0.487103936"," 0.121695502"," 0.014434673"
"M497.351T1457.506"," 0.035521929","-0.148424961","-0.083781068","-0.219950861"," 0.102481537","-0.101400318"," 0.120384723","-0.199698195"," 0.119205647"," 0.023017528"," 0.174461737","-0.343566220","-0.752273537"," 0.042524123"," 0.234040192"," 0.233586178","-0.034045691"," 0.220662804"," 0.139166923","-0.149936224","-0.305720099","-0.327975716"," 0.082811763"," 0.080240949"," 0.432698238","-0.266662275"," 0.112225844"," 0.200621643"," 0.089597185"," 0.161474474"," 0.010364013","-0.031739305"," 0.415343559"," 0.089375178"," 0.086177709","-0.421951195"," 0.554215687","-0.536739366"," 0.226952004"," 0.009764303","-0.073050838"
"M503.174T828.514","-3.580856e-01","-1.074465e+00","-1.836650e-01","-4.378468e-01","-1.036547e-01"," 4.745621e-02","-3.660219e-01","-3.697841e-01","-5.367654e-01"," 6.114456e-01","-2.024007e-01","-4.694051e-02"," 5.289257e-01","-4.908494e-02"," 6.556307e-01"," 1.466924e-01"," 3.477553e-01"," 2.492306e-01"," 3.612237e-01","-6.832644e-02"," 3.480543e-01","-1.073324e-01"," 2.128149e-01"," 3.748167e-01","-1.104344e-01","-1.102287e+00"," 9.118579e-02","-3.243251e-05"," 1.531277e-01"," 9.396621e-02"," 1.682195e-01"," 5.372964e-03"," 9.052752e-02","-2.175284e-01"," 9.897886e-01"," 1.698022e-01"," 4.230194e-01","-1.196939e+00"," 3.850758e-01"," 4.288116e-02"," 3.458161e-02"
"M693.269T926.987","-0.34740588","-0.85129025"," 0.21808774","-0.18898839","-0.20469700","-0.28508818","-0.21740551","-0.64741408","-0.68646209"," 0.29110276","-0.01981707","-0.55105805","-0.30931898"," 0.38714590"," 0.66900558"," 0.22614797"," 0.11274773"," 0.72706768"," 0.44436462"," 0.10082055"," 0.52149148","-0.01113004"," 0.05068555"," 0.47215888"," 0.30442292","-0.88628181"," 0.08166534"," 0.11101609"," 0.26837543"," 0.05914376","-0.04829457"," 0.21968717","-0.06562269"," 0.01689059"," 0.32267645","-0.20258702"," 0.24197256","-0.82910668"," 0.03311603"," 0.47901436","-0.00683883"
"M671.411T1339.403","-0.152339930","-0.140603568","-0.010529935","-0.212762102","-0.140731354","-0.190526652"," 1.289470111","-0.281586381"," 0.180358572"," 0.175003351","-0.093322404","-0.295201304","-0.147715768"," 0.008607146"," 0.042009305"," 0.395230430","-0.009200275","-0.150099857"," 2.186886342","-0.440798925","-0.224310083","-0.330731761"," 0.120295444"," 0.068996459","-0.055575166","-0.538961045","-0.119322852","-0.068366939"," 0.116870301","-0.158638802","-0.248340184"," 0.155885282","-0.337171278","-0.145210799","-0.002557017"," 0.144496374","-0.035525366","-0.826462514"," 0.241606547"," 0.255676764","-0.024800164"
"M629.463T1474.173"," 0.060955761","-0.371833792","-0.221094727","-0.045746597","-0.156888511"," 0.007782443","-0.100153838","-0.204674660","-0.015015646"," 0.066142229"," 0.015384383","-0.258488766","-0.131232487","-0.853303473"," 0.243217839"," 0.255349217"," 0.209591788","-0.096108699"," 0.277774959"," 0.360548729","-0.355022725","-0.928206580"," 0.534540999"," 0.317325277"," 0.739558410","-0.763543552","-0.252323780"," 0.153797454"," 0.490727413","-0.070340428"," 0.427281345","-0.314769561","-0.075872779"," 0.178077315"," 0.023299647"," 0.076838473","-0.352675111"," 0.102785831"," 0.462027637"," 0.140312287"," 0.423976276"
"M1143.432T957.42"," 0.129497193","-0.941655939","-0.119935798","-0.090724643","-0.536352349","-0.406022994","-0.096451794","-1.118577314","-0.433336604"," 0.438332066","-0.421840740","-0.477387051","-0.009328496"," 0.079961577"," 0.460406910"," 0.070856158"," 0.449942855"," 0.306216773"," 0.490166311","-0.288156999"," 0.328279549"," 0.055104049"," 0.336610512"," 0.560988508"," 0.236626501","-0.493863904","-0.251749555","-0.028036363"," 0.418651310","-0.029307235","-0.156182033"," 0.091377351"," 0.036241598","-0.015655250"," 0.986609179","-0.086153128"," 0.580757159","-0.766791553"," 0.160016556"," 0.332763867"," 0.218103760"
"M556.438T1591.725"," 0.049970197"," 0.234033265","-0.056670541"," 0.903623285"," 0.294778867"," 0.128423098"," 0.300445077","-0.107390958","-0.312264743","-0.097520943"," 0.659629488","-0.114462481","-1.670793812","-0.106079792","-0.069137372"," 0.074171412"," 0.094401285"," 0.182482523"," 0.182540576"," 0.191901518","-0.025853932"," 0.204176239"," 0.377641898"," 0.066644420"," 0.007536229","-0.092573076","-0.029524091","-0.069249825"," 0.077615860","-0.187571754"," 0.197108046","-0.156605761","-0.114087546","-0.012103104","-0.726674636","-0.505900923"," 0.147293250","-0.382977774"," 0.352801280","-0.055949636"," 0.166174889"
"M440.239T1021.299","-0.13084387","-0.80950879"," 0.30883398","-0.03192463","-0.20836452","-0.33906942","-0.22142532","-0.42484621"," 0.40907324"," 0.83638046","-0.40824885","-0.21187396"," 1.61503572","-0.10054414"," 0.11526008","-0.14550981"," 0.09722827"," 0.18987597","-0.14376344","-0.31253962"," 0.14323128","-0.09357916"," 0.23191984"," 0.70260578"," 0.03445677","-0.78552697"," 0.02564032"," 0.11254365"," 0.15225328","-0.60809623"," 0.01967945"," 0.27995782"," 0.38489127","-0.35736176","-0.35628957"," 0.34767032","-0.22904276","-0.62986078"," 0.08773651"," 0.32379771"," 0.13014811"
