"",F.stat,p.value,-log10(p),FDR
M755.85T17.56,2.5827,0.064438,1.1909,0.45949
M828.34T17.56,2.58,0.064637,1.1895,0.45949
M1068.79T17.55,2.5797,0.064661,1.1894,0.45949
M1422.39T13.55,2.5735,0.065131,1.1862,0.45996
M853.82T17.56,2.5503,0.066902,1.1746,0.46707
M896.82T11.73,2.5477,0.067101,1.1733,0.46707
M752.84T18.57,2.5443,0.06737,1.1715,0.46707
M1076.12T16.56,2.5371,0.06793,1.1679,0.4681
M1250.08T17.56,2.5167,0.069558,1.1577,0.46973
M1406.22T13.55,2.5064,0.070396,1.1525,0.46973
M1148.78T12.54,2.5005,0.070879,1.1495,0.46973
M1311.44T14.55,2.4968,0.071178,1.1477,0.46973
M428.92T17.56,2.4968,0.071183,1.1476,0.46973
M858.82T17.95,2.4888,0.071842,1.1436,0.46973
M1067.45T16.98,2.4885,0.071869,1.1435,0.46973
M896.32T17.56,2.4877,0.071934,1.1431,0.46973
M247.08T831.65,2.4747,0.073025,1.1365,0.46973
M1363.4T16.56,2.4691,0.073508,1.1337,0.46973
M926.81T18.56,2.4666,0.07372,1.1324,0.46973
M1068.29T16.56,2.4557,0.074654,1.1269,0.46973
M985.47T17.56,2.4495,0.075192,1.1238,0.46973
M1103.29T17.47,2.4486,0.075272,1.1234,0.46973
M839.34T897.39,2.4468,0.075428,1.1225,0.46973
M1182.27T12.55,2.4457,0.075523,1.1219,0.46973
M1125.77T17.56,2.4398,0.076046,1.1189,0.46973
M817.26T830.86,2.4394,0.076077,1.1187,0.46973
M1193.76T17.56,2.4354,0.076431,1.1167,0.46973
M1465.21T13.54,2.434,0.076558,1.116,0.46973
M1007.47T16.56,2.4257,0.077302,1.1118,0.46973
M900.82T12.55,2.4215,0.077679,1.1097,0.46973
M1064.79T12.55,2.421,0.077719,1.1095,0.46973
M1837.64T13.55,2.4143,0.078326,1.1061,0.46973
M420.91T18.56,2.4123,0.07851,1.1051,0.46973
M817.18T13.55,2.408,0.078908,1.1029,0.46973
M665.47T1386.55,2.401,0.079546,1.0994,0.47106
M1416.06T13.55,2.3906,0.080512,1.0941,0.47431
M712.86T11.54,2.3739,0.082096,1.0857,0.48115
M966.31T17.55,2.3438,0.085009,1.0705,0.49567
M808.85T17.56,2.3296,0.086425,1.0634,0.50088
M1663.68T13.55,2.3261,0.086784,1.0616,0.50088
M877.83T17.56,2.3214,0.087252,1.0592,0.50104
M1325.74T16.56,2.294,0.090075,1.0454,0.50822
M863.83T12.55,2.2884,0.090666,1.0426,0.50822
M833.5T16.56,2.2863,0.090892,1.0415,0.50822
M989.8T12.54,2.2848,0.091047,1.0407,0.50822
M589.43T1437.43,2.2844,0.091088,1.0405,0.50822
M1121.78T17.56,2.2743,0.09217,1.0354,0.50822
M666.48T1403.51,2.2721,0.092408,1.0343,0.50822
M1190.77T11.72,2.2676,0.092892,1.032,0.50822
M881.82T17.56,2.2646,0.093215,1.0305,0.50822
M1035.46T17.56,2.2642,0.093261,1.0303,0.50822
M780.84T18.56,2.2627,0.09342,1.0296,0.50822
M1364.73T12.54,2.2547,0.094288,1.0255,0.5105
M1592.69T13.55,2.2483,0.095,1.0223,0.51192
M1434.47T13.55,2.2409,0.09582,1.0185,0.5139
M1167.27T17.54,2.2337,0.096624,1.0149,0.51578
M1340.74T16.56,2.2262,0.097471,1.0111,0.51644
M1560.19T13.55,2.2246,0.097655,1.0103,0.51644
M633.48T1420.61,2.2112,0.099186,1.0036,0.52014
M1269.09T13.54,2.2075,0.099609,1.0017,0.52014
M1160.1T17.56,2.197,0.10085,0.99635,0.52014
M667.87T17.56,2.1908,0.10157,0.99323,0.52014
M1497.42T13.54,2.1894,0.10174,0.99253,0.52014
M1094.77T17.56,2.1894,0.10174,0.99252,0.52014
M827.49T1369.97,2.1887,0.10182,0.99217,0.52014
M1265.42T17.55,2.1848,0.10228,0.9902,0.52014
M1004.13T17.56,2.1832,0.10247,0.98939,0.52014
M633.48T1454.22,2.1723,0.10377,0.98391,0.52441
M990.29T17.56,2.1677,0.10434,0.98155,0.52493
M1295.25T13.55,2.1623,0.10499,0.97884,0.52589
M1163.77T17.56,2.1575,0.10558,0.9764,0.52653
M799.25T813.63,2.1455,0.10707,0.97033,0.5313
M1495.71T13.55,2.1377,0.10805,0.96638,0.5313
M997.14T13.55,2.1354,0.10833,0.96524,0.5313
M1520.03T13.55,2.1291,0.10914,0.96203,0.5313
M1041.29T12.55,2.1263,0.1095,0.9606,0.5313
M1423.46T13.55,2.1247,0.1097,0.9598,0.5313
M958.8T11.54,2.1238,0.10981,0.95935,0.5313
M1339.73T16.56,2.1126,0.11125,0.95369,0.53599
M665.47T1403.68,2.0995,0.11296,0.94709,0.54191
M1298.49T13.55,2.0959,0.11343,0.94526,0.54191
M1633.39T13.55,2.0904,0.11417,0.94247,0.54312
M1582.95T13.55,2.0794,0.11564,0.93691,0.54583
M1141.03T13.55,2.0785,0.11576,0.93643,0.54583
M612.87T18.56,2.072,0.11664,0.93317,0.54583
M1419.72T16.56,2.0689,0.11706,0.9316,0.54583
M876.83T17.56,2.0683,0.11714,0.93131,0.54583
M1322.74T13.55,2.0509,0.11954,0.92248,0.55146
M908.49T16.55,2.0467,0.12013,0.92037,0.55146
M1124.03T13.55,2.0399,0.12109,0.91691,0.55146
M1018.8T12.55,2.0387,0.12125,0.91632,0.55146
M1291.74T17.56,2.0383,0.12131,0.91611,0.55146
M796.85T17.56,2.0357,0.12167,0.91483,0.55146
M1091.45T17.56,2.0259,0.12307,0.90986,0.55146
M1655.36T13.55,2.0246,0.12326,0.90919,0.55146
M1537.7T13.55,2.0233,0.12344,0.90855,0.55146
M1395.47T13.55,2.0161,0.12448,0.90491,0.55146
M1149.78T11.55,2.016,0.12449,0.90486,0.55146
M1000.81T17.56,2.0152,0.12462,0.90442,0.55146
M964.81T12.54,2.015,0.12465,0.90431,0.55146
M1221.75T17.47,2.0016,0.1266,0.89757,0.55599
M1973.62T13.55,2.0007,0.12674,0.89708,0.55599
M480.89T18.57,1.998,0.12714,0.89572,0.55599
M1251.42T17.4,1.9911,0.12817,0.89223,0.55833
M1752.91T13.55,1.9762,0.13041,0.8847,0.56522
M634.48T1420.61,1.9667,0.13186,0.87989,0.56522
M653.86T17.74,1.9659,0.13197,0.87951,0.56522
M1435.72T12.55,1.9647,0.13217,0.87888,0.56522
M1401.4T12.54,1.9593,0.13299,0.87619,0.56522
M1018.13T17.55,1.9584,0.13314,0.87568,0.56522
M1182.77T12.5,1.9559,0.13353,0.87442,0.56522
M1660.67T13.55,1.9546,0.13372,0.87379,0.56522
M963.81T17.56,1.9444,0.13533,0.86862,0.56988
M1491.21T13.55,1.9355,0.13673,0.86413,0.57144
M1381.4T13.54,1.9326,0.1372,0.86265,0.57144
M631.86T17.56,1.9325,0.13721,0.86262,0.57144
M1126.11T17.56,1.9275,0.13801,0.86009,0.57269
M1408.73T16.56,1.9153,0.14,0.85389,0.57456
M676.85T19.54,1.9146,0.1401,0.85355,0.57456
M1599.94T13.55,1.9124,0.14046,0.85245,0.57456
M1159.44T17.56,1.9107,0.14074,0.8516,0.57456
M1073.29T13.55,1.9015,0.14226,0.84691,0.57456
M745.85T17.56,1.9013,0.14229,0.84683,0.57456
M1057.79T17.56,1.8995,0.14259,0.84592,0.57456
M1018.79T17.56,1.8967,0.14305,0.84451,0.57456
M1050.79T17.56,1.8941,0.14348,0.8432,0.57456
M836.84T17.55,1.8916,0.14391,0.84192,0.57456
M1237.76T16.56,1.8909,0.14402,0.84158,0.57456
M1232.26T16.68,1.8729,0.14708,0.83244,0.58316
M1221.76T12.55,1.8706,0.14747,0.8313,0.58316
M1116.27T17.56,1.8692,0.14771,0.83058,0.58316
M1373.73T16.56,1.8649,0.14846,0.8284,0.58407
M1026.79T12.54,1.8587,0.14953,0.82526,0.58628
M1287.08T13.55,1.8502,0.15101,0.82098,0.59005
M1712.17T13.55,1.8391,0.15297,0.81538,0.59338
M1912.63T13.54,1.8381,0.15316,0.81487,0.59338
M1542.2T13.55,1.8359,0.15354,0.81377,0.59338
M859.28T831.48,1.8336,0.15396,0.8126,0.59338
M631.47T1471.08,1.8264,0.15526,0.80894,0.59507
M1234.42T16.56,1.8254,0.15544,0.80844,0.59507
M1604.01T13.55,1.822,0.15606,0.80671,0.59544
M757.84T19.56,1.8125,0.15779,0.80192,0.60002
M1002.47T16.93,1.8079,0.15863,0.79961,0.60111
M1544.7T16.56,1.8052,0.15913,0.79824,0.60111
M1092.12T17.56,1.8012,0.15987,0.79622,0.60191
M1081.78T17.56,1.7902,0.16193,0.79067,0.60584
M1708.67T13.55,1.7881,0.16233,0.78961,0.60584
M1024.29T17.56,1.7855,0.16282,0.78829,0.60584
M1250.75T17.55,1.7833,0.16325,0.78715,0.60584
M549.19T881.43,1.7815,0.16358,0.78626,0.60584
M1258.75T17.56,1.7778,0.1643,0.78437,0.60652
M955.81T17.56,1.7661,0.16654,0.77849,0.60988
M1201.1T13.6,1.7654,0.16667,0.77814,0.60988
M1404.71T17.55,1.7647,0.16682,0.77776,0.60988
M964.31T17.56,1.7588,0.16796,0.7748,0.61162
M1380.72T17.48,1.7561,0.1685,0.77341,0.61162
M1362.48T13.52,1.7489,0.1699,0.76981,0.61162
M794.84T17.56,1.7467,0.17033,0.7687,0.61162
M970.8T18.56,1.7441,0.17085,0.76737,0.61162
M1429.4T13.55,1.742,0.17128,0.7663,0.61162
M1319.74T17.56,1.7406,0.17155,0.76561,0.61162
M1252.08T13.55,1.7404,0.1716,0.76549,0.61162
M1228.76T12.55,1.7359,0.1725,0.7632,0.61293
M1206.44T13.04,1.7287,0.17394,0.75961,0.6151
M1610.96T13.55,1.7274,0.1742,0.75896,0.6151
M1170.77T16.68,1.7204,0.17564,0.75538,0.61733
M1059.43T881.12,1.719,0.17591,0.7547,0.61733
M1542.95T13.55,1.7148,0.17678,0.75257,0.61846
M1502.71T13.55,1.7102,0.17773,0.75025,0.61986
M1051.13T12.55,1.7029,0.17924,0.74657,0.62296
M1144.1T16.56,1.6991,0.18003,0.74465,0.62296
