"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M679.449T1212.039","295935.623","166202.511","240559.217","296747.645","343084.541","326322.5","436666.195","296958.984","264387.248","372000","389554.596","43065.5061","289273.348","293020.221","266000","428000","66502.5411","433975.259","433000","421120.218","34582.2991","360822.86","419398.05","609152.829","620000","445585.538","377000","522000","374696.877","36389.5075","358606.616","689238.75","457926.755","439000","375093.111","511524.067","383694.408","323658.487","39692.9386","370692.535","34714.8501","25270.2539","32346.7425","327000","38207.7096","269936.849","620099.602","980000","371043.7802","369973.27"
"M697.464T1209.593","205644.125","190851.008","435547.27","319486.732","244886.114","187143.289","664964.577","150659.348","269396.939","84600","118530.821","10143.8925","519328.99","293704.638","191000","259000","4971.8832","425998.1735","515000","423119.869","15779.2904","255382.609","607060.322","690756.613","609000","467255.649","379000","642000","430625.224","13766.14","423072.259","673241.049","552473.204","548000","369915.182","410549.152","453455.428","330267.017","13409.3116","469817.642","8536.7156","11893.0091","11147.7116","110000","13206.4347","217259.529","718529.865","950000","338431.2522","458108.227"
"M985.571T1146.934","174160.642","112593.867","165145.579","144368.473","169777.372","178462.141","210857.931","169618.45","123218.655","197000","110025.613","7807.9152","129531.693","151301.507","162000","142000","11917.3594","125480.2053","129000","128808.398","1537.3531","178876.252","191828.13","145460.725","97400","149300.626","155000","111000","112383.819","15277.6498","92054.447","115500.518","145428.538","125000","142313.35","127972.639","95752.594","128772.898","8631.9542","88035.691","14151.5174","13738.0321","13824.5169","98700","9848.04","99418.823","118428.23","155000","94524.1926","101368.302"
"M565.409T1275.021","87707.868","74662.513","75210.217","99871.965","125537.91","80161.964","225898.213","65157.788","88577.004","74400","47992.494","27962.2573","134813.375","96518.567","95700","131000","26042.2554","114053.1407","130000","127495.505","177257.2699","120936.618","159730.213","185288.601","189000","143600.69","159000","210000","125169.45","22465.5941","219892.523","237508.458","137267.331","177000","102771.945","97782.656","116663.918","82739.64","23566.065","396278.371","23521.9899","52679.6399","40863.7952","54600","13986.7236","83282.438","306721.829","360000","150419.1693","194275.45"
"M698.466T1253.346","92645.417","89452.116","176541.15","156938.148","124584.408","98140.725","234659.688","66581.156","108962.561","66100","60672.275","11593.3803","223954.029","129719.593","61400","136000","985.43838","175422.678","240000","195813.753","6295.4719","129873.872","229299.32","292577.952","277000","218367.778","158000","293000","203351.747","8401.6985","160937.26","316305.089","225016.658","238000","163310.195","177474.788","194120.587","154454.595","4927.1919","209235.973","985.43838","14137.3496","6651.5867","39000","10624.1071","105073.124","284609.405","330000","131194.7574","225055.071"
"M661.446T1372.452","164800.878","155975.247","199078.058","265194.383","211174.655","188192.323","232763.054","170793.722","234181.54","197000","147551.66","79714.8537","287402.634","211302.211","228000","256000","82780.9523","278917.5535","254000","309641.039","66802.6455","249731.944","361387.71","414278.387","430000","316500.254","276000","481000","331208.901","88917.6144","288082.188","585495.452","358379.095","391000","243793.859","231726.934","292110.224","218900.373","104373.0734","399959.645","109480.6022","86672.1372","96844.4338","181000","68313.2237","194094.104","358339.666","480000","300151.3356","284525.407"
"M695.45T1338.973","90347.236","104999.095","96010.69","115766.216","148869.904","95601.217","92826.638","92703.784","99451.854","101000","71942.559","52754.6173","143793.609","110810.643","97400","134000","59599.9651","172594.0898","190000","180167.904","47343.4648","158427.903","167379.072","317757.792","282000","174016.897","178000","332000","194603.213","44540.4797","206525.966","412897.062","196517.517","229000","177166.304","163642.161","155626.729","117076.551","33519.3728","271725.12","52754.4949","53397.0303","45217.5879","81100","57572.7969","113117.979","139688.863","298000","199306.6107","173433.182"
"M593.49T1490.213","136529.68","153717.215","179659.376","248224.476","216772.522","181759.799","201059.31","189125.94","235445.499","181000","88773.579","55594.9947","314054.24","210865.546","279000","334000","61226.368","289607.0826","301000","267183.403","171483.425","224110.018","270191.106","289759.181","325000","329718.667","291000","350000","353585.379","77789.3816","392041.697","348797.998","243878.151","328000","150045.807","215222.502","236450.412","209086.704","75172.4347","448179.876","76313.2712","145922.5554","98131.685","129000","77078.6905","206666.472","432278.689","348000","325391.8671","326031.047"
"M593.489T1431.043","133998.543","140829.21","164616.582","232425.943","212970.384","171937.894","250598.409","182774.693","228311.238","177000","80590.158","51358.5484","295720.309","196044.698","275000","335000","53528.7151","278719.1263","287000","264624.745","167661.9141","225704.322","270372.99","286506.998","317000","315523.485","288000","345000","332874.363","66508.4847","376182.36","336220.792","236681.924","320000","143687.17","209576.701","229081.572","198487.305","65912.792","428146.64","68889.5196","129528.3114","84010.984","120000","67446.7492","198915.336","493091.095","388000","319129.4041","311598.965"
"M639.424T1291.55","82434.029","40127.092","73503.553","79763.402","90784.545","74488.535","171204.964","60410.552","61630.916","76700","32166.117","10182.8522","102065.763","79868.695","57900","118000","20888.2664","95363.5705","1e+05","92325.348","13470.6348","114977.203","139862.171","136206.788","109000","101587.379","89700","121000","126508.987","10545.5781","119890.222","121164.455","118571.563","121000","70001.631","79256.375","96689.556","87109.847","8064.1086","90968.77","9348.0399","10607.8559","4350.821","32800","11283.0141","71284.521","196836.597","378000","101934.2219","115868.636"
"M591.473T1440.13","164820.66","177024.638","196792.823","287047.992","284460.994","118212.315","306861.776","172027.718","229942.411","205000","56926.04","59137.63","459725.482","211877.188","296000","484000","39822.061","320033.5919","383000","323955.051","102319.453","258777.085","423415.329","494381.169","502000","418309.909","391000","647000","533389.533","51319.0431","439960.802","648536.462","352962.129","438000","238436.7","254220.997","365943.71","316652.059","57479.3988","585449.499","56994.203","168727.1155","51228.7834","159000","57622.8904","248694.141","793501.321","586000","381103.4717","481576.186"
"M590.465T1389.456","44794.744","69445.683","24697.212","56569.268","70251.465","25550.991","64964.899","33424.602","28374.529","21400","7005.161","16336.5056","97064.155","72607.691","58900","108000","9143.1066","68957.0125","86900","92086.329","45682.9321","69297.082","81279.234","137435.686","109000","78769.187","74700","139000","118731.564","13324.7625","78136.957","133781.599","92121.017","65500","38961.727","70666.661","84210.663","62980.266","8958.3716","117376.978","19757.299","24154.9373","2353.4867","16200","7563.3532","59596.153","128763.671","128000","63209.9507","65373.638"
"M631.469T1330.308","122092.234","69513.344","97805.917","157385.442","148322.945","144974.441","588936.642","100796.299","146058.42","110000","54563.938","9951.1702","209751.003","115643.985","214000","330000","12331.527","180761.8425","147000","202509.695","27724.8398","239666.901","526293.257","283319.59","340000","184922.883","215000","224000","211915.943","16421.6829","191342.843","227774.065","184548.266","164000","98566.78","209263.852","146802.139","139143.142","13610.2198","174375.335","13451.9255","15550.4292","23651.5806","69600","26673.9845","137976.623","542406.053","694000","203787.4766","179745.747"
