"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M890.353T1023.188",0.80764,0.83663,0.7714,0.75867,0.74493,0.74115,0.7391,0.73881
"M875.33T866.333",0.80733,0.91462,0.83936,0.87721,0.85975,0.85259,0.85088,0.8518
"M847.517T1163.004",0.80535,0.86837,0.8835,0.90595,1.0573,1.0518,1.0742,1.075
"M991.383T954.894",0.80528,0.91886,0.94261,0.93931,0.92053,0.94399,0.94926,0.95258
"M997.379T940.951",0.8051,0.78274,1.0378,1.0373,1.0187,1.0141,1.0117,1.0111
"M949.356T902.335",0.80505,0.81283,0.74379,0.77868,0.77045,0.76451,0.76356,0.76299
"M654.247T924.482",0.80361,0.79851,0.76211,0.76453,0.76349,0.75724,0.7548,0.75427
"M488.187T973.898",0.80243,0.76709,0.82878,0.81531,0.82867,0.82987,0.8283,0.82762
"M547.412T1341.992",0.8024,0.79289,0.82889,0.8163,0.80515,0.7998,0.79971,0.79903
"M645.458T1212.039",0.80197,0.7641,0.77372,0.75799,0.82299,0.81809,0.81558,0.81499
"M785.299T924.482",0.80163,0.81728,0.75826,0.7579,0.74461,0.7384,0.73704,0.73644
"M849.314T843.183",0.80152,0.78647,0.91219,0.94538,0.93175,0.92398,0.92251,0.92314
"M905.364T942.609",0.80038,0.79798,0.72859,0.77438,0.75898,0.77047,0.78314,0.78353
"M886.334T992.353",0.80028,0.87403,0.93269,0.95436,0.93705,0.93178,0.92905,0.92888
"M873.342T973.898",0.79834,0.81187,0.8183,0.82891,0.81231,0.80657,0.80528,0.80483
"M590.446T1338.898",0.79757,0.77752,0.73503,0.76787,0.75254,0.75199,0.76457,0.76833
"M684.476T1302.601",0.79634,0.79401,0.88594,0.90385,0.92353,0.91651,0.9134,0.91306
"M711.441T1125.643",0.79485,0.79021,0.73039,0.73448,0.99486,1.0031,1.0066,1.0064
"M833.318T940.951",0.7941,0.9271,0.85128,0.84421,0.82996,0.82556,0.82773,0.82748
"M699.451T1372.842",0.79314,0.75015,0.94277,0.9559,0.9384,0.94468,0.94617,0.94693
"M551.201T893.689",0.79122,0.81102,0.82996,0.82759,0.81525,0.82391,0.82224,0.82162
"M833.305T975.822",0.79104,0.92806,0.85273,0.84159,0.8254,0.81993,0.82259,0.82235
"M659.432T1373.551",0.78911,0.81861,0.75337,0.74206,0.72722,0.72287,0.7208,0.72018
"M547.407T1473.551",0.78888,0.82597,0.80187,0.84106,0.86115,0.85447,0.85342,0.85297
"M995.371T941.78",0.78782,0.7557,0.84062,0.82975,0.81565,0.81426,0.81208,0.81262
"M471.336T1557.26",0.78744,0.74581,0.78055,0.85348,0.85102,0.84415,0.84619,0.8464
"M827.321T940.951",0.78732,1.0062,0.93586,0.98052,0.96305,0.98386,0.98839,0.98786
"M495.181T880.56",0.78607,0.8142,0.7632,0.74973,0.7347,0.74232,0.74682,0.74711
"M590.444T1439.586",0.78347,0.77545,0.72095,0.72042,0.70705,0.72333,0.74052,0.74156
"M567.431T1440.116",0.7809,0.75463,0.74678,0.75596,0.76108,0.7582,0.75617,0.75955
"M387.25T1406.584",0.78077,0.74976,0.7057,0.72074,0.71891,0.71294,0.71805,0.72366
"M819.302T866.333",0.78075,0.94215,0.86521,0.86265,0.86548,0.86471,0.86173,0.86169
"M907.342T857.905",0.7806,0.80056,0.73531,0.75822,0.74301,0.73743,0.73889,0.73825
"M894.338T940.951",0.7797,0.88672,0.81015,0.79902,0.78356,0.77958,0.78587,0.78519
"M547.402T1437.709",0.77964,0.79037,0.72793,0.71505,0.71876,0.72492,0.72381,0.72353
"M403.244T1423.342",0.77936,0.7383,0.78527,0.80282,0.80456,0.80963,0.80929,0.80929
"M449.365T1540.699",0.77918,0.74217,0.76856,0.78325,0.84419,0.83894,0.83709,0.83674
"M587.444T1372.394",0.7786,0.85143,0.78623,0.77164,0.77072,0.76432,0.76587,0.76522
"M811.324T926.047",0.77823,0.83953,0.79291,0.79236,0.79906,0.79392,0.79128,0.79071
"M453.3T1369.526",0.77764,0.73171,0.79827,0.78243,0.774,0.76755,0.7713,0.77077
"M921.335T902.791",0.77577,0.7926,0.72385,0.70883,0.69469,0.68905,0.68689,0.68656
"M595.491T1621.712",0.77525,0.78397,0.71783,0.70324,0.71061,0.75035,0.75248,0.75185
"M670.245T959.199",0.77493,0.79567,0.72717,0.71632,0.70408,0.69842,0.69607,0.69638
"M920.344T942.609",0.77218,0.74165,0.80914,0.79273,0.77962,0.77754,0.77525,0.7752
"M512.175T909.479",0.77001,0.79192,0.74658,0.77594,0.76261,0.75966,0.76192,0.76148
"M624.433T1278.929",0.76884,0.737,0.9351,0.9215,0.91013,0.90679,0.90377,0.90304
"M835.332T872.624",0.76845,0.85633,0.79033,0.82673,0.81097,0.81969,0.81686,0.81727
"M909.343T957.42",0.76323,0.82575,0.76711,0.7706,0.75656,0.75025,0.74766,0.7477
"M817.317T940.819",0.76311,0.72161,0.66688,0.69129,0.78455,0.78413,0.7824,0.79066
"M899.333T857.905",0.7613,0.74156,0.69819,0.6889,0.67734,0.67319,0.6714,0.67117
"M565.21T891.79",0.75897,0.7771,0.8866,0.86776,0.85178,0.89705,0.89509,0.89508
"M519.387T1507.107",0.75858,0.74492,0.85958,0.84181,0.87797,0.88265,0.88308,0.88925
"M512.178T893.689",0.75822,0.7738,0.77353,0.75879,0.74374,0.73845,0.73699,0.73647
"M917.581T1308.231",0.75572,0.77411,0.74982,0.73569,0.74119,0.73832,0.73593,0.75015
"M933.368T973.898",0.75528,0.78862,0.72204,0.7332,0.72053,0.715,0.71277,0.71217
"M423.321T1473.286",0.75484,0.71911,0.74335,0.81629,0.80249,0.8216,0.8244,0.8287
"M809.345T958.024",0.75129,0.96429,1.1115,1.1801,1.1605,1.1616,1.1644,1.1636
"M566.199T909.479",0.74906,0.78448,0.74252,0.73897,0.72983,0.74522,0.74472,0.74409
"M499.365T1490.14",0.74876,0.73323,0.80243,0.7871,0.7723,0.83078,0.83126,0.83168
"M835.333T951.54",0.74865,0.7928,0.86047,0.8778,0.86257,0.86567,0.86496,0.86466
"M511.168T847.893",0.7483,0.78771,0.77893,0.78482,0.76916,0.76799,0.76569,0.76529
"M1054.431T975.822",0.74755,0.7741,0.74679,0.73108,0.71956,0.71965,0.72287,0.72925
"M571.45T1291.55",0.74703,0.73889,0.71791,0.71161,0.73205,0.73648,0.73745,0.73903
"M587.442T1269.605",0.7469,0.70843,0.79127,0.77536,0.99692,0.98928,0.9884,0.98804
"M734.268T924.482",0.74678,0.76198,0.75555,0.7977,0.78485,0.77831,0.78496,0.78437
"M904.333T924.482",0.74225,0.82419,0.79318,0.77679,0.76647,0.7614,0.76636,0.76574
"M932.854T973.898",0.7393,0.70013,0.77847,0.77021,0.75576,0.76426,0.76536,0.76486
"M981.368T857.905",0.73815,0.7932,0.78689,0.7702,0.75476,0.75066,0.74808,0.74782
