"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M904.333T924.482","-0.546188270","-0.890099965","-0.198090560","-0.571094182","-0.128934921","-0.063879753"," 0.303410761"," 0.078510035","-0.104411929"," 0.540215227","-0.178061814","-0.008862384","-0.168451940"," 0.141463307"," 0.114859214","-0.822814933"," 0.230647608"," 0.701773180"," 0.106430444"," 0.057385312"," 0.538176560","-0.209120209"," 0.442243365"," 0.351863888"," 0.155474800","-0.030649346"," 0.158206506"
"M623.428T1423.013","-0.42048037","-0.47806628","-0.40621246","-0.25021292","-0.20264087","-0.33823914","-0.08897071","-0.09007607","-0.33138722","-0.38558065","-1.02272257"," 0.29677273","-0.24345467","-0.09529053"," 0.42445396","-0.02927577"," 0.23873091"," 0.54130780"," 0.38745851","-0.23739049"," 0.27522205"," 0.60960472"," 0.33566228"," 0.42502443"," 0.64966090"," 0.19858967"," 0.23751277"
"M1070.417T942.609","-1.569983823","-1.454262850","-0.467515114","-0.232963237"," 0.020900278"," 0.003614793"," 0.132358052"," 0.055102416","-0.286793435"," 0.609986370","-0.094024720"," 0.255640330"," 0.085471854"," 0.405752108","-0.087505178","-0.115676308"," 0.256350390"," 0.311107636"," 0.099031703","-0.127860261"," 0.462622525"," 0.165977698"," 0.477654010"," 0.494604599"," 0.372753888"," 0.024311575"," 0.203344702"
"M691.436T1356.203","-0.12018391","-0.19200051"," 0.27533611"," 0.31648919","-0.12801402","-0.13749242","-0.57520514","-0.44304415"," 0.07878877"," 0.03805510","-0.67662476"," 0.43465525","-0.11877906","-0.18745789","-0.16741498"," 0.32097895"," 0.41202739","-0.35883454","-0.17671622"," 0.18564239","-0.21523611"," 0.30772892"," 0.11723605"," 0.35958548"," 0.17413370"," 0.29448394"," 0.18186247"
"M727.571T1439.78","-0.066086587","-0.345541208","-0.212713896","-0.133629041","-0.124942271","-0.709433784","-0.304151684","-0.096588446","-0.491377345","-0.546498101","-0.002688891"," 0.238134006","-0.070531424","-0.871960246"," 0.323493619"," 0.253091786","-0.147511087"," 0.512538209"," 0.347077474","-0.382378061"," 0.078000854"," 0.401888651"," 0.350719729"," 0.948802098"," 0.577916030"," 0.177704677"," 0.296664938"
"M1005.378T843.183","-0.74985427","-1.73158275","-0.44354270","-0.29782828","-0.02470943","-0.05999420"," 0.50467516","-0.13646797","-0.12896986"," 0.31743867","-0.07851546","-0.19742152"," 0.07379965"," 0.26958884"," 0.11214028","-0.65468756"," 0.22800285"," 0.51689513"," 0.01858422"," 0.13019080"," 0.38295942"," 0.22789714"," 0.34158997"," 0.27865820"," 0.22782544"," 0.27931426"," 0.59401396"
"M827.318T827.274","-0.41747215","-1.14461263","-0.45704685","-0.50939290","-0.13868971","-0.37298610"," 0.31416952"," 0.58663033"," 0.51234155"," 1.05846367"," 0.18311936","-0.35614121","-0.28184408"," 0.14991879","-0.21528556","-0.93188281","-0.25966601"," 1.29249396","-0.09137561"," 0.06422231"," 1.21275250","-0.43381624"," 0.82509436","-0.32509636","-0.18618021"," 0.09583733","-0.17355526"
"M979.319T755.275","-0.7117389833","-0.7531724995","-0.0705331287","-0.0489706022","-0.1442282162"," 0.0155662703"," 0.0666449854","-0.0002239841"," 0.0180387607"," 0.6263423241"," 0.0772546723"," 0.2023203105"," 0.0052717019"," 0.1885867654"," 0.0474609006","-0.6537195862"," 0.1516320741"," 0.3043849203"," 0.3953483146"," 0.0727975198"," 0.2831489181","-0.3758269372"," 0.1574743874","-0.1658726413"," 0.2083996024"," 0.0834922751"," 0.0201218758"
"M833.315T843.183","-0.48909766","-1.59774470","-0.24020836","-0.58124012","-0.12630169","-0.21970490"," 0.32406345"," 0.10540761"," 0.10400528"," 0.68362861"," 0.17184750","-0.10051387","-0.31265687"," 0.19092735"," 0.08322837","-0.77993379"," 0.12380913"," 0.86076199"," 0.09802681"," 0.16007943"," 0.81577891","-0.00306866"," 0.44597533"," 0.15749361","-0.08523957"," 0.12689215"," 0.08378464"
"M921.335T902.791","-0.38205545","-1.10914188","-0.28135926","-0.31009208","-0.10199919","-0.10101693"," 0.05504711"," 0.19246017","-0.10036954"," 0.28249902","-0.07411863","-0.01727852","-0.03913060"," 0.20006034","-0.04888954","-0.55961286"," 0.09331716"," 0.53009244"," 0.14037119"," 0.04553182"," 0.53169870","-0.04276257"," 0.42784172"," 0.32752181"," 0.18638344","-0.10627518"," 0.26127728"
