"",f.value,p.value,-log10(p),FDR,Fisher's LSD
M646.455T1423.013,9.1945,5.6648e-05,4.2468,0.0017003,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Xanthomonas - Second-tp_Control
M660.517T1423.005,9.1877,5.6936e-05,4.2446,0.0017003,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M555.447T1456.772,9.1064,6.0493e-05,4.2183,0.001728,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control
M680.474T1439.81,8.9579,6.7652e-05,4.1697,0.001852,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M661.446T1372.452,8.5292,9.4105e-05,4.0264,0.0024435,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M574.467T1456.399,8.4945,9.6698e-05,4.0146,0.0024435,First-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M668.509T1456.373,8.3404,0.00010922,3.9617,0.0025294,First-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas
M637.414T1384.421,8.3269,0.0001104,3.957,0.0025294,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M655.418T1389.36,8.3024,0.00011258,3.9485,0.0025294,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M646.461T1352.771,8.2704,0.0001155,3.9374,0.0025294,Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
M646.454T1406.122,8.0523,0.00013772,3.861,0.0029188,Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; Second-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Control - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas
