"","sample","condition","Sodium_Formate","M367.151T397.982","M536.899T13.11","M664.853T17.893","M768.855T17.124","M774.824T18.125","M830.837T11.111","M831.338T16.12"
"28","X12.1","xvm_12",3797962.57,14919.578,12218.115,24059.964,59201.292,21407.826,25765.943,10709.645
"29","X12.2","xvm_12",3837317.869,32347.825,11084.813,24345.793,51764.83,21076.046,19491.656,10413.701
"30","X12.3","xvm_12",3790177.391,20065.061,12882.864,22227.402,61030.654,21482.254,25170.264,10605.641
"31","C15.1","con_15",3934423.297,16278.311,15199.467,11417.336,55257.861,12983.085,19790.547,7675.32
"32","C15.2","con_15",3867787.496,9983.923,16331.435,24612.12,69750.72,22181.194,26602.278,10593.703
"33","C15.3","con_15",3442128.325,9385.526,19565.874,16441.578,32393.664,13792.567,22221.459,6022.342
"34","C15.4","con_15",3960498.029,8912.199,13544.512,23401.085,45767.262,22123.423,23190.589,9426.837
"35","D15.1","dro_15",4037491.87,12077.454,22691.358,8838.436,41348.228,31269.756,24273.936,15702.127
"36","D15.2","dro_15",3920796.465,178744.289,12315.499,24640.763,59497.815,21708.477,25549.171,11622.075
"37","D15.3","dro_15",4069492.77,5802.907,24483.017,25233.474,44622.015,19339.803,24265.766,10593.902
"38","D15.4","dro_15",3868513.993,11124.518,14737.229,22492.08,53802.008,21687.246,21404.059,11689.453
"39","F15.1","foc_15",3964439.746,12922.3909,23773.106,23656.758,55147.3937,29777.064,19294.875,15608.686
"40","F15.2","foc_15",4037001.94,11266.696,12330.882,24156.823,52583.278,22191.455,25137.365,11203.654
"41","F15.3","foc_15",4030308.581,11505.185,14024.838,20818.268,51716.838,32490.488,20436.105,10776.684
"42","F15.4","foc_15",3922005.864,84650.306,14639.965,24470.239,55268.151,22324.305,21550.73,10838.533
"43","X15.1","xvm_15",3735044.78,678706.553,15122.727,20087.424,43140.868,19337.908,26487.959,9583.447
"44","X15.2","xvm_15",3901010.182,478086.296,16481.296,23666.573,64611.125,23105.916,26364.858,11213.965
"45","X15.3","xvm_15",3528207.642,1679394.86,13994.688,14717.885,30711.237,14403.117,21389.29,7162.632
"46","X15.4","xvm_15",4862691.729,11394.817,14758.272,27711.999,72167.694,22723.9,26647.103,11805.354
"47","BLANK_2_Dup1","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"48","BLANK_2_Dup2","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"49","BLANK_2_Dup3","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"50","BLANK_2","bla_0",3667732.211,10528.091,13835.512,18401.714,34067.099,14678.758,19835.034,7479.989
"51","QC.1.Dup","qcs_0",4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68
"52","QC.1","qcs_0",4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68
"53","QC.2","qcs_0",3845070.71,122763.122,12629.776,22557.47,48992.538,21618.662,25277.606,9968.077
"54","QC.3","qcs_0",4035455.455,143189.111,15034.97,10459.284,66934.697,23093.794,27598.548,11596.379
