"",Label,Sodium_Formate,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1026.791T12.104,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1288.745T12.11,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
D9.3,dro_9,3741009.216,29068.104,15435.051,19574.548,60986.412,18896.52,28221.185,10986.862,23010.826,13980.931,11862.403,39019.655,10908.094,8105.474,20354.148,15259.691,10182.408,18990.802,8973.938,8901.645,11351.034,12918.327,8922.572,15043.927,13709.4,21159.039,9169.691,10311.373,19654.444,16464.073,12426.273,11030.994,11829.579,12367.605,10476.979
D9.4,dro_9,4053881.971,159591,13928.073,22282.317,42555.302,19632.213,25551.344,11221.845,22861.305,17140.398,11484.066,37499.995,14595.509,7955.477,21381.021,18741.495,10239.232,20960.54,11346.014,12711.864,8813.901,15724.231,13606.187,17448.862,12961.587,23423.709,9976.391,15432.684,20369.75,14812.989,14684.317,11620.446,15001.057,8924.503,9730.717
F12.1,foc_12,3999727.821,12776.618,22878.362,22978.201,49560.023,18733.385,23801.923,10738.15,22985.849,17842.186,12676.476,37009.171,11878.644,10860.484,21071.684,16502.077,11635.114,18890.519,10846.983,11522.148,9468.393,13346.374,11111.024,17566.917,14046.617,23949.252,9021.014,11810.978,18754.022,17928.578,13439.803,10837.642,14960.417,10479.139,9220.354
F12.2,foc_12,3766924.043,27019.034,13678.647,18881.346,44046.829,18446.554,22069.129,6804.352,22769.73,14432.777,13061.1,35707.472,10357.271,9644.654,23573.912,15467.071,11163.482,17237.23,9007.15,10527.789,9910.144,13898.947,8711.016,15432.796,14418.665,20775.001,9563.973,12438.183,16102.162,16813.01,13109.274,11182.325,13026.977,10885.254,9897.692
F12.3,foc_12,3339943.862,10714.798,13724.458,15064.685,28999.453,14223.645,20134.978,6805.956,16421.22,11738.494,11143.782,25869.095,7486.241,8617.992,20705.568,13352.231,10302.333,13493.877,6374.851,7557.558,8453.261,11669.802,4938.028,12778.519,12779.414,17719.255,6494.696,9687.571,15445.881,15622.949,11543.366,10392.198,11421.34,10437.406,7487.997
F12.4,foc_12,3555482.54,18762.62,15842.484,17200.598,32247.935,15852.356,20981.192,8010.977,18532.12,13706.789,11882.765,32546.624,8479.608,9514.119,22494.983,12072.694,11124.54,15374.891,9303.12,9158.886,9186.544,13907.132,6646.292,13730.864,14707.865,19019.427,7788.673,11297.048,17504.196,18887.664,12650.106,10381.91,12311.238,9716.98,6365.763
F15.1,foc_15,3964439.746,12922.3909,23773.106,23656.758,55147.3937,29777.064,19294.875,15608.686,38244.39,19982.1672,12071.5028,40245.3155,13622.5451,8500.0625,23354.3245,19579.4188,12204.5494,19506.2153,12268.0347,20561.5,9327.4944,14323.4613,11035.0895,15494.0324,12987.2162,25568.0131,11785.2163,24723.4908,20103.1321,16574.2743,14336.4593,11708.6159,15818.6608,13265.8861,11216.9612
F15.2,foc_15,4037001.94,11266.696,12330.882,24156.823,52583.278,22191.455,25137.365,11203.654,24086.623,16975.402,14442.357,37928.775,11548.002,8854.206,22716.67,18720.572,10637.818,19015.084,12619.963,11949.762,12632.829,14100.196,13470.057,10184.775,11703.358,24506.569,10382.161,14959.664,18506.008,14332.494,16724.522,11515.161,13434.689,13548.726,9276.93
F15.3,foc_15,4030308.581,11505.185,14024.838,20818.268,51716.838,32490.488,20436.105,10776.684,36521.937,17597.158,12789.668,38146.938,12314.139,9687.347,21138.174,18070.318,10200.69,31285.131,12610.993,12322.283,10657.886,13359.808,21350.829,14474.629,14347.056,26376.509,10772.673,14615.92,18331.389,20545.409,14200.678,12033.796,15580.578,11110.697,10819.946
F15.4,foc_15,3922005.864,84650.306,14639.965,24470.239,55268.151,22324.305,21550.73,10838.533,26354.078,17327.225,11774.971,38974.406,15136.975,9190.551,23296.542,19291.296,8367.363,21448.338,11442.457,12095.342,10040.034,13262.722,10274.777,16038.387,14488.015,26567.539,11669.18,15563.588,19570.122,17285.53,13815.03,11614.495,13746.827,13327.582,10362.777
F9.1,foc_9,3890744.446,34918.822,12278.726,21794.52,40958.508,20689.386,20791.284,11566.021,25254.791,18143.957,10863.36,35618.445,12076.948,8260.601,21746.937,15916.107,8655.389,19250.814,11069.909,12960.218,8516.462,13878.174,9527.462,15639.477,13233.601,22035.94,9534.744,12688.379,20053.603,15012.415,13286.528,10955.79,17400.856,12325.264,10042.868
F9.2,foc_9,4045781.04,72280.988,14066.072,24121.31,65606.23,23940.911,25042.904,6732.136,24872.394,18522.937,12275.808,38119.719,12964.57,9436.316,23520.715,21107.132,9502.5,21401.43,12611.95,9835.418,8989.98,14444.191,11232.821,17000.242,10939.866,26094.048,12924.658,24292.66,20230.51,16435.267,14605.203,12448.254,15297.444,10923.825,10326.303
F9.3,foc_9,3879945.02,76069.263,14600.873,22294.498,46966.518,21435.157,22699.582,9975.821,21961.325,19486.879,12674.467,39499.967,11942.536,8434.438,22778.222,21726.584,10526.003,19680.124,12196.044,10485.277,10429.747,14849.688,9895.392,15501.43,12449.236,24477.667,12605.186,13138.094,17572.56,16182.776,15467.764,12100.907,13582.937,11934.223,11422.842
F9.4,foc_9,4104743.934,11050.034,24005.632,22597.908,109348.004,29341.33,23486.326,10317.815,38203.102,18546.146,12832.754,34860.584,14197.17,8755.452,20531.888,18553.526,9858.262,20450.918,12576.531,11358.185,9760.551,15829.917,12140.804,16510.168,14637.992,28207.821,12425.95,15716.649,18292.646,16580.126,15398.1,12909.032,13870.535,10949.894,10058.647
QC.1.Dup,qcs_0,4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68,22636.327,11619.072,11885.621,28522.026,15111.449,11857.753,20492.383,26964.346,17118.771,31499.079,12276.723,11215.855,15668.268,15821.575,11578.501,14542.002,14395.627,22807.105,10776.089,14555.54,20573.659,25148.948,16110.586,14589.725,12926.741,10024.042,9780.281
QC.1,qcs_0,4024050.372,113055.739,22413.182,21336.789,44173.625,18024.406,25329.762,8250.68,22636.327,11619.072,11885.621,28522.026,15111.449,11857.753,20492.383,26964.346,17118.771,31499.079,12276.723,11215.855,15668.268,15821.575,11578.501,14542.002,14395.627,22807.105,10776.089,14555.54,20573.659,25148.948,16110.586,14589.725,12926.741,10024.042,9780.281
QC.2,qcs_0,3845070.71,122763.122,12629.776,22557.47,48992.538,21618.662,25277.606,9968.077,24102.789,16923.125,14048.933,38729.122,12563.673,7404.146,21991.852,18082.244,13871.49,21865.264,12155.208,11872.997,9205.81,13088.206,11099.198,18361.019,14808.292,23880.542,11721.813,14553.997,21789.172,15203.474,14868.236,8453.284,13302.099,10751.591,9604.728
