"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"M877.498T1237.158",-0.029068,-0.01166,0.0020743,0.032385,0.025494,0.0018259,0.0063001,-0.0086089,0.0075479,0.01333,-0.014313,-0.016269,-0.00093655,-0.034909,-0.0024215,0.0055795,0.014963,-0.017649,-0.0048517,-0.014057,0.0073484,-8.3909e-06,-0.0081984,-0.011357,-0.024555,-0.0020741,0.011412,0.0091573,-0.0051939,-0.0069721,0.0021485,0.010656,-0.0032022,0.0060394,-0.0066648,-0.0040225,0.0083134,-0.0097499,0.0047655,-0.0054269,-0.012289,-0.011418,-0.0018656,0.012289,0.009024,-0.0046902,0.0066021,0.0036162,0.0074449,0.0026848
"M455.315T1295.888",-0.018752,-0.0080393,0.014704,-0.0035064,0.0090877,0.0025534,-0.035233,0.012546,-0.018697,-0.0090877,0.018365,0.0056558,-0.00080639,-0.0053901,0.023151,-0.010063,-0.0077157,-0.041627,0.0053845,-0.0074123,-0.0098102,0.0053785,0.021875,0.025019,0.013517,-0.025534,-0.021467,0.0059506,0.01005,-0.023683,0.0073931,0.020031,-0.013342,-0.0030896,-0.0020007,-0.010452,0.0068226,-0.036523,-0.0053657,-0.0076017,-0.014913,0.026575,0.032267,-0.011117,0.0064902,-0.025873,0.027119,-0.0090758,0.005854,0.0088427
"M1091.419T843.183",-0.034691,-0.0034032,0.0095956,-0.0044796,-0.0018429,-0.0058759,0.018949,0.017328,0.023085,0.025771,-0.038896,0.044545,-0.00010201,-0.033542,-0.0058972,0.024215,-0.029169,0.023566,-0.027576,0.00057002,0.0064715,-0.016957,-0.017433,-0.015481,0.0026337,0.0047511,-0.022581,-0.021012,-0.010468,-0.01049,0.019083,0.01282,0.015688,0.020573,-0.0092016,-0.019351,0.0042542,0.015014,0.011137,-0.023116,0.018536,-0.0024894,0.0057341,0.015665,-0.023006,-0.0047798,-0.02715,-0.0083972,-0.01753,0.0014549
"M843.488T1237.073",-0.033878,-0.0040366,-0.00020422,0.033661,0.028916,-0.00846,0.0058097,0.02136,0.0033975,0.01953,-0.0078591,0.030539,-0.031142,0.0078528,-0.041351,0.031654,0.010059,0.010305,-0.0013493,-0.0063943,4.7503e-05,-0.0026684,-0.012071,0.0063521,0.0068747,-0.0010365,-0.0060628,-0.013984,0.011566,0.0056421,0.0016862,0.0078656,-0.0026346,-0.008838,-0.0032363,-0.00057955,-0.0074453,-0.010911,0.009125,-0.0018023,-0.014537,-0.0028117,0.0018298,-0.0028375,-0.00011958,0.0099049,0.0073835,-2.7444e-05,-0.0028082,0.013018
"M1091.431T942.609",-0.031162,-0.0027609,0.0045211,0.0061416,-0.01739,-0.0024614,-0.0032259,0.020437,0.019036,0.036094,-0.032406,-0.0039189,0.0047034,-0.026508,0.054916,0.031124,-0.037531,0.011,-0.020143,0.0071353,0.023167,-0.019163,-0.021868,-0.015196,-0.012975,0.0026014,0.0022188,-0.0081998,-0.011425,-0.010539,0.011161,0.0029976,-0.0010583,0.012153,-0.025979,-0.016507,0.0080502,-0.0052618,0.0015108,-0.00016749,0.014385,0.010517,0.0074913,-0.0031448,-0.0043632,-0.0039292,-0.017035,-0.00075062,-0.014418,0.016789
"M859.281T850.362",-0.024357,-0.012733,-0.0033731,6.957e-05,-0.01576,-0.014319,0.011332,-0.0079062,0.031208,-0.013929,0.012096,0.0018759,-0.0027474,0.0034398,-0.0050014,0.0083273,0.0043647,0.017614,0.0083262,0.0040273,0.0065424,-0.0058241,-0.0044947,-0.014395,0.0020812,0.0083353,-0.0031502,0.0087515,-0.0077009,-0.00031457,-0.020874,0.022435,-0.019777,-0.014898,0.011834,-0.012439,0.041917,0.0088907,-0.0095822,-0.00069339,-0.013341,0.011676,0.00053246,0.0011495,-0.0034389,-0.015432,-0.0025697,4.2408e-05,0.0014258,0.0059414
"M574.213T908.018",-0.032307,-0.0095885,-0.0082505,0.0045726,-0.022408,-0.0034654,0.0071194,-0.0039733,0.0088912,0.0053527,-0.01291,0.0059404,0.005296,-0.030001,-0.010415,-0.0059629,-0.0029355,0.0087028,-0.00088005,0.0036961,0.014257,0.024032,0.00035391,-0.0069684,0.01169,0.017382,-0.014773,-0.0032641,-0.0012213,0.015581,0.0080444,-0.0030514,0.020651,0.0076052,-0.0065775,-0.0014388,-0.0034599,0.014212,0.0070797,0.0021777,4.7649e-05,-0.0044655,0.014837,-0.01268,-0.0034003,-0.0054033,-0.02121,0.010026,-0.0054607,0.00026505
"M519.184T799.156",-0.033229,-0.0037255,0.013657,-0.01709,0.0044007,0.039369,-0.00068375,-0.0076359,-0.007089,-0.0089914,0.0322,0.0087062,-0.017662,0.011613,0.016567,-0.018643,0.0452,0.02399,0.027744,-0.037009,-0.036788,0.021157,0.0076183,0.00044045,-0.040781,-0.02296,0.0023294,0.010975,-0.0064184,-0.00446,0.035744,-0.0267,-0.021888,0.0069905,0.020506,0.019386,0.01516,0.0074535,-0.0062006,-0.0088983,0.001097,-0.0032641,-0.020439,-0.0065913,0.0010647,0.0066447,0.01345,0.01041,0.0026843,-0.011717
"M561.213T812.644",-0.035822,-0.0097001,0.0040667,0.0068095,-0.00409,0.0054197,-0.0037756,-0.021949,0.013054,0.03903,-0.020491,0.052122,0.020709,-0.012568,-0.026734,-0.028361,0.047921,0.014406,-0.018007,-0.00036673,0.014731,0.0113,0.010982,0.0036794,-0.019427,-0.031496,-0.0098926,0.0094899,-0.015148,-0.0094316,0.0090099,-0.025225,-0.0015271,0.0022451,-0.0036666,0.01169,-0.011441,-0.00011288,-0.011466,0.001609,-0.017837,0.00094731,-0.0058598,-0.017312,-0.0026671,-0.023467,0.008816,0.0233,0.0044914,-0.0082142
"M453.296T1425.43",-0.015594,-0.0039748,0.0025294,-0.018578,0.010842,-0.0078932,-0.024554,-0.010335,0.014003,-0.0043772,-0.00061287,-0.00038013,-0.0070191,-0.0044624,-0.010598,-0.0017242,-0.0010301,-0.002775,-0.011645,-0.0040547,-0.004045,-0.015859,0.020924,0.015691,0.013559,0.0056217,0.0095562,0.0012408,0.01115,-0.026476,0.029443,0.014526,-0.026065,-0.0045408,0.0059339,-0.0050354,0.005704,0.0056039,0.007594,-0.012025,0.00985,0.0081514,0.0084727,0.022631,-0.015194,0.020704,-0.022899,-0.012678,0.013355,0.00080012
