sample,condition,Sodium_Formate,M354.284T1595.998,M573.464T1458.338,M575.48T1424.867,M632.472T1474.795,M633.474T1424.866,M634.485T1424.862,M648.465T1441.075,M649.479T1424.057,M650.482T1423.88,M767.839T17.122,M871.491T17.124,M882.812T18.125,M912.805T18.125,M972.813T17.121,M990.789T18.143,M1059.46T14.114,M1067.787T17.122,M1087.458T13.111,M1154.769T17.115,M1170.77T17.127,M1187.772T13.11,M1222.764T12.168,M1239.758T16.118,M1252.751T12.611,M1279.087T13.111,M1287.747T14.113,M1356.732T13.109,M1414.729T13.11,M1419.724T14.619,M1447.213T13.111,M1522.706T13.16,M1576.695T13.11,M1593.442T13.11,M1610.691T13.111
F9.3,foc_9,3879945.02,412745.829,64692.192,9547.894,48904.059,229329.231,100404.371,51527.768,152304.797,71605.593,9598.71,9913.438,19486.879,9456.089,30240.45,10947.993,27181.392,23626.021,18353.556,12679.393,22461.637,72407.373,11042.913,12605.186,11584.569,17572.56,26391.258,11905.978,29965.628,10740.902,12337.312,10714.832,16772.055,12058.792,17141.27
F9.4,foc_9,4104743.934,342977.578,20756.547,5653.759,11880.826,248670.242,79132.803,19264.158,69271.654,40438.134,12482.558,11738.693,18546.146,13002.124,39777.496,13040.676,32052.225,21193.704,15021.407,14313.233,24173.19,75275.655,11463.192,12425.95,13219.387,18292.646,29201.711,19054.815,31191.048,12542.454,12281.446,12737.206,16480.042,13555.386,17269.906
X9.1,xvm_9,3959808.028,301444.845,369242.9,317793.748,261228.616,1085197.541,450266.491,307469.021,1442232.204,599549.777,14443.2,10407.128,16228.54,13501.656,38610.395,14328.493,33138.053,21233.597,17911.7,13762.78,31700.818,75008.519,11987.87,11512.434,9014.964,17811.339,29609.259,21006.413,31159.271,10017.472,12205.735,9597.413,15069.34,12384.994,16926.951
X9.2,xvm_9,3945214.242,302585.303,199974.451,180683.365,162017.785,799661.093,346394.434,178789.641,578477.174,294483.98,12624.261,11181.134,17291.844,9977.844,40743.866,12347.162,31608.591,20697.611,17117.198,13769.355,31343.75,73825.048,14333.564,10511.482,8306.846,19153.184,30264.947,19708.157,31846.144,10914.105,12569.649,10495.184,15640.223,13701.542,17464.483
X9.3,xvm_9,3800062.662,297094.796,202726.496,191251.648,163784.258,749747.891,284590.473,164396.05,697481.404,282856.474,18491.308,9993.248,16370.978,11090.45,38930.442,11701.717,32299.81,22902.502,19124.598,14988.832,23055.178,76509.235,13610.139,10059.583,14064.381,18568.487,29192.384,20010.65,31081.877,8964.814,12564.043,9869.725,14708.409,13612.749,16762.939
X9.4,xvm_9,4006431.121,320894.665,432995.858,463836.764,403939.666,1375094.585,606066.133,347671.831,1329803.767,561962.887,12611.722,11418.812,18804.277,9889.858,42277.418,15091.379,34703.526,19898.266,16642.469,15883.085,25470.422,77753.752,14225.598,11061.419,12056.064,19646.858,31374.075,20408.982,30251.8,6563.632,13077.761,10667.495,16085.877,12201.462,18495.233
BLANK_2_Dup1,bla_0,3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956,73211.515,38286.463,13487.941,8531.4,12842.962,7864.816,33557.458,9219.611,28645.979,14506.804,12243.916,10134.573,17218.747,66165.694,12439.055,9627.181,16041.377,18282.013,26536.344,17020.005,27219.181,11476.399,9683.494,10167.385,13071.997,12962.891,16489.296
BLANK_2_Dup2,bla_0,3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956,73211.515,38286.463,13487.941,8531.4,12842.962,7864.816,33557.458,9219.611,28645.979,14506.804,12243.916,10134.573,17218.747,66165.694,12439.055,9627.181,16041.377,18282.013,26536.344,17020.005,27219.181,11476.399,9683.494,10167.385,13071.997,12962.891,16489.296
BLANK_2_Dup3,bla_0,3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956,73211.515,38286.463,13487.941,8531.4,12842.962,7864.816,33557.458,9219.611,28645.979,14506.804,12243.916,10134.573,17218.747,66165.694,12439.055,9627.181,16041.377,18282.013,26536.344,17020.005,27219.181,11476.399,9683.494,10167.385,13071.997,12962.891,16489.296
BLANK_2,bla_0,3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956,73211.515,38286.463,13487.941,8531.4,12842.962,7864.816,33557.458,9219.611,28645.979,14506.804,12243.916,10134.573,17218.747,66165.694,12439.055,9627.181,16041.377,18282.013,26536.344,17020.005,27219.181,11476.399,9683.494,10167.385,13071.997,12962.891,16489.296
QC.1.Dup,qcs_0,4024050.372,307841.389,259700.468,252221.125,182312.62,862578.989,334435.465,270241.102,1192119.493,400334.764,20765.127,11055.235,11619.072,8757.791,39487.19,12780.438,26831.289,17871.251,18670.156,18222.509,25217.14,60067.171,14436.789,10776.089,18526.546,20573.659,26175.69,21851.625,29768.348,12792.446,10758.992,11137.472,14300.859,12357.597,14937.328
QC.1,qcs_0,4024050.372,307841.389,259700.468,252221.125,182312.62,862578.989,334435.465,270241.102,1192119.493,400334.764,20765.127,11055.235,11619.072,8757.791,39487.19,12780.438,26831.289,17871.251,18670.156,18222.509,25217.14,60067.171,14436.789,10776.089,18526.546,20573.659,26175.69,21851.625,29768.348,12792.446,10758.992,11137.472,14300.859,12357.597,14937.328
QC.2,qcs_0,3845070.71,306577.993,321061.515,224998.555,243774.772,977765.202,389255.557,224830.209,1233121.891,539948.68,14515.416,11345.247,16923.125,14226.392,38098.413,13323.703,32212.499,22124.792,16577.299,13517.881,23720.598,78243.457,11867.106,11721.813,15495.129,21789.172,28503.254,19420.935,30445.059,11563.699,12152.348,10764.189,15967.351,13670.89,17570.135
QC.3,qcs_0,4035455.455,271068.599,261907.533,262074.165,199040.549,827106.209,310459.911,244654.32,889505.676,462658.645,15676.663,12512.938,19585.8,12017.555,42898.217,13664.607,35145.946,21010.666,17071.175,15292.7,27839.734,71748.116,10854.466,8696.282,12802.702,20392.46,30084.661,20200.412,32307.421,11643.171,12857.036,10215.103,16796.15,14160.595,20138.009
